"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","dir","database","virus","knock_in"
"R-HSA-6805567","R-HSA-6805567","Keratinization","19/149","67/8368",2.09365256535738e-18,5.51677450971669e-16,5.30024675756263e-16,"3872/2312/7062/84648/6703/26085/144501/6699/6698/196374/286887/3854/43849/3868/6701/6704/1041/6700/6705",19,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-6809371","R-HSA-6809371","Formation of the cornified envelope","19/149","67/8368",2.09365256535738e-18,5.51677450971669e-16,5.30024675756263e-16,"3872/2312/7062/84648/6703/26085/144501/6699/6698/196374/286887/3854/43849/3868/6701/6704/1041/6700/6705",19,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-6803157","R-HSA-6803157","Antimicrobial peptides","5/149","36/8368",0.000404214178790072,0.071006957407456,0.0682200070168508,"5646/6278/114771/57115/84659",5,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-3214815","R-HSA-3214815","HDACs deacetylate histones","6/149","80/8368",0.00293228111001199,0.386328036244079,0.371165056293623,"83933/2874/8362/8339/8354/8343",6,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-446728","R-HSA-446728","Cell junction organization","5/149","72/8368",0.00899600216612474,0.555985400837651,0.534163542999921,"54549/55679/2318/64403/26285",5,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-73728","R-HSA-73728","RNA Polymerase I Promoter Opening","4/149","49/8368",0.0109952879483561,0.555985400837651,0.534163542999921,"8362/8339/8354/8343",4,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-5334118","R-HSA-5334118","DNA methylation","4/149","50/8368",0.0117896221236319,0.555985400837651,0.534163542999921,"8362/8339/8354/8343",4,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-2022090","R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","4/149","51/8368",0.0126199277431458,0.555985400837651,0.534163542999921,"7093/7837/1515/131873",4,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-5625886","R-HSA-5625886","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3","4/149","51/8368",0.0126199277431458,0.555985400837651,0.534163542999921,"8362/8339/8354/8343",4,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-1912408","R-HSA-1912408","Pre-NOTCH Transcription and Translation","5/149","79/8368",0.0131306137025004,0.555985400837651,0.534163542999921,"51548/8362/8339/8354/8343",5,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-8936459","R-HSA-8936459","RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function","5/149","79/8368",0.0131306137025004,0.555985400837651,0.534163542999921,"161882/8362/8339/8354/8343",5,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-9609690","R-HSA-9609690","HCMV Early Events","6/149","112/8368",0.0147126789692224,0.555985400837651,0.534163542999921,"2874/84617/8362/8339/8354/8343",6,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-427359","R-HSA-427359","SIRT1 negatively regulates rRNA expression","4/149","54/8368",0.0153319715422543,0.555985400837651,0.534163542999921,"8362/8339/8354/8343",4,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-1502540","R-HSA-1502540","Signaling by Activin","2/149","12/8368",0.0184906257320338,0.555985400837651,0.534163542999921,"10272/130399",2,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-9013973","R-HSA-9013973","TICAM1-dependent activation of IRF3/IRF7","2/149","12/8368",0.0184906257320338,0.555985400837651,0.534163542999921,"148022/3665",2,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-212300","R-HSA-212300","PRC2 methylates histones and DNA","4/149","59/8368",0.0206171836699781,0.555985400837651,0.534163542999921,"8362/8339/8354/8343",4,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-2299718","R-HSA-2299718","Condensation of Prophase Chromosomes","4/149","59/8368",0.0206171836699781,0.555985400837651,0.534163542999921,"8362/8339/8354/8343",4,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-109582","R-HSA-109582","Hemostasis","15/149","474/8368",0.0213621597830212,0.555985400837651,0.534163542999921,"634/7078/5327/7450/27345/2886/1893/90952/5473/84617/161882/12/7975/57126/8354",15,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-427389","R-HSA-427389","ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression","4/149","62/8368",0.0242646635004943,0.555985400837651,0.534163542999921,"8362/8339/8354/8343",4,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-156588","R-HSA-156588","Glucuronidation","2/149","14/8368",0.0249096070555324,0.555985400837651,0.534163542999921,"54579/54577",2,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-1912422","R-HSA-1912422","Pre-NOTCH Expression and Processing","5/149","95/8368",0.026978928089247,0.555985400837651,0.534163542999921,"51548/8362/8339/8354/8343",5,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-2559582","R-HSA-2559582","Senescence-Associated Secretory Phenotype (SASP)","5/149","98/8368",0.0303257503860135,0.555985400837651,0.534163542999921,"11065/8362/8339/8354/8343",5,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-1500931","R-HSA-1500931","Cell-Cell communication","5/149","99/8368",0.0314969159748887,0.555985400837651,0.534163542999921,"54549/55679/2318/64403/26285",5,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-936964","R-HSA-936964","Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon","2/149","16/8368",0.0320962368784407,0.555985400837651,0.534163542999921,"148022/3665",2,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-912446","R-HSA-912446","Meiotic recombination","4/149","69/8368",0.0342140336610405,0.555985400837651,0.534163542999921,"8362/8339/8354/8343",4,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-9609646","R-HSA-9609646","HCMV Infection","6/149","136/8368",0.0342952122209806,0.555985400837651,0.534163542999921,"2874/84617/8362/8339/8354/8343",6,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-2559586","R-HSA-2559586","DNA Damage/Telomere Stress Induced Senescence","4/149","70/8368",0.0358024935820462,0.555985400837651,0.534163542999921,"898/8362/8339/8343",4,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-196741","R-HSA-196741","Cobalamin (Cbl, vitamin B12) transport and metabolism","2/149","17/8368",0.0359580897720433,0.555985400837651,0.534163542999921,"5646/81693",2,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-114608","R-HSA-114608","Platelet degranulation ","5/149","104/8368",0.0377765255231517,0.555985400837651,0.534163542999921,"7078/7450/1893/5473/12",5,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-171306","R-HSA-171306","Packaging Of Telomere Ends","3/149","42/8368",0.0383128042275815,0.555985400837651,0.534163542999921,"8362/8339/8343",3,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-1474290","R-HSA-1474290","Collagen formation","4/149","72/8368",0.0391058480522891,0.555985400837651,0.534163542999921,"7093/7837/1515/131873",4,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-2243919","R-HSA-2243919","Crosslinking of collagen fibrils","2/149","18/8368",0.0399890808162668,0.555985400837651,0.534163542999921,"7093/7837",2,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-446353","R-HSA-446353","Cell-extracellular matrix interactions","2/149","18/8368",0.0399890808162668,0.555985400837651,0.534163542999921,"55679/2318",2,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-5669034","R-HSA-5669034","TNFs bind their physiological receptors","2/149","18/8368",0.0399890808162668,0.555985400837651,0.534163542999921,"8744/8784",2,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-9616222","R-HSA-9616222","Transcriptional regulation of granulopoiesis","4/149","73/8368",0.0408208380164984,0.555985400837651,0.534163542999921,"8362/8339/8354/8343",4,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-3928665","R-HSA-3928665","EPH-ephrin mediated repulsion of cells","3/149","44/8368",0.0430885130970137,0.555985400837651,0.534163542999921,"1944/7074/2049",3,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-76005","R-HSA-76005","Response to elevated platelet cytosolic Ca2+","5/149","108/8368",0.0433162876520285,0.555985400837651,0.534163542999921,"7078/7450/1893/5473/12",5,"up","Reactome","Anelloviridae.pbmc",FALSE
