...1,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,dir,database,virus,knock_in,coef,log10p,signed_log10p
R-HSA-3752763,R-HSA-375276,Peptide ligand-binding receptors,23/738,80/8368,2.11471383923961e-7,9.74690833176802e-6,7.95294295522647e-6,6364/1889/9034/729230/7852/6372/718/1236/4283/1234/6374/2919/1230/2358/719/10663/2833/2359/6352/6351/6349/6348/6753,23,up,Reactome,EBV.nasal,FALSE,1,5.011133118391549,5.011133118391549
R-HSA-2024033,R-HSA-202403,TCR signaling,27/738,111/8368,7.92073854084882e-7,3.08908803093104e-5,2.52052651542801e-5,920/7454/3937/5588/55824/5788/2533/9402/4790/3702/7535/5795/917/915/3635/3119/3932/3123/51466/3117/5336/84433/919/916/3122/3115/3113,27,up,Reactome,EBV.nasal,FALSE,1,4.510169715265129,4.510169715265129
R-HSA-8773003,R-HSA-877300,Interferon gamma signaling,22/738,80/8368,9.0273039710723e-7,3.32671339896632e-5,2.71441579112169e-5,960/3383/5777/2633/4502/3663/3662/3394/4684/2209/115362/3460/115361/5724/3119/4261/3123/3117/3122/3134/3115/3113,22,up,Reactome,EBV.nasal,FALSE,1,4.477984612599432,4.477984612599432
R-HSA-5007923,R-HSA-500792,GPCR ligand binding,40/738,204/8368,9.64267300833433e-7,3.37161049325897e-5,2.75104935918359e-5,27334/5744/6364/1889/8111/9034/729230/7852/976/2914/6372/5732/718/2867/1236/135/79948/4283/1234/6374/2919/1230/5724/2358/5734/5031/719/10663/1240/2015/29933/54331/2833/2359/2917/6352/6351/6349/6348/6753,40,up,Reactome,EBV.nasal,FALSE,1,4.472162603204796,4.472162603204796
R-HSA-3727903,R-HSA-372790,Signaling by GPCR,73/738,473/8368,1.04673111970485e-6,3.53795118460238e-5,2.88677424592284e-5,695/5588/10235/11343/9138/27334/5744/157/10645/2771/6364/9181/10000/1889/8111/113/9034/729230/7852/3709/976/4035/57580/2914/6372/5732/718/2867/1236/89846/135/79948/5330/64220/109/4283/53831/23533/5567/221472/814/808/7410/1234/9672/6374/2919/1230/5579/5724/2358/5734/5031/10287/719/10663/10125/111/1240/2015/29933/54331/2833/2359/2917/63940/6352/6351/9560/6349/146850/6348/6753,73,up,Reactome,EBV.nasal,FALSE,1,4.451248163626429,4.451248163626429
R-HSA-20294803,R-HSA-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,22/738,83/8368,1.78535903073951e-6,5.65735642865583e-5,4.6160927571094e-5,2268/695/2534/7454/5337/4627/3055/7456/644150/3709/3071/10095/2209/9844/7410/917/6850/8398/5336/919/2214/4067,22,up,Reactome,EBV.nasal,FALSE,1,4.247386458678352,4.247386458678352
R-HSA-96644073,R-HSA-9664407,Parasite infection,17/738,58/8368,6.11221315419602e-6,1.5116546678914e-4,1.2334273528108e-4,2268/695/2534/7454/4627/3055/7456/644150/3071/10095/9844/7410/917/6850/919/2214/4067,17,up,Reactome,EBV.nasal,FALSE,1,3.820547410527012,3.820547410527012
R-HSA-96644173,R-HSA-9664417,Leishmania phagocytosis,17/738,58/8368,6.11221315419602e-6,1.5116546678914e-4,1.2334273528108e-4,2268/695/2534/7454/4627/3055/7456/644150/3071/10095/9844/7410/917/6850/919/2214/4067,17,up,Reactome,EBV.nasal,FALSE,1,3.820547410527012,3.820547410527012
R-HSA-96644223,R-HSA-9664422,FCGR3A-mediated phagocytosis,17/738,58/8368,6.11221315419602e-6,1.5116546678914e-4,1.2334273528108e-4,2268/695/2534/7454/4627/3055/7456/644150/3071/10095/9844/7410/917/6850/919/2214/4067,17,up,Reactome,EBV.nasal,FALSE,1,3.820547410527012,3.820547410527012
R-HSA-30001782,R-HSA-3000178,ECM proteoglycans,16/738,53/8368,7.51512475469226e-6,1.7721712793623e-4,1.4459946284426e-4,1634/1462/3371/7040/1277/6678/2335/1289/1284/3679/3687/1292/4684/1293/1278/1281,16,up,Reactome,EBV.nasal,FALSE,1,3.7514943061018307,3.7514943061018307
R-HSA-20294823,R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation,14/738,60/8368,5.6869614073658e-4,0.00662825157134361,0.00540828997724081,695/7454/4627/7456/644150/3071/10095/2209/9844/7410/917/6850/919/2214,14,up,Reactome,EBV.nasal,FALSE,1,2.1786010165512923,2.1786010165512923
R-HSA-142851711,R-HSA-1428517,The citric acid (TCA) cycle and respiratory electron transport,54/1299,169/8368,5.49877573191721e-8,7.1594060029562e-5,6.73165913286286e-5,5166/51660/4710/4199/79944/2271/2954/79133/3420/8050/1337/6390/4702/1340/4698/4705/1327/1349/51241/8803/51204/2108/25874/4715/4718/10873/522/285521/91942/4724/1345/54704/4712/509/4714/10632/10476/4725/7386/2110/54205/57546/7388/1351/84987/9377/29796/55967/4700/4697/6392/7416/4722/539,54,down,Reactome,EBV.nasal,FALSE,-1,4.145123008465835,-4.145123008465835
