"","Day 4-6"
"Moraxella",-0.0756160539465818
"Proteus",-0.0204731754399564
"Eikenella",-0.0464166260119907
"Haemophilus",-0.218416820718255
"Neisseria",-0.558773400961357
"Fusobacterium",-0.526694782069063
"Selenomonas",0.16000687723266
"Megasphaera",0.125557237296646
"Staphylococcus",0.479009924527636
"Klebsiella",0.18683339685334
"Bifidobacterium",0.358234362859877
