"","event_date","predicted","std.error","conf.low","conf.high","ABX"
"1",0,2.59397010796749,0.180877191160929,2.23945732766731,2.94848288826768,"1"
"2",1,2.72820503433106,0.182513633996018,2.37048488501133,3.08592518365078,"1"
"3",2,2.86243996069462,0.200551625727128,2.46936599722849,3.25551392416074,"1"
"4",3,2.99667488705817,0.231183344541633,2.54356385793106,3.44978591618529,"1"
"5",4,3.13090981342172,0.27015844726441,2.60140898666422,3.66041064017923,"1"
"6",5,3.26514473978528,0.314389109828525,2.64895340738976,3.88133607218079,"1"
