"Module","enrichment_category","Term","Overlap","Adjusted.P.value","Genes"
"NasalRNAseq_mod1","GO_Biological_Process_2021","neutrophil degranulation (GO:0043312)","160/481",4.81761930438697e-50,"FCN1;CDA;GMFG;HP;MPO;RAB44;STK10;PNP;PLAU;ANPEP;FTH1;CLEC5A;C3AR1;TOM1;TBC1D10C;COTL1;SIRPA;PGLYRP1;CD177;CD93;CD300A;SLC11A1;KRT1;HLA-C;CYBB;MCEMP1;CYBA;RNASE3;RNASE2;OLFM4;UNC13D;ARHGAP45;OSCAR;CHIT1;CLEC4C;CLEC4D;DOK3;TYROBP;BIN2;CRISPLD2;PADI2;ADAM8;S100A9;S100A8;FTL;CFD;C5AR1;FPR1;FPR2;GPR84;CFP;ADGRG3;CNN2;TRPM2;SDCBP;S100A12;NCKAP1L;CD14;ELANE;MGAM;SIGLEC14;DEFA4;HSPA6;PRG2;NBEAL2;PPBP;PRG3;LYZ;IGF2R;BST1;PTPRC;VNN1;SELL;TARM1;HPSE;ARHGAP9;ORM1;SERPINA1;SIGLEC9;ITGAM;MS4A3;TNFAIP6;CRISP3;ITGB2;LPCAT1;CXCL1;SLC2A3;TCIRG1;ITGAL;SLC2A5;ORM2;FCAR;SIRPB1;HK3;MMP25;GLIPR1;FCGR3B;ADGRE5;ADGRE3;TIMP2;ITGAX;OLR1;CTSG;CAMP;CD33;CAP1;CD53;SERPINB1;CR1;FCER1G;MME;ARG1;NFAM1;RHOG;PLAUR;KCNAB2;RHOF;TNFRSF1B;MMP8;MMP9;CEACAM3;FGR;CEACAM1;PECAM1;DSG1;CHI3L1;BPI;PLEKHO2;CEACAM8;DOCK2;ATP6V0C;CD44;TLR2;GRN;CLEC12A;PTAFR;FGL2;RETN;CXCR1;ALOX5;RAB24;CXCR2;CD55;LAIR1;AOC1;GCA;LILRB2;LILRB3;LRG1;FCGR2A;IMPDH1;P2RX1;QPCT;MNDA;PTPN6;PTX3;FOLR3;CD68;GLA;SIGLEC5"
"NasalRNAseq_mod1","GO_Biological_Process_2021","cellular response to cytokine stimulus (GO:0071345)","152/482",3.77797745480648e-44,"CD86;RIPOR2;CSF3;IL1RN;CSF2;CSF3R;IFITM2;CSF1;F13A1;SLA;IL1RAP;IFIT1;FGF2;TNF;ICAM1;CRHBP;ZFP36;IL36B;MYC;ZC3H12A;PIM1;TNFSF11;SIRPA;IL13RA2;JUNB;IL6R;GBP5;GBP7;IL4R;IL1R1;IL1R2;HGF;ACOD1;EREG;IL23A;FSCN1;CSF1R;PDE1B;EBI3;FPR1;TWIST1;CSF2RB;HIF1A;CSF2RA;IL22RA2;SOCS2;SOCS3;SBNO2;SOCS1;IRAK2;INPP5D;HMOX1;MCL1;CCR1;EGR1;STAT5B;TGFB1;PDE2A;LIF;IL1F10;IL6;CDKN1A;ITGAM;IL20;CXCL8;FLT3;DOCK8;ITGB2;IL24;PIK3CD;CXCL1;CXCL2;ITGAX;ANKRD1;CASP1;CCR7;CTSG;TIMP1;JAK3;CCR2;IL10;IL11;EDN2;MME;SYK;DUSP1;IFNGR2;IL16;IRAK3;FOS;GAB2;OXSR1;TNFRSF1B;MMP9;VAV1;TNFRSF1A;FCER2;DCSTAMP;HCK;IL1A;ZEB1;AIM2;IRF4;IL1B;IRF1;IL3RA;HCLS1;CHI3L1;IRF8;TLR4;TLR2;SELPLG;CEBPD;PTAFR;CXCR4;PTGS2;IL2RG;AIF1;IL1RL2;CCL8;CCL7;ALOX5;CCL4;STAT4;CCL3;S1PR1;CCL2;STX4;STX3;CCL18;IL12RB1;GBP2;SH2B3;GBP1;IL32;CCL24;CCL22;CCL20;STAT1;IL10RA;IRGC;OSM;IRGM;BATF;VEGFA;NLRP12;MNDA;PTPN6;PTPN7;VIM;IL18R1;CRLF2"
"NasalRNAseq_mod1","GO_Biological_Process_2021","inflammatory response (GO:0006954)","96/230",8.00472376752736e-39,"CXCL6;IL1RN;ORM1;NRROS;CXCL8;TNFAIP6;GPR68;ITGB2;HP;LOXL3;PIK3CD;ADM;CXCL1;CXCL3;ITGAL;TNF;CXCL2;CXCL5;PIK3CG;CRHBP;MMP25;IL36B;ADGRE5;CCRL2;C3AR1;PROK2;OLR1;CCR7;TNFRSF4;CCR3;CCR2;PTGIR;RIPK2;SLC11A1;NFAM1;PLA2G4C;CYBB;CYBA;FOS;TNFRSF1A;TLR1;TMIGD3;IL1A;ADORA2A;IL1B;CHI3L1;TLR10;ADAM8;TLR6;TLR4;S100A9;NAIP;CD44;S100A8;TLR2;CSF1R;CEBPB;C5AR2;C5AR1;FPR1;CXCR4;FPR3;FPR2;NLRC4;MEFV;AIF1;THBS1;RELB;FUT7;CCL8;CCL7;CXCR2;HRH4;CCL4;CCL3;NLRP3;CCL2;CD14;CCL18;CCR1;AOC3;GGT5;CCL24;XCR1;CCL22;TGFB1;CCL20;PPBP;LYZ;IL1F10;IL6;VNN1;REL;PTX3;SIGLEC1;FCGR2B"
"NasalRNAseq_mod1","GO_Biological_Process_2021","positive regulation of cytokine production (GO:0001819)","101/335",6.82203385874266e-27,"CD86;FCN1;CSF2;TNF;PNP;CYP1B1;IL6R;ZBP1;GBP5;IL1R1;SLC11A1;CYBA;TICAM1;HLA-G;EREG;HLA-E;TYROBP;IL23A;DDIT3;CD274;CSF1R;EBI3;TWIST1;LPL;HIF1A;AGER;CLEC7A;PLCG2;HMOX1;NLRP3;CD14;ELANE;EGR1;TGFB1;ISG15;PRG3;POU2F2;NFKB2;CCDC88B;IL6;PTPRC;CLEC6A;HPSE;MYD88;ORM1;CGAS;PIK3CD;IL27;PTPN22;CLEC9A;ORM2;PIK3CG;IFIH1;PDE4B;FFAR3;CCR7;FFAR2;CCR2;HAVCR2;IL10;FCER1G;SYK;RIPK2;DDX58;NFAM1;SPHK1;IL16;MMP8;IL17RA;TLR1;FGR;IL1A;SLC7A5;IRF4;IL1B;IRF1;RARA;TLR9;IRF7;TLR8;CHI3L1;TLR6;LTB;TLR4;TLR2;CEBPB;NOD2;LILRA2;PTGS2;AIF1;LILRA5;IL12RB1;CARD9;LAPTM5;OSM;LILRB1;LILRB2;BATF;LEP;IL18R1;CRLF2"
"NasalRNAseq_mod1","GO_Biological_Process_2021","regulation of immune response (GO:0050776)","67/179",2.28640668176049e-23,"IFITM1;SIGLEC9;ITGB2;ICAM2;ICAM3;ICAM4;PTPN22;TREM2;ICAM5;ITGAL;TREM1;ICAM1;HERC5;IL4I1;FCRLB;FCGR3A;FCGR3B;MADCAM1;CD33;RSAD2;ITGA4;SYK;CD300A;HLA-C;HLA-F;HLA-G;HLA-E;OSCAR;FGR;NCR1;PLSCR1;TYROBP;COL2A1;JAML;IRF4;IRF1;IRF7;CD300E;CD300C;HCST;BIRC3;COLEC12;CD1D;LILRA1;ADCY7;CD300LB;SLAMF7;LAIR2;CD300LD;CD300LF;FCGR1A;LAIR1;MICB;LYN;LILRB1;PILRA;LILRB2;TREML1;CLEC2B;FCGR2A;SELL;TREML4;TREML2;FCGR2B;ULBP1;SIGLEC7;CD22"
"NasalRNAseq_mod1","GO_Biological_Process_2021","regulation of interleukin-6 production (GO:0032675)","51/110",1.30888447082319e-22,"ORM1;TNFAIP3;PTPN22;TREM2;TNF;IFIH1;ZC3H12A;SIRPA;IL6R;IL10;SYK;DDX58;CYBA;IL16;IRAK3;MMP8;EREG;IL17RA;TLR1;IL1A;TYROBP;IL1B;TLR9;TLR8;BPI;TLR6;TLR4;TLR2;C5AR2;LPL;TWIST1;NOD2;LILRA2;AGER;AIF1;LILRA5;CLEC7A;PLCG2;NCKAP1L;SLAMF1;CARD9;LILRB2;POU2F2;LILRB4;IL6;NLRP12;SYT11;LEP;GHRL;PTPN6;MYD88"
"NasalRNAseq_mod1","GO_Biological_Process_2021","regulation of inflammatory response (GO:0050727)","70/206",1.132965336737e-21,"IL20;TNFAIP6;TNFAIP3;METRNL;TNF;CDH5;CASP5;TMSB4X;NFKBIZ;CASP1;SIRPA;FFAR2;TNFAIP8L2;GGT1;GPSM3;CCR2;IL10;ZBP1;IL1R1;SPHK1;ACOD1;APOA1;IL16;MMP8;TNFRSF1B;MMP9;IL17RA;TNFRSF1A;HCK;IL23A;IL1B;NINJ1;TLR9;SMPDL3B;TLR4;S100A9;S100A8;TLR2;BIRC3;GRN;SEMA7A;LPL;FPR2;AOAH;NOD2;MEFV;PTGS2;PLA2G7;LILRA5;SBNO2;IL1RL2;NLRP6;ALOX5;CCL3;S100A12;NLRP3;ELANE;PDE2A;OSM;GPR4;NFKBIA;BST1;NLRP12;IL6;TNIP1;BCL6B;GHRL;TEK;PIK3AP1;MYD88"
"NasalRNAseq_mod1","GO_Biological_Process_2021","cellular response to lipopolysaccharide (GO:0071222)","52/120",1.78291987099014e-21,"CD86;CXCL6;CXCL8;TNFAIP3;CXCL1;PTPN22;CXCL3;TNF;CXCL2;CXCL5;ZFP36;IL36B;ZC3H12A;ANKRD1;CASP1;PDE4B;SIRPA;CTSG;IL10;MEF2C;ACOD1;TICAM1;TNFRSF1B;HCK;IL1A;IL1B;CARD17;BPI;CARD16;TLR4;CD274;LY96;NOD2;SBNO2;CCL3;NLRP3;CCL2;CD14;LYN;TGFB1;DEFA4;DEFA3;LILRB1;PPBP;LILRB2;IRGM;IL1F10;IL6;TNIP3;VIM;CD68;MYD88"
"NasalRNAseq_mod1","GO_Biological_Process_2021","negative regulation of cytokine production (GO:0001818)","65/182",1.78291987099014e-21,"CD84;ORM1;TNFAIP3;PTPN22;TREM2;TNF;VSIR;HERC5;IFIH1;ZFP36;TMSB4X;ZC3H12A;SIRPA;TRIM25;CCR7;VSIG4;JAK3;CD33;HAVCR2;IL10;SRGN;CR1;DDX58;SLC11A1;ACOD1;APOA1;IRAK3;F2;MMP8;CLEC4A;CEACAM1;TYROBP;IL23A;DDIT3;RARA;TLR9;TLR8;BPI;TLR6;TLR4;CD274;C5AR2;NLRC5;MEFV;AGER;ADCY7;THBS1;LILRA5;NCKAP1L;GBP1;ELANE;SLAMF1;LAPTM5;ISG15;LILRB1;INHBA;LILRB4;IL6;NLRP12;PTPRC;SYT11;BCL3;GHRL;PTPN6;FCGR2B"
"NasalRNAseq_mod1","GO_Biological_Process_2021","regulation of tumor necrosis factor production (GO:0032680)","52/124",1.02543718837667e-20,"ORM1;TNFAIP3;PTPN22;ORM2;VSIR;IFIH1;ZFP36;ZC3H12A;SIRPA;TNFRSF8;CD33;CCR2;HAVCR2;IL10;SYK;DDX58;CYBA;IRAK3;MMP8;HLA-E;CLEC4A;TLR1;IL1A;TYROBP;IL23A;OAS3;RARA;TLR9;BPI;TLR4;TLR2;C5AR2;LPL;LY96;TWIST1;NOD2;LILRA2;AGER;THBS1;LILRA4;LILRA5;CLEC7A;PLCG2;CCL3;CD14;SLAMF1;LILRB1;IL6;PTPRC;SYT11;GHRL;PTPN6"
