Module (or Feature),Analysis,P value,Adj. p value,Direction
MyeloidToLymphocyte,Visit 1 analysis Parent population - 2|4,8.36663002883851e-6,8.891796942110471e-5,Severe
MyeloidToLymphocyte,Visit 1 analysis Parent population - 2|5,6.379683788527406e-6,8.342663415766607e-5,Severe
MyeloidToLymphocyte,Visit 1 analysis Parent population - 3|4,0.0019087342883785821,0.006489696580487179,Severe
MyeloidToLymphocyte,Visit 1 analysis Parent population - 3|5,0.0015798345263504136,0.005968263766212674,Severe
Neutrophil,Visit 1 analysis Parent population - 1|2,4.3536038947647275e-4,0.002176801947382364,Severe
Neutrophil,Visit 1 analysis Parent population - 1|3,9.715174235958469e-4,0.003932332428840332,Severe
Neutrophil,Visit 1 analysis Parent population - 1|4,8.979666211834468e-9,7.632716280059297e-7,Severe
Neutrophil,Visit 1 analysis Parent population - 1|5,0.0017945129983500412,0.006355566869156395,Severe
Neutrophil,Visit 1 analysis Parent population - 2|4,3.7112644044611353e-7,9.01307069654847e-6,Severe
Neutrophil,Visit 1 analysis Parent population - 2|5,0.0016795273068346992,0.006206948742649976,Severe
Neutrophil,Visit 1 analysis Parent population - 3|4,6.871018070624939e-5,4.8669711333593316e-4,Severe
Neutrophil,Visit 1 analysis Parent population - 3|5,0.04801853611721138,0.12368410818069597,Severe
NK_Cell,Visit 1 analysis Parent population - 1|4,0.002322563775133978,0.007687818107021214,Mild
NK_Cell,Visit 1 analysis Parent population - 2|4,0.001253338786308874,0.004955060317965315,Mild
NK_Cell,Visit 1 analysis Parent population - 2|5,0.0434026543132191,0.11481685823939765,Mild
Plasmacytoid_DC,Visit 1 analysis Parent population - 1|4,7.986638259107501e-7,1.697160630060344e-5,Mild
Plasmacytoid_DC,Visit 1 analysis Parent population - 2|4,7.134712757647567e-4,0.003032252922000216,Mild
Plasmacytoid_DC,Visit 1 analysis Parent population - 3|4,6.731209669319495e-5,4.8669711333593316e-4,Mild
Basophil,Visit 1 analysis Child population - overall,2.3794658499404293e-6,1.546652802461279e-5,Mild
CD4pos_T_Cell__CM_,Visit 1 analysis Child population - overall,2.1723366573568777e-11,5.648075309127882e-10,Mild
CD4pos_T_Cell__EM_CD27hi_,Visit 1 analysis Child population - overall,4.304791779574242e-7,4.476983450757212e-6,Mild
CD4pos_T_Cell__EM_CD27low_,Visit 1 analysis Child population - overall,3.8360561228322096e-8,6.649163946242496e-7,Mild
CD4pos_T_Cell__EM_CD57hi_,Visit 1 analysis Child population - overall,0.04848029825234021,0.08693018996971348,Mild
CD4pos_T_Cell__EMRA_CD57low_,Visit 1 analysis Child population - overall,0.027752002865354626,0.05550400573070925,Mild
CD4pos_T_Cell__activated_,Visit 1 analysis Child population - overall,0.008439757722497917,0.019227305315980336,Mild
