Module,Feature
Targetedprot_mod5,APOA1
Targetedprot_mod5,F11
Targetedprot_mod5,ALDOA
Targetedprot_mod5,CFI
Targetedprot_mod5,F13B
Targetedprot_mod5,ENO1
Targetedprot_mod5,P4HB
Targetedprot_mod5,C6
Targetedprot_mod5,SERPINF1
Targetedprot_mod5,PTGDS
Targetedprot_mod5,AFM
Targetedprot_mod5,ITIH3
Targetedprot_mod5,SERPINA11
Targetedprot_mod5,TIAM2
Targetedprot_mod5,PGLYRP2
Targetedprot_mod6,F2
Targetedprot_mod6,SERPINC1
Targetedprot_mod6,APCS
Targetedprot_mod6,APOH
Targetedprot_mod6,FN1
Targetedprot_mod6,RBP4
Targetedprot_mod6,GC
Targetedprot_mod6,A1BG
Targetedprot_mod6,SERPING1
Targetedprot_mod6,SERPINF2
Targetedprot_mod6,C1S
Targetedprot_mod6,PEPD
Targetedprot_mod6,AZGP1
Targetedprot_mod6,CFHR2
Targetedprot_mod6,HBG2
Targetedprot_mod6,SBSN
Targetedprot_mod7,IGLV3-22
Targetedprot_mod7,IGKV6D-21
Targetedprot_mod7,IGHV5-51
Targetedprot_mod7,IGHD
Targetedprot_mod7,C7
Targetedprot_mod7,DSP
Targetedprot_mod7,FLNA
Targetedprot_mod7,CFP
Targetedprot_mod7,TALDO1
Targetedprot_mod7,COMP
Targetedprot_mod7,CFHR3
Targetedprot_mod7,HGFAC
Targetedprot_mod7,PTPRS
Targetedprot_mod7,SERPINA12
Targetedprot_mod7,PRG4
Targetedprot_mod7,HYOU1
