name,PASC_status,count,freq,label,total,freq_dec,margin,lowerCI,upperCI
Anelloviridae.pbmc,Died,43,22.395833333333336,"n=43
(22.4%)",192,0.22395833333333337,0.05896897921375078,16.498935411958257,28.292731254708414
Anelloviridae.pbmc,Non-responders,69,35.9375,"n=69
(35.9%)",192,0.359375,0.06786929673799996,29.150570326200004,42.724429673799996
Anelloviridae.pbmc,PRO Minimal,46,23.958333333333336,"n=46
(24%)",192,0.23958333333333337,0.060374228165220714,17.920910516811265,29.995756149855406
Anelloviridae.pbmc,PRO PASC Group,34,17.708333333333336,"n=34
(17.7%)",192,0.17708333333333337,0.05399633088063895,12.30870024526944,23.10796642139723
Enterovirus.nasal,Died,9,17.647058823529413,"n=9
(17.6%)",51,0.17647058823529413,0.10462578434881173,7.18448038864824,28.109637258410586
Enterovirus.nasal,Non-responders,16,31.372549019607842,"n=16
(31.4%)",51,0.3137254901960784,0.12734644929892255,18.637904089715587,44.1071939495001
Enterovirus.nasal,PRO Minimal,16,31.372549019607842,"n=16
(31.4%)",51,0.3137254901960784,0.12734644929892255,18.637904089715587,44.1071939495001
Enterovirus.nasal,PRO PASC Group,10,19.607843137254903,"n=10
(19.6%)",51,0.19607843137254904,0.10896443096838372,8.711400040416532,30.504286234093275
HSV1.nasal,Died,33,32.35294117647059,"n=33
(32.4%)",102,0.32352941176470584,0.0907881880805476,23.274122368415824,41.43175998452535
HSV1.nasal,Non-responders,26,25.49019607843137,"n=26
(25.5%)",102,0.2549019607843137,0.08457486310547631,17.032709767883738,33.947682388979004
HSV1.nasal,PRO Minimal,23,22.54901960784314,"n=23
(22.5%)",102,0.22549019607843138,0.08110082965492271,14.438936642350868,30.65910257333541
HSV1.nasal,PRO PASC Group,20,19.607843137254903,"n=20
(19.6%)",102,0.19607843137254904,0.07704948804587758,11.902894332667145,27.31279194184266
HSV2.nasal,Died,2,50,"n=2
(50%)",4,0.5,0.4899909961350134,1.0009003864986568,98.99909961350134
HSV2.nasal,PRO Minimal,1,25,"n=1
(25%)",4,0.25,0.4243446502785643,-17.434465027856426,67.43446502785642
HSV2.nasal,PRO PASC Group,1,25,"n=1
(25%)",4,0.25,0.4243446502785643,-17.434465027856426,67.43446502785642
CMV.pbmc,Died,13,31.70731707317073,"n=13
(31.7%)",41,0.3170731707317073,0.14243705895394249,17.463611177776485,45.95102296856498
CMV.pbmc,Non-responders,12,29.268292682926827,"n=12
(29.3%)",41,0.2926829268292683,0.13927139571339348,15.341153111587479,43.19543225426617
CMV.pbmc,PRO Minimal,13,31.70731707317073,"n=13
(31.7%)",41,0.3170731707317073,0.14243705895394249,17.463611177776485,45.95102296856498
CMV.pbmc,PRO PASC Group,3,7.317073170731707,"n=3
(7.3%)",41,0.07317073170731707,0.07971218827056717,-0.6541456563250101,15.288291997788424
EBV.nasal,Died,28,36.36363636363637,"n=28
(36.4%)",77,0.36363636363636365,0.10744570478230231,25.619065885406137,47.1082068418666
EBV.nasal,Non-responders,22,28.57142857142857,"n=22
(28.6%)",77,0.2857142857142857,0.10090314166892536,18.481114404536033,38.66174273832111
EBV.nasal,PRO Minimal,15,19.480519480519483,"n=15
(19.5%)",77,0.19480519480519484,0.08846133263110109,10.634386217409373,28.326652743629595
EBV.nasal,PRO PASC Group,12,15.584415584415584,"n=12
(15.6%)",77,0.15584415584415584,0.08101385617101359,7.483029967314225,23.685801201516945
EBV.pbmc,Died,64,22.299651567944252,"n=64
(22.3%)",287,0.22299651567944254,0.04815791373429028,17.483860194515223,27.11544294137328
EBV.pbmc,Non-responders,99,34.494773519163765,"n=99
(34.5%)",287,0.34494773519163763,0.054994817837878934,28.995291735375872,39.99425530295166
EBV.pbmc,PRO Minimal,70,24.390243902439025,"n=70
(24.4%)",287,0.24390243902439024,0.04968257912223863,19.421985990215163,29.358501814662887
EBV.pbmc,PRO PASC Group,54,18.81533101045296,"n=54
(18.8%)",287,0.18815331010452963,0.04521682731316825,14.293648279136136,23.337013741769788
Virus Negative,Died,57,9.033280507131538,"n=57
(9%)",631,0.09033280507131539,0.02236646894121466,6.796633613010073,11.269927401253003
Virus Negative,Non-responders,228,36.13312202852615,"n=228
(36.1%)",631,0.36133122028526155,0.03748210722567256,32.384911305958894,39.88133275109341
Virus Negative,PRO Minimal,210,33.28050713153724,"n=210
(33.3%)",631,0.3328050713153724,0.03676670812543885,29.603836318993356,36.957177944081124
Virus Negative,PRO PASC Group,136,21.553090332805073,"n=136
(21.6%)",631,0.21553090332805072,0.03208308381137092,18.344781951667983,24.761398713942164
