n,statistic,p,df,method,p.signif,name,p.value,p.adj,p.adj.signif
420,0.14476102941176472,0.704,1,Chi-square test,ns,Anelloviridae.pbmc,0.704,1,ns
366,3.254720918450323e-29,1,1,Chi-square test,ns,Enterovirus.nasal,1,1,ns
400,1.3320603538456628,0.248,1,Chi-square test,ns,HSV1.nasal,0.248,0.868,ns
350,2.113983284431478e-29,1,1,Chi-square test,ns,HSV2.nasal,1,1,ns
356,1.9519500010783226,0.162,1,Chi-square test,ns,CMV.pbmc,0.162,0.868,ns
367,0.09610116502299065,0.757,1,Chi-square test,ns,EBV.nasal,0.757,1,ns
464,0.4849020602541402,0.486,1,Chi-square test,ns,EBV.pbmc,0.486,1,ns
