conv_cluster6,name,freq,count,positive,pos_freq,upper_CI,lower_CI,label,.group
cognitive,Anelloviridae.pbmc,18.84057971014493,69,13.000000000000002,14.285714285714288,0.30420673297110823,0.10794188323771403,13/69,1
cognitive,Enterovirus.nasal,20.28985507246377,69,14,20.8955223880597,0.320231984659166,0.11919855462222763,14/69,2
global,Anelloviridae.pbmc,15.217391304347828,46,7.000000000000001,7.6923076923076925,0.29480590951818053,0.0683709447739399,7/46,1
global,Enterovirus.nasal,13.043478260869565,46,6,8.955223880597014,0.26952965483093294,0.05415952515416576,6/46,2
minimal,Anelloviridae.pbmc,14.057507987220447,313,44,48.35164835164835,0.18520827870458534,0.10501444696895329,44/313,1
minimal,Enterovirus.nasal,11.987381703470032,317,38,56.71641791044776,0.16201235449166643,0.08723373783915256,38/317,2
physical,Anelloviridae.pbmc,28.749999999999996,80,22.999999999999996,25.274725274725267,0.40115290854089963,0.19451260976161341,23/80,1
physical,Enterovirus.nasal,8.860759493670885,79,6.999999999999999,10.44776119402985,0.17957739802420236,0.03938607968550201,7/79,2
