"","virus_compartment","feature","shape","average","summed_virus_smooth_coefficients","average_virus_smooth_coefficients","average_coefficient","virus_n","control_n","shape.adj","average.adj"
"1","Anelloviridae.pbmc","CXCL8","0.539965068454535","0.411244829479767","0.544084361852724","0.060453817983636","0.0498248239460605","169","492",0.671307922943476,0.756690486242771
"2","Anelloviridae.pbmc","VEGFA","0.178403356482948","0.269051321156739","0.504845780399448","0.0560939755999387","0.0450087966207455","169","492",0.373025199918891,0.6188180386605
"3","Anelloviridae.pbmc","CD8A","0.325159034168679","0.929087791801297","0.595307849125743","0.066145316569527","-0.00576381721148363","169","492",0.524818090237166,0.968724633516194
"4","Anelloviridae.pbmc","CCL7","0.0487726301655663","0.679008018806741","0.470486294814009","0.0522762549793343","0.0294681292469095","169","492",0.160252927686861,0.899310666403091
"5","Anelloviridae.pbmc","GDNF","0.570750825497686","0.816545512808672","-0.179942049560784","-0.0199935610623093","0.00786665590439809","169","492",0.700121012610495,0.950288454927135
"6","Anelloviridae.pbmc","CDCP1","0.00529303211935533","0.963263158865734","1.19982862225091","0.133314291361212","-0.00206188719441122","169","492",0.0524324702781625,0.973848468303819
"7","Anelloviridae.pbmc","CD244","0.819889541227759","0.636460309151083","0.0623405262817716","0.00692672514241907","-0.0136754332949405","169","492",0.87709113712737,0.899310666403091
"8","Anelloviridae.pbmc","IL7","0.651122530494332","0.354235518193837","0.103012016372495","0.0114457795969439","-0.0396635621072751","169","492",0.739546577845414,0.679229619372775
"9","Anelloviridae.pbmc","TNFRSF11B","0.449674980825402","0.3543806709771","-0.0270343139194845","-0.0030038126577205","0.0303319292492889","169","492",0.611606353750784,0.679229619372775
"10","Anelloviridae.pbmc","TGFB1","0.393281988769477","0.576623008349042","0.295797279143204","0.0328663643492449","-0.0150052871515432","169","492",0.574316555028443,0.876102698967506
"11","Anelloviridae.pbmc","PLAU","0.00564843108423407","0.975264798563329","0.487188490080157","0.0541320544533508","0.000899701109279831","169","492",0.0524324702781625,0.975264798563329
"12","Anelloviridae.pbmc","IL6","0.242326598001333","0.00545052827468273","1.01039073045651","0.11226563671739","0.258859171375508","169","492",0.445880940322453,0.0835747668784685
"13","Anelloviridae.pbmc","IL17C","0.624183191516564","0.00481869336305816","0.391664944341265","0.0435183271490294","0.183547778453661","169","492",0.73548006271018,0.0835747668784685
"14","Anelloviridae.pbmc","CCL2","0.47224059355918","0.177044139449375","0.460470865872953","0.0511634295414392","0.0645971480981042","169","492",0.619845893913418,0.471327724522642
"15","Anelloviridae.pbmc","IL17A","0.994853091842707","0.751266796703291","-0.00368229417937009","-0.000409143797707788","0.0157859728010206","168","491",0.997918551979677,0.92155393728937
"16","Anelloviridae.pbmc","CXCL11","0.00015960334248577","0.942014930749892","2.40302434723597","0.267002705248441","-0.00519950702790271","169","492",0.00489450250289695,0.968724633516194
