"","event_date","predicted","std.error","conf.low","conf.high","virus"
"1",1,6.76601738888278,0.110807566016497,6.5488385502759,6.98319622748966,"Control"
"2",1,6.86756438302509,0.125888601978622,6.62082725708289,7.11430150896729,"EBV.pbmc"
"3",2,6.78328075636767,0.101550302113722,6.58424582160562,6.98231569112973,"Control"
"4",2,6.87670861544824,0.114938644389627,6.65143301201271,7.10198421888376,"EBV.pbmc"
"5",3,6.80078307735631,0.0950662540148084,6.61445664334215,6.98710951137047,"Control"
"6",3,6.88608587548183,0.106821623987758,6.67671933969574,7.09545241126791,"EBV.pbmc"
"7",4,6.81876330535242,0.0912525492349757,6.6399115953544,6.99761501535044,"Control"
"8",4,6.89592919073631,0.101539889420974,6.69691466447702,7.09494371699559,"EBV.pbmc"
"9",5,6.83746039385975,0.0892221947125968,6.66258810560144,7.01233268211806,"Control"
"10",5,6.90647158882212,0.0983001794209228,6.71380677748329,7.09913640016096,"EBV.pbmc"
"11",6,6.85709965613722,0.0878495119457085,6.68491777666421,7.02928153561023,"Control"
"12",6,6.91793643721018,0.0960020385519126,6.72977589920601,7.10609697521436,"EBV.pbmc"
"13",7,6.87774783759786,0.0867212607311355,6.70777728987093,7.04771838532479,"Control"
"14",7,6.9304348042493,0.094188165644588,6.74582939181602,7.11504021668259,"EBV.pbmc"
"15",8,6.89936938181861,0.0859904331092838,6.73083122990941,7.0679075337278,"Control"
"16",8,6.94400530724178,0.0929610123720198,6.76180507102624,7.12620554345732,"EBV.pbmc"
"17",9,6.9219270273458,0.0856517575692336,6.75405266729755,7.08980138739405,"Control"
"18",9,6.95868535597246,0.0922758535828196,6.77782800630744,7.13954270563748,"EBV.pbmc"
"19",10,6.94536993996047,0.0854066787962596,6.77797592548062,7.11276395444032,"Control"
"20",10,6.97449788622065,0.091798271249056,6.79457658072946,7.15441919171183,"EBV.pbmc"
"21",11,6.96883291952455,0.0851638609909092,6.80191481919799,7.13575101985111,"Control"
"22",11,6.99059739343182,0.0914069339060036,6.81144309503882,7.16975169182482,"EBV.pbmc"
"23",12,6.99018849872541,0.0852482771467493,6.82310494577369,7.15727205167713,"Control"
"24",12,7.00479229053411,0.0914044700790174,6.82564282115326,7.18394175991495,"EBV.pbmc"
"25",13,7.00720062812786,0.085750418704659,6.8391328958075,7.17526836044822,"Control"
"26",13,7.01477519841109,0.0918593797919825,6.83473412237662,7.19481627444557,"EBV.pbmc"
"27",14,7.01763325829672,0.0863553733809668,6.84837983659852,7.18688667999492,"Control"
"28",14,7.01823873794638,0.0924300048250049,6.83707925739851,7.19939821849426,"EBV.pbmc"
"29",15,7.01978059404709,0.0867733728025013,6.84970790853713,7.18985327955706,"Control"
"30",15,7.01344335491824,0.0928108217241158,6.8315374869634,7.19534922287307,"EBV.pbmc"
"31",16,7.01405785719524,0.0873146463757928,6.84292429497583,7.18519141941464,"Control"
"32",16,7.00092079468353,0.0933346076903353,6.81798832509929,7.18385326426776,"EBV.pbmc"
"33",17,7.00141052380769,0.0882250720510679,6.82849256005415,7.17432848756124,"Control"
"34",17,6.98177062749377,0.0942702948368722,6.79700424480153,7.16653701018601,"EBV.pbmc"
"35",18,6.98278406995101,0.0892998369507271,6.80775960570228,7.15780853419973,"Control"
"36",18,6.9570924236005,0.0954162347529069,6.77008003994438,7.14410480725662,"EBV.pbmc"
"37",19,6.95918901259282,0.0901433047527112,6.78251138183009,7.13586664335555,"Control"
"38",19,6.92805169578772,0.0963659497217595,6.73917790499707,7.11692548657836,"EBV.pbmc"
"39",20,6.93239196917607,0.0909300338889267,6.75417237764077,7.11061156071138,"Control"
"40",20,6.89658053877949,0.0972977874199849,6.70588037966088,7.08728069789809,"EBV.pbmc"
"41",21,6.90464736390196,0.0920525426866889,6.72422769555071,7.08506703225321,"Control"
"42",21,6.86510561629346,0.0986169699859213,6.67181990685659,7.05839132573033,"EBV.pbmc"
"43",22,6.87821775108431,0.0934505867977523,6.69505796662659,7.06137753554204,"Control"
"44",22,6.83606183486385,0.100264233211731,6.63954754883133,7.03257612089637,"EBV.pbmc"
"45",23,6.85534970041262,0.0946689014819364,6.66980206305205,7.04089733777318,"Control"
"46",23,6.81186616271739,0.101775319665169,6.61239020165861,7.01134212377617,"EBV.pbmc"
"47",24,6.83733070411537,0.0955940011425967,6.6499699047378,7.02469150349294,"Control"
"48",24,6.79385926963211,0.103028633570473,6.5919268584576,6.99579168080661,"EBV.pbmc"
"49",25,6.82396168435656,0.0966693778703442,6.63449318532279,7.01343018339033,"Control"
"50",25,6.78171356279053,0.104461254157019,6.57697326686289,6.98645385871817,"EBV.pbmc"
"51",26,6.81491568630538,0.098033855639717,6.62277285998593,7.00705851262482,"Control"
"52",26,6.77495794291537,0.106202563823423,6.56680474275564,6.98311114307509,"EBV.pbmc"
"53",27,6.80986575513101,0.0993447715448549,6.61515358085073,7.00457792941128,"Control"
"54",27,6.77312131072933,0.107903055681261,6.56163520777224,6.98460741368642,"EBV.pbmc"
"55",28,6.80842338459747,0.10026940831854,6.61189895554199,7.00494781365295,"Control"
"56",28,6.77565443022354,0.109239737091652,6.56154847984328,6.9897603806038,"EBV.pbmc"
"57",29,6.80995386284813,0.101157604189141,6.61168860187506,7.00821912382121,"Control"
"58",29,6.78169551846281,0.110596887903909,6.56492960136894,6.99846143555669,"EBV.pbmc"
