"","event_date","predicted","std.error","conf.low","conf.high","virus","max"
"1",0,9.41950126675121,0.357617005076812,8.71858481654158,10.1204177169608,"Control",40
"2",0,8.92401921372537,0.498122434791178,7.94771718164326,9.90032124580748,"CMV.pbmc",37
"3",1,9.08500382649002,0.342720119137851,8.41328473620256,9.75672291677749,"Control",40
"4",1,8.65210745575414,0.481604103577247,7.70818075793604,9.59603415357224,"CMV.pbmc",37
"5",2,8.76517958416872,0.339363563302937,8.10003922242978,9.43031994590765,"Control",40
"6",2,8.39486889176722,0.474003562458328,7.46583898080522,9.32389880272923,"CMV.pbmc",37
"7",3,8.47470173772717,0.343805824760016,7.80085470352245,9.1485487719319,"Control",40
"8",3,8.16697671574893,0.472816637320013,7.24027313531037,9.09368029618749,"CMV.pbmc",37
"9",4,8.22824348510529,0.350098808327304,7.54206242975338,8.9144245404572,"Control",40
"10",4,7.98310412168357,0.473941506347352,7.0541958384641,8.91201240490304,"CMV.pbmc",37
"11",5,8.03880348637228,0.354156778899631,7.34466895484829,8.73293801789627,"Control",40
"12",5,7.85624976594518,0.474413739088054,6.92641592356161,8.78608360832875,"CMV.pbmc",37
"13",6,7.90608173932426,0.357338416499084,7.20571131269348,8.60645216595504,"Control",40
"14",6,7.7861136447025,0.475146638302929,6.85484334625348,8.71738394315152,"CMV.pbmc",37
"15",7,7.82343647880111,0.36188890420179,7.11414726016094,8.53272569744128,"Control",40
"16",7,7.76605399215414,0.477714861475413,6.82975006878279,8.70235791552549,"CMV.pbmc",37
"17",8,7.78418688336585,0.366906319216243,7.06506371200186,8.50331005472984,"Control",40
"18",8,7.78938998622791,0.48132249121995,6.84601523848771,8.73276473396811,"CMV.pbmc",37
"19",9,7.7816925167941,0.36955432185576,7.05737935562569,8.50600567796251,"Control",40
"20",9,7.84948119001495,0.483665502941532,6.90151422368509,8.7974481563448,"CMV.pbmc",37
"21",10,7.81003793819823,0.370653431912377,7.08357056090381,8.53650531549266,"Control",40
"22",10,7.94041216105816,0.4853052844852,6.9892312819602,8.89159304015612,"CMV.pbmc",37
"23",11,7.86393480827202,0.373031848548866,7.13280582002984,8.5950637965142,"Control",40
"24",11,8.0568945577164,0.488426525821699,7.09959615801185,9.01419295742095,"CMV.pbmc",37
"25",12,7.93811546493807,0.376029425210097,7.20111133439899,8.67511959547716,"Control",40
"26",12,8.19366071555213,0.492548825581262,7.22828275678536,9.1590386743189,"CMV.pbmc",37
"27",13,8.02728775486323,0.376163340995021,7.29002115420873,8.76455435551773,"Control",40
"28",13,8.34541847887418,0.495039025325153,7.37515981829507,9.31567713945329,"CMV.pbmc",37
"29",14,8.12469004936701,0.373743927432322,7.3921654121591,8.85721468657491,"Control",40
"30",14,8.50540621677417,0.496138685378218,7.53299226209581,9.47782017145253,"CMV.pbmc",37
"31",15,8.22128303298061,0.374340645887491,7.48758884909166,8.95497721686955,"Control",40
"32",15,8.66458461175701,0.499947171351783,7.68470616173484,9.64446306177918,"CMV.pbmc",37
"33",16,8.30783146018893,0.380263278346691,7.56252912998628,9.05313379039157,"Control",40
"34",16,8.81371841629866,0.508001161861125,7.81805443494635,9.80938239765096,"CMV.pbmc",37
"35",17,8.37510350462551,0.388626537358634,7.61340948796608,9.13679752128494,"Control",40
"36",17,8.94357580202439,0.517949397728091,7.92841363666312,9.95873796738566,"CMV.pbmc",37
"37",18,8.41727281198556,0.396488574397398,7.64016948588503,9.19437613808609,"Control",40
"38",18,9.04833041329662,0.527478583990203,8.01449138605964,10.0821694405336,"CMV.pbmc",37
"39",19,8.4383088888645,0.405840560284266,7.64287600724178,9.23374177048721,"Control",40
"40",19,9.13195175732099,0.538245114590096,8.07701071786976,10.1868927967722,"CMV.pbmc",37
"41",20,8.44393184596977,0.417215569976764,7.62620435502596,9.26165933691358,"Control",40
"42",20,9.20015994576235,0.550920027861067,8.12037653279286,10.2799433587318,"CMV.pbmc",37
"43",21,8.43986179400882,0.426923235635531,7.60310762799987,9.27661596001777,"Control",40
"44",21,9.25867509028561,0.563022610032612,8.15517105213996,10.3621791284313,"CMV.pbmc",37
"45",22,8.43126249042197,0.430322905368014,7.58784509417802,9.27467988666591,"Control",40
"46",22,9.31266094959831,0.571340855277653,8.1928534503578,10.4324684488388,"CMV.pbmc",37
"47",23,8.42018450493417,0.429213845413636,7.5789408262575,9.26142818361084,"Control",40
"48",23,9.36416809642612,0.577343247044683,8.23259612550113,10.4957400673511,"CMV.pbmc",37
"49",24,8.40759612630543,0.42750265527682,7.56970631866762,9.24548593394324,"Control",40
"50",24,9.41416482313238,0.583952340451902,8.26963926715878,10.558690379106,"CMV.pbmc",37
"51",26,8.38175699815532,0.424354068451886,7.55003830729658,9.21347568901406,"Control",40
"52",26,9.51349583912628,0.60023035463645,8.33706596161113,10.6899257166414,"CMV.pbmc",37
"53",27,8.37053933869996,0.418550456433599,7.55019551837731,9.19088315902262,"Control",40
"54",27,9.56486322562996,0.606687514018407,8.37577754828374,10.7539489029762,"CMV.pbmc",37
"55",28,8.36302468867154,0.412128944795016,7.55526679988681,9.17078257745627,"Control",40
"56",28,9.61993360820714,0.613587193556249,8.41732480746189,10.8225424089524,"CMV.pbmc",37
"57",29,8.36216630194637,0.410037226750371,7.55850810519495,9.16582449869778,"Control",40
"58",29,9.68166024317322,0.624144099907254,8.45836028619183,10.9049602001546,"CMV.pbmc",37
"59",30,8.37092976812587,0.412913045726544,7.5616350697551,9.18022446649664,"Control",40
"60",30,9.75300872256145,0.638504719872342,8.50156246765282,11.0044549774701,"CMV.pbmc",37
