"","event_date","predicted","std.error","conf.low","conf.high","virus","max"
"1",0,4.0609814293267,0.251276534873528,3.56848847081456,4.55347438783884,"Control",40
"2",0,4.43984297819302,0.273556789044691,3.903681523939,4.97600443244703,"EBV.pbmc",37
"3",1,3.92813432376995,0.243907112716955,3.45008516727157,4.40618348026833,"Control",40
"4",1,4.3257071308084,0.264549765778165,3.80719911776469,4.84421514385211,"EBV.pbmc",37
"5",2,3.79929990170223,0.240956574986259,3.32703369289103,4.27156611051342,"Control",40
"6",2,4.21558149386406,0.260080131420232,3.70583380318596,4.72532918454216,"EBV.pbmc",37
"7",3,3.67849084661255,0.241422317935474,3.20531179839484,4.15166989483026,"Control",40
"8",3,4.11347627780027,0.259227322622944,3.60540006165055,4.62155249394999,"EBV.pbmc",37
"9",4,3.56971984198995,0.243576545537622,3.09231858525753,4.04712109872237,"Control",40
"10",4,4.0234016930573,0.260314034479423,3.51319556080731,4.53360782530729,"EBV.pbmc",37
"11",5,3.47671665897725,0.245926531463712,2.99470951446552,3.95872380348899,"Control",40
"12",5,3.94907966930305,0.261860872495975,3.4358417902507,4.4623175483554,"EBV.pbmc",37
"13",6,3.39992221269285,0.2483523036797,2.91316064200308,3.88668378338262,"Control",40
"14",6,3.89088087222657,0.263749852726975,3.37394065995396,4.40782108449919,"EBV.pbmc",37
"15",7,3.3376555756587,0.251268501566678,2.84517836213866,3.83013278917873,"Control",40
"16",7,3.84701386172411,0.266396483340897,3.32488634876783,4.36914137468039,"EBV.pbmc",37
"17",8,3.28820045635347,0.254440672413549,2.78950590222076,3.78689501048618,"Control",40
"18",8,3.81565116259535,0.269547853143102,3.28734707832478,4.34395524686593,"EBV.pbmc",37
"19",9,3.24982919380674,0.257022037819167,2.74607525644808,3.75358313116539,"Control",40
"20",9,3.79495370050088,0.272314247242591,3.26122758342826,4.32867981757349,"EBV.pbmc",37
"21",10,3.22013196010009,0.258793659954007,2.71290570716293,3.72735821303725,"Control",40
"22",10,3.78238645275398,0.274437336524623,3.24449915715262,4.32027374835534,"EBV.pbmc",37
"23",11,3.19564156854581,0.260560417669656,2.68495253411657,3.70633060297505,"Control",40
"24",11,3.77433567672967,0.276700454388393,3.23201275162256,4.31665860183679,"EBV.pbmc",37
"25",12,3.17279987686312,0.262662890110108,2.6579900721721,3.68760968155413,"Control",40
"26",12,3.76709483669,0.27941333650758,3.21945476033497,4.31473491304503,"EBV.pbmc",37
"27",13,3.14804874277124,0.264703496401726,2.62923942324203,3.66685806230045,"Control",40
"28",13,3.756957396897,0.282136867189938,3.20397929849376,4.30993549530024,"EBV.pbmc",37
"29",14,3.11849286244134,0.266401805441917,2.59635491835873,3.64063080652394,"Control",40
"30",14,3.74089267294794,0.2845515720577,3.18318183997059,4.29860350592529,"EBV.pbmc",37
"31",15,3.08388828585231,0.268634181937956,2.55737496423753,3.61040160746708,"Control",40
"32",15,3.71857338578096,0.287490467133396,3.1551024243009,4.28204434726101,"EBV.pbmc",37
"33",16,3.044653901435,0.272023195841629,2.51149823462592,3.57780956824407,"Control",40
"34",16,3.69034810766941,0.291516121347442,3.11898700891562,4.2617092064232,"EBV.pbmc",37
"35",17,3.00120859762024,0.276145073741719,2.45997419857831,3.54244299666217,"Control",40
"36",17,3.65656541088666,0.296135652134499,3.07615019816476,4.23698062360856,"EBV.pbmc",37
"37",18,2.95405822654247,0.28001205224295,2.40524468890914,3.5028717641758,"Control",40
