"","event_date","predicted","std.error","conf.low","conf.high","virus"
"1",0,6.8073667372102,0.0822716713192235,6.64611722447661,6.9686162499438,"Control"
"2",0,6.83563345552203,0.0881907085053498,6.66278284308047,7.00848406796358,"EBV.pbmc"
"3",1,6.86483799042348,0.0796929789706665,6.70864262182026,7.02103335902669,"Control"
"4",1,6.89118590277718,0.0853454497124709,6.72391189509637,7.058459910458,"EBV.pbmc"
"5",2,6.91913881295696,0.0789746735157901,6.7643512971752,7.07392632873871,"Control"
"6",2,6.94357671696822,0.0842934662025933,6.77836455907909,7.10878887485735,"EBV.pbmc"
"7",3,6.96709877413084,0.0795087877836178,6.81126441362051,7.12293313464117,"Control"
"8",3,6.98964426503103,0.0844805008911733,6.82406552588843,7.15522300417363,"EBV.pbmc"
"9",4,7.00554744326534,0.0803469993952015,6.84807021818488,7.1630246683458,"Control"
"10",4,7.02622691390149,0.0850205077775928,6.8595897807101,7.19286404709288,"EBV.pbmc"
"11",5,7.031540929072,0.08080717246621,6.87316178134571,7.18992007679829,"Control"
"12",5,7.0503926691135,0.085266748221021,6.88327291352146,7.21751242470555,"EBV.pbmc"
"13",6,7.04476886068676,0.0811270130123777,6.88576283700919,7.20377488436433,"Control"
"14",6,7.06187908490284,0.0854425532865584,6.89441475771404,7.22934341209163,"EBV.pbmc"
"15",7,7.04661991268066,0.0817973026967764,6.88630014536246,7.20693967999886,"Control"
"16",7,7.06214600499035,0.0860126312491204,6.89356434552655,7.23072766445415,"EBV.pbmc"
"17",8,7.03851107704865,0.0827366796688817,6.87635016469722,7.20067198940009,"Control"
"18",8,7.05268197792167,0.0868914514507804,6.88237786251373,7.22298609332961,"EBV.pbmc"
"19",9,7.02186391071349,0.0833755551053397,6.85845082551599,7.18527699591099,"Control"
"20",9,7.03497954473903,0.0875190285507911,6.86344540081755,7.20651368866051,"EBV.pbmc"
"21",10,6.99837386626573,0.0836017351606309,6.83451747630584,7.16223025622562,"Control"
"22",10,7.01077079628347,0.0877773290604879,6.83873039266579,7.18281119990114,"EBV.pbmc"
"23",11,6.97016093458105,0.083970065098729,6.80558263120805,7.13473923795404,"Control"
"24",11,6.9821591255841,0.0882018305711147,6.80928671429421,7.15503153687398,"EBV.pbmc"
"25",12,6.93938162595749,0.0845750769219417,6.77361752120078,7.1051457307142,"Control"
"26",12,6.9512798656432,0.0888903709352525,6.7770579400377,7.1255017912487,"EBV.pbmc"
"27",13,6.9081924506931,0.0849143199105187,6.74176344189677,7.07462145948943,"Control"
"28",13,6.92026834946307,0.0893716162498187,6.74510320037329,7.09543349855285,"EBV.pbmc"
"29",14,6.87857169797777,0.0847640350481991,6.71243724209901,7.04470615385653,"Control"
"30",14,6.89107976314595,0.089440465018817,6.71577967294856,7.06637985334335,"EBV.pbmc"
"31",15,6.85178477256872,0.0850946822992707,6.68500225998627,7.01856728515117,"Control"
"32",15,6.86494870519399,0.0900033628321054,6.68854535555557,7.04135205483241,"EBV.pbmc"
"33",16,6.82891885811505,0.0865675990434006,6.65924948176188,6.99858823446821,"Control"
"34",16,6.84292962720929,0.0916472407600964,6.66330433603703,7.02255491838155,"EBV.pbmc"
"35",17,6.8110611382658,0.0887206701884221,6.63717182001224,6.98495045651936,"Control"
"36",17,6.82607698079397,0.0938811091070189,6.64207338811553,7.0100805734724,"EBV.pbmc"
