"","event_date","predicted","std.error","conf.low","conf.high","virus"
"1",0,6.80736165792092,0.0822694219637323,6.64611655384308,6.96860676199876,"Control"
"2",0,6.83562953054564,0.0881884889899133,6.6627832682744,7.00847579281688,"EBV.pbmc"
"3",1,6.86483650310874,0.0796905537012259,6.70864588794629,7.0210271182712,"Control"
"4",1,6.8911852698309,0.0853430303437773,6.72391600402559,7.05845453563621,"EBV.pbmc"
"5",2,6.919140727271,0.0789722127208671,6.76435803455867,7.07392341998334,"Control"
"6",2,6.94357918985385,0.0842909821879682,6.77837190054393,7.10878647916378,"EBV.pbmc"
"7",3,6.96710370938212,0.0795063642003788,6.81127409900766,7.12293331975659,"Control"
"8",3,6.98964947135219,0.0844780279312435,6.82407557912199,7.1552233635824,"EBV.pbmc"
"9",4,7.00555482841654,0.0803445842668053,6.84808233690076,7.16302731993233,"Control"
"10",4,7.02623429506361,0.0850180278485738,6.85960202244379,7.19286656768344,"EBV.pbmc"
"11",5,7.03155001959593,0.0808046879275361,6.87317574147596,7.18992429771589,"Control"
"12",5,7.05040149730238,0.0852641957386838,6.88328674448378,7.21751625012097,"EBV.pbmc"
"13",6,7.044778934516,0.0811244581991882,6.88577791818027,7.20377995085174,"Control"
"14",6,7.06188866046035,0.0854399332427114,6.89442946846313,7.22934785245757,"EBV.pbmc"
"15",7,7.04663039662674,0.081794763938512,6.8863156051833,7.20694518807018,"Control"
"16",7,7.06215578375367,0.0860100290675531,6.89357922447202,7.23073234303532,"EBV.pbmc"
"17",8,7.03852154890903,0.0827342209484041,6.87636545556118,7.20067764225688,"Control"
"18",8,7.05269157334554,0.086888928919732,6.8823924020076,7.22299074468347,"EBV.pbmc"
"19",9,7.02187409861584,0.0833731415810771,6.85846574383897,7.18528245339271,"Control"
"20",9,7.03498872716195,0.087516550408129,6.86345944031084,7.20651801401307,"EBV.pbmc"
"21",10,6.99838360932674,0.0835993247590253,6.83453194366718,7.16223527498629,"Control"
"22",10,7.01077944889713,0.0877748513478175,6.83874390150705,7.1828149962872,"EBV.pbmc"
"23",11,6.97017012192744,0.0839677076068796,6.80559643915357,7.13474380470132,"Control"
"24",11,6.98216717618595,0.0881993986512577,6.8092995313714,7.15503482100051,"EBV.pbmc"
"25",12,6.93939019148058,0.0845728071754198,6.77363053534531,7.10514984761585,"Control"
"26",12,6.95128728076577,0.0888880198269452,6.77706996324787,7.12550459828366,"EBV.pbmc"
"27",13,6.90820037304875,0.084912045148896,6.74177582270327,7.07462492339423,"Control"
"28",13,6.92027513437389,0.0893692652354392,6.74511459318762,7.09543567556016,"EBV.pbmc"
"29",14,6.87857900211515,0.0847616197687465,6.71244928009713,7.04470872413317,"Control"
"30",14,6.89108596368358,0.0894379985853546,6.71579070760694,7.06638121976022,"EBV.pbmc"
"31",15,6.85179153584535,0.0850922160936759,6.68501385693704,7.01856921475365,"Control"
"32",15,6.86495441511173,0.0900008751655644,6.68855594121014,7.04135288901333,"EBV.pbmc"
"33",16,6.82892521182548,0.0865653168360317,6.65926030851656,6.9985901151344,"Control"
"34",16,6.8429349900112,0.0916449523973076,6.66331418394758,7.02255579607481,"EBV.pbmc"
"35",17,6.8110672676417,0.0887186897120546,6.63718183105048,6.98495270423291,"Control"
"36",17,6.82608218973479,0.09387911816258,6.64208249923575,7.01008188023383,"EBV.pbmc"
"37",18,6.79917577483817,0.0905568616547144,6.62168758744196,6.97666396223439,"Control"
"38",18,6.81532186276497,0.0957087961632525,6.62773606928131,7.00290765624863,"EBV.pbmc"
"39",19,6.79270724972129,0.0921369833391522,6.61212208073239,6.9732924187102,"Control"
"40",19,6.81008426796597,0.0971985671042411,6.61957857709276,7.00058995883919,"EBV.pbmc"
"41",20,6.7901494632827,0.093999277320262,6.60591426516219,6.9743846614032,"Control"
"42",20,6.80883476767419,0.0989192224965771,6.61495665420219,7.00271288114618,"EBV.pbmc"
"43",21,6.7899740407588,0.0959191419205301,6.60197597716658,6.97797210435103,"Control"
"44",21,6.81002264261719,0.100718104644646,6.61261878492255,7.00742650031183,"EBV.pbmc"
