"","name","Core","plate","trajectory_group","count","freq"
"63","Anelloviridae.pbmc","Eckalbar_UCSF","2_1000.10_IMPACC","4",8,0.150943396226415
"64","Anelloviridae.pbmc","Eckalbar_UCSF","2_1000.10_IMPACC","5",2,0.0377358490566038
"65","Anelloviridae.pbmc","Eckalbar_UCSF","2_1000.4_IMPACC","2",3,0.0357142857142857
"66","Anelloviridae.pbmc","Eckalbar_UCSF","2_1000.4_IMPACC","3",2,0.0238095238095238
"67","Anelloviridae.pbmc","Eckalbar_UCSF","2_1000.4_IMPACC","4",12,0.142857142857143
"68","Anelloviridae.pbmc","Eckalbar_UCSF","2_1000.5_IMPACC","3",5,0.0641025641025641
"69","Anelloviridae.pbmc","Eckalbar_UCSF","2_1000.5_IMPACC","4",2,0.0256410256410256
"70","Anelloviridae.pbmc","Eckalbar_UCSF","2_1000.6_IMPACC","2",5,0.0617283950617284
"71","Anelloviridae.pbmc","Eckalbar_UCSF","2_1000.6_IMPACC","3",5,0.0617283950617284
"72","Anelloviridae.pbmc","Eckalbar_UCSF","2_1000.6_IMPACC","4",9,0.111111111111111
"73","Anelloviridae.pbmc","Eckalbar_UCSF","2_1000.6_IMPACC","5",1,0.0123456790123457
"74","Anelloviridae.pbmc","Eckalbar_UCSF","2_1000.7_IMPACC","2",3,0.0379746835443038
"75","Anelloviridae.pbmc","Eckalbar_UCSF","2_1000.7_IMPACC","4",2,0.0253164556962025
"76","Anelloviridae.pbmc","Eckalbar_UCSF","2_1000.7_IMPACC","5",1,0.0126582278481013
"77","Anelloviridae.pbmc","Eckalbar_UCSF","2_1000.8_IMPACC","1",2,0.0229885057471264
"78","Anelloviridae.pbmc","Eckalbar_UCSF","2_1000.8_IMPACC","2",4,0.0459770114942529
"79","Anelloviridae.pbmc","Eckalbar_UCSF","2_1000.8_IMPACC","4",4,0.0459770114942529
"80","Anelloviridae.pbmc","Eckalbar_UCSF","2_1000.8_IMPACC","5",4,0.0459770114942529
"81","Anelloviridae.pbmc","Eckalbar_UCSF","2_1000.9_IMPACC","2",1,0.0125
"82","Anelloviridae.pbmc","Eckalbar_UCSF","2_1000.9_IMPACC","4",10,0.125
"83","Anelloviridae.pbmc","Eckalbar_UCSF","2_1000.9_IMPACC","5",4,0.05
"84","Anelloviridae.pbmc","Eckalbar_UCSF","2_3","4",1,0.0119047619047619
"85","Anelloviridae.pbmc","Eckalbar_UCSF","2_4",NA,NA,0
"86","Anelloviridae.pbmc","Eckalbar_UCSF","2_6","1",1,0.333333333333333
"87","Anelloviridae.pbmc","Eckalbar_UCSF","2_7",NA,NA,0
"88","Anelloviridae.pbmc","Eckalbar_UCSF","3_1","1",1,0.00628930817610063
"89","Anelloviridae.pbmc","Eckalbar_UCSF","3_1","3",2,0.0125786163522013
