"","count","freq_of_dup","Core","label"
"1",19499,45.2177034719729,"All Reads","45.2%"
"2",7449,35.1053832729225,"Bosinger_Emory","35.1%"
"3",11514,31.2141740489838,"Eckalbar_UCSF","31.2%"
"4",NA,6.74028702550946,"Within Batch","6.7%"
