"","virus","value","count","freq"
"1","Anelloviridae",1,201,0.175087108013937
"2","Enterovirus",1,51,0.0444250871080139
"3","Human alphaherpesvirus 1 (HSV1)",1,101,0.0879790940766551
"4","Human alphaherpesvirus 2 (HSV2)",1,4,0.00348432055749129
"5","Human betaherpesvirus 5 (CMV)",1,49,0.0426829268292683
"6","Human betaherpesvirus 6",1,22,0.0191637630662021
"7","Human betaherpesvirus 7",1,3,0.00261324041811847
"8","Human gammaherpesvirus 4 (EBV)",1,310,0.270034843205575
"9","Human immunodeficiency virus 1",1,20,0.0174216027874564
