name,nt_e_value3,omic
Human betaherpesvirus 6,6.588704043340781e-48,PBMC
Human gammaherpesvirus 4 (EBV),7.284504232923316e-46,PBMC
Human gammaherpesvirus 4 (EBV),1.135010815672333e-117,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),2.4660393372343564e-52,PBMC
Human gammaherpesvirus 4 (EBV),5.0780853966488946e-57,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),2.880049817442871e-54,PBMC
Anelloviridae,9.824263447582708e-56,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),8.002026771193294e-83,PBMC
Human betaherpesvirus 6,9.151662592812774e-47,PBMC
Human gammaherpesvirus 4 (EBV),8.266087535038511e-51,PBMC
Human gammaherpesvirus 4 (EBV),8.609937521846051e-154,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Anelloviridae,2.0067810900181654e-69,PBMC
Human gammaherpesvirus 4 (EBV),1.8853847936139348e-58,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),2.2475015504212612e-60,PBMC
Human gammaherpesvirus 4 (EBV),3.4040818970099814e-56,PBMC
Human betaherpesvirus 5 (CMV),2.9991625189876777e-205,PBMC
Human gammaherpesvirus 4 (EBV),3.1253596436133493e-63,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),3.1260793671239367e-55,PBMC
Human betaherpesvirus 6,1.2861748112359035e-53,PBMC
Human gammaherpesvirus 4 (EBV),6.877015449442127e-63,PBMC
Human gammaherpesvirus 4 (EBV),8.156427871327944e-84,PBMC
Human gammaherpesvirus 4 (EBV),9.345445303153502e-89,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),2.946456270865024e-44,PBMC
Human gammaherpesvirus 4 (EBV),6.823386941416746e-121,PBMC
Human betaherpesvirus 6,8.287050779069796e-48,PBMC
Human gammaherpesvirus 4 (EBV),1.4584783945478813e-100,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Anelloviridae,3.0768051937597698e-33,PBMC
Anelloviridae,2.9716660317380192e-50,PBMC
Anelloviridae,1.2938978761506273e-50,PBMC
Human betaherpesvirus 5 (CMV),3.917418771077863e-113,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),5.977230446886975e-81,PBMC
Human betaherpesvirus 5 (CMV),6.85803978145923e-47,PBMC
Human betaherpesvirus 5 (CMV),9.506047936563004e-153,PBMC
Human betaherpesvirus 5 (CMV),3.657631930094478e-89,PBMC
Human betaherpesvirus 5 (CMV),3.777461093882233e-92,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human betaherpesvirus 5 (CMV),2.6424087573219284e-158,PBMC
Human gammaherpesvirus 4 (EBV),1.0108809212209116e-54,PBMC
Anelloviridae,1.144458370758708e-44,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),1.0568175092136606e-102,PBMC
Human gammaherpesvirus 4 (EBV),1.6466450767206353e-55,PBMC
Human gammaherpesvirus 4 (EBV),6.471426157485936e-213,PBMC
Human gammaherpesvirus 4 (EBV),6.776415076106798e-119,PBMC
Human betaherpesvirus 5 (CMV),3.507518739525694e-106,PBMC
Human betaherpesvirus 6,3.606616788819642e-72,PBMC
Human gammaherpesvirus 4 (EBV),4.3913696902440825e-56,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),1.0616955571987328e-53,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),9.18332596483583e-57,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),2.0155798128251969e-56,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),7.617281404686775e-56,PBMC
Human gammaherpesvirus 4 (EBV),8.483987109860017e-43,PBMC
Human gammaherpesvirus 4 (EBV),7.058298158598246e-57,PBMC
Human betaherpesvirus 5 (CMV),4.405548635065589e-258,PBMC
Human gammaherpesvirus 4 (EBV),5.199959965335088e-116,PBMC
Human gammaherpesvirus 4 (EBV),1.9142559250210703e-40,PBMC
Human betaherpesvirus 6,4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),1.0899334970270624e-53,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),9.18332596483583e-57,PBMC
Anelloviridae,2.889348981559075e-39,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),1.115578151350851e-52,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),1.253141174941413e-56,PBMC
Anelloviridae,1.0452014414584309e-40,PBMC
Human gammaherpesvirus 4 (EBV),1.5918421496485957e-63,PBMC
Human gammaherpesvirus 4 (EBV),5.688529308438448e-54,PBMC
Human betaherpesvirus 5 (CMV),2.10668692573941e-55,PBMC
Human gammaherpesvirus 4 (EBV),9.824263447582708e-56,PBMC
Human betaherpesvirus 5 (CMV),4.830588020397699e-185,PBMC
Human gammaherpesvirus 4 (EBV),1.3633268876863428e-56,PBMC
Human gammaherpesvirus 4 (EBV),5.353033977441431e-52,PBMC
Human gammaherpesvirus 4 (EBV),3.747140695144051e-43,PBMC
Human gammaherpesvirus 4 (EBV),4.446312674691047e-114,PBMC
Anelloviridae,4.1677340679767296e-57,PBMC
Human betaherpesvirus 5 (CMV),4.315190768277703e-119,PBMC
Human gammaherpesvirus 4 (EBV),9.18332596483583e-57,PBMC
Human gammaherpesvirus 4 (EBV),1.1950883147362645e-56,PBMC
Human betaherpesvirus 6,6.4520838090197195e-55,PBMC
Human gammaherpesvirus 4 (EBV),1.0256519262513975e-125,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),7.071312006812995e-44,PBMC
Human gammaherpesvirus 4 (EBV),6.546361740672788e-57,PBMC
Human gammaherpesvirus 4 (EBV),1.5003756249395997e-46,PBMC
Human gammaherpesvirus 4 (EBV),1.9177853644826607e-63,PBMC
Human gammaherpesvirus 4 (EBV),7.058298158598246e-57,PBMC
Human betaherpesvirus 6,7.661256450138086e-52,PBMC
Human gammaherpesvirus 4 (EBV),8.203515443298211e-57,PBMC
Anelloviridae,1.0700399687348902e-78,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),3.7316422366470237e-54,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),9.18332596483583e-57,PBMC
Human gammaherpesvirus 4 (EBV),6.5358187511307545e-56,PBMC
Human gammaherpesvirus 4 (EBV),6.591738952443037e-176,PBMC
Human gammaherpesvirus 4 (EBV),2.095077052365202e-90,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),1.9498445997580415e-41,PBMC
Human gammaherpesvirus 4 (EBV),4.41875578788717e-52,PBMC
Human gammaherpesvirus 4 (EBV),6.2603699767264e-48,PBMC
Human gammaherpesvirus 4 (EBV),4.882025010867073e-57,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),4.458615279480711e-56,PBMC
Human gammaherpesvirus 4 (EBV),1.3212956341866036e-137,PBMC
Anelloviridae,2.4581025650893385e-53,PBMC
Human gammaherpesvirus 4 (EBV),5.275941847270002e-69,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),1.3197753117071367e-76,PBMC
Anelloviridae,9.538937428415485e-26,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Anelloviridae,1.484225880064579e-48,PBMC
Human gammaherpesvirus 4 (EBV),4.2933866347043346e-41,PBMC
Human gammaherpesvirus 4 (EBV),1.3530068644919682e-56,PBMC
Human gammaherpesvirus 4 (EBV),9.824263447582708e-56,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),1.5631476426409124e-166,PBMC
Human betaherpesvirus 5 (CMV),5.9333504438001245e-78,PBMC
Human gammaherpesvirus 4 (EBV),3.105274521697713e-93,PBMC
Human gammaherpesvirus 4 (EBV),4.165815197379564e-84,PBMC
Human gammaherpesvirus 4 (EBV),4.616363515404645e-55,PBMC
Human gammaherpesvirus 4 (EBV),1.190967745995179e-54,PBMC
Human gammaherpesvirus 4 (EBV),5.3468746156160476e-52,PBMC
Human gammaherpesvirus 4 (EBV),9.431917643879264e-68,PBMC
Human gammaherpesvirus 4 (EBV),1.0113465562971188e-56,PBMC
Anelloviridae,4.203393032365529e-37,PBMC
Human gammaherpesvirus 4 (EBV),9.18332596483583e-57,PBMC
Human gammaherpesvirus 4 (EBV),4.0401733537300107e-50,PBMC
Human gammaherpesvirus 4 (EBV),4.497798548932792e-154,PBMC
Human gammaherpesvirus 4 (EBV),2.5020731357669395e-90,PBMC
Human gammaherpesvirus 4 (EBV),2.2171751377752166e-54,PBMC
Human gammaherpesvirus 4 (EBV),6.812397799659174e-49,PBMC
Human gammaherpesvirus 4 (EBV),2.2064800240602854e-76,PBMC
Human betaherpesvirus 6,4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),3.977406691050237e-65,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Anelloviridae,4.226686142656076e-107,PBMC
Human gammaherpesvirus 4 (EBV),6.187283275532334e-57,PBMC
Human gammaherpesvirus 4 (EBV),4.084134161710706e-74,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),2.0234850496919657e-56,PBMC
Anelloviridae,2.9060293752636326e-25,PBMC
Human gammaherpesvirus 4 (EBV),2.0234850496919657e-56,PBMC
Human gammaherpesvirus 4 (EBV),1.9453600816226695e-55,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),5.942921586155739e-168,PBMC
Anelloviridae,3.8530087919082996e-33,PBMC
Human gammaherpesvirus 4 (EBV),7.375644909068859e-50,PBMC
Anelloviridae,3.722202530178487e-49,PBMC
Anelloviridae,3.361243690470524e-28,PBMC
Anelloviridae,9.940311634657751e-42,PBMC
Human betaherpesvirus 5 (CMV),3.5131767503728474e-54,PBMC
Human betaherpesvirus 6,2.2526825765754187e-53,PBMC
Human gammaherpesvirus 4 (EBV),3.446672348717878e-53,PBMC
Human betaherpesvirus 5 (CMV),1.646645076720635e-43,PBMC
Human betaherpesvirus 6,1.3019670700641483e-49,PBMC
Anelloviridae,2.534544962758378e-28,PBMC
Human betaherpesvirus 5 (CMV),4.1677340679767296e-57,PBMC
Anelloviridae,3.526143643068592e-59,PBMC
Human gammaherpesvirus 4 (EBV),4.458615279480711e-56,PBMC
Human gammaherpesvirus 4 (EBV),5.134521775029705e-53,PBMC
Anelloviridae,2.6552168778726776e-63,PBMC
Anelloviridae,1.8823483601033824e-46,PBMC
Human gammaherpesvirus 4 (EBV),2.456970827636836e-71,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),1.4344981747905366e-82,PBMC
Human gammaherpesvirus 4 (EBV),4.478164058439378e-40,PBMC
Human gammaherpesvirus 4 (EBV),8.661637419723104e-37,PBMC
Human gammaherpesvirus 4 (EBV),1.894959794743578e-78,PBMC
Human betaherpesvirus 5 (CMV),4.1677340679767296e-57,PBMC
Anelloviridae,1.6660959166669616e-32,PBMC
Human betaherpesvirus 5 (CMV),2.0234850496919657e-56,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human betaherpesvirus 5 (CMV),7.328245331388955e-65,PBMC
Human gammaherpesvirus 4 (EBV),4.477133041763587e-116,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),8.794274148836872e-53,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),9.18332596483583e-57,PBMC
Human gammaherpesvirus 4 (EBV),9.18332596483583e-57,PBMC
Human gammaherpesvirus 4 (EBV),4.8584753093749507e-54,PBMC
Human betaherpesvirus 5 (CMV),2.4547089156850337e-48,PBMC
Anelloviridae,1.871112930441459e-38,PBMC
Human gammaherpesvirus 4 (EBV),3.9719154946943076e-206,PBMC
Human gammaherpesvirus 4 (EBV),6.187283275532334e-57,PBMC
Human gammaherpesvirus 4 (EBV),2.978516429429167e-52,PBMC
Human gammaherpesvirus 4 (EBV),2.4428679967864703e-44,PBMC
Human gammaherpesvirus 4 (EBV),2.5061092530321192e-152,PBMC
Human gammaherpesvirus 4 (EBV),7.691304402866145e-45,PBMC
Anelloviridae,2.5020731357668985e-36,PBMC
Human immunodeficiency virus 1,7.133456216702305e-69,PBMC
Anelloviridae,1.6398344276265243e-78,PBMC
Human gammaherpesvirus 4 (EBV),3.9847400971777555e-50,PBMC
Anelloviridae,1.782378767448109e-126,PBMC
Human gammaherpesvirus 4 (EBV),5.5513677743520975e-51,PBMC
Anelloviridae,3.3197088787467724e-49,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),3.5131767503728475e-44,PBMC
Human gammaherpesvirus 4 (EBV),3.3235330357748254e-71,PBMC
Human gammaherpesvirus 4 (EBV),9.18332596483583e-57,PBMC
Anelloviridae,3.547316998366907e-15,PBMC
Anelloviridae,9.8627948563121e-41,PBMC
Human gammaherpesvirus 4 (EBV),7.143318261560503e-29,PBMC
Anelloviridae,1.2240523724999144e-39,PBMC
