name,percent,day,compartment,virus
Human gammaherpesvirus 4 (EBV).ea,4.545454545454546,10,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,87.87878787878788,10,ea,SARS-CoV-2
Anelloviridae.ea,2.3255813953488373,11,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,20.930232558139537,11,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,11,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,0,11,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,4.651162790697675,11,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,95.34883720930233,11,ea,SARS-CoV-2
Anelloviridae.ea,2.4390243902439024,12,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,31.70731707317073,12,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,12,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,2.4390243902439024,12,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,4.878048780487805,12,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,87.8048780487805,12,ea,SARS-CoV-2
Anelloviridae.ea,0,13,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,35.84905660377358,13,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,13,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,3.7735849056603774,13,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,3.7735849056603774,13,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,75.47169811320755,13,ea,SARS-CoV-2
Anelloviridae.ea,0,14,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,39.6551724137931,14,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,14,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,3.4482758620689653,14,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,3.4482758620689653,14,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,75.86206896551724,14,ea,SARS-CoV-2
Anelloviridae.ea,0,15,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,40.67796610169492,15,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,15,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,3.389830508474576,15,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,3.389830508474576,15,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,77.96610169491525,15,ea,SARS-CoV-2
Anelloviridae.ea,0,16,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,42.857142857142854,16,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,16,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,5.357142857142857,16,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,3.571428571428571,16,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,76.78571428571429,16,ea,SARS-CoV-2
Anelloviridae.ea,0,17,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,36.11111111111111,17,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,17,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,5.555555555555555,17,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,0,17,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,72.22222222222221,17,ea,SARS-CoV-2
Anelloviridae.ea,0,18,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,43.75,18,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,18,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,6.25,18,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,0,18,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,87.5,18,ea,SARS-CoV-2
Anelloviridae.ea,4.761904761904762,19,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,38.095238095238095,19,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,19,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,4.761904761904762,19,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,0,19,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,66.66666666666666,19,ea,SARS-CoV-2
Anelloviridae.ea,4.545454545454546,20,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,36.36363636363637,20,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,20,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,4.545454545454546,20,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,0,20,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,68.18181818181817,20,ea,SARS-CoV-2
Anelloviridae.ea,3.3333333333333335,21,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,43.333333333333336,21,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,21,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,3.3333333333333335,21,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,0,21,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,66.66666666666666,21,ea,SARS-CoV-2
Anelloviridae.ea,3.0303030303030303,22,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,48.484848484848484,22,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,22,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,3.0303030303030303,22,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,0,22,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,66.66666666666666,22,ea,SARS-CoV-2
Anelloviridae.ea,2.857142857142857,23,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,48.57142857142857,23,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,23,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,2.857142857142857,23,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,0,23,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,65.71428571428571,23,ea,SARS-CoV-2
Anelloviridae.ea,0,24,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,52.17391304347826,24,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,24,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,4.3478260869565215,24,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,0,24,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,73.91304347826086,24,ea,SARS-CoV-2
Anelloviridae.ea,0,25,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,58.82352941176471,25,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,25,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,5.88235294117647,25,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,0,25,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,64.70588235294117,25,ea,SARS-CoV-2
Anelloviridae.ea,0,26,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,38.46153846153847,26,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,26,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,15.384615384615385,26,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,15.384615384615385,26,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,61.53846153846154,26,ea,SARS-CoV-2
Anelloviridae.ea,0,27,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,28.57142857142857,27,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,27,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,21.428571428571427,27,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,21.428571428571427,27,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,64.28571428571429,27,ea,SARS-CoV-2
Anelloviridae.ea,0,28,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,38.88888888888889,28,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,28,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,22.22222222222222,28,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,22.22222222222222,28,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,61.111111111111114,28,ea,SARS-CoV-2
Anelloviridae.ea,0,29,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,36.84210526315789,29,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,29,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,21.052631578947366,29,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,21.052631578947366,29,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,57.89473684210527,29,ea,SARS-CoV-2
Anelloviridae.ea,5,30,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,35,30,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,30,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,20,30,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,20,30,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,60,30,ea,SARS-CoV-2
Anelloviridae.ea,7.142857142857142,31,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,42.857142857142854,31,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,31,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,14.285714285714285,31,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,14.285714285714285,31,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,64.28571428571429,31,ea,SARS-CoV-2
