"","sum","count","freq"
"1","0",598,52.0905923344948
"2","1",372,32.404181184669
"3","2",114,9.93031358885017
"4","3",47,4.09407665505226
"5","4",14,1.21951219512195
"6","5",3,0.261324041811847
