"","name","percent","count","sum","day","upper_CI","lower_CI","compartment","virus"
"36","Human gammaherpesvirus 4 (EBV).pbmc",20.4780876494024,1255,257,4,0.228405255218226,0.182990345921457,"pbmc","Human gammaherpesvirus 4 (EBV)"
"37","Anelloviridae.nasal",1.89633375474083,791,15,5,0.0318288213777509,0.011047171732426,"nasal","Anelloviridae"
"38","Anelloviridae.pbmc",11.2514351320321,871,98,5,0.135842145678034,0.0926820583538002,"pbmc","Anelloviridae"
"39","Enterovirus.nasal",2.78128950695322,791,22,5,0.0425035770436033,0.0179326735101797,"nasal","Enterovirus"
"40","Human alphaherpesvirus 1 (HSV1).nasal",5.3177691309987,771,41,5,0.072081440317315,0.0388835989832387,"nasal","Human alphaherpesvirus 1 (HSV1)"
"41","Human alphaherpesvirus 2 (HSV2).nasal",0.253807106598985,788,2,5,0.0101819428688949,0.000439737759832893,"nasal","Human alphaherpesvirus 2 (HSV2)"
"42","Human betaherpesvirus 5 (CMV).nasal",0.884955752212389,791,7,5,0.0189944916286427,0.00388322388046653,"nasal","Human betaherpesvirus 5 (CMV)"
"43","Human betaherpesvirus 5 (CMV).pbmc",1.26291618828932,871,11,5,0.0232007423622965,0.00665534947486182,"pbmc","Human betaherpesvirus 5 (CMV)"
"44","Human gammaherpesvirus 4 (EBV).nasal",3.91908975979772,791,31,5,0.0558218673940353,0.027219030404809,"nasal","Human gammaherpesvirus 4 (EBV)"
"45","Human gammaherpesvirus 4 (EBV).pbmc",21.239954075775,871,185,5,0.241392643418007,0.185985368949376,"pbmc","Human gammaherpesvirus 4 (EBV)"
"46","Anelloviridae.nasal",2.52844500632111,791,20,6,0.0394886707428978,0.0159276615497581,"nasal","Anelloviridae"
"47","Anelloviridae.pbmc",12.093023255814,860,104,6,0.145047191298533,0.100274163918807,"pbmc","Anelloviridae"
"48","Enterovirus.nasal",2.78128950695322,791,22,6,0.0425035770436033,0.0179326735101797,"nasal","Enterovirus"
"49","Human alphaherpesvirus 1 (HSV1).nasal",4.94148244473342,769,38,6,0.0678383201141432,0.0356583094014932,"nasal","Human alphaherpesvirus 1 (HSV1)"
"50","Human alphaherpesvirus 2 (HSV2).nasal",0.127064803049555,787,1,6,0.00821056343338944,6.63315801853823e-05,"nasal","Human alphaherpesvirus 2 (HSV2)"
