Anelloviridae.pbmc,CMV.nasal,CMV.pbmc,EBV.nasal,EBV.pbmc,Enterovirus.nasal,HSV1.nasal,HSV2.nasal
100,6.25,7.8125,11.458333333333332,34.375,6.25,17.1875,1.0416666666666665
52.17391304347826,100,60.86956521739131,39.130434782608695,52.17391304347826,13.043478260869565,39.130434782608695,4.3478260869565215
36.58536585365854,34.146341463414636,100,26.82926829268293,51.21951219512195,9.75609756097561,36.58536585365854,4.878048780487805
28.57142857142857,11.688311688311687,14.285714285714285,100,67.53246753246754,10.38961038961039,22.07792207792208,0
23.076923076923077,4.195804195804196,7.3426573426573425,18.181818181818183,100,3.4965034965034967,13.636363636363635,0.6993006993006993
23.52941176470588,5.88235294117647,7.8431372549019605,15.686274509803921,19.607843137254903,100,17.647058823529413,0
32.35294117647059,8.823529411764707,14.705882352941178,16.666666666666664,38.23529411764706,8.823529411764707,100,0
50,25,50,0,50,0,0,100
