"","name","plate","trajectory_group","count","freq"
"1","HSV1.nasal","1_1","1",1,0.0117647058823529
"2","HSV1.nasal","1_1","2",1,0.0117647058823529
"3","HSV1.nasal","1_1","3",1,0.0117647058823529
"4","HSV1.nasal","1_1","5",1,0.0117647058823529
"5","HSV1.nasal","1_2","1",1,0.0147058823529412
"6","HSV1.nasal","1_2","2",1,0.0147058823529412
"7","HSV1.nasal","1_3","4",6,0.0779220779220779
"8","HSV1.nasal","1_4","4",2,0.0273972602739726
"9","HSV1.nasal","1_4","5",2,0.0273972602739726
"10","HSV1.nasal","1_5","4",1,0.03125
"11","HSV1.nasal","2_1","5",3,0.0365853658536585
"12","HSV1.nasal","2_10","5",1,0.02
"13","HSV1.nasal","2_2","1",2,0.0235294117647059
"14","HSV1.nasal","2_2","3",1,0.0117647058823529
"15","HSV1.nasal","2_2","4",3,0.0352941176470588
"16","HSV1.nasal","2_3","2",1,0.0126582278481013
"17","HSV1.nasal","2_3","5",2,0.0253164556962025
"18","HSV1.nasal","2_4","1",1,0.0117647058823529
"19","HSV1.nasal","2_5","1",1,0.0123456790123457
"20","HSV1.nasal","2_5","2",3,0.037037037037037
"21","HSV1.nasal","2_5","3",2,0.0246913580246914
"22","HSV1.nasal","2_5","4",6,0.0740740740740741
"23","HSV1.nasal","2_5","5",2,0.0246913580246914
"24","HSV1.nasal","2_6","2",1,0.0114942528735632
"25","HSV1.nasal","2_6","4",3,0.0344827586206897
"26","HSV1.nasal","2_6","5",1,0.0114942528735632
"27","HSV1.nasal","2_7","4",3,0.0352941176470588
"28","HSV1.nasal","2_8","4",3,0.0352941176470588
"29","HSV1.nasal","2_9","2",1,0.0121951219512195
"30","HSV1.nasal","2_9","5",2,0.024390243902439
"31","HSV1.nasal","3A_1","2",4,0.0465116279069767
"32","HSV1.nasal","3A_10","4",2,0.0238095238095238
"33","HSV1.nasal","3A_11","4",1,0.0114942528735632
"34","HSV1.nasal","3A_2",NA,NA,0
"35","HSV1.nasal","3A_3","1",1,0.0113636363636364
"36","HSV1.nasal","3A_3","2",2,0.0227272727272727
"37","HSV1.nasal","3A_3","4",1,0.0113636363636364
"38","HSV1.nasal","3A_4","5",2,0.0235294117647059
"39","HSV1.nasal","3A_5","2",1,0.0117647058823529
"40","HSV1.nasal","3A_5","4",5,0.0588235294117647
"41","HSV1.nasal","3A_5","5",2,0.0235294117647059
"42","HSV1.nasal","3A_6","1",2,0.025974025974026
"43","HSV1.nasal","3A_6","2",2,0.025974025974026
"44","HSV1.nasal","3A_6","4",1,0.012987012987013
"45","HSV1.nasal","3A_7","1",1,0.0112359550561798
"46","HSV1.nasal","3A_7","2",2,0.0224719101123595
"47","HSV1.nasal","3A_7","3",3,0.0337078651685393
"48","HSV1.nasal","3A_7","4",1,0.0112359550561798
"49","HSV1.nasal","3A_7","5",3,0.0337078651685393
"50","HSV1.nasal","3A_8","1",2,0.0222222222222222
"51","HSV1.nasal","3A_8","2",1,0.0111111111111111
"52","HSV1.nasal","3A_8","3",1,0.0111111111111111
"53","HSV1.nasal","3A_8","4",3,0.0333333333333333
"54","HSV1.nasal","3A_8","5",1,0.0111111111111111
"55","HSV1.nasal","3A_9","1",1,0.0116279069767442
"56","HSV1.nasal","3A_9","2",1,0.0116279069767442
