Rows,name,value
Anelloviridae.ea,Anelloviridae.ea,100
Anelloviridae.ea,Anelloviridae.nasal,44.44444444444444
Anelloviridae.ea,Anelloviridae.pbmc,77.77777777777779
Anelloviridae.ea,CMV.ea,22.22222222222222
Anelloviridae.ea,CMV.nasal,11.11111111111111
Anelloviridae.ea,CMV.pbmc,11.11111111111111
Anelloviridae.ea,EBV.ea,22.22222222222222
Anelloviridae.ea,EBV.nasal,11.11111111111111
Anelloviridae.ea,EBV.pbmc,33.33333333333333
Anelloviridae.ea,Enterovirus.nasal,0
Anelloviridae.ea,Enterovirus.pbmc,0
Anelloviridae.ea,HSV1.ea,55.55555555555556
Anelloviridae.ea,HSV1.nasal,11.11111111111111
Anelloviridae.ea,HSV2.nasal,0
Anelloviridae.ea,SARS-CoV-2.ea,88.88888888888889
Anelloviridae.ea,SARS-CoV-2.nasal,88.88888888888889
Anelloviridae.ea,SARS-CoV-2.pbmc,0
Anelloviridae.nasal,Anelloviridae.ea,11.11111111111111
Anelloviridae.nasal,Anelloviridae.nasal,100
Anelloviridae.nasal,Anelloviridae.pbmc,69.44444444444444
Anelloviridae.nasal,CMV.ea,2.7777777777777777
Anelloviridae.nasal,CMV.nasal,11.11111111111111
Anelloviridae.nasal,CMV.pbmc,8.333333333333332
Anelloviridae.nasal,EBV.ea,0
Anelloviridae.nasal,EBV.nasal,2.7777777777777777
Anelloviridae.nasal,EBV.pbmc,41.66666666666667
Anelloviridae.nasal,Enterovirus.nasal,2.7777777777777777
Anelloviridae.nasal,Enterovirus.pbmc,0
Anelloviridae.nasal,HSV1.ea,16.666666666666664
Anelloviridae.nasal,HSV1.nasal,13.88888888888889
Anelloviridae.nasal,HSV2.nasal,0
Anelloviridae.nasal,SARS-CoV-2.ea,25
Anelloviridae.nasal,SARS-CoV-2.nasal,94.44444444444444
Anelloviridae.nasal,SARS-CoV-2.pbmc,0
Anelloviridae.pbmc,Anelloviridae.ea,3.6458333333333335
Anelloviridae.pbmc,Anelloviridae.nasal,13.020833333333334
Anelloviridae.pbmc,Anelloviridae.pbmc,100
Anelloviridae.pbmc,CMV.ea,3.6458333333333335
Anelloviridae.pbmc,CMV.nasal,6.25
Anelloviridae.pbmc,CMV.pbmc,7.8125
Anelloviridae.pbmc,EBV.ea,3.6458333333333335
Anelloviridae.pbmc,EBV.nasal,11.458333333333332
Anelloviridae.pbmc,EBV.pbmc,34.375
Anelloviridae.pbmc,Enterovirus.nasal,6.25
Anelloviridae.pbmc,Enterovirus.pbmc,0
Anelloviridae.pbmc,HSV1.ea,13.020833333333334
Anelloviridae.pbmc,HSV1.nasal,17.1875
Anelloviridae.pbmc,HSV2.nasal,1.0416666666666665
Anelloviridae.pbmc,SARS-CoV-2.ea,26.041666666666668
Anelloviridae.pbmc,SARS-CoV-2.nasal,84.89583333333334
Anelloviridae.pbmc,SARS-CoV-2.pbmc,1.5625
CMV.ea,Anelloviridae.ea,18.181818181818183
CMV.ea,Anelloviridae.nasal,9.090909090909092
CMV.ea,Anelloviridae.pbmc,63.63636363636363
CMV.ea,CMV.ea,100
CMV.ea,CMV.nasal,45.45454545454545
CMV.ea,CMV.pbmc,72.72727272727273
CMV.ea,EBV.ea,36.36363636363637
CMV.ea,EBV.nasal,54.54545454545454
CMV.ea,EBV.pbmc,63.63636363636363
CMV.ea,Enterovirus.nasal,9.090909090909092
CMV.ea,Enterovirus.pbmc,0
CMV.ea,HSV1.ea,54.54545454545454
CMV.ea,HSV1.nasal,36.36363636363637
CMV.ea,HSV2.nasal,0
CMV.ea,SARS-CoV-2.ea,90.9090909090909
CMV.ea,SARS-CoV-2.nasal,90.9090909090909
CMV.ea,SARS-CoV-2.pbmc,0
CMV.nasal,Anelloviridae.ea,4.3478260869565215
CMV.nasal,Anelloviridae.nasal,17.391304347826086
CMV.nasal,Anelloviridae.pbmc,52.17391304347826
CMV.nasal,CMV.ea,21.73913043478261
CMV.nasal,CMV.nasal,100
CMV.nasal,CMV.pbmc,60.86956521739131
CMV.nasal,EBV.ea,4.3478260869565215
CMV.nasal,EBV.nasal,39.130434782608695
CMV.nasal,EBV.pbmc,52.17391304347826
CMV.nasal,Enterovirus.nasal,13.043478260869565
CMV.nasal,Enterovirus.pbmc,0
CMV.nasal,HSV1.ea,43.47826086956522
CMV.nasal,HSV1.nasal,39.130434782608695
CMV.nasal,HSV2.nasal,4.3478260869565215
CMV.nasal,SARS-CoV-2.ea,56.52173913043478
CMV.nasal,SARS-CoV-2.nasal,95.65217391304348
CMV.nasal,SARS-CoV-2.pbmc,0
CMV.pbmc,Anelloviridae.ea,2.4390243902439024
CMV.pbmc,Anelloviridae.nasal,7.317073170731707
CMV.pbmc,Anelloviridae.pbmc,36.58536585365854
CMV.pbmc,CMV.ea,19.51219512195122
CMV.pbmc,CMV.nasal,34.146341463414636
CMV.pbmc,CMV.pbmc,100
CMV.pbmc,EBV.ea,9.75609756097561
CMV.pbmc,EBV.nasal,26.82926829268293
CMV.pbmc,EBV.pbmc,51.21951219512195
CMV.pbmc,Enterovirus.nasal,9.75609756097561
CMV.pbmc,Enterovirus.pbmc,0
CMV.pbmc,HSV1.ea,26.82926829268293
CMV.pbmc,HSV1.nasal,36.58536585365854
CMV.pbmc,HSV2.nasal,4.878048780487805
CMV.pbmc,SARS-CoV-2.ea,46.34146341463415
CMV.pbmc,SARS-CoV-2.nasal,87.8048780487805
CMV.pbmc,SARS-CoV-2.pbmc,0
EBV.ea,Anelloviridae.ea,18.181818181818183
EBV.ea,Anelloviridae.nasal,0
EBV.ea,Anelloviridae.pbmc,63.63636363636363
EBV.ea,CMV.ea,36.36363636363637
EBV.ea,CMV.nasal,9.090909090909092
EBV.ea,CMV.pbmc,36.36363636363637
EBV.ea,EBV.ea,100
EBV.ea,EBV.nasal,63.63636363636363
EBV.ea,EBV.pbmc,81.81818181818183
EBV.ea,Enterovirus.nasal,9.090909090909092
EBV.ea,Enterovirus.pbmc,0
EBV.ea,HSV1.ea,54.54545454545454
EBV.ea,HSV1.nasal,27.27272727272727
EBV.ea,HSV2.nasal,0
EBV.ea,SARS-CoV-2.ea,100
EBV.ea,SARS-CoV-2.nasal,90.9090909090909
EBV.ea,SARS-CoV-2.pbmc,0
EBV.nasal,Anelloviridae.ea,1.2987012987012987
EBV.nasal,Anelloviridae.nasal,1.2987012987012987
EBV.nasal,Anelloviridae.pbmc,28.57142857142857
EBV.nasal,CMV.ea,7.792207792207792
EBV.nasal,CMV.nasal,11.688311688311687
EBV.nasal,CMV.pbmc,14.285714285714285
EBV.nasal,EBV.ea,9.090909090909092
EBV.nasal,EBV.nasal,100
EBV.nasal,EBV.pbmc,67.53246753246754
EBV.nasal,Enterovirus.nasal,10.38961038961039
EBV.nasal,Enterovirus.pbmc,0
EBV.nasal,HSV1.ea,14.285714285714285
EBV.nasal,HSV1.nasal,22.07792207792208
EBV.nasal,HSV2.nasal,0
EBV.nasal,SARS-CoV-2.ea,38.961038961038966
EBV.nasal,SARS-CoV-2.nasal,100
EBV.nasal,SARS-CoV-2.pbmc,1.2987012987012987
EBV.pbmc,Anelloviridae.ea,1.048951048951049
EBV.pbmc,Anelloviridae.nasal,5.244755244755245
EBV.pbmc,Anelloviridae.pbmc,23.076923076923077
EBV.pbmc,CMV.ea,2.4475524475524475
EBV.pbmc,CMV.nasal,4.195804195804196
EBV.pbmc,CMV.pbmc,7.3426573426573425
EBV.pbmc,EBV.ea,3.146853146853147
EBV.pbmc,EBV.nasal,18.181818181818183
EBV.pbmc,EBV.pbmc,100
EBV.pbmc,Enterovirus.nasal,3.4965034965034967
EBV.pbmc,Enterovirus.pbmc,0
EBV.pbmc,HSV1.ea,10.48951048951049
EBV.pbmc,HSV1.nasal,13.636363636363635
EBV.pbmc,HSV2.nasal,0.6993006993006993
EBV.pbmc,SARS-CoV-2.ea,24.125874125874127
EBV.pbmc,SARS-CoV-2.nasal,93.00699300699301
EBV.pbmc,SARS-CoV-2.pbmc,2.097902097902098
Enterovirus.nasal,Anelloviridae.ea,0
Enterovirus.nasal,Anelloviridae.nasal,1.9607843137254901
Enterovirus.nasal,Anelloviridae.pbmc,23.52941176470588
Enterovirus.nasal,CMV.ea,1.9607843137254901
Enterovirus.nasal,CMV.nasal,5.88235294117647
Enterovirus.nasal,CMV.pbmc,7.8431372549019605
Enterovirus.nasal,EBV.ea,1.9607843137254901
Enterovirus.nasal,EBV.nasal,15.686274509803921
