"","name","percent","day","compartment","virus"
"59","Human alphaherpesvirus 2 (HSV2).nasal",2.20125786163522,7,"nasal","Human alphaherpesvirus 2 (HSV2)"
"60","Human betaherpesvirus 5 (CMV).nasal",0.628930817610063,7,"nasal","Human betaherpesvirus 5 (CMV)"
"61","Human betaherpesvirus 5 (CMV).pbmc",1.42045454545455,7,"pbmc","Human betaherpesvirus 5 (CMV)"
"62","Human gammaherpesvirus 4 (EBV).nasal",5.0314465408805,7,"nasal","Human gammaherpesvirus 4 (EBV)"
"63","Human gammaherpesvirus 4 (EBV).pbmc",17.6136363636364,7,"pbmc","Human gammaherpesvirus 4 (EBV)"
"64","Anelloviridae.nasal",2.80561122244489,8,"nasal","Anelloviridae"
"65","Anelloviridae.pbmc",13.4892086330935,8,"pbmc","Anelloviridae"
"66","Enterovirus.nasal",3.0060120240481,8,"nasal","Enterovirus"
"67","Human alphaherpesvirus 1 (HSV1).nasal",8.41683366733467,8,"nasal","Human alphaherpesvirus 1 (HSV1)"
"68","Human alphaherpesvirus 2 (HSV2).nasal",2.40480961923848,8,"nasal","Human alphaherpesvirus 2 (HSV2)"
"69","Human betaherpesvirus 5 (CMV).nasal",1.00200400801603,8,"nasal","Human betaherpesvirus 5 (CMV)"
"70","Human betaherpesvirus 5 (CMV).pbmc",1.43884892086331,8,"pbmc","Human betaherpesvirus 5 (CMV)"
"71","Human gammaherpesvirus 4 (EBV).nasal",4.80961923847695,8,"nasal","Human gammaherpesvirus 4 (EBV)"
"72","Human gammaherpesvirus 4 (EBV).pbmc",16.9064748201439,8,"pbmc","Human gammaherpesvirus 4 (EBV)"
"73","Anelloviridae.nasal",2.9810298102981,9,"nasal","Anelloviridae"
"74","Anelloviridae.pbmc",14.4607843137255,9,"pbmc","Anelloviridae"
"75","Enterovirus.nasal",3.2520325203252,9,"nasal","Enterovirus"
"76","Human alphaherpesvirus 1 (HSV1).nasal",10.5691056910569,9,"nasal","Human alphaherpesvirus 1 (HSV1)"
"77","Human alphaherpesvirus 2 (HSV2).nasal",2.9810298102981,9,"nasal","Human alphaherpesvirus 2 (HSV2)"
"78","Human betaherpesvirus 5 (CMV).nasal",1.0840108401084,9,"nasal","Human betaherpesvirus 5 (CMV)"
"79","Human betaherpesvirus 5 (CMV).pbmc",1.7156862745098,9,"pbmc","Human betaherpesvirus 5 (CMV)"
"80","Human gammaherpesvirus 4 (EBV).nasal",4.6070460704607,9,"nasal","Human gammaherpesvirus 4 (EBV)"
"81","Human gammaherpesvirus 4 (EBV).pbmc",15.4411764705882,9,"pbmc","Human gammaherpesvirus 4 (EBV)"
"82","Anelloviridae.nasal",2.7027027027027,10,"nasal","Anelloviridae"
"83","Anelloviridae.pbmc",14.7887323943662,10,"pbmc","Anelloviridae"
"84","Enterovirus.nasal",3.08880308880309,10,"nasal","Enterovirus"
"85","Human alphaherpesvirus 1 (HSV1).nasal",10.8108108108108,10,"nasal","Human alphaherpesvirus 1 (HSV1)"
"86","Human alphaherpesvirus 2 (HSV2).nasal",1.93050193050193,10,"nasal","Human alphaherpesvirus 2 (HSV2)"
"87","Human betaherpesvirus 5 (CMV).nasal",1.15830115830116,10,"nasal","Human betaherpesvirus 5 (CMV)"
"88","Human betaherpesvirus 5 (CMV).pbmc",1.76056338028169,10,"pbmc","Human betaherpesvirus 5 (CMV)"
"89","Human gammaherpesvirus 4 (EBV).nasal",4.24710424710425,10,"nasal","Human gammaherpesvirus 4 (EBV)"
"90","Human gammaherpesvirus 4 (EBV).pbmc",11.9718309859155,10,"pbmc","Human gammaherpesvirus 4 (EBV)"
"91","Anelloviridae.nasal",0.602409638554217,11,"nasal","Anelloviridae"
"92","Anelloviridae.pbmc",11.0526315789474,11,"pbmc","Anelloviridae"
"93","Enterovirus.nasal",4.81927710843374,11,"nasal","Enterovirus"
"94","Human alphaherpesvirus 1 (HSV1).nasal",11.4457831325301,11,"nasal","Human alphaherpesvirus 1 (HSV1)"
"95","Human alphaherpesvirus 2 (HSV2).nasal",2.40963855421687,11,"nasal","Human alphaherpesvirus 2 (HSV2)"
"96","Human betaherpesvirus 5 (CMV).nasal",1.80722891566265,11,"nasal","Human betaherpesvirus 5 (CMV)"
"97","Human betaherpesvirus 5 (CMV).pbmc",2.63157894736842,11,"pbmc","Human betaherpesvirus 5 (CMV)"
"98","Human gammaherpesvirus 4 (EBV).nasal",3.01204819277108,11,"nasal","Human gammaherpesvirus 4 (EBV)"
"99","Human gammaherpesvirus 4 (EBV).pbmc",9.47368421052632,11,"pbmc","Human gammaherpesvirus 4 (EBV)"
"100","Anelloviridae.nasal",0.564971751412429,12,"nasal","Anelloviridae"
"101","Anelloviridae.pbmc",11.5789473684211,12,"pbmc","Anelloviridae"
"102","Enterovirus.nasal",4.51977401129944,12,"nasal","Enterovirus"
"103","Human alphaherpesvirus 1 (HSV1).nasal",14.1242937853107,12,"nasal","Human alphaherpesvirus 1 (HSV1)"
"104","Human alphaherpesvirus 2 (HSV2).nasal",4.51977401129944,12,"nasal","Human alphaherpesvirus 2 (HSV2)"
"105","Human betaherpesvirus 5 (CMV).nasal",2.25988700564972,12,"nasal","Human betaherpesvirus 5 (CMV)"
"106","Human betaherpesvirus 5 (CMV).pbmc",4.21052631578947,12,"pbmc","Human betaherpesvirus 5 (CMV)"
"107","Human gammaherpesvirus 4 (EBV).nasal",4.51977401129944,12,"nasal","Human gammaherpesvirus 4 (EBV)"
"108","Human gammaherpesvirus 4 (EBV).pbmc",13.6842105263158,12,"pbmc","Human gammaherpesvirus 4 (EBV)"
"109","Anelloviridae.nasal",0.873362445414847,13,"nasal","Anelloviridae"
"110","Anelloviridae.pbmc",11.4893617021277,13,"pbmc","Anelloviridae"
"111","Enterovirus.nasal",3.49344978165939,13,"nasal","Enterovirus"
"112","Human alphaherpesvirus 1 (HSV1).nasal",13.5371179039301,13,"nasal","Human alphaherpesvirus 1 (HSV1)"
"113","Human alphaherpesvirus 2 (HSV2).nasal",3.93013100436681,13,"nasal","Human alphaherpesvirus 2 (HSV2)"
"114","Human betaherpesvirus 5 (CMV).nasal",1.74672489082969,13,"nasal","Human betaherpesvirus 5 (CMV)"
"115","Human betaherpesvirus 5 (CMV).pbmc",4.25531914893617,13,"pbmc","Human betaherpesvirus 5 (CMV)"
"116","Human gammaherpesvirus 4 (EBV).nasal",3.49344978165939,13,"nasal","Human gammaherpesvirus 4 (EBV)"
"117","Human gammaherpesvirus 4 (EBV).pbmc",10.6382978723404,13,"pbmc","Human gammaherpesvirus 4 (EBV)"
"118","Anelloviridae.nasal",1.3840830449827,14,"nasal","Anelloviridae"
"119","Anelloviridae.pbmc",10.2739726027397,14,"pbmc","Anelloviridae"
"120","Enterovirus.nasal",2.7681660899654,14,"nasal","Enterovirus"
"121","Human alphaherpesvirus 1 (HSV1).nasal",13.4948096885813,14,"nasal","Human alphaherpesvirus 1 (HSV1)"
"122","Human alphaherpesvirus 2 (HSV2).nasal",4.1522491349481,14,"nasal","Human alphaherpesvirus 2 (HSV2)"
"123","Human betaherpesvirus 5 (CMV).nasal",1.73010380622837,14,"nasal","Human betaherpesvirus 5 (CMV)"
"124","Human betaherpesvirus 5 (CMV).pbmc",4.10958904109589,14,"pbmc","Human betaherpesvirus 5 (CMV)"
"125","Human gammaherpesvirus 4 (EBV).nasal",3.11418685121107,14,"nasal","Human gammaherpesvirus 4 (EBV)"
"126","Human gammaherpesvirus 4 (EBV).pbmc",10.6164383561644,14,"pbmc","Human gammaherpesvirus 4 (EBV)"
"127","Anelloviridae.nasal",1.36518771331058,15,"nasal","Anelloviridae"
"128","Anelloviridae.pbmc",10.1010101010101,15,"pbmc","Anelloviridae"
"129","Enterovirus.nasal",2.38907849829352,15,"nasal","Enterovirus"
"130","Human alphaherpesvirus 1 (HSV1).nasal",12.6279863481229,15,"nasal","Human alphaherpesvirus 1 (HSV1)"
"131","Human alphaherpesvirus 2 (HSV2).nasal",4.09556313993174,15,"nasal","Human alphaherpesvirus 2 (HSV2)"
"132","Human betaherpesvirus 5 (CMV).nasal",1.70648464163823,15,"nasal","Human betaherpesvirus 5 (CMV)"
"133","Human betaherpesvirus 5 (CMV).pbmc",4.37710437710438,15,"pbmc","Human betaherpesvirus 5 (CMV)"
"134","Human gammaherpesvirus 4 (EBV).nasal",3.41296928327645,15,"nasal","Human gammaherpesvirus 4 (EBV)"
"135","Human gammaherpesvirus 4 (EBV).pbmc",9.42760942760943,15,"pbmc","Human gammaherpesvirus 4 (EBV)"
"136","Anelloviridae.nasal",1.51515151515152,16,"nasal","Anelloviridae"
"137","Anelloviridae.pbmc",12.3134328358209,16,"pbmc","Anelloviridae"
"138","Enterovirus.nasal",2.65151515151515,16,"nasal","Enterovirus"
"139","Human alphaherpesvirus 1 (HSV1).nasal",12.8787878787879,16,"nasal","Human alphaherpesvirus 1 (HSV1)"
"140","Human alphaherpesvirus 2 (HSV2).nasal",4.16666666666667,16,"nasal","Human alphaherpesvirus 2 (HSV2)"
"141","Human betaherpesvirus 5 (CMV).nasal",1.51515151515152,16,"nasal","Human betaherpesvirus 5 (CMV)"
"142","Human betaherpesvirus 5 (CMV).pbmc",4.47761194029851,16,"pbmc","Human betaherpesvirus 5 (CMV)"
"143","Human gammaherpesvirus 4 (EBV).nasal",2.65151515151515,16,"nasal","Human gammaherpesvirus 4 (EBV)"
"144","Human gammaherpesvirus 4 (EBV).pbmc",8.95522388059701,16,"pbmc","Human gammaherpesvirus 4 (EBV)"
"145","Anelloviridae.nasal",1.50753768844221,17,"nasal","Anelloviridae"
"146","Anelloviridae.pbmc",11.4427860696517,17,"pbmc","Anelloviridae"
"147","Enterovirus.nasal",3.51758793969849,17,"nasal","Enterovirus"
"148","Human alphaherpesvirus 1 (HSV1).nasal",11.5577889447236,17,"nasal","Human alphaherpesvirus 1 (HSV1)"
"149","Human alphaherpesvirus 2 (HSV2).nasal",3.01507537688442,17,"nasal","Human alphaherpesvirus 2 (HSV2)"
"150","Human betaherpesvirus 5 (CMV).nasal",1.50753768844221,17,"nasal","Human betaherpesvirus 5 (CMV)"
"151","Human betaherpesvirus 5 (CMV).pbmc",3.48258706467662,17,"pbmc","Human betaherpesvirus 5 (CMV)"
"152","Human gammaherpesvirus 4 (EBV).nasal",1.50753768844221,17,"nasal","Human gammaherpesvirus 4 (EBV)"
"153","Human gammaherpesvirus 4 (EBV).pbmc",5.4726368159204,17,"pbmc","Human gammaherpesvirus 4 (EBV)"
"154","Anelloviridae.nasal",1.58730158730159,18,"nasal","Anelloviridae"
"155","Anelloviridae.pbmc",8.59375,18,"pbmc","Anelloviridae"
"156","Enterovirus.nasal",2.38095238095238,18,"nasal","Enterovirus"
"157","Human alphaherpesvirus 1 (HSV1).nasal",11.1111111111111,18,"nasal","Human alphaherpesvirus 1 (HSV1)"
"158","Human alphaherpesvirus 2 (HSV2).nasal",3.17460317460317,18,"nasal","Human alphaherpesvirus 2 (HSV2)"
"159","Human betaherpesvirus 5 (CMV).nasal",0.793650793650794,18,"nasal","Human betaherpesvirus 5 (CMV)"
"160","Human betaherpesvirus 5 (CMV).pbmc",3.125,18,"pbmc","Human betaherpesvirus 5 (CMV)"
"161","Human gammaherpesvirus 4 (EBV).nasal",1.58730158730159,18,"nasal","Human gammaherpesvirus 4 (EBV)"
"162","Human gammaherpesvirus 4 (EBV).pbmc",7.8125,18,"pbmc","Human gammaherpesvirus 4 (EBV)"
"163","Anelloviridae.nasal",1.16279069767442,19,"nasal","Anelloviridae"
"164","Anelloviridae.pbmc",12.5,19,"pbmc","Anelloviridae"
"165","Enterovirus.nasal",2.32558139534884,19,"nasal","Enterovirus"
"166","Human alphaherpesvirus 1 (HSV1).nasal",11.6279069767442,19,"nasal","Human alphaherpesvirus 1 (HSV1)"
"167","Human alphaherpesvirus 2 (HSV2).nasal",3.48837209302326,19,"nasal","Human alphaherpesvirus 2 (HSV2)"
"168","Human betaherpesvirus 5 (CMV).nasal",1.16279069767442,19,"nasal","Human betaherpesvirus 5 (CMV)"
"169","Human betaherpesvirus 5 (CMV).pbmc",7.95454545454545,19,"pbmc","Human betaherpesvirus 5 (CMV)"
"170","Human gammaherpesvirus 4 (EBV).nasal",4.65116279069767,19,"nasal","Human gammaherpesvirus 4 (EBV)"
"171","Human gammaherpesvirus 4 (EBV).pbmc",11.3636363636364,19,"pbmc","Human gammaherpesvirus 4 (EBV)"
"172","Anelloviridae.nasal",2.35294117647059,20,"nasal","Anelloviridae"
"173","Anelloviridae.pbmc",12.5,20,"pbmc","Anelloviridae"
"174","Enterovirus.nasal",2.35294117647059,20,"nasal","Enterovirus"
"175","Human alphaherpesvirus 1 (HSV1).nasal",16.4705882352941,20,"nasal","Human alphaherpesvirus 1 (HSV1)"
"176","Human alphaherpesvirus 2 (HSV2).nasal",4.70588235294118,20,"nasal","Human alphaherpesvirus 2 (HSV2)"
"177","Human betaherpesvirus 5 (CMV).nasal",2.35294117647059,20,"nasal","Human betaherpesvirus 5 (CMV)"
"178","Human betaherpesvirus 5 (CMV).pbmc",6.25,20,"pbmc","Human betaherpesvirus 5 (CMV)"
"179","Human gammaherpesvirus 4 (EBV).nasal",4.70588235294118,20,"nasal","Human gammaherpesvirus 4 (EBV)"
"180","Human gammaherpesvirus 4 (EBV).pbmc",14.5833333333333,20,"pbmc","Human gammaherpesvirus 4 (EBV)"
"181","Anelloviridae.nasal",2.12765957446809,21,"nasal","Anelloviridae"
"182","Anelloviridae.pbmc",11.6071428571429,21,"pbmc","Anelloviridae"
"183","Enterovirus.nasal",1.06382978723404,21,"nasal","Enterovirus"
"184","Human alphaherpesvirus 1 (HSV1).nasal",18.0851063829787,21,"nasal","Human alphaherpesvirus 1 (HSV1)"
"185","Human alphaherpesvirus 2 (HSV2).nasal",6.38297872340426,21,"nasal","Human alphaherpesvirus 2 (HSV2)"
"186","Human betaherpesvirus 5 (CMV).nasal",6.38297872340426,21,"nasal","Human betaherpesvirus 5 (CMV)"
"187","Human betaherpesvirus 5 (CMV).pbmc",8.03571428571429,21,"pbmc","Human betaherpesvirus 5 (CMV)"
"188","Human gammaherpesvirus 4 (EBV).nasal",6.38297872340426,21,"nasal","Human gammaherpesvirus 4 (EBV)"
"189","Human gammaherpesvirus 4 (EBV).pbmc",12.5,21,"pbmc","Human gammaherpesvirus 4 (EBV)"
"190","Anelloviridae.nasal",3.2258064516129,22,"nasal","Anelloviridae"
"191","Anelloviridae.pbmc",12.037037037037,22,"pbmc","Anelloviridae"
"192","Enterovirus.nasal",0,22,"nasal","Enterovirus"
"193","Human alphaherpesvirus 1 (HSV1).nasal",19.3548387096774,22,"nasal","Human alphaherpesvirus 1 (HSV1)"
"194","Human alphaherpesvirus 2 (HSV2).nasal",6.45161290322581,22,"nasal","Human alphaherpesvirus 2 (HSV2)"
"195","Human betaherpesvirus 5 (CMV).nasal",7.52688172043011,22,"nasal","Human betaherpesvirus 5 (CMV)"
"196","Human betaherpesvirus 5 (CMV).pbmc",9.25925925925926,22,"pbmc","Human betaherpesvirus 5 (CMV)"
"197","Human gammaherpesvirus 4 (EBV).nasal",7.52688172043011,22,"nasal","Human gammaherpesvirus 4 (EBV)"
"198","Human gammaherpesvirus 4 (EBV).pbmc",12.037037037037,22,"pbmc","Human gammaherpesvirus 4 (EBV)"
"199","Anelloviridae.nasal",4.49438202247191,23,"nasal","Anelloviridae"
"200","Anelloviridae.pbmc",13.5922330097087,23,"pbmc","Anelloviridae"
"201","Enterovirus.nasal",0,23,"nasal","Enterovirus"
"202","Human alphaherpesvirus 1 (HSV1).nasal",20.2247191011236,23,"nasal","Human alphaherpesvirus 1 (HSV1)"
"203","Human alphaherpesvirus 2 (HSV2).nasal",6.74157303370786,23,"nasal","Human alphaherpesvirus 2 (HSV2)"
"204","Human betaherpesvirus 5 (CMV).nasal",7.86516853932584,23,"nasal","Human betaherpesvirus 5 (CMV)"
"205","Human betaherpesvirus 5 (CMV).pbmc",9.70873786407767,23,"pbmc","Human betaherpesvirus 5 (CMV)"
"206","Human gammaherpesvirus 4 (EBV).nasal",7.86516853932584,23,"nasal","Human gammaherpesvirus 4 (EBV)"
"207","Human gammaherpesvirus 4 (EBV).pbmc",11.6504854368932,23,"pbmc","Human gammaherpesvirus 4 (EBV)"
"208","Anelloviridae.nasal",5.63380281690141,24,"nasal","Anelloviridae"
"209","Anelloviridae.pbmc",12.3595505617978,24,"pbmc","Anelloviridae"
"210","Enterovirus.nasal",1.40845070422535,24,"nasal","Enterovirus"
"211","Human alphaherpesvirus 1 (HSV1).nasal",18.3098591549296,24,"nasal","Human alphaherpesvirus 1 (HSV1)"
