tissue,trajectory_group,count,freq,day
nasal,1,197,19.033816425120772,1
nasal,2,228,22.028985507246375,1
nasal,3,305,29.468599033816425,1
nasal,4,203,19.613526570048307,1
nasal,5,102,9.855072463768117,1
nasal,1,216,17.18377088305489,2
nasal,2,291,23.15035799522673,2
nasal,3,368,29.276054097056488,2
nasal,4,256,20.365950676213206,2
nasal,5,126,10.023866348448687,2
nasal,1,202,14.76608187134503,3
nasal,2,333,24.342105263157894,3
nasal,3,388,28.362573099415204,3
nasal,4,301,22.002923976608187,3
nasal,5,144,10.526315789473683,3
nasal,1,122,10.418445772843723,4
nasal,2,306,26.131511528608026,4
nasal,3,311,26.558497011101622,4
nasal,4,293,25.02134927412468,4
nasal,5,139,11.870196413321947,4
nasal,1,32,4.0455120101137805,5
nasal,2,213,26.927939317319847,5
nasal,3,199,25.158027812895067,5
nasal,4,241,30.467762326169407,5
nasal,5,106,13.400758533501897,5
nasal,1,19,2.402022756005057,6
nasal,2,215,27.18078381795196,6
nasal,3,186,23.514538558786345,6
nasal,4,264,33.37547408343868,6
nasal,5,107,13.527180783817952,6
nasal,2,159,25,7
nasal,3,134,21.069182389937108,7
nasal,4,243,38.20754716981132,7
nasal,5,100,15.723270440251572,7
nasal,2,112,22.44488977955912,8
nasal,3,99,19.839679358717436,8
nasal,4,207,41.48296593186373,8
nasal,5,81,16.23246492985972,8
nasal,2,72,19.51219512195122,9
nasal,3,70,18.97018970189702,9
nasal,4,162,43.90243902439025,9
nasal,5,65,17.615176151761517,9
nasal,1,3,1.1583011583011582,10
nasal,2,44,16.988416988416986,10
nasal,3,47,18.146718146718147,10
nasal,4,116,44.78764478764479,10
nasal,5,49,18.91891891891892,10
nasal,1,9,5.421686746987952,11
nasal,2,22,13.253012048192772,11
nasal,3,34,20.481927710843372,11
nasal,4,61,36.74698795180723,11
nasal,5,40,24.096385542168676,11
nasal,1,21,11.864406779661017,12
nasal,2,22,12.429378531073446,12
nasal,3,35,19.774011299435028,12
nasal,4,64,36.15819209039548,12
nasal,5,35,19.774011299435028,12
nasal,1,39,17.03056768558952,13
nasal,2,30,13.100436681222707,13
nasal,3,49,21.397379912663755,13
nasal,4,79,34.49781659388647,13
nasal,5,32,13.973799126637553,13
nasal,1,47,16.26297577854671,14
nasal,2,35,12.110726643598616,14
nasal,3,64,22.145328719723185,14
nasal,4,107,37.0242214532872,14
nasal,5,36,12.45674740484429,14
nasal,1,46,15.699658703071673,15
nasal,2,39,13.310580204778159,15
nasal,3,57,19.453924914675767,15
nasal,4,117,39.93174061433447,15
nasal,5,34,11.604095563139932,15
nasal,1,42,15.909090909090908,16
nasal,2,31,11.742424242424242,16
nasal,3,52,19.696969696969695,16
nasal,4,113,42.803030303030305,16
nasal,5,26,9.848484848484848,16
nasal,1,32,16.08040201005025,17
nasal,2,24,12.060301507537687,17
nasal,3,45,22.613065326633166,17
nasal,4,83,41.70854271356784,17
nasal,5,15,7.537688442211055,17
nasal,1,14,11.11111111111111,18
nasal,2,14,11.11111111111111,18
nasal,3,31,24.6031746031746,18
nasal,4,55,43.65079365079365,18
nasal,5,12,9.523809523809524,18
nasal,1,6,6.976744186046512,19
nasal,2,8,9.30232558139535,19
nasal,3,15,17.441860465116278,19
nasal,4,48,55.81395348837209,19
nasal,5,9,10.465116279069768,19
nasal,1,5,5.88235294117647,20
nasal,2,4,4.705882352941177,20
nasal,3,16,18.823529411764707,20
nasal,4,51,60,20
nasal,5,9,10.588235294117647,20
nasal,1,3,3.1914893617021276,21
nasal,2,4,4.25531914893617,21
nasal,3,13,13.829787234042554,21
nasal,4,62,65.95744680851064,21
nasal,5,12,12.76595744680851,21
nasal,1,2,2.1505376344086025,22
nasal,2,4,4.301075268817205,22
nasal,3,9,9.67741935483871,22
nasal,4,64,68.81720430107528,22
nasal,5,14,15.053763440860216,22
nasal,1,2,2.247191011235955,23
nasal,2,4,4.49438202247191,23
nasal,3,7,7.865168539325842,23
nasal,4,63,70.78651685393258,23
nasal,5,13,14.606741573033707,23
nasal,1,3,4.225352112676056,24
nasal,2,4,5.633802816901409,24
nasal,3,10,14.084507042253522,24
nasal,4,46,64.7887323943662,24
nasal,5,8,11.267605633802818,24
nasal,1,10,13.698630136986301,25
nasal,2,11,15.068493150684931,25
nasal,3,10,13.698630136986301,25
nasal,4,36,49.31506849315068,25
nasal,5,6,8.21917808219178,25
nasal,1,19,18.81188118811881,26
nasal,2,21,20.792079207920793,26
nasal,3,20,19.801980198019802,26
nasal,4,37,36.633663366336634,26
nasal,5,4,3.9603960396039604,26
nasal,1,29,22.48062015503876,27
nasal,2,30,23.25581395348837,27
nasal,3,29,22.48062015503876,27
nasal,4,40,31.007751937984494,27
nasal,5,1,0.7751937984496124,27
nasal,1,43,24.571428571428573,28
nasal,2,42,24,28
nasal,3,40,22.857142857142858,28
nasal,4,49,28.000000000000004,28
nasal,5,1,0.5714285714285714,28
nasal,1,45,23.316062176165804,29
nasal,2,48,24.870466321243523,29
nasal,3,46,23.83419689119171,29
nasal,4,53,27.461139896373055,29
nasal,5,1,0.5181347150259068,29
nasal,1,40,22.47191011235955,30
nasal,2,44,24.719101123595504,30
nasal,3,45,25.280898876404496,30
nasal,4,48,26.96629213483146,30
nasal,5,1,0.5617977528089888,30
nasal,1,36,25.899280575539567,31
nasal,2,35,25.179856115107913,31
nasal,3,35,25.179856115107913,31
nasal,4,33,23.741007194244602,31
nasal,1,26,24.761904761904763,32
nasal,2,26,24.761904761904763,32
nasal,3,29,27.61904761904762,32
nasal,4,24,22.857142857142858,32
nasal,1,16,25.396825396825395,33
nasal,2,15,23.809523809523807,33
nasal,3,21,33.33333333333333,33
nasal,4,11,17.46031746031746,33
nasal,1,18,36,34
nasal,2,13,26,34
nasal,3,15,30,34
nasal,4,4,8,34
nasal,1,18,37.5,35
nasal,2,10,20.833333333333336,35
nasal,3,14,29.166666666666668,35
nasal,4,6,12.5,35
nasal,1,13,31.70731707317073,36
nasal,2,8,19.51219512195122,36
nasal,3,14,34.146341463414636,36
nasal,4,6,14.634146341463413,36
nasal,1,12,34.285714285714285,37
nasal,2,8,22.857142857142858,37
nasal,3,10,28.57142857142857,37
nasal,4,5,14.285714285714285,37
nasal,1,9,32.142857142857146,38
nasal,2,5,17.857142857142858,38
nasal,3,8,28.57142857142857,38
nasal,4,6,21.428571428571427,38
nasal,1,5,26.31578947368421,39
nasal,2,1,5.263157894736842,39
nasal,3,8,42.10526315789473,39
nasal,4,5,26.31578947368421,39
nasal,1,2,18.181818181818183,40
nasal,3,7,63.63636363636363,40
nasal,4,2,18.181818181818183,40
