name,percent,day,compartment,virus
Human gammaherpesvirus 4 (EBV).nasal,3.0944625407166124,10,nasal,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.nasal,93.64820846905538,10,nasal,SARS-CoV-2
Anelloviridae.nasal,1.5463917525773196,11,nasal,Anelloviridae
Enterovirus.nasal,1.8900343642611683,11,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).nasal,4.601769911504425,11,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).nasal,0,11,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).nasal,0.1718213058419244,11,nasal,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).nasal,3.436426116838488,11,nasal,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.nasal,93.47079037800687,11,nasal,SARS-CoV-2
Anelloviridae.nasal,1.7509727626459144,12,nasal,Anelloviridae
Enterovirus.nasal,1.9455252918287937,12,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).nasal,4.3999999999999995,12,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).nasal,0,12,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).nasal,0.38910505836575876,12,nasal,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).nasal,3.501945525291829,12,nasal,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.nasal,92.41245136186771,12,nasal,SARS-CoV-2
Anelloviridae.nasal,1.4314928425357873,13,nasal,Anelloviridae
Enterovirus.nasal,1.4314928425357873,13,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).nasal,4.3841336116910234,13,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).nasal,0,13,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).nasal,0.408997955010225,13,nasal,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).nasal,3.6809815950920246,13,nasal,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.nasal,92.22903885480572,13,nasal,SARS-CoV-2
Anelloviridae.nasal,1.55902004454343,14,nasal,Anelloviridae
Enterovirus.nasal,1.7817371937639197,14,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).nasal,4.751131221719457,14,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).nasal,0,14,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).nasal,0.6681514476614699,14,nasal,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).nasal,3.5634743875278394,14,nasal,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.nasal,92.20489977728286,14,nasal,SARS-CoV-2
Anelloviridae.nasal,1.3192612137203166,15,nasal,Anelloviridae
Enterovirus.nasal,2.1108179419525066,15,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).nasal,5.361930294906166,15,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).nasal,0,15,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).nasal,0.5277044854881267,15,nasal,Human betaherpesvirus 5 (CMV)
