"","Anelloviridae.pbmc","HSV1.nasal","CMV.pbmc","EBV.nasal","EBV.pbmc"
"sphingomyelin (d18:1/14:0, d16:1/16:0)*",0,-2.53413489634105,-3.58045598812139,0,0
"sphingomyelin (d18:2/16:0, d18:1/16:1)*",0,-2.26309687332104,-3.2551550751805,0,0
"S-allylcysteine",0,-2.95926325696759,-2.52029509429862,0,0
"N-acetylalliin",0,-3.35024616461165,-4.14550211204513,-2.04754177998908,0
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*",0,-2.94129529344337,0,0,0
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*",0,-2.64732208749618,0,0,0
"1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*",0,-3.35024616461165,-15.698970004336,0,0
"thioproline",0,-2.34024482950845,-4.18605574143025,-2.40944607959021,0
"sphingomyelin (d18:2/18:1)*",0,-2.31318692135148,-3.20923930548487,0,0
"sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*",0,-2.83638622518972,-2.19003422764569,-2.5097104156716,0
"carotene diol (2)",0,-2.26674652448419,0,0,0
"sulfate of piperine metabolite C16H19NO3 (2)*",0,-2.0807774445544,-3.17750373455521,0,-2.38503604774275
"glycoursodeoxycholic acid sulfate (1)",0,2.86611615964654,0,3.40093121590382,0
"undecenoylcarnitine (C11:1)",0,2.23673647712776,0,0,0
"pentose acid*",0,-2.94129529344337,0,0,0
"bilirubin degradation product, C17H18N2O4 (3)**",0,-2.54722558635414,0,0,0
"3-ureidopropionate",0,2.78661530803582,4.30030506834836,2.125264901694,0
"citrate",0,-2.0807774445544,0,0,0
"urate",0,-2.52107780328851,-2.91551630649403,0,0
"1-palmitoyl-2-oleoyl-GPE (16:0/18:1)",0,2.34310193344139,0,0,0
"1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)",0,-2.03279431744769,-2.7674414238796,0,0
"taurodeoxycholate",0,-2.56873891617242,-2.69209768587099,0,0
"quinolinate",0,2.53413489634105,3.61939297495462,2.08871573573003,0
"caprate (10:0)",0,3.09354366474947,2.79375697779384,0,0
"carnitine",0,0,2.25896390386126,0,0
"methionine sulfoxide",0,0,3.03788577840892,0,0
"3-methylhistidine",0,0,-3.51693733973093,0,0
"glucuronate",0,0,2.07186465931207,0,0
"kynurenine",0,0,3.06593070949291,0,0
"1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)",0,0,-3.21849658246064,0,0
"docosahexaenoate (DHA; 22:6n3)",0,0,2.1629915740273,0,0
"N-acetylaspartate (NAA)",0,0,2.05836019270285,0,0
"acetylcarnitine (C2)",0,0,3.85271198788867,0,0
"N-acetylglycine",0,0,2.07208156744332,0,0
"2-pyrrolidinone",0,0,2.80756270727064,0,0
"indolepropionate",0,0,-2.10935478517015,0,0
"docosapentaenoate (n3 DPA; 22:5n3)",0,0,2.87847037937769,0,0
"1-methyl-4-imidazoleacetate",0,0,2.31760172789965,0,0
"N-acetylphenylalanine",0,0,2.33176760794536,2.40944607959021,0
"N-acetylthreonine",0,0,2.12310555704451,0,0
"10-nonadecenoate (19:1n9)",0,0,2.23671397829003,0,0
"erythronate*",0,0,2.03008754219002,0,0
"stearoylcarnitine (C18)",0,0,-2.1629915740273,0,0
"1-methylurate",0,0,-2.04020219242178,0,0
"4-hydroxyhippurate",0,0,-2.01737410815113,0,0
"N1-methyl-2-pyridone-5-carboxamide",0,0,2.86138614094406,0,0
"oleoylcarnitine (C18:1)",0,0,2.14137977655283,0,0
"docosapentaenoate (n6 DPA; 22:5n6)",0,0,2.26256881191419,0,0
"beta-hydroxyisovaleroylcarnitine",0,0,2.8453847118652,0,0
"octadecanedioate (C18-DC)",0,0,-2.34327996750673,0,0
"1-arachidonoyl-GPI (20:4)*",0,0,2.28334430566943,0,0
"deoxycarnitine",0,0,2.31073682268991,0,0
"hexanoylglutamine",0,0,2.03008754219002,0,0
"4-vinylphenol sulfate",0,0,-2.24478658317178,0,0
"thymol sulfate",0,0,-3.52119398107611,0,0
"1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)",0,0,-2.54138681487618,0,0
"glycosyl-N-stearoyl-sphingosine (d18:1/18:0)",0,0,-2.94509455661454,0,0
"taurocholenate sulfate*",0,0,2.40182764555075,0,0
"cinnamoylglycine",0,0,-3.69012535311581,-2.08871573573003,0
