"","event_date","predicted","std.error","conf.low","conf.high","virus","max"
"1",0,-0.246187712444548,0.063522555994341,-0.370689634399385,-0.121685790489711,"Control",40
"2",0,-0.161401068344343,0.144009702526612,-0.443654898720828,0.120852762032143,"CMV.pbmc",35
"3",1,-0.245384087173864,0.0630846545945422,-0.369027738156316,-0.121740436191412,"Control",40
"4",1,-0.0613313653948138,0.109076073778029,-0.275116541574785,0.152453810785157,"CMV.pbmc",35
"5",2,-0.244580461903179,0.0626995512443539,-0.367469324188937,-0.121691599617422,"Control",40
"6",2,0.0282624052638162,0.0917206086528845,-0.15150668433593,0.208031494863563,"CMV.pbmc",35
"7",3,-0.243776836632495,0.0623682239581349,-0.366016309370168,-0.121537363894822,"Control",40
"8",3,0.0969043113406489,0.0923767521452504,-0.084150795872825,0.277959418554123,"CMV.pbmc",35
"9",4,-0.242973211361811,0.0620915335654979,-0.364670380895046,-0.121276041828575,"Control",40
"10",4,0.134118420544786,0.0981609586324795,-0.0582735230628001,0.326510364152371,"CMV.pbmc",35
"11",5,-0.242169586091126,0.0618702130534139,-0.363432975391638,-0.120906196790615,"Control",40
"12",5,0.131924384964917,0.0988792268669456,-0.0618753385134614,0.325724108443296,"CMV.pbmc",35
"13",6,-0.241365960820442,0.0617048581913106,-0.362305260546562,-0.120426661094322,"Control",40
"14",6,0.102161016602276,0.0973522638281464,-0.0886459143143319,0.292967947518885,"CMV.pbmc",35
"15",7,-0.240562335549758,0.0615959196763539,-0.361288119710034,-0.119836551389482,"Control",40
"16",7,0.0661183347732173,0.0992980013578428,-0.128502171624964,0.260738841171399,"CMV.pbmc",35
"17",8,-0.239758710279074,0.0615436970615297,-0.360382139995115,-0.119135280563032,"Control",40
"18",8,0.0451445648437639,0.103761373373407,-0.158223989954526,0.248513119642054,"CMV.pbmc",35
"19",9,-0.238955085008389,0.0615483346724168,-0.359587604274744,-0.118322565742035,"Control",40
"20",9,0.0590691863764688,0.106724464868968,-0.15010692103602,0.268245293788957,"CMV.pbmc",35
"21",10,-0.238151459737705,0.0616098196458329,-0.358904487337546,-0.117398432137864,"Control",40
"22",10,0.100457154269959,0.112492511504393,-0.120024116809109,0.320938425349028,"CMV.pbmc",35
"23",11,-0.237347834467021,0.0617279821037245,-0.358332456228654,-0.116363212705388,"Control",40
"24",11,0.138290338586554,0.125105678699233,-0.106912285925382,0.383492963098491,"CMV.pbmc",35
"25",12,-0.236544209196336,0.0619024974652742,-0.357870874781356,-0.115217543611317,"Control",40
"26",12,0.140773011537195,0.137103351405207,-0.127944619376749,0.409490642451139,"CMV.pbmc",35
"27",13,-0.235740583925652,0.0621328908652722,-0.357518812276943,-0.113962355574361,"Control",40
"28",13,0.0765964107011211,0.13666551381012,-0.191263074295376,0.344455895697618,"CMV.pbmc",35
"29",14,-0.234936958654968,0.0624185435373451,-0.35727505595561,-0.112598861354326,"Control",40
"30",14,-0.0563303042444398,0.12341607685727,-0.298221369997916,0.185560761509036,"CMV.pbmc",35
"31",15,-0.234133333384284,0.0627587009348518,-0.357138126933113,-0.111128539835454,"Control",40
"32",15,-0.214810194370383,0.113162178511367,-0.436603988664754,0.00698359992398892,"CMV.pbmc",35
"33",16,-0.233329708113599,0.0631524823281137,-0.357106299011004,-0.109553117216194,"Control",40
"34",16,-0.351750597801204,0.116092993545869,-0.579288684008549,-0.124212511593859,"CMV.pbmc",35
"35",17,-0.232526082842915,0.0635988916522316,-0.357177619937954,-0.107874545747876,"Control",40
"36",17,-0.420079095044817,0.124026410271181,-0.663166392308121,-0.176991797781514,"CMV.pbmc",35
"37",18,-0.231722457572231,0.0640968293104906,-0.357349934544004,-0.106094980600458,"Control",40
"38",18,-0.392884680491473,0.126178869453957,-0.64019072023121,-0.145578640751736,"CMV.pbmc",35
"39",19,-0.230918832301546,0.0646451046151535,-0.357620909124071,-0.104216755479021,"Control",40
"40",19,-0.301250777018267,0.126980595774344,-0.55012817147142,-0.0523733825651141,"CMV.pbmc",35
"41",20,-0.230115207030862,0.0652424485294531,-0.357988056411798,-0.102242357649926,"Control",40
"42",20,-0.186624907811289,0.131367155541564,-0.444099801424225,0.0708499858016474,"CMV.pbmc",35
"43",21,-0.229311581760178,0.0658875264836995,-0.358448760698658,-0.100174402821698,"Control",40
"44",21,-0.0904545960566283,0.136157398886021,-0.357318194101884,0.176409001988628,"CMV.pbmc",35
"45",22,-0.228507956489493,0.0665789510181756,-0.359000302613574,-0.098015610365413,"Control",40
"46",22,-0.046781753362287,0.135905949911261,-0.313152520473064,0.21958901374849,"CMV.pbmc",35
"47",23,-0.227704331218809,0.067315294030331,-0.359639883126982,-0.0957687793106364,"Control",40
"48",23,-0.048208687486225,0.135642319622089,-0.314062748724991,0.217645373752541,"CMV.pbmc",35
"49",24,-0.226900705948125,0.0680950983919197,-0.360364646319999,-0.093436765576251,"Control",40
"50",24,-0.0729314774134034,0.142111919804565,-0.351465722004195,0.205602767177389,"CMV.pbmc",35
"51",26,-0.225293455406756,0.0697791819523601,-0.362058138904049,-0.088528771909463,"Control",40
"52",26,-0.104991084276873,0.161206896393806,-0.420950795268213,0.210968626714468,"CMV.pbmc",35
"53",27,-0.224489830136072,0.0706804954157919,-0.363021055560472,-0.0859586047116714,"Control",40
"54",27,-0.0707052925545381,0.157525546761001,-0.379449690851079,0.238039105742003,"CMV.pbmc",35
"55",28,-0.223686204865387,0.0716193560746323,-0.364057563367617,-0.0833148463631583,"Control",40
"56",28,0.000115232759788971,0.148022359011404,-0.290003259809221,0.290233725328799,"CMV.pbmc",35
"57",29,-0.222882579594703,0.0725943071867203,-0.365164807163312,-0.0806003520260942,"Control",40
"58",29,0.0887538757399712,0.143114034633602,-0.191744477824107,0.369252229304049,"CMV.pbmc",35
"59",30,-0.222078954324019,0.0736039146379615,-0.366339976135584,-0.0778179325124539,"Control",40
"60",30,0.176242250267162,0.144191077035024,-0.106367067613526,0.458851568147849,"CMV.pbmc",35
"61",31,-0.221275329053334,0.0746467722641789,-0.367580314253288,-0.0749703438533805,"Control",40
"62",31,0.243990221662196,0.145873148039246,-0.041915894806205,0.529896338130597,"CMV.pbmc",35
"63",32,-0.22047170378265,0.0757215063103955,-0.368883129006148,-0.0720602785591526,"Control",40
"64",32,0.284879312190043,0.153393265655447,-0.0157659639656187,0.585524588345705,"CMV.pbmc",35
"65",33,-0.219668078511966,0.0768267790582,-0.370245798514254,-0.0690903585096779,"Control",40
"66",33,0.305053485219552,0.178408546561731,-0.0446208405755785,0.654727811014683,"CMV.pbmc",35
"67",34,-0.218864453241281,0.077961291684129,-0.371665777130396,-0.0660631293521666,"Control",40
"68",34,0.311395476462704,0.221584603222035,-0.122902365381083,0.745693318306491,"CMV.pbmc",35
"69",35,-0.218060827970597,0.0791237864492604,-0.373140599731586,-0.0629810562096085,"Control",40
"70",35,0.310775992223127,0.282143397769738,-0.242214905881318,0.863766890327572,"CMV.pbmc",35
"71",36,-0.217257202699913,0.0803130482915144,-0.374667884839907,-0.0598465205599185,"Control",40
"72",37,-0.216453577429228,0.0815279058783899,-0.376245336685844,-0.0566618181726128,"Control",40
"73",38,-0.215649952158544,0.0827672321625486,-0.377870746297205,-0.0534291580198837,"Control",40
"74",40,-0.214042701617176,0.0853150046186532,-0.381257038010604,-0.046828365223747,"Control",40
"75",0,-0.244627953696514,0.0605639854365659,-0.363331183912391,-0.125924723480637,"Control",40
"76",0,-0.154142409041447,0.0724057613572829,-0.296055093574923,-0.0122297245079703,"Anelloviridae.pbmc",37
"77",1,-0.244138104107987,0.0601144131242069,-0.361960188783194,-0.126316019432779,"Control",40
"78",1,-0.143762566157748,0.0696479986448128,-0.280270135096875,-0.00725499721862,"Anelloviridae.pbmc",37
"79",2,-0.24364825451946,0.0597182027327662,-0.360693781097143,-0.126602727941776,"Control",40
"80",2,-0.133732375928536,0.0679296484462247,-0.266872040365604,-0.000592711491468861,"Anelloviridae.pbmc",37
"81",3,-0.243158404930932,0.059376422466848,-0.359534054496789,-0.126782755365075,"Control",40
"82",3,-0.124401491008301,0.0671199260543166,-0.255954128719753,0.00715114670315144,"Anelloviridae.pbmc",37
"83",4,-0.242668555342405,0.0590900167586581,-0.358482860035243,-0.126854250649567,"Control",40
"84",4,-0.116119564051528,0.0669097428801794,-0.247260250311515,0.0150211222084588,"Anelloviridae.pbmc",37
"85",5,-0.242178705753878,0.0588597938923833,-0.3575417819204,-0.126815629587356,"Control",40
"86",5,-0.109224585106996,0.0669784757616034,-0.240499985339127,0.022050815125136,"Anelloviridae.pbmc",37
"87",6,-0.241688856165351,0.0586864150341671,-0.356712116014088,-0.126665596316613,"Control",40
"88",6,-0.103918966432091,0.0672232944155918,-0.235674202408783,0.0278362695446018,"Anelloviridae.pbmc",37
"89",7,-0.241199006576823,0.0585703849580718,-0.355994851655291,-0.126403161498356,"Control",40
"90",7,-0.100317650741368,0.0676624081411364,-0.232933533805245,0.0322982323225087,"Anelloviridae.pbmc",37
"91",8,-0.240709156988296,0.0585120447891343,-0.355390657436794,-0.126027656539799,"Control",40
"92",8,-0.0985341229236704,0.0682385521118299,-0.232279227420016,0.0352109815726758,"Anelloviridae.pbmc",37
"93",9,-0.240219307399769,0.0585115670332854,-0.35489987146401,-0.125538743335529,"Control",40
