"","virus_compartment","feature","shape","average","summed_virus_smooth_coefficients","average_virus_smooth_coefficients","average_coefficient","virus_n","control_n","shape.adj","average.adj"
"1","Anelloviridae.pbmc","X55","0.0589799891601471","0.3014006664117","1.02107386237054","0.113452651374504","0.0331104220663942","164","488",0.235506919418564,0.49333740920124
"2","Anelloviridae.pbmc","X93","0.143803077914519","0.258131396187756","0.310937939874541","0.0345486599860602","-0.0349866477129677","164","488",0.359781084668264,0.443733965904325
"3","Anelloviridae.pbmc","X98","0.852045012343546","0.00244230392635143","0.0670206209586671","0.00744673566207412","0.0992618296983207","164","488",0.916972371638407,0.0200879497942405
"4","Anelloviridae.pbmc","X111","0.84359539195824","0.851762531528445","0.106039057459921","0.0117821174955468","0.00546421032952453","164","488",0.912970013007437,0.912800888836672
"5","Anelloviridae.pbmc","X132","0.151933872963775","0.643168109966485","0.661396936461029","0.0734885484956699","-0.0129421571486855","164","488",0.3702684755932,0.77480885272547
"6","Anelloviridae.pbmc","X158","0.689050517418522","0.829084240000829","-0.177637703222098","-0.0197375225802331","0.00622525036514598","164","488",0.818402961121638,0.901714760199249
"7","Anelloviridae.pbmc","X171","0.834523221586039","0.120742681973325","-0.0153071373563404","-0.00170079303959338","0.0476591465509267","164","488",0.910640596689243,0.280822931956077
"8","Anelloviridae.pbmc","X180","0.0791097524218082","0.000287135077917556","0.87597057970257","0.0973300644113966","0.124810201957905","164","488",0.263527868186069,0.00561984688374178
"9","Anelloviridae.pbmc","X181","0.114174822411462","0.143605752976796","-0.625717512353368","-0.0695241680392631","0.0387001510061516","164","488",0.317387035070496,0.312889355823615
"10","Anelloviridae.pbmc","X182","0.0739087823137325","0.050138064412814","0.449052466229786","0.0498947184699762","0.0711404237112263","164","488",0.260076969320906,0.147941015173236
"11","Anelloviridae.pbmc","X189","0.0370422264895961","0.000227054548917398","-0.104211552616325","-0.0115790614018139","0.090059066252339","164","488",0.181980709516962,0.00515178942026372
"12","Anelloviridae.pbmc","X192","0.285291654894949","0.00191322221494733","0.356553316479108","0.0396170351643454","0.0846458801008863","164","488",0.518912020848194,0.0167853362324712
"13","Anelloviridae.pbmc","X194","0.136360670508464","2.73603532362324e-05","-0.483579352864147","-0.0537310392071274","0.100088802009929","164","488",0.347772562769649,0.00139200316827384
"14","Anelloviridae.pbmc","X197","0.941948593461504","0.000951724420986195","-0.0278803960555919","-0.00309782178395465","0.0979392932728257","164","488",0.966786471625588,0.0120429744040176
"15","Anelloviridae.pbmc","X209","0.101623406503704","0.445598737640981","0.522146714987816","0.0580163016653128","-0.0221034087579289","164","488",0.300273611503834,0.626499929682533
"16","Anelloviridae.pbmc","X229","0.0790199512696426","0.0328318166076153","0.785465735389798","0.0872739705988665","0.0723650507319842","164","488",0.263527868186069,0.110786335014415
"17","Anelloviridae.pbmc","X231","0.919723852465179","0.136414672152863","-0.0373117753175593","-0.00414575281306214","0.0357334974152266","164","488",0.950187189754767,0.304274082293505
"18","Anelloviridae.pbmc","X234","0.580980674967986","0.12630631120362","0.210815668892333","0.0234239632102592","-0.0311826949869575","164","488",0.745175330355333,0.290592841860077
"19","Anelloviridae.pbmc","X250","0.442348381570764","0.256139903659753","-0.28747146884275","-0.0319412743158611","-0.0375990854920667","164","488",0.646809106647564,0.443526464758204
"20","Anelloviridae.pbmc","X252","0.672919260788108","0.699428712859739","-0.246157277253514","-0.0273508085837238","0.016940014111756","164","488",0.807994294887911,0.814555916923377
"21","Anelloviridae.pbmc","X254","0.214866504312666","0.340396488222611","0.558315982453887","0.062035109161543","0.0335310475638946","164","488",0.435022030269951,0.525301421580936
"22","Anelloviridae.pbmc","X266","0.450897783066258","0.170022387654361","-0.188783629845031","-0.0209759588716701","0.0282151161295186","164","488",0.649213875837194,0.343174021707269
"23","Anelloviridae.pbmc","X267","0.921404564062019","0.520009651961906","-0.0348268753591123","-0.00386965281767914","0.0162274080859683","164","488",0.950288719675248,0.680869054115452
"24","Anelloviridae.pbmc","X275","0.0326477725430275","0.020983721228041","-0.47592323968857","-0.0528803599653967","0.0569624986355473","164","488",0.163986521628337,0.0788987918174342
"25","Anelloviridae.pbmc","X279","0.059055686480339","0.462057202340308","-0.550730389794285","-0.0611922655326984","-0.0166887095701264","164","488",0.235506919418564,0.639087553361035
"26","Anelloviridae.pbmc","X297","0.0683889562091226","0.83654917808253","0.768548856428387","0.0853943173809319","0.00627059731847947","164","488",0.254236910653122,0.906903195700755
"27","Anelloviridae.pbmc","X302","0.0898116655066911","0.688318522686558","0.683200758034455","0.0759111953371616","-0.0221448959324427","164","488",0.278755075016051,0.807989690488906
"28","Anelloviridae.pbmc","X313","0.181155194872511","0.543096665117811","0.586508208523751","0.0651675787248613","0.0181521610031477","164","488",0.401662489930512,0.699329952343483
"29","Anelloviridae.pbmc","X330","0.0615827182311465","0.696549189168872","-0.109516418374727","-0.0121684909305252","0.0161491607025094","164","488",0.240417589380321,0.812640720697017
"30","Anelloviridae.pbmc","X331","0.093858369772945","0.0905511909379873","-0.111310620522992","-0.0123678467247769","-0.0438184170980569","164","488",0.28359102577662,0.234577494634629
"31","Anelloviridae.pbmc","X338","0.0656467224945292","0.000246791570738037","-0.942792414443259","-0.104754712715918","0.137584226462308","164","488",0.251136880240699,0.00541296178485428
"32","Anelloviridae.pbmc","X339","0.0781751074738045","0.119938904249296","-0.724489281663998","-0.0804988090737776","0.0666841734044016","164","488",0.263527868186069,0.280822931956077
"33","Anelloviridae.pbmc","X340","0.36500854032292","0.116431824713927","-0.310687896306059","-0.0345208773673398","-0.0313454328889418","164","488",0.589941546302707,0.275583239790518
"34","Anelloviridae.pbmc","X342","0.583040472565134","0.492749371098988","0.312670791464694","0.0347411990516327","0.0298258676641185","164","488",0.745175330355333,0.66034437104508
"35","Anelloviridae.pbmc","X344","0.210306073572634","0.00258038675561628","-0.1932343148873","-0.0214704794319223","-0.12607865874341","164","488",0.43235096744626,0.020807601747178
"36","Anelloviridae.pbmc","X355","0.352531986780552","0.468211521895563","0.580270479045444","0.064474497671716","0.0123191993423295","164","488",0.582072139054574,0.641135206140083
"37","Anelloviridae.pbmc","X361","0.95226066134825","0.340887092728054","0.034601856781643","0.00384465075351589","0.0304109948843853","164","488",0.971453511887052,0.525301421580936
"38","Anelloviridae.pbmc","X376","0.487436382735846","0.732716509358039","0.170870209124203","0.0189855787915781","-0.00595250791193301","164","488",0.683165307700092,0.839943315605557
"39","Anelloviridae.pbmc","X391","0.583058765991496","0.415805690583857","-0.158936367299276","-0.0176595963665862","0.0180875067077341","164","488",0.745175330355333,0.601318998690501
"40","Anelloviridae.pbmc","X397","0.645942849227818","0.634311211073193","-0.121321236945961","-0.0134801374384401","-0.00840297642837007","164","488",0.793754446440943,0.771491269660187
"41","Anelloviridae.pbmc","X407","0.369385892213853","0.127126581928109","-0.252530335226861","-0.0280589261363179","-0.0284136118878107","164","488",0.589941546302707,0.291460943932738
