conv_cluster6,name,freq,count,positive,pos_freq,label,.group
cognitive,Anelloviridae.pbmc,18.84057971014493,69,13.000000000000002,14.285714285714288,13/69  18.8%,1
cognitive,Enterovirus.nasal,20.28985507246377,69,14,20.8955223880597,14/69  20.3%,2
global,Anelloviridae.pbmc,15.217391304347828,46,7.000000000000001,7.6923076923076925,7/46  15.2%,1
global,Enterovirus.nasal,13.043478260869565,46,6,8.955223880597014,6/46  13%,2
minimal,Anelloviridae.pbmc,14.057507987220447,313,44,48.35164835164835,44/313  14.1%,1
minimal,Enterovirus.nasal,11.987381703470032,317,38,56.71641791044776,38/317  12%,2
physical,Anelloviridae.pbmc,28.749999999999996,80,22.999999999999996,25.274725274725267,23/80  28.7%,1
physical,Enterovirus.nasal,8.860759493670885,79,6.999999999999999,10.44776119402985,7/79  8.9%,2
