"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","dir","database","virus","knock_in"
"R-HSA-380108","R-HSA-380108","Chemokine receptors bind chemokines","8/66","38/8368",3.9254722169199e-10,9.10709554325416e-08,8.30547279579894e-08,"6364/9034/6372/6374/2919/6351/6349/6348",8,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-375276","R-HSA-375276","Peptide ligand-binding receptors","8/66","80/8368",1.79379034711144e-07,2.08079680264927e-05,1.89764136720736e-05,"6364/9034/6372/6374/2919/6351/6349/6348",8,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-6783783","R-HSA-6783783","Interleukin-10 signaling","6/66","40/8368",5.9407395432575e-07,4.59417191345246e-05,4.18978473050792e-05,"6364/3569/2919/6351/6349/6348",6,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-373076","R-HSA-373076","Class A/1 (Rhodopsin-like receptors)","9/66","143/8368",1.5625029395403e-06,8.4700614351586e-05,7.72451156291688e-05,"6364/9034/6372/6374/2919/1901/6351/6349/6348",9,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-449147","R-HSA-449147","Signaling by Interleukins","14/66","396/8368",1.82544427481866e-06,8.4700614351586e-05,7.72451156291688e-05,"11213/3162/4792/6648/6364/9173/8809/3656/3569/2919/1901/6351/6349/6348",14,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-500792","R-HSA-500792","GPCR ligand binding","10/66","204/8368",3.81803807067678e-06,0.000147630805399502,0.000134636079334392,"6364/9034/6372/6374/2919/1901/2015/6351/6349/6348",10,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-372790","R-HSA-372790","Signaling by GPCR","12/66","473/8368",0.000278004138419267,0.00921385144475286,0.00840283185297335,"6364/9034/6372/53831/6374/2919/1901/2015/6351/9560/6349/6348",12,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-6798695","R-HSA-6798695","Neutrophil degranulation","10/66","445/8368",0.00236092365893708,0.0684667861091753,0.0624402178218886,"8876/4317/7130/53831/6278/2207/3101/2919/1378/5004",10,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-446652","R-HSA-446652","Interleukin-1 family signaling","5/66","128/8368",0.00328331139612209,0.0846364715444806,0.0771866187860282,"11213/4792/9173/8809/3656",5,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-168643","R-HSA-168643","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways","3/66","55/8368",0.00918007989434007,0.21297785354869,0.194231164080248,"58484/7128/3656",3,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-418594","R-HSA-418594","G alpha (i) signalling events","6/66","244/8368",0.0121993935837137,0.257296301038325,0.234648622997747,"6364/6372/6374/2919/6351/9560",6,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-5576891","R-HSA-5576891","Cardiac conduction","3/66","75/8368",0.0211420853368674,0.304788032253511,0.27796004756332,"3750/6324/3759",3,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-977606","R-HSA-977606","Regulation of Complement cascade","2/66","29/8368",0.0216906788474712,0.304788032253511,0.27796004756332,"722/1378",2,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-983695","R-HSA-983695","Antigen activates B Cell Receptor (BCR) leading to generation of second messengers","2/66","29/8368",0.0216906788474712,0.304788032253511,0.27796004756332,"933/118788",2,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-5357956","R-HSA-5357956","TNFR1-induced NFkappaB signaling pathway","2/66","30/8368",0.0231232908037859,0.304788032253511,0.27796004756332,"7185/7128",2,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-445989","R-HSA-445989","TAK1 activates NFkB by phosphorylation and activation of IKKs complex","2/66","31/8368",0.024593927687668,0.304788032253511,0.27796004756332,"4792/3656",2,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-8956319","R-HSA-8956319","Nucleobase catabolism","2/66","31/8368",0.024593927687668,0.304788032253511,0.27796004756332,"51733/9615",2,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-166658","R-HSA-166658","Complement cascade","2/66","32/8368",0.0261019199596725,0.304788032253511,0.27796004756332,"722/1378",2,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-75105","R-HSA-75105","Fatty acyl-CoA biosynthesis","2/66","32/8368",0.0261019199596725,0.304788032253511,0.27796004756332,"2180/55301",2,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-5357905","R-HSA-5357905","Regulation of TNFR1 signaling","2/66","35/8368",0.0308434519418777,0.304788032253511,0.27796004756332,"7185/7128",2,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-168638","R-HSA-168638","NOD1/2 Signaling Pathway","2/66","36/8368",0.0324943274572265,0.304788032253511,0.27796004756332,"7128/3656",2,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-6803157","R-HSA-6803157","Antimicrobial peptides","2/66","36/8368",0.0324943274572265,0.304788032253511,0.27796004756332,"6278/84659",2,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-977443","R-HSA-977443","GABA receptor activation","2/66","36/8368",0.0324943274572265,0.304788032253511,0.27796004756332,"2570/3759",2,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-6785807","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","3/66","91/8368",0.0348187953253449,0.304788032253511,0.27796004756332,"3162/3569/1901",3,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-166058","R-HSA-166058","MyD88:MAL(TIRAP) cascade initiated on plasma membrane","3/66","93/8368",0.0367847625133547,0.304788032253511,0.27796004756332,"11213/4792/3656",3,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-168179","R-HSA-168179","Toll Like Receptor TLR1:TLR2 Cascade","3/66","93/8368",0.0367847625133547,0.304788032253511,0.27796004756332,"11213/4792/3656",3,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-168188","R-HSA-168188","Toll Like Receptor TLR6:TLR2 Cascade","3/66","93/8368",0.0367847625133547,0.304788032253511,0.27796004756332,"11213/4792/3656",3,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-181438","R-HSA-181438","Toll Like Receptor 2 (TLR2) Cascade","3/66","93/8368",0.0367847625133547,0.304788032253511,0.27796004756332,"11213/4792/3656",3,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-198933","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","3/66","98/8368",0.0419449324427922,0.332677685475041,0.303394803904189,"933/57823/9437",3,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-9020702","R-HSA-9020702","Interleukin-1 signaling","3/66","99/8368",0.0430186662252208,0.332677685475041,0.303394803904189,"11213/4792/3656",3,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-75893","R-HSA-75893","TNF signaling","2/66","44/8368",0.0468784010430686,0.348424569435897,0.317755619131649,"7185/7128",2,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-388396","R-HSA-388396","GPCR downstream signalling","7/66","429/8368",0.0511327686880316,0.348424569435897,0.317755619131649,"6364/6372/53831/6374/2919/6351/9560",7,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-983705","R-HSA-983705","Signaling by the B Cell Receptor (BCR)","3/66","107/8368",0.0521004602705419,0.348424569435897,0.317755619131649,"933/4792/118788",3,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-1296071","R-HSA-1296071","Potassium Channels","2/66","52/8368",0.0631427637311236,0.348424569435897,0.317755619131649,"3750/3759",2,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-2151201","R-HSA-2151201","Transcriptional activation of mitochondrial biogenesis","2/66","55/8368",0.0696691023472592,0.348424569435897,0.317755619131649,"6604/6648",2,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-166016","R-HSA-166016","Toll Like Receptor 4 (TLR4) Cascade","3/66","121/8368",0.0700249426892943,0.348424569435897,0.317755619131649,"11213/4792/3656",3,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-397014","R-HSA-397014","Muscle contraction","3/66","122/8368",0.0714001532521865,0.348424569435897,0.317755619131649,"3750/6324/3759",3,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-9660821","R-HSA-9660821","ADORA2B mediated anti-inflammatory cytokines production","2/66","56/8368",0.0718921886610387,0.348424569435897,0.317755619131649,"3569/53831",2,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-110056","R-HSA-110056","MAPK3 (ERK1) activation","1/66","10/8368",0.0761701423131117,0.348424569435897,0.317755619131649,"3569",1,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-189483","R-HSA-189483","Heme degradation","1/66","10/8368",0.0761701423131117,0.348424569435897,0.317755619131649,"3162",1,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-2586552","R-HSA-2586552","Signaling by Leptin","1/66","10/8368",0.0761701423131117,0.348424569435897,0.317755619131649,"3953",1,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-937042","R-HSA-937042","IRAK2 mediated activation of TAK1 complex","1/66","10/8368",0.0761701423131117,0.348424569435897,0.317755619131649,"3656",1,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-1059683","R-HSA-1059683","Interleukin-6 signaling","1/66","11/8368",0.0834652811749608,0.348424569435897,0.317755619131649,"3569",1,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-2046104","R-HSA-2046104","alpha-linolenic (omega3) and linoleic (omega6) acid metabolism","1/66","11/8368",0.0834652811749608,0.348424569435897,0.317755619131649,"2180",1,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-2046106","R-HSA-2046106","alpha-linolenic acid (ALA) metabolism","1/66","11/8368",0.0834652811749608,0.348424569435897,0.317755619131649,"2180",1,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-419408","R-HSA-419408","Lysosphingolipid and LPA receptors","1/66","11/8368",0.0834652811749608,0.348424569435897,0.317755619131649,"1901",1,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-4755510","R-HSA-4755510","SUMOylation of immune response proteins","1/66","11/8368",0.0834652811749608,0.348424569435897,0.317755619131649,"4792",1,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-168928","R-HSA-168928","DDX58/IFIH1-mediated induction of interferon-alpha/beta","2/66","63/8368",0.0880706464594452,0.348424569435897,0.317755619131649,"4792/7128",2,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-1362409","R-HSA-1362409","Mitochondrial iron-sulfur cluster biogenesis","1/66","12/8368",0.0907036790979538,0.348424569435897,0.317755619131649,"51312",1,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-209560","R-HSA-209560","NF-kB is activated and signals survival","1/66","12/8368",0.0907036790979538,0.348424569435897,0.317755619131649,"4792",1,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-6803207","R-HSA-6803207","TP53 Regulates Transcription of Caspase Activators and Caspases","1/66","12/8368",0.0907036790979538,0.348424569435897,0.317755619131649,"58484",1,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-73887","R-HSA-73887","Death Receptor Signalling","3/66","136/8368",0.0918996039026161,0.348424569435897,0.317755619131649,"7185/4792/7128",3,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-6805567","R-HSA-6805567","Keratinization","2/66","67/8368",0.0977591666062641,0.348424569435897,0.317755619131649,"6703/6699",2,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-6809371","R-HSA-6809371","Formation of the cornified envelope","2/66","67/8368",0.0977591666062641,0.348424569435897,0.317755619131649,"6703/6699",2,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
