...1,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,dir,database,virus,knock_in,coef,log10p,signed_log10p
R-HSA-4491476,R-HSA-449147,Signaling by Interleukins,150/1233,396/8368,1.70555834969721e-31,2.11659791197423e-28,1.80968717525767e-28,9244/9235/240/7431/7133/9846/5606/1265/7132/6624/6813/4791/3566/54472/2920/3595/3383/11213/3594/5008/3162/1439/3560/3091/4792/4318/3055/7076/50615/8767/4793/9466/7040/3718/6804/2889/1326/1440/6347/4790/3587/9049/51561/5777/6648/7422/4001/1154/3552/6364/2335/7850/9173/8809/8807/1441/2185/941/729230/27189/2162/1026/3553/6776/5782/3976/3656/3559/3601/84868/3936/3569/56300/3557/27179/26525/4609/5292/3662/10068/834/6775/1848/3687/5778/4478/3561/6935/9446/4314/10538/3689/3570/1234/6283/2919/1230/1849/1278/6850/6809/64127/3575/79155/3635/3627/5724/3576/3684/2353/1901/2357/3726/5293/4615/5970/6777/246330/3725/23765/2885/1436/653604/3654/1435/9021/3563/8651/5600/8660/3556/8356/1438/177/5699/1052/7124/5698/4282/4067/8517/8355/8353/6351/8354/8350/6349/6348/8968/8357,150,up,Reactome,HSV1.nasal,FALSE,1,27.67436163664115,27.67436163664115
R-HSA-67986957,R-HSA-6798695,Neutrophil degranulation,158/1233,445/8368,2.04658506039595e-29,1.26990602997569e-26,1.0857672320416399e-26,2268/4353/3683/8993/64386/5329/7305/4057/240/6556/1992/960/7133/2896/7077/1535/6515/1265/8514/6793/54472/5788/2219/2512/201294/10043/410/4318/10326/2717/10562/23406/83716/29108/79792/945/8778/3614/5023/5878/230/4790/683/2352/10312/51411/5777/8876/411/25801/25797/965/11240/4317/383/84418/5328/976/64333/7130/1088/22918/5199/968/27180/684/9535/1116/1118/1794/7097/6386/121260/53831/54509/3687/7226/963/2212/6279/6278/8560/127829/79930/93100/101/79888/978/2207/3689/3101/2215/6280/6283/3577/4332/5806/5473/2919/2992/5580/25798/1536/338339/3903/11314/2495/53917/6036/5724/10555/3684/929/126014/1084/2358/2357/116844/2548/124583/719/566/10855/3310/4973/374403/29952/391/51806/23526/3579/222487/199675/8694/527/2204/6402/12/4311/5265/728/10533/1675/140885/4860/1378/4758/3304/3303/57126/5004/150372/4282/80301/100049587/401258/3240/23601,158,up,Reactome,HSV1.nasal,FALSE,1,25.89622841461328,25.89622841461328
R-HSA-1989336,R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,55/1233,98/8368,1.23603145490905e-21,5.113050118473769e-19,4.37164809315201e-19,3683/7305/933/57823/1308/2213/3385/29992/6614/3383/10859/11024/3386/7087/945/8778/10990/56654/3384/1277/56253/9976/79865/54210/10870/27180/5819/3824/89790/2209/3689/1278/3903/10871/11314/1281/27036/126014/124599/8519/146722/342510/11006/353514/285852/6402/9437/919/2214/4277/3133/3135/3134/11027/89858,55,up,Reactome,HSV1.nasal,FALSE,1,18.291319950267805,18.291319950267805
R-HSA-96162225,R-HSA-9616222,Transcriptional regulation of granulopoiesis,45/1233,73/8368,3.4072998980540396e-20,1.0571147933712601e-17,9.038311308522289e-18,6688/1441/8970/1026/5914/3021/4609/5371/2313/3017/3570/1051/8334/8347/653604/8338/8340/3014/8356/85236/1050/8362/8342/8339/8355/8344/8361/8348/8353/8368/8354/8345/8350/8294/8331/3018/3012/8360/8343/8968/8335/8346/8359/8366/8357,45,up,Reactome,HSV1.nasal,FALSE,1,16.97587784956983,16.97587784956983
R-HSA-56258865,R-HSA-5625886,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,36/1233,51/8368,2.4647579240227398e-19,6.11752916742445e-17,5.23047576297879e-17,5585/8970/3021/3017/8334/8347/653604/8338/8340/3014/8356/85236/8362/8342/8339/8355/8344/8361/8348/8353/8368/8354/8345/8350/8294/8331/3018/3012/8360/8343/8968/8335/8346/8359/8366/8357,36,up,Reactome,HSV1.nasal,FALSE,1,16.213423951322916,16.213423951322916
R-HSA-737285,R-HSA-73728,RNA Polymerase I Promoter Opening,35/1233,49/8368,4.2213929780103594e-19,8.73124780951809e-17,7.465200213744631e-17,8970/3021/3017/8334/8347/653604/8338/8340/3014/8356/85236/8362/8342/8339/8355/8344/8361/8348/8353/8368/8354/8345/8350/8294/8331/3018/3012/8360/8343/8968/8335/8346/8359/8366/8357,35,up,Reactome,HSV1.nasal,FALSE,1,16.058923685496854,16.058923685496854
R-HSA-53341185,R-HSA-5334118,DNA methylation,35/1233,50/8368,1.2104993460011499e-18,2.14604241198205e-16,1.83486216657017e-16,8970/3021/3017/8334/8347/653604/8338/8340/3014/8356/85236/8362/8342/8339/8355/8344/8361/8348/8353/8368/8354/8345/8350/8294/8331/3018/3012/8360/8343/8968/8335/8346/8359/8366/8357,35,up,Reactome,HSV1.nasal,FALSE,1,15.66836169937484,15.66836169937484
R-HSA-3730766,R-HSA-373076,Class A/1 (Rhodopsin-like receptors),63/1233,143/8368,1.73138778649794e-17,2.68581530380493e-15,2.29636695893411e-15,9170/1906/2920/64748/6354/6347/3274/6364/1889/8111/9034/729230/7852/6372/5732/4987/8698/2867/1236/1907/135/27202/57007/9718/1234/58191/60675/3577/2921/6374/5473/2919/1230/3627/6373/5724/3576/1901/2358/2357/5734/5031/719/1240/9934/151306/6752/53637/3579/53829/338442/29933/2865/2833/27198/728/56670/3640/8843/6351/6349/6348/6753,63,up,Reactome,HSV1.nasal,FALSE,1,14.570923855887811,14.570923855887811
R-HSA-25595826,R-HSA-2559582,Senescence-Associated Secretory Phenotype (SASP),50/1233,98/8368,2.02583470875839e-17,2.7934009706324e-15,2.38835249874673e-15,51343/27338/4790/3552/8970/1026/1032/3021/8900/3569/27287/3017/3576/2353/1051/5970/11065/3725/8334/8347/653604/8338/8340/3014/8356/85236/8362/8342/8339/8355/8344/8361/8348/8353/8368/8354/8345/8350/8294/8331/3018/3012/8360/8343/8968/8335/8346/8359/8366/8357,50,up,Reactome,HSV1.nasal,FALSE,1,14.553866720283851,14.553866720283851
R-HSA-4273595,R-HSA-427359,SIRT1 negatively regulates rRNA expression,35/1233,54/8368,5.4094376745245905e-17,6.71311215408502e-15,5.739698079916621e-15,8970/3021/3017/8334/8347/653604/8338/8340/3014/8356/85236/8362/8342/8339/8355/8344/8361/8348/8353/8368/8354/8345/8350/8294/8331/3018/3012/8360/8343/8968/8335/8346/8359/8366/8357,35,up,Reactome,HSV1.nasal,FALSE,1,14.173076097118168,14.173076097118168
