"","gene_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","virus","knock_in"
"1","ENSG00000000003",-0.18474295455374,7.8444302873333,-2.6543088662579,0.00801020014574833,0.113763634328033,-2.84480196638188,"Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"2","ENSG00000000419",-0.0243681684842622,5.25305432723845,-0.756764795137884,0.449280084750449,0.703479938715301,-5.84973148994225,"Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"3","ENSG00000000457",-0.00859633584821452,4.99872518056107,-0.255195841659146,0.79859812947842,0.911226702108976,-6.10993289090195,"Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"4","ENSG00000000460",-0.00832384665867138,3.24239648746853,-0.148780616406249,0.881741772657909,0.95091514932583,-5.91383804143247,"Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"5","ENSG00000000938",0.566310433375205,5.18780878241479,3.38417776059343,0.000727721485237692,0.0441136193057962,-0.701034239727932,"Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"6","ENSG00000000971",-0.0618622948847033,7.19437999881701,-0.949889326179965,0.342283465541087,0.618613816500367,-5.78990611936019,"Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"7","ENSG00000001036",-0.112366301984264,5.44613645142818,-2.82111558360387,0.00483302472655252,0.0926372246069678,-2.34985969917445,"Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"8","ENSG00000001084",-0.164181695032825,7.76082608604676,-2.21798848727526,0.0266677860802597,0.185853177470636,-3.85422347744921,"Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"9","ENSG00000001167",0.163232799442203,4.99264618405159,3.11081684493518,0.00189208754730598,0.0654242977719242,-1.53831002768907,"Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"10","ENSG00000001460",-0.0280518294614653,4.76232793601151,-0.434804309522497,0.66375147089662,0.838693370491993,-5.99998868353487,"Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"11","ENSG00000001461",-0.0522461981398808,6.33127127007781,-1.24545628166889,0.213110230580065,0.488645979526814,-5.46645257739965,"Human gammaherpesvirus 4 (EBV).pbmc",FALSE
