"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","dir","database","virus","knock_in"
"R-HSA-109582","R-HSA-109582","Hemostasis","80/487","491/8020",6.66930462481102e-17,6.33583939357047e-14,5.8689880698337e-14,"5577/3674/6915/30845/3479/30846/5874/2983/489/11343/2782/634/5026/4680/51206/24137/7078/6547/81027/2623/94121/8140/857/7450/10112/6678/6382/4602/1191/1088/9002/29802/3512/91768/5270/7225/9493/3832/22915/1950/351/207/11004/1893/7873/1609/2768/23052/90952/150/7424/7804/9162/10603/5473/5196/56992/2982/7465/5579/90990/2815/6403/2814/161882/2621/5627/2811/5592/146909/5138/5657/2316/80739/57126/3046/5004/3833/3690/8355",80,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-1474244","R-HSA-1474244","Extracellular matrix organization","39/487","205/8020",9.93912988216003e-11,4.72108669402601e-08,4.37321714815041e-08,"3674/4052/91522/1308/634/1286/3693/4680/9509/1511/4318/4324/7450/6678/6382/4317/1300/1088/3911/84034/8728/3915/11131/2247/5045/351/3339/3680/5352/80274/1293/26577/5654/2200/7148/1285/255631/1991/3690",39,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-76002","R-HSA-76002","Platelet activation, signaling and aggregation","39/487","219/8020",7.65570972753906e-10,2.42430808038737e-07,2.24567485341146e-07,"3674/6915/3479/5874/11343/2782/51206/7078/94121/7450/6678/1191/9002/7225/22915/1950/351/207/1893/7873/1609/2768/23052/150/7424/9162/5473/5196/5579/2815/6403/2814/2621/5627/2811/2316/80739/5004/3690",39,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-156711","R-HSA-156711","Polo-like kinase mediated events","10/487","16/8020",3.58279184561982e-09,8.50913063334706e-07,7.88214206036359e-07,"4605/2305/1063/9088/891/9133/995/993/7465/5347",10,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-69620","R-HSA-69620","Cell Cycle Checkpoints","43/487","277/8020",8.17380200807792e-09,1.5530223815348e-06,1.43858915342171e-06,"55388/4171/51512/4998/332/23594/8318/990/79019/2491/4173/898/1058/991/1063/11130/9088/7533/891/55143/57082/11004/83540/890/57405/220134/701/9133/995/1780/147841/993/7465/5347/699/983/9156/11065/9134/116028/9212/55920/3014",43,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-2500257","R-HSA-2500257","Resolution of Sister Chromatid Cohesion","25/487","117/8020",2.26548645976202e-08,3.36228644940566e-06,3.11453902681788e-06,"332/79019/81027/2491/1058/991/1063/11130/891/55143/57082/11004/83540/113130/57405/220134/701/9133/1780/147841/5347/699/983/9212/55920",25,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-69205","R-HSA-69205","G1/S-Specific Transcription","12/487","28/8020",2.73618267993226e-08,3.36228644940566e-06,3.11453902681788e-06,"4998/8318/990/1869/898/1875/81620/7083/983/6241/7298/1719",12,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-76005","R-HSA-76005","Response to elevated platelet cytosolic Ca2+","24/487","110/8020",2.83139911528898e-08,3.36228644940566e-06,3.11453902681788e-06,"3674/3479/5874/7078/94121/7450/6678/1191/22915/1950/351/1893/7873/23052/7424/5473/5196/5579/6403/2621/5627/2316/5004/3690",24,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-114608","R-HSA-114608","Platelet degranulation ","23/487","106/8020",6.16566771227819e-08,6.50820480740475e-06,6.02865287422756e-06,"3674/3479/5874/7078/94121/7450/6678/1191/22915/1950/351/1893/7873/23052/7424/5473/5196/6403/2621/5627/2316/5004/3690",23,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-6803157","R-HSA-6803157","Antimicrobial peptides","12/487","32/8020",1.62291785611752e-07,1.54177196331164e-05,1.42816771338341e-05,"8993/4057/1511/671/1191/3934/820/1669/6037/5657/1991/1668",12,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
