"","x","predicted","std.error","conf.low","conf.high","group","TG"
"1",0,22.0935771323426,2.89446951966096,16.4205211194582,27.766633145227,"1","1-3"
"2",1,28.1686166557906,3.14418193653148,22.0061332993475,34.3311000122337,"1","1-3"
"3",2,34.2411256399059,4.21435511768046,25.9811413911902,42.5011098886217,"1","1-3"
"4",3,40.3103700673808,5.65601188490239,29.2247904768416,51.39594965792,"1","1-3"
"5",4,46.3783007880793,7.25257663944191,32.1635117796566,60.5930897965019,"1","1-3"
"6",5,52.4459486877664,8.9237699513147,34.9556809768689,69.936216398664,"1","1-3"
"7",0,30.8353198935504,4.86951636236124,21.2912432011938,40.3793965859069,"1","4-5"
"8",1,28.6831678378567,5.13936312979615,18.6102011999832,38.7561344757302,"1","4-5"
"9",2,29.2542859296228,5.69317787908744,18.0958623290313,40.4127095302143,"1","4-5"
"10",3,33.4149141117613,6.18741056935119,21.2878122382705,45.5420159852521,"1","4-5"
"11",4,39.2400708756656,6.72485388063276,26.059599468331,52.4205422830002,"1","4-5"
"12",5,45.5705843097218,8.83352391361564,28.2571955824619,62.8839730369818,"1","4-5"
