"","group_id","timepoint","mean","median","sd","count"
"1","Azithromycin","Day 0-2",1.12240620191281,1.17896883186552,0.673294480089407,420
"2","Azithromycin","Day 4-6",1.12660950958445,1.27277286432786,0.726997428114344,62
"3","No ABX","Day 0-2",0.970805144180505,1.04663870439793,0.620518479900761,127
"4","No ABX","Day 4-6",0.986174369820205,1.05492016798614,0.605802304060535,72
"5","Other ABX","Day 0-2",0.90441010826705,0.929761738547345,0.627873489748094,236
"6","Other ABX","Day 4-6",1.04287226835101,1.12643352895184,0.675577885320384,54
