"","group_id","timepoint","shannon"
"140","Azithromycin","Day 0-2",1.27703425946614
"141","Other ABX","Day 4-6",0
"142","No ABX","Day 0-2",1.09861228866811
"143","Azithromycin","Day 0-2",0.693147180559945
"144","Other ABX","Day 0-2",0.955699891112534
"145","Other ABX","Day 4-6",1.6777456399355
"146","No ABX","Day 0-2",0
"147","Azithromycin","Day 0-2",0.759295102922524
"148","Azithromycin","Day 4-6",0.733541748763649
"149","Azithromycin","Day 4-6",0
"150","Other ABX","Day 0-2",0.562335144618808
"151","Azithromycin","Day 0-2",1.50568077836006
"152","Azithromycin","Day 0-2",1.64173471218752
"153","Azithromycin","Day 0-2",1.38629436111989
"154","Azithromycin","Day 0-2",0
"155","No ABX","Day 0-2",0.997873767871472
"156","No ABX","Day 4-6",0
"157","Other ABX","Day 0-2",0
"158","Azithromycin","Day 0-2",1.47507631105469
"159","Azithromycin","Day 0-2",0
"160","Azithromycin","Day 0-2",1.09861228866811
"161","Other ABX","Day 0-2",0
"162","Other ABX","Day 0-2",1.74786809746676
"163","Other ABX","Day 0-2",1.67698777432242
"164","No ABX","Day 0-2",0
"165","Other ABX","Day 0-2",1.50478828368119
"166","Azithromycin","Day 0-2",1.09861228866811
"167","Azithromycin","Day 0-2",0.639031859650177
"168","Other ABX","Day 0-2",0
"169","Other ABX","Day 0-2",0.149994923610415
"170","Other ABX","Day 0-2",0.176326264540061
"171","Azithromycin","Day 0-2",0.636514168294813
"172","Other ABX","Day 4-6",0.500402423538188
"173","Azithromycin","Day 0-2",1.21488965394912
"174","Azithromycin","Day 0-2",2.06143304350064
"175","Azithromycin","Day 4-6",2.00417261421649
"176","No ABX","Day 4-6",1.05492016798614
"177","No ABX","Day 0-2",0
"178","No ABX","Day 0-2",0.811982726043406
"179","Azithromycin","Day 0-2",1.89911007614544
"180","Azithromycin","Day 0-2",1.2130075659799
"181","Azithromycin","Day 0-2",1.90853528164356
"182","Azithromycin","Day 0-2",1.75653673990849
"183","Azithromycin","Day 0-2",1.037129268358
"184","Azithromycin","Day 0-2",0.917965327851265
"185","Azithromycin","Day 0-2",0
"186","Azithromycin","Day 4-6",0
"187","Other ABX","Day 0-2",1.90419119734007
