"","Corynebacterium","Prevotella","Mycoplasma","Staphylococcus","Dolosigranulum","Anaerococcus","Peptoniphilus","Veillonella","Alloprevotella","Finegoldia","Lawsonella","Schaalia","Porphyromonas","Dermacoccus","Pseudomonas","Agrobacterium","Paraprevotella","Cutibacterium","Actinomyces","Capnocytophaga","Enterococcus","Streptococcus","Campylobacter","Haemophilus","Klebsiella","Thauera","Deinococcus","Rothia","Achromobacter","Leptotrichia"
"ermb",0.386700692450608,9.48337799546706e-06,0.871321305726299,0.469199300160862,0.506394038933774,0.309255353793493,0.343634166200849,1.85259996247431e-05,0.883285225756199,0.384806745178609,0.603034075361575,0.943410163140312,0.652176663193664,0.886872520211152,0.841770528531349,0.696271284070573,0.813250260772117,0.886872520211152,0.911976535081441,0.0202239503909793,3.67799484402864e-20,0.794497438989487,0.984726041149185,0.780363470693955,0.910897362106838,0.886872520211152,0.751966757217982,0.982076803626238,NA,0.764098082497171
"mphc",0.00907160725214116,0.445349054051216,0.0712782150298573,0.00127327498598622,0.523262742386542,0.0278685708905349,0.119555883329227,0.226342111804669,0.71175705138842,0.040794566446042,0.851318060396139,0.0081254613312622,0.707365858472908,9.54101216107884e-06,0.568748453154393,0.171477268553002,0.291805965838162,0.661595318127719,0.139782485196015,0.474842338249252,0.503680521246187,0.465004687179794,0.790341313803631,0.0283370538522934,0.595585738956887,0.0485219877731632,0.0362316982917344,0.513189424070631,NA,0.562884248011015
"msra",0.636343147576589,0.51273808685425,0.069163317818395,0.0122377100956952,0.221003709613508,2.00840683837853e-06,0.00124857614151859,0.0348792961849531,0.102144858797499,2.73770937095932e-05,0.273878672785977,0.257084974647066,0.598290109551322,0.677913376123386,0.600792237283928,0.336532158763085,0.464214782193352,0.677913376123386,0.0132380770780768,0.304919981892942,0.417207036399664,0.324145447760526,0.0496148364121546,0.0608024558593786,0.614548507186367,1.98638163206826e-05,0.00696866413795516,0.911188301375997,NA,0.0305311677112872
"ermx",9.15985254708627e-14,0.16653578615655,0.681345144827424,0.196733001230365,1.17318291954911e-14,0.299982223028504,0.517023123357985,0.441818755801583,0.512494562750126,0.480417150066464,0.563695142993039,0.862167751956094,0.314713010607002,2.64589854966074e-13,0.726922427402176,0.49288533219055,0.589187966445564,0.803474313858582,0.5086104418981,0.588015499082806,0.573183457496936,0.443680663065613,0.515938833538115,0.00588219050722092,0.77203128334286,0.0912915415238281,0.687352510849171,0.734916223933114,NA,0.500663136521145
"mel",0.923553461638172,0.000220418823471496,0.147783870444559,0.24049656718942,0.289948709768771,0.000349625618881268,0.00111685438405694,1.09887187095094e-14,0.0325879236785633,0.00244699981988767,0.498097068037992,0.000183721370343819,0.231078786859813,0.820923472992656,0.750751576295075,0.700803642442514,0.224309198784901,0.820923472992656,0.221200507242079,2.07251258750869e-16,0.588286206451637,0.000513691026960148,0.508395736931156,0.625751159812061,0.783739222208899,0.820923472992656,0.614993302402634,0.0449261454891363,NA,0.0351466985832761
"ermc",0.381217051242622,0.214660747438928,0.701104547029533,0.0414317004587428,0.224220978014906,0.281971163748818,0.0313952346801825,0.882621221520414,0.389744215553362,0.245168314262103,0.216034509598275,0.763401662187142,0.224042596031499,0.781340689312592,0.69688203693575,0.417445819881838,0.425463695476841,0.781340689312592,0.603679018403019,0.363562098192318,0.740083923737929,0.38182412848479,0.146805459487453,0.471619233075727,0.73645501919387,0.781340689312592,0.542237462286746,0.741762165217519,NA,0.463306880173582
"erma",0.00934203200274275,0.771857297008455,0.167900917632666,0.604394036809266,0.312185742256072,3.05832208907096e-17,7.42943621148359e-19,0.0154981510058827,0.00340762062489069,2.31984118921977e-13,0.0798368917838226,0.616476104438538,0.891327288390704,0.798154744272775,0.739064280791228,0.412655747874864,0.655881266576299,0.740149788336751,0.757166728368559,0.317114654616337,0.815373198459314,0.597980581957092,1.52624347623524e-07,0.689398021681724,0.756505576681469,0.798154744272775,0.875605635302433,0.958334427563427,NA,0.501816787490899
"MLS",1.5783195835271e-07,0.557428908793728,0.598187361927071,0.3655152117909,0.00204791349622062,0.000345171790321214,5.93819254684118e-05,0.0979551880495064,0.246290296003255,0.000649175552782123,0.86166941004478,0.486555765896193,0.290058129694337,3.94804570237261e-05,0.473154808647626,0.144477811014411,0.576150116027135,0.808976621170444,0.636621560352343,0.985431808701098,0.112055107863697,0.25189974308428,0.027840022811754,0.0777257398423631,0.532573873777664,0.198673525738414,0.956954089838141,0.90596423061928,NA,0.983495763250933
