"","group_id","timepoint","mean","median","std_dev","count","se","CI_lower","CI_upper"
"1","Azithromycin","Day 0-2",1.76904761904762,2,1.27636642961317,420,0.0622803045884278,1.6469782220543,1.89111701604094
"2","Azithromycin","Day 4-6",2.20967741935484,2,1.50558628386761,62,0.191209649260931,1.83490650680341,2.58444833190626
"3","No ABX","Day 0-2",1.20472440944882,1,1.15702535043201,127,0.10266939762653,1.00349239010082,1.40595642879682
"4","No ABX","Day 4-6",1.375,1,1.24964783771663,72,0.14727241002409,1.08634607635278,1.66365392364722
"5","Other ABX","Day 0-2",1.09745762711864,1,0.990934385135417,236,0.0645043342271161,0.971029132033496,1.22388612220379
"6","Other ABX","Day 4-6",1.2962962962963,1,1.10964263548072,54,0.151003236320273,1.00032995310856,1.59226263948403
