"","Corynebacterium segmentosum","Corynebacterium tuberculostearicum","Corynebacterium kefirresidentii","Prevotella oris","Mycoplasma salivarium","Cutibacterium granulosum","Corynebacterium kroppenstedtii","Dolosigranulum pigrum","Staphylococcus epidermidis","Peptoniphilus harei","Anaerococcus prevotii","Pseudomonas aeruginosa","Finegoldia magna","Veillonella parvula","Corynebacterium simulans","Lawsonella clevelandensis","Schaalia odontolytica","Prevotella sp. oral taxon 299","Dermacoccus nishinomiyaensis","Prevotella melaninogenica","Anaerococcus mediterraneensis","Corynebacterium propinquum","Corynebacterium striatum","Staphylococcus aureus","Cutibacterium acnes","Prevotella jejuni","Agrobacterium tumefaciens","Corynebacterium sp. ZJ-599","Paraprevotella xylaniphila","Porphyromonas asaccharolytica"
"ermb",0.711468374122573,0.871047993166084,0.719862959441999,0.000613450506519174,0.940902835967722,0.967599168371004,0.936173675719143,0.719862959441999,0.719862959441999,0.709233477940824,0.46659841526263,0.883457220138622,0.699562076780297,4.9872435881092e-05,0.762372428355026,0.777194891645184,0.871047993166084,0.8246512104182,0.883457220138622,0.354555499532358,0.540282360583183,0.833439280851705,0.850174941819612,0.814060774979261,0.871047993166084,8.38759156589556e-05,0.842062206777116,0.858419254790157,0.913335616526679,0.850174941819612
"mphc",0.409961190968325,0.0687039088580662,9.63761523926787e-05,0.940902835967722,0.719862959441999,0.354555499532358,0.354555499532358,0.767933312116292,0.00364217101006664,0.0280863168410688,2.32176676927298e-05,0.719862959441999,0.141341911778987,0.541975697942099,6.44304692829781e-06,0.871047993166084,0.0865058907361848,0.719862959441999,0.000500802100331812,0.967599168371004,0.000420366625031869,0.593060835412973,0.0184386758425782,5.32186925501745e-06,0.695788290733979,0.719862959441999,0.711468374122573,0.0123865089779668,0.524323885904247,0.719862959441999
"msra",0.541975697942099,0.060359901528608,0.0113783086070637,0.85856565411327,0.897063219700838,0.000237063412744139,0.000320718671934926,0.450678766056033,0.0264883770746252,0.00203267870390095,9.13434620251213e-07,0.719862959441999,0.000246512758773407,0.114975758174544,0.00241296858856151,0.592616227915374,0.797542179578903,0.898887338207643,0.200205259800594,0.993762695507035,4.18966806134103e-05,0.831261865322653,0.027451864530414,0.0114353334403032,0.711468374122573,0.200274008090731,0.860210985753505,0.529919430274696,0.306909723105341,0.983668184704047
"ermx",6.28839500553003e-12,0.592616227915374,8.02827244361265e-06,0.508553776571599,0.619632260612909,0.850174941819612,0.814060774979261,9.08097370222001e-13,0.417253955822771,0.736402788921821,0.0194971737771977,0.8246512104182,0.719862959441999,0.831261865322653,1.76218353333749e-11,0.736402788921821,0.814213406853369,0.545132150713092,2.06594920449403e-07,0.498467406624418,0.0413450111311368,8.84702145065632e-07,4.57850845121997e-05,0.0403555442585119,0.814060774979261,0.993762695507035,0.8246512104182,1.03074909118703e-21,0.712997493667371,0.719862959441999
"mel",0.814060774979261,0.529919430274696,0.8246512104182,0.642129287047425,0.354555499532358,0.590205933158838,0.270207478366458,0.541975697942099,0.488819182019856,0.0061096715447011,0.000564660961707226,0.831261865322653,0.00227121046074877,9.18984738002349e-11,0.417253955822771,0.751070145067384,0.0135911495055654,0.706253132206386,0.831261865322653,8.65288354354458e-06,0.000227669378962119,0.762372428355026,0.719862959441999,0.711468374122573,0.983668184704047,0.000283228266045675,0.940902835967722,0.940902835967722,0.719862959441999,0.850174941819612
"ermc",0.409961190968325,5.02585036539351e-08,0.0405236299706192,0.842062206777116,0.736845648447969,0.134162680490494,1.25547320187188e-07,0.719862959441999,0.147513614752285,0.083244535836109,0.00162761140866958,0.814060774979261,0.541975697942099,0.936173675719143,2.30607338543911e-05,0.442222859046547,0.0865058907361848,0.498467406624418,0.814060774979261,0.541975697942099,0.00291961399117584,0.719862959441999,6.44304692829781e-06,0.642129287047425,0.788664157169766,0.831261865322653,0.642129287047425,0.711468374122573,0.895560019522463,0.719862959441999
"erma",0.767933312116292,3.11938221505719e-08,0.00123010784256223,0.545132150713092,0.701560829740976,8.93697324445838e-08,1.47984983010823e-06,0.997917104174825,0.767933312116292,8.06419845573965e-16,1.00273284624927e-15,0.8246512104182,1.11139962494748e-11,0.060359901528608,0.000491631364169073,0.249884129980891,0.0114353334403032,0.719862959441999,0.8246512104182,0.8246512104182,1.2678776686086e-18,0.811262431837363,5.24964599201619e-06,0.719862959441999,0.946793761269279,0.0865058907361848,0.711468374122573,0.541975697942099,0.941414301748209,0.936173675719143
"MLS",0.0106521826889299,3.13870235083437e-06,2.09554969802835e-07,0.850174941819612,0.654512486697982,0.00983478000103707,2.02374904452416e-06,0.00156770929336119,0.695788290733979,6.44304692829781e-06,3.95558905166626e-13,0.66531426590093,0.00376293347226387,0.179392909138113,2.70337309047839e-17,0.860210985753505,0.0194971737771977,0.447227255573875,0.00513152579265225,0.746026828320494,2.75850996633243e-12,0.0157547746912686,3.65611142452425e-11,0.219213807212372,0.709233477940824,0.153557953597979,0.498467406624418,2.19649228635672e-09,0.940902835967722,0.719862959441999
