"","timepoint","group1","group2","p","p.adj"
"1","Day 0-2","No ABX","Azithromycin",0.123762738287927,0.18564410743189
"2","Day 4-6","No ABX","Azithromycin",0.12961569345125,0.194423540176874
"3","Day 0-2","Azithromycin","Other ABX",0.00191810554217151,0.00575431662651453
"4","Day 4-6","Azithromycin","Other ABX",0.0973208966464458,0.194423540176874
"5","Day 0-2","No ABX","Other ABX",0.189619489958595,0.189619489958595
"6","Day 4-6","No ABX","Other ABX",0.605388854294164,0.605388854294164
