"","Test","Factor","pval","adj_pval","direction"
"67","Visit1_1vs4","Factor4",0.746972631474626,0.746972631474626,"Severe"
"68","Visit1_1vs4","Factor5",0.000298534976113886,0.000696581610932401,"Severe"
"69","Visit1_1vs4","Factor6",0.00392719617330433,0.00549807464262607,"Severe"
"70","Visit1_1vs4","Factor7",0.00322981964575433,0.00549807464262607,"Severe"
"71","Visit1_2vs4","Factor1",3.43030339051209e-10,1.20060618667923e-09,"Severe"
"72","Visit1_2vs4","Factor2",0.374907531595336,0.437392120194559,"Mild"
"73","Visit1_2vs4","Factor3",3.26257812701238e-10,1.20060618667923e-09,"Severe"
"74","Visit1_2vs4","Factor4",0.51275777256405,0.51275777256405,"Mild"
"75","Visit1_2vs4","Factor5",5.84722190648179e-05,0.000136435177817908,"Severe"
"76","Visit1_2vs4","Factor6",0.00163961950487911,0.00286933413353844,"Severe"
"77","Visit1_2vs4","Factor7",0.0928372621887503,0.12997216706425,"Severe"
"78","Longitudinal_slope_global","Factor1",7.39114467696085e-29,5.17380127387259e-28,NA
"79","Longitudinal_slope_global","Factor2",0.0133507103734746,0.0267014207469492,NA
"80","Longitudinal_slope_global","Factor3",3.55445319123822e-06,1.77722659561911e-05,NA
"81","Longitudinal_slope_global","Factor4",0.0763065267057741,0.0763065267057741,NA
"82","Longitudinal_slope_global","Factor5",2.73792703207925e-06,1.64275621924755e-05,NA
"83","Longitudinal_slope_global","Factor6",2.25186884374655e-05,9.00747537498622e-05,NA
"84","Longitudinal_slope_global","Factor7",0.00189695458266106,0.00569086374798317,NA
"85","Longitudinal_intercept_global","Factor1",1.52960033199842e-84,1.07072023239889e-83,NA
"86","Longitudinal_intercept_global","Factor2",0.0229064998351323,0.0458129996702647,NA
"87","Longitudinal_intercept_global","Factor3",3.08899313706915e-15,1.85339588224149e-14,NA
"88","Longitudinal_intercept_global","Factor4",0.0349145100699488,0.0458129996702647,NA
"89","Longitudinal_intercept_global","Factor5",0.0015995207668436,0.00479856230053081,NA
"90","Longitudinal_intercept_global","Factor6",4.27672260481783e-12,2.13836130240891e-11,NA
"91","Longitudinal_intercept_global","Factor7",0.00080931349675093,0.00323725398700372,NA
"92","Longitudinal_p.slope.adj_1v2","Factor1",0.0131400821978287,0.0229951438462003,"Mild"
"93","Longitudinal_p.slope.adj_1v2","Factor2",0.00379423385477652,0.0218064408481574,"Severe"
"94","Longitudinal_p.slope.adj_1v2","Factor3",0.0243580309040965,0.034101243265735,"Severe"
"95","Longitudinal_p.slope.adj_1v2","Factor4",0.297948067887326,0.34760607920188,"Severe"
"96","Longitudinal_p.slope.adj_1v2","Factor5",0.613522780411763,0.613522780411763,"Severe"
"97","Longitudinal_p.slope.adj_1v2","Factor6",0.00934561750635316,0.0218064408481574,"Mild"
"98","Longitudinal_p.slope.adj_1v2","Factor7",0.00659398739492482,0.0218064408481574,"Mild"
"99","Longitudinal_p.slope.adj_1v3","Factor1",0.173987464267808,0.304478062468664,"Severe"
"100","Longitudinal_p.slope.adj_1v3","Factor2",0.0664179534444252,0.154975224703659,"Severe"
"101","Longitudinal_p.slope.adj_1v3","Factor3",0.814180336731515,0.814180336731515,"Severe"
"102","Longitudinal_p.slope.adj_1v3","Factor4",0.0232857322127761,0.154975224703659,"Severe"
"103","Longitudinal_p.slope.adj_1v3","Factor5",0.625156451233533,0.743701360892903,"Mild"
"104","Longitudinal_p.slope.adj_1v3","Factor6",0.637458309336774,0.743701360892903,"Severe"
"105","Longitudinal_p.slope.adj_1v3","Factor7",0.0546851816306579,0.154975224703659,"Mild"
"106","Longitudinal_p.slope.adj_1v4","Factor1",9.89418021456563e-05,0.000346296307509797,"Severe"
"107","Longitudinal_p.slope.adj_1v4","Factor2",0.00018312437624733,0.000427290211243769,"Severe"
"108","Longitudinal_p.slope.adj_1v4","Factor3",0.168691335711549,0.168691335711549,"Severe"
"109","Longitudinal_p.slope.adj_1v4","Factor4",0.115389776746558,0.161545687445181,"Severe"
"110","Longitudinal_p.slope.adj_1v4","Factor5",4.80714066931026e-06,3.36499846851718e-05,"Mild"
"111","Longitudinal_p.slope.adj_1v4","Factor6",0.105277012631984,0.161545687445181,"Severe"
"112","Longitudinal_p.slope.adj_1v4","Factor7",0.14626024364155,0.168691335711549,"Mild"
"113","Longitudinal_p.slope.adj_1v5","Factor1",1.91478033281814e-28,1.3403462329727e-27,"Severe"
"114","Longitudinal_p.slope.adj_1v5","Factor2",0.580112743683004,0.676798200963504,"Severe"
"115","Longitudinal_p.slope.adj_1v5","Factor3",0.000236077633438195,0.000826271717033682,"Severe"
"116","Longitudinal_p.slope.adj_1v5","Factor4",0.956057106406157,0.956057106406157,"Mild"
"117","Longitudinal_p.slope.adj_1v5","Factor5",0.0504227348881079,0.0882397860541888,"Mild"
"118","Longitudinal_p.slope.adj_1v5","Factor6",0.00126908692864249,0.00296120283349914,"Severe"
"119","Longitudinal_p.slope.adj_1v5","Factor7",0.536835387097305,0.676798200963504,"Mild"
"120","Longitudinal_p.slope.adj_2v3","Factor1",9.10098557371253e-05,0.000637068990159877,"Severe"
"121","Longitudinal_p.slope.adj_2v3","Factor2",0.544884229742076,0.588833559015617,"Mild"
"122","Longitudinal_p.slope.adj_2v3","Factor3",0.0216368076446987,0.0757288267564456,"Mild"
"123","Longitudinal_p.slope.adj_2v3","Factor4",0.198809537183796,0.463888920095523,"Severe"
"124","Longitudinal_p.slope.adj_2v3","Factor5",0.357092019815478,0.588833559015617,"Mild"
"125","Longitudinal_p.slope.adj_2v3","Factor6",0.588833559015617,0.588833559015617,"Severe"
"126","Longitudinal_p.slope.adj_2v3","Factor7",0.558373119483307,0.588833559015617,"Severe"
"127","Longitudinal_p.slope.adj_2v4","Factor1",1.3967811290717e-12,9.77746790350188e-12,"Severe"
"128","Longitudinal_p.slope.adj_2v4","Factor2",0.842567322473641,0.842567322473641,"Severe"
"129","Longitudinal_p.slope.adj_2v4","Factor3",0.332998976668729,0.466198567336221,"Mild"
"130","Longitudinal_p.slope.adj_2v4","Factor4",0.692085213330696,0.807432748885812,"Severe"
"131","Longitudinal_p.slope.adj_2v4","Factor5",5.21721462744185e-08,1.82602511960465e-07,"Mild"
"132","Longitudinal_p.slope.adj_2v4","Factor6",0.0307053621115616,0.0716458449269772,"Severe"
"133","Longitudinal_p.slope.adj_2v4","Factor7",0.117519882444361,0.205659794277632,"Severe"
"134","Longitudinal_p.slope.adj_2v5","Factor1",6.90661550784192e-32,4.83463085548935e-31,"Severe"
"135","Longitudinal_p.slope.adj_2v5","Factor2",0.0826832305137781,0.0964637689327412,"Mild"
"136","Longitudinal_p.slope.adj_2v5","Factor3",0.000144862826995962,0.000338013262990578,"Severe"
"137","Longitudinal_p.slope.adj_2v5","Factor4",0.159287654787026,0.159287654787026,"Mild"
"138","Longitudinal_p.slope.adj_2v5","Factor5",0.0584919957077612,0.0818887939908657,"Mild"
"139","Longitudinal_p.slope.adj_2v5","Factor6",6.53534338169753e-05,0.000228737018359414,"Severe"
"140","Longitudinal_p.slope.adj_2v5","Factor7",0.0120636892190099,0.0211114561332673,"Severe"
"141","Longitudinal_p.slope.adj_3v4","Factor1",0.000469854883092717,0.00109632806054967,"Severe"
"142","Longitudinal_p.slope.adj_3v4","Factor2",0.247158979593107,0.432528214287938,"Severe"
"143","Longitudinal_p.slope.adj_3v4","Factor3",0.508825350804165,0.566622071897326,"Severe"
"144","Longitudinal_p.slope.adj_3v4","Factor4",0.42095830655759,0.566622071897326,"Mild"
"145","Longitudinal_p.slope.adj_3v4","Factor5",4.89426625875685e-06,1.7129931905649e-05,"Mild"
"146","Longitudinal_p.slope.adj_3v4","Factor6",1.69394782131279e-06,1.18576347491895e-05,"Mild"
"147","Longitudinal_p.slope.adj_3v4","Factor7",0.566622071897326,0.566622071897326,"Mild"
"148","Longitudinal_p.slope.adj_3v5","Factor1",1.36814396394963e-20,9.57700774764742e-20,"Severe"
"149","Longitudinal_p.slope.adj_3v5","Factor2",0.453242731957328,0.453242731957328,"Mild"
"150","Longitudinal_p.slope.adj_3v5","Factor3",0.00095781087839674,0.00223489204959239,"Severe"
"151","Longitudinal_p.slope.adj_3v5","Factor4",0.291949559204261,0.340607819071638,"Mild"
"152","Longitudinal_p.slope.adj_3v5","Factor5",0.0879604430338354,0.153930775309212,"Mild"
"153","Longitudinal_p.slope.adj_3v5","Factor6",0.000471898744292091,0.00165164560502232,"Severe"
"154","Longitudinal_p.slope.adj_3v5","Factor7",0.184094424782664,0.257732194695729,"Severe"
"155","Longitudinal_p.slope.adj_4v5","Factor1",1.02045613388162e-15,7.14319293717137e-15,"Severe"
"156","Longitudinal_p.slope.adj_4v5","Factor2",0.0632048042420836,0.0884867259389171,"Mild"
"157","Longitudinal_p.slope.adj_4v5","Factor3",0.000928775742423587,0.00325071509848255,"Severe"
"158","Longitudinal_p.slope.adj_4v5","Factor4",0.491456462037889,0.491456462037889,"Mild"
"159","Longitudinal_p.slope.adj_4v5","Factor5",0.12013931712002,0.140162536640024,"Severe"
"160","Longitudinal_p.slope.adj_4v5","Factor6",0.0355790883117149,0.0725430973185861,"Severe"
"161","Longitudinal_p.slope.adj_4v5","Factor7",0.0414531984677635,0.0725430973185861,"Severe"
"162","Longitudinal_p.intercept.adj_1v2","Factor1",8.05135785561928e-11,5.63595049893349e-10,"Severe"
"163","Longitudinal_p.intercept.adj_1v2","Factor2",0.00334917529909416,0.0117221135468296,"Mild"
"164","Longitudinal_p.intercept.adj_1v2","Factor3",0.226296293993208,0.316814811590491,"Mild"
"165","Longitudinal_p.intercept.adj_1v2","Factor4",0.218465370681678,0.316814811590491,"Severe"
"166","Longitudinal_p.intercept.adj_1v2","Factor5",0.866221507482073,0.866221507482073,"Mild"
"167","Longitudinal_p.intercept.adj_1v2","Factor6",0.832655579734343,0.866221507482073,"Mild"
"168","Longitudinal_p.intercept.adj_1v2","Factor7",0.0776787683108293,0.181250459391935,"Severe"
"169","Longitudinal_p.intercept.adj_1v3","Factor1",1.85365425675251e-06,1.29755797972675e-05,"Severe"
"170","Longitudinal_p.intercept.adj_1v3","Factor2",0.00237829093335041,0.00832401826672644,"Mild"
"171","Longitudinal_p.intercept.adj_1v3","Factor3",0.625052662953427,0.729228106778998,"Mild"
"172","Longitudinal_p.intercept.adj_1v3","Factor4",0.0618760653455556,0.108283114354722,"Severe"
"173","Longitudinal_p.intercept.adj_1v3","Factor5",0.9633514195131,0.9633514195131,"Mild"
"174","Longitudinal_p.intercept.adj_1v3","Factor6",0.231779848613306,0.324491788058628,"Severe"
"175","Longitudinal_p.intercept.adj_1v3","Factor7",0.0481148547542297,0.108283114354722,"Severe"
"176","Longitudinal_p.intercept.adj_1v4","Factor1",6.07376146723821e-36,4.25163302706674e-35,"Severe"
"177","Longitudinal_p.intercept.adj_1v4","Factor2",0.011719582221888,0.0164074151106432,"Mild"
"178","Longitudinal_p.intercept.adj_1v4","Factor3",8.34092466436592e-10,2.91932363252807e-09,"Severe"
"179","Longitudinal_p.intercept.adj_1v4","Factor4",0.15916838695529,0.162245883859866,"Severe"
"180","Longitudinal_p.intercept.adj_1v4","Factor5",0.162245883859866,0.162245883859866,"Severe"
"181","Longitudinal_p.intercept.adj_1v4","Factor6",3.22127474858675e-05,5.63723081002681e-05,"Severe"
"182","Longitudinal_p.intercept.adj_1v4","Factor7",1.19196688570349e-05,2.78125606664147e-05,"Severe"
"183","Longitudinal_p.intercept.adj_1v5","Factor1",4.42264220397009e-49,3.09584954277906e-48,"Severe"
"184","Longitudinal_p.intercept.adj_1v5","Factor2",0.724762303132992,0.724762303132992,"Mild"
"185","Longitudinal_p.intercept.adj_1v5","Factor3",9.01605465302662e-11,3.15561912855932e-10,"Severe"
"186","Longitudinal_p.intercept.adj_1v5","Factor4",0.0850883363109873,0.0992697256961518,"Severe"
"187","Longitudinal_p.intercept.adj_1v5","Factor5",0.00682155503633574,0.00955017705087003,"Severe"
"188","Longitudinal_p.intercept.adj_1v5","Factor6",0.00118048740126359,0.00206585295221128,"Severe"
"189","Longitudinal_p.intercept.adj_1v5","Factor7",4.21019830997548e-05,9.82379605660946e-05,"Severe"
"190","Longitudinal_p.intercept.adj_2v3","Factor1",0.92784160157833,0.92784160157833,"Mild"
"191","Longitudinal_p.intercept.adj_2v3","Factor2",0.51986913437808,0.92784160157833,"Mild"
"192","Longitudinal_p.intercept.adj_2v3","Factor3",0.877097366689902,0.92784160157833,"Mild"
"193","Longitudinal_p.intercept.adj_2v3","Factor4",0.296007789267189,0.92784160157833,"Severe"
"194","Longitudinal_p.intercept.adj_2v3","Factor5",0.781250443141667,0.92784160157833,"Severe"
"195","Longitudinal_p.intercept.adj_2v3","Factor6",0.148461462937901,0.92784160157833,"Severe"
"196","Longitudinal_p.intercept.adj_2v3","Factor7",0.840636066398306,0.92784160157833,"Mild"
"197","Longitudinal_p.intercept.adj_2v4","Factor1",3.7765159468403e-27,2.64356116278821e-26,"Severe"
"198","Longitudinal_p.intercept.adj_2v4","Factor2",0.295381133195393,0.344611322061292,"Mild"
"199","Longitudinal_p.intercept.adj_2v4","Factor3",1.29643979917189e-08,3.02502619806774e-08,"Severe"
"200","Longitudinal_p.intercept.adj_2v4","Factor4",0.601346599252368,0.601346599252368,"Mild"
"201","Longitudinal_p.intercept.adj_2v4","Factor5",0.0672156640037728,0.094101929605282,"Severe"
