"pathway","database","PPT:direction","PPT:pval","PPT:pval_adj","PPT:leading_edge","PPG:direction","PPG:pval","PPG:pval_adj","PPG:leading_edge","SPT:direction","SPT:pval","SPT:pval_adj","SPT:leading_edge","PMG:direction","PMG:pval","PMG:pval_adj","PMG:leading_edge","NGX:direction","NGX:pval","NGX:pval_adj","NGX:leading_edge","PGX:direction","PGX:pval","PGX:pval_adj","PGX:leading_edge","Joint:direction","Joint:pval","Joint:pval_adj","Joint:leading_edge"
"HALLMARK_ALLOGRAFT_REJECTION","hallmark",-1,0.0151670946784088,0.219333883971422,"C2#PF4#ICAM1#B2M#CFP#FLNA#F2",1,0.274241772491989,0.502786449220549,"C2#B2M#CSF1#HLA-A#NPM1#F2",1,0.0895702121101878,0.169828500455461,"IL6#CCL7#IL10#LIF#CXCL9#CCL19#CCL2#CD40#CSF1#TNF#IL18#IFNG",NA,NA,NA,NA,1,0.0101754649109369,0.0635966556933557,"FAS#CSF1#TLR2#STAT4#FLNA#KLRD1#FGR",-1,3.00672595709983e-07,2.50560496424986e-06,"CD4#CD96#HLA-DRA#HLA-DMB#CD74#ETS1#HLA-DMA#HLA-DQA1#ACVR2A#LCK#IL2RB#CD40LG#ZAP70#CD3E#CD3G#CD247#MAP4K1#STAT4#CD8B#CD2#CD3D#APBB1#CRTAM",NA,1.50328434393543e-06,1.07377453138245e-05,NA
"HALLMARK_MYOGENESIS","hallmark",-1,0.0156667059979587,0.219333883971422,"AK1#CFD#APOD#GSN",1,0.00365332174331179,0.0228332608956987,"ACTC1#ACTA1#MYH7#MYOZ1#MYH1#MYH2#HRC#DES#MYH3#GPX3#TPM2#MYH4#MYH8#LDB3#COL4A2#TPM3#MYH9",1,1,1,"TGFB1",NA,NA,NA,NA,-1,0.201682892676523,0.315129519807067,"TNNC1#PLXNB2#LDB3",1,0.0757960425784426,0.105272281358948,"ITGA7#RIT1#ACSL1#PDLIM7#SMTN#MYL6B#IFRD1",NA,0.0143419772104076,0.0265592170563104,NA
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","hallmark",-1,0.0471449075320428,0.487401279117534,"VIM#ITGB3#FLNA#FN1#COMP#THBS1",1,0.0243598823681285,0.110726738036948,"VIM#MMP14#SPP1#BASP1#MMP2#ELN#POSTN#MGP#FN1#TPM2#TPM4#VCAM1#TPM1#FLNA#LOX#SFRP4#COL4A2",1,0.0919904377467078,0.169828500455461,"IL6#CXCL8#TNFRSF11B",NA,NA,NA,NA,1,0.0308623429491355,0.102874476497118,"FAS#CXCL1#CD44#FLNA#FBN2#SNAI2#COL7A1#ACTA2#FAP",1,0.0489679541895802,0.0741938699842125,"QSOX1#GADD45A#FAS#CAPG#ANPEP#TIMP1#LAMC1#BASP1#SDC1#VIM#FSTL3#PLOD2#FBN2#CALU#PLOD1#LGALS1#NNMT#CD59#ECM1#CXCL1#TPM1#COPA#PCOLCE2#SERPINE2#PTX3#TIMP3#IGFBP2",NA,0.0397430676981242,0.0641017220937487,NA
"HALLMARK_MTORC1_SIGNALING","hallmark",-1,0.121368628681849,0.513268310636731,"PSMC6",1,0.57053137967174,0.620142803991021,"CACYBP#EIF2S2#PPIA#HSPA5#UFM1#GAPDH#ALDOA#CANX#CORO1A",NA,NA,NA,NA,NA,NA,NA,NA,1,0.0185182660362405,0.0771594418176688,"STARD4#AK4#INSIG1#LTA4H#ATP6V1D#MTHFD2#HMGCR",1,2.56194232495233e-09,4.90746054904179e-08,"GAPDH#GSR#RIT1#DHCR24#LDHA#ERO1A#AK4#IDH1#TXNRD1#G6PD#SLC2A3#TUBG1#DHCR7#HK2#IFRD1#BUB1#PSAT1#PLK1#RAB1A#SLC6A6#MTHFD2#SQLE#SLC7A11#ENO1#GLRX#AURKA#ACSL3#GLA#RRM2#CDC25A#DHFR#LDLR#TUBA4A#SKAP2#PLOD2#IDI1#ITGB2#PSMD12#PSMC6#GBE1#PSPH#TBK1#SLC7A5#SCD#MAP2K3#PSMB5#ME1#NFIL3#PHGDH#HMGCR#FADS2#EIF2S2#RPN1#BCAT1#POLR3G#SRD5A1#NAMPT#FADS1#LTA4H",NA,1.02477677184065e-08,1.96298416772605e-07,NA
"HALLMARK_UV_RESPONSE_DN","hallmark",-1,0.122206740627793,0.513268310636731,"EFEMP1#ITGB3#ATRN",-1,0.0990652392957551,0.353804426056268,"KIT#ATRN#MAP1B#TGFBR2#PDGFRB",NA,NA,NA,NA,NA,NA,NA,NA,1,0.0163942833737882,0.0771594418176688,"INSIG1#NFKB1#AMPH#HAS2#SNAI2#PLPP3#DLC1#ATXN1",-1,0.0230344876510326,0.0442970916366011,"DBP#ARHGEF9#BCKDHB#ACVR2A#FYN#MGMT#TGFBR3",NA,0.0327186922350246,0.0545311537250411,NA
"HALLMARK_KRAS_SIGNALING_UP","hallmark",1,0.145382768884336,0.5550978448311,"SERPINA3",-1,0.0196607896246583,0.0983039481232917,"APOD#ABCB1#GPNMB#IGFBP3#LCP1#ENG#PECAM1#PDCD1LG2#PPBP",1,0.0767821673400617,0.169828500455461,"CXCL10#CCL20#LIF#MMP10",NA,NA,NA,NA,1,0.0024623181362734,0.0205193178022783,"C3AR1#SCN1B#CCL20#FCER1G#ARG1#ALDH1A2#TRAF1#LAT2#ETV5#BIRC3#CXCR4#SPP1",1,0.0221474829706262,0.0442949659412524,"CPE#TOR1AIP2#ERO1A#MMP9#TFPI#GADD45G#RGS16#FCER1G#GLRX#LAT2#ARG1#TRIB1#RETN#ALDH1A2#SPRY2",NA,0.00959119342893204,0.0191823868578641,NA
"HALLMARK_PEROXISOME","hallmark",-1,0.188959654634713,0.580894648829432,"ALB",-1,7.20078301380545e-05,0.00120013050230091,"TTR#ABCB1#SERPINA6#CADM1#ALB",NA,NA,NA,NA,NA,NA,NA,NA,-1,0.0934467026206024,0.219099224424417,"PRDX1#GSTK1#DHRS3#SCP2#ABCD3#ALDH1A1",1,0.0328102540129248,0.0529197645369755,"DHCR24#ACSL1#HSD3B7#IDH1#ACOX1#PRDX5#YWHAH#TSPO#SOD2#CRAT#ACSL4#TOP2A#IDI1#HSD17B11#ATXN1",NA,0.000287092331812112,0.00102532975647183,NA
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","hallmark",-1,0.214285714285715,0.580894648829432,"ICAM1",-1,0.426840527180516,0.520537228268922,"ICOSLG#IL6ST",1,0.0275902379643165,0.138420585625557,"IL6#CXCL10#CCL20#LIF#CCL2#CSF1#TNF#IL15RA#IL18#VEGFA#CXCL11#PLAU",NA,NA,NA,NA,1,1.08428673902816e-05,0.000180714456504694,"CCL20#CSF1#TLR2#CXCL1#CFLAR#NFKB1#CD44#TNFAIP6#TANK#MARCKS#PLPP3#TRAF1#BCL6#CCRL2#BIRC3#CCL4#CD83#SOD2",1,0.0792104752446262,0.107041182763008,"TNFAIP6#GADD45A#DRAM1#CFLAR#SLC2A3#PLPP3#BCL2A1#B4GALT5#TRIB1#BCL6#MXD1#IFNGR2#SOD2#TLR2#LDLR#IRS2#PFKFB3#IL18#JAG1#SERPINB2#TNIP1#SOCS3#ETS2#MAP2K3#CXCL1#F2RL1#NFIL3#BCL3#CCRL2#CXCL3#PTX3#NAMPT#PLAU#NFKBIA#CXCL2",NA,5.41870302345658e-05,0.000225779292644024,NA
"HALLMARK_INTERFERON_ALPHA_RESPONSE","hallmark",1,0.248688811188811,0.580894648829432,"C1S",1,0.00272227090581711,0.019444792184408,"B2M#CSF1#OGFR#LGALS3BP#BST2#C1S#HLA-C",1,0.124789597310359,0.213925023960616,"CXCL10#CSF1#CASP8#CXCL11",NA,NA,NA,NA,1,0.540729059581617,0.643725070930497,"CSF1",-1,0.610666685847838,0.649301891863008,"CD74",NA,0.0134376502688577,0.0258416351324187,NA
"HALLMARK_INFLAMMATORY_RESPONSE","hallmark",1,0.26048951048951,0.580894648829432,"CD14",1,0.168881353644687,0.446961605298314,"MMP14#ADM#CSF1#CD14",1,6.94066922057868e-05,0.00166576061293888,"IL6#CCL7#CXCL10#IL10#CCL20#CXCL8#LIF#CXCL9#OSM#CCL2#IL18R1#CD40#CSF1#CX3CL1#SLAMF1#IL15RA#IL18",NA,NA,NA,NA,1,8.67689275985128e-09,4.33844637992564e-07,"IL18R1#HPN#C3AR1#SCN1B#IL1R1#CCL20#CD48#CSF1#TLR2#CLEC5A#NFKB1#KCNJ2#TNFAIP6#HAS2#TNFSF15#IRAK2#EBI3",1,9.51291230870677e-05,0.000475645615435338,"FZD5#ADM#TNFAIP6#KIF1B#CD82#CD55#IL1R1#FPR1#SELL#RGS16#AQP9#RHOG#MXD1#TIMP1#IFNGR2#NMI#ATP2C1#TLR2#LDLR#IL10#GNA15#IFNAR1#IL18#BEST1#C3AR1#ACVR1B#KCNJ2#PROK2#HIF1A#RAF1#CLEC5A#MEFV#CSF3R#CCRL2#PTAFR#GNAI3#IL18R1#NAMPT#NOD2#ADORA2B#NFKBIA#ADRM1#STAB1",NA,4.33750835220119e-08,5.42188544025149e-07,NA
