Module (or Feature),Analysis,P value,Q value,Direction
globalmet.globalmet_mod1,Visit 1 analysis - 1|4,5.132837449506798e-4,0.004491232768318448,Severe
globalmet.globalmet_mod1,Visit 1 analysis - 1|5,1.4243380616530227e-7,6.646910954380772e-6,Severe
globalmet.globalmet_mod1,Visit 1 analysis - 2|3,0.43148892442647724,0.624914993996967,Severe
globalmet.globalmet_mod1,Visit 1 analysis - 2|4,7.381133220595599e-4,0.0056895954175344085,Severe
globalmet.globalmet_mod1,Visit 1 analysis - 2|5,7.883238195503557e-8,4.138700052639367e-6,Severe
globalmet.globalmet_mod1,Visit 1 analysis - 3|4,0.002489983231170878,0.01686762834018982,Severe
globalmet.globalmet_mod1,Visit 1 analysis - 3|5,1.7658789208708033e-6,4.362759686857279e-5,Severe
globalmet.globalmet_mod1,Visit 1 analysis - 4|5,0.013199786854659026,0.0602598965103999,Severe
globalmet.globalmet_mod10,Visit 1 analysis - 1|2,0.9544573983032886,0.97837339167069,Mild
globalmet.globalmet_mod10,Visit 1 analysis - 1|3,0.8047701892489787,0.9037526189427034,Mild
globalmet.globalmet_mod10,Visit 1 analysis - 1|4,6.628164115519178e-6,1.46517312027266e-4,Severe
globalmet.globalmet_mod10,Visit 1 analysis - 1|5,0.004937589686910027,0.028278544958180926,Severe
globalmet.globalmet_mod10,Visit 1 analysis - 2|3,0.4650824660410797,0.6511154524575116,Severe
globalmet.globalmet_mod10,Visit 1 analysis - 2|4,2.2555885751441037e-8,1.8946944031210471e-6,Severe
globalmet.globalmet_mod10,Visit 1 analysis - 2|5,2.864148642632322e-4,0.002733960067967216,Severe
globalmet.globalmet_mod10,Visit 1 analysis - 3|4,1.5343814923852124e-6,4.0277514175111824e-5,Severe
globalmet.globalmet_mod10,Visit 1 analysis - 3|5,0.004982410302155686,0.028278544958180926,Severe
globalmet.globalmet_mod10,Visit 1 analysis - 4|5,0.9713850103016136,0.97837339167069,Severe
globalmet.globalmet_mod11,Visit 1 analysis - 1|2,0.5017935381831861,0.6864927883939353,Mild
globalmet.globalmet_mod11,Visit 1 analysis - 1|3,0.20694543832837511,0.38802269686570334,Severe
globalmet.globalmet_mod11,Visit 1 analysis - 1|4,0.39259689669717324,0.5922666753412746,Mild
globalmet.globalmet_mod11,Visit 1 analysis - 1|5,0.39944883345056437,0.5970409610293133,Severe
globalmet.globalmet_mod11,Visit 1 analysis - 2|3,0.036719855854968494,0.1186333804545136,Severe
globalmet.globalmet_mod11,Visit 1 analysis - 2|4,0.5518225225593792,0.7205962346553803,Severe
globalmet.globalmet_mod11,Visit 1 analysis - 2|5,0.020102711476172437,0.0810855037489311,Severe
globalmet.globalmet_mod11,Visit 1 analysis - 3|4,0.056340998772219784,0.16319461713332628,Mild
globalmet.globalmet_mod11,Visit 1 analysis - 3|5,0.9647681611845869,0.97837339167069,Mild
globalmet.globalmet_mod11,Visit 1 analysis - 4|5,0.42012610049371846,0.6148186836493441,Severe
globalmet.globalmet_mod12,Visit 1 analysis - 1|2,0.17404349461494273,0.35203287888640583,Mild
globalmet.globalmet_mod12,Visit 1 analysis - 1|3,0.9186033195687539,0.9573533355307112,Mild
globalmet.globalmet_mod12,Visit 1 analysis - 1|4,0.36736716326750346,0.5733405101030111,Mild
globalmet.globalmet_mod12,Visit 1 analysis - 1|5,0.3256510346716358,0.5260516713926424,Mild
globalmet.globalmet_mod12,Visit 1 analysis - 2|3,0.11756888124196702,0.27131280286607773,Severe
globalmet.globalmet_mod12,Visit 1 analysis - 2|4,0.8854321205311183,0.9343756045805771,Severe
globalmet.globalmet_mod12,Visit 1 analysis - 2|5,0.7586252845647375,0.8729386836087392,Mild
globalmet.globalmet_mod12,Visit 1 analysis - 3|4,0.09245801726879244,0.22842568972289895,Mild
globalmet.globalmet_mod12,Visit 1 analysis - 3|5,0.06235708972427687,0.17816311349793393,Mild
globalmet.globalmet_mod12,Visit 1 analysis - 4|5,0.9379966123507314,0.9655847480081059,Mild
globalmet.globalmet_mod13,Visit 1 analysis - 1|2,0.2117811972330729,0.39236686832900153,Mild
globalmet.globalmet_mod13,Visit 1 analysis - 1|3,0.5792254461485696,0.7485374996381515,Mild
globalmet.globalmet_mod13,Visit 1 analysis - 1|4,0.4403782055199259,0.635597410028759,Severe
globalmet.globalmet_mod13,Visit 1 analysis - 1|5,0.014124406139181932,0.06364809084850284,Severe
globalmet.globalmet_mod13,Visit 1 analysis - 2|3,0.4281438413191874,0.622215963162833,Severe
globalmet.globalmet_mod13,Visit 1 analysis - 2|4,0.03459511505219046,0.11435984585844938,Severe
globalmet.globalmet_mod13,Visit 1 analysis - 2|5,1.1617399129569994e-5,2.1214381019214772e-4,Severe
globalmet.globalmet_mod13,Visit 1 analysis - 3|4,0.1030822672993188,0.25025752754747915,Severe
globalmet.globalmet_mod13,Visit 1 analysis - 3|5,6.0754059277032564e-5,8.505568298784559e-4,Severe
globalmet.globalmet_mod13,Visit 1 analysis - 4|5,0.016100840029702603,0.06900360012729687,Severe
globalmet.globalmet_mod14,Visit 1 analysis - 1|2,0.026688843330054238,0.1000831624877034,Mild
globalmet.globalmet_mod14,Visit 1 analysis - 1|3,0.02261116397007162,0.08712558593972551,Mild
globalmet.globalmet_mod14,Visit 1 analysis - 1|4,0.0026272424990413093,0.01751494999360873,Mild
globalmet.globalmet_mod14,Visit 1 analysis - 1|5,3.100595942726076e-4,0.0028938895465443377,Mild
globalmet.globalmet_mod14,Visit 1 analysis - 2|3,0.8696958253187225,0.929900453394388,Severe
globalmet.globalmet_mod14,Visit 1 analysis - 2|4,0.4441871251952386,0.636443515073092,Mild
globalmet.globalmet_mod14,Visit 1 analysis - 2|5,0.15315510891636167,0.32836450995257066,Mild
globalmet.globalmet_mod14,Visit 1 analysis - 3|4,0.27060704354283033,0.4601415315303188,Mild
globalmet.globalmet_mod14,Visit 1 analysis - 3|5,0.10427849870347353,0.25026839688833646,Mild
globalmet.globalmet_mod14,Visit 1 analysis - 4|5,0.4470258022537194,0.636443515073092,Mild
globalmet.globalmet_mod15,Visit 1 analysis - 1|2,0.3670879214739544,0.5733405101030111,Mild
globalmet.globalmet_mod15,Visit 1 analysis - 1|3,0.8682385654690862,0.929900453394388,Mild
globalmet.globalmet_mod15,Visit 1 analysis - 1|4,0.22472634797958208,0.40827734980900926,Mild
globalmet.globalmet_mod15,Visit 1 analysis - 1|5,0.2658974446429493,0.45397124695137686,Mild
globalmet.globalmet_mod15,Visit 1 analysis - 2|3,0.24385024271696767,0.43213967063766423,Severe
globalmet.globalmet_mod15,Visit 1 analysis - 2|4,0.6754543965828089,0.8199157415167044,Severe
globalmet.globalmet_mod15,Visit 1 analysis - 2|5,0.7516135681514302,0.8716708357917978,Mild
globalmet.globalmet_mod15,Visit 1 analysis - 3|4,0.1922009971066097,0.37200192988376074,Mild
globalmet.globalmet_mod15,Visit 1 analysis - 3|5,0.17385527525954492,0.35203287888640583,Mild
globalmet.globalmet_mod15,Visit 1 analysis - 4|5,0.473398179913094,0.6605555998787359,Mild
globalmet.globalmet_mod16,Visit 1 analysis - 1|2,0.02240015504090163,0.08711171404795079,Mild
globalmet.globalmet_mod16,Visit 1 analysis - 1|3,0.6228545025589292,0.7841070570481271,Severe
globalmet.globalmet_mod16,Visit 1 analysis - 1|4,0.17331776708423713,0.35203287888640583,Severe
globalmet.globalmet_mod16,Visit 1 analysis - 1|5,0.21206495026353178,0.39236686832900153,Mild
globalmet.globalmet_mod16,Visit 1 analysis - 2|3,0.005138729664847484,0.028398242884683466,Severe
globalmet.globalmet_mod16,Visit 1 analysis - 2|4,4.562359268524113e-4,0.004165632375608973,Severe
globalmet.globalmet_mod16,Visit 1 analysis - 2|5,0.8082456982451849,0.9039866243720872,Severe
globalmet.globalmet_mod16,Visit 1 analysis - 3|4,0.6625540653664018,0.818385997770287,Severe
globalmet.globalmet_mod16,Visit 1 analysis - 3|5,0.034660862997263765,0.11435984585844938,Mild
globalmet.globalmet_mod16,Visit 1 analysis - 4|5,0.034182213551165304,0.11435984585844938,Mild
globalmet.globalmet_mod17,Visit 1 analysis - 1|2,0.6165790887250786,0.7823662153007039,Mild
globalmet.globalmet_mod17,Visit 1 analysis - 1|3,0.21748226133469753,0.39714152069814335,Mild
globalmet.globalmet_mod17,Visit 1 analysis - 1|4,0.7830143184683762,0.888827064207346,Mild
globalmet.globalmet_mod17,Visit 1 analysis - 1|5,0.245801348705342,0.4337670859506036,Severe
globalmet.globalmet_mod17,Visit 1 analysis - 2|3,0.6644514886658759,0.818385997770287,Mild
globalmet.globalmet_mod17,Visit 1 analysis - 2|4,0.5519553391491546,0.7205962346553803,Severe
globalmet.globalmet_mod17,Visit 1 analysis - 2|5,0.014396591977637548,0.06364809084850284,Severe
globalmet.globalmet_mod17,Visit 1 analysis - 3|4,0.3884786696603164,0.592249417336415,Severe
globalmet.globalmet_mod17,Visit 1 analysis - 3|5,0.012252708156040574,0.05782176882625888,Severe
globalmet.globalmet_mod17,Visit 1 analysis - 4|5,0.13609465324310663,0.30566713562622877,Severe
globalmet.globalmet_mod18,Visit 1 analysis - 1|2,0.7424993996385434,0.8710886811401906,Mild
globalmet.globalmet_mod18,Visit 1 analysis - 1|3,0.3891924742496442,0.592249417336415,Mild
globalmet.globalmet_mod18,Visit 1 analysis - 1|4,0.047451831970273875,0.145732009243325,Mild
globalmet.globalmet_mod18,Visit 1 analysis - 1|5,0.21562337909184678,0.39546645946976267,Severe
globalmet.globalmet_mod18,Visit 1 analysis - 2|3,0.7791900739329629,0.8868830109806082,Mild
globalmet.globalmet_mod18,Visit 1 analysis - 2|4,0.10419718815695404,0.25026839688833646,Mild
globalmet.globalmet_mod18,Visit 1 analysis - 2|5,0.0666952160057474,0.18699619925480304,Severe
globalmet.globalmet_mod18,Visit 1 analysis - 3|4,0.7112347853168187,0.8390972186322019,Mild
globalmet.globalmet_mod18,Visit 1 analysis - 3|5,0.08106374740582906,0.21279233694030125,Severe
globalmet.globalmet_mod18,Visit 1 analysis - 4|5,0.029539640259480266,0.10514109244899755,Severe
globalmet.globalmet_mod19,Visit 1 analysis - 1|2,0.01083132066233811,0.052897147420721005,Severe
globalmet.globalmet_mod19,Visit 1 analysis - 1|3,0.024803839289040175,0.09470556819451705,Severe
globalmet.globalmet_mod19,Visit 1 analysis - 1|4,0.8827641017968383,0.9339066064349423,Mild
globalmet.globalmet_mod19,Visit 1 analysis - 1|5,0.39484445022751646,0.5922666753412746,Severe
globalmet.globalmet_mod19,Visit 1 analysis - 2|3,0.6818154046395949,0.8220853687695712,Mild
globalmet.globalmet_mod19,Visit 1 analysis - 2|4,0.06678435687671537,0.18699619925480304,Mild
globalmet.globalmet_mod19,Visit 1 analysis - 2|5,0.9299828863888694,0.9620512617815891,Mild
globalmet.globalmet_mod19,Visit 1 analysis - 3|4,0.046585039675455554,0.14493123454586174,Mild
globalmet.globalmet_mod19,Visit 1 analysis - 3|5,0.9640729434496011,0.97837339167069,Mild
globalmet.globalmet_mod19,Visit 1 analysis - 4|5,0.4254186050454999,0.6204021323580207,Severe
globalmet.globalmet_mod2,Visit 1 analysis - 1|2,0.0047245400852991065,0.027947983603177812,Mild
