Module,Feature
globalprot_mod2,IGKV3D-20
globalprot_mod2,IGKV2-30
globalprot_mod2,IGKV2D-29
globalprot_mod2,IGKV2-29
globalprot_mod2,IGLV6-57
globalprot_mod2,MAEL
globalprot_mod3,APOM
globalprot_mod3,CP
globalprot_mod3,F2
globalprot_mod3,F9
globalprot_mod3,CFB
globalprot_mod3,AGT
globalprot_mod3,IGHM
globalprot_mod3,HBD
globalprot_mod3,FGB
globalprot_mod3,CRP
globalprot_mod3,APCS
globalprot_mod3,C1QA
globalprot_mod3,C1QB
globalprot_mod3,C1QC
globalprot_mod3,C9
globalprot_mod3,LRG1
globalprot_mod3,RBP4
globalprot_mod3,ALB
globalprot_mod3,GC
globalprot_mod3,TF
globalprot_mod3,KLKB1
globalprot_mod3,VTN
globalprot_mod3,A1BG
globalprot_mod3,SERPING1
globalprot_mod3,CFI
globalprot_mod3,CLEC3B
globalprot_mod3,C2
globalprot_mod3,PROS1
globalprot_mod3,ASGR2
globalprot_mod3,GP1BA
globalprot_mod3,CD14
globalprot_mod3,CFH
globalprot_mod3,SAA1
globalprot_mod3,SAA2
globalprot_mod3,CLU
globalprot_mod3,MBL2
globalprot_mod3,LBP
globalprot_mod3,VCAM1
globalprot_mod3,ITIH2
globalprot_mod3,ITIH1
globalprot_mod3,GPX3
globalprot_mod3,CPN2
globalprot_mod3,AZGP1
globalprot_mod3,SAA4
globalprot_mod3,SERPINF1
globalprot_mod3,BTD
globalprot_mod3,LUM
globalprot_mod3,PLTP
globalprot_mod3,GPLD1
globalprot_mod3,CFHR3
globalprot_mod3,ITIH3
globalprot_mod3,LGALS3BP
globalprot_mod3,APOF
globalprot_mod3,ITIH4
globalprot_mod3,ECM1
globalprot_mod3,VASN
globalprot_mod3,OAF
globalprot_mod3,TTN
globalprot_mod3,GGH
globalprot_mod3,CPB2
globalprot_mod3,NUCKS1
globalprot_mod3,C1RL
globalprot_mod3,SERPINA10
globalprot_mod3,C1R
globalprot_mod3,HP
globalprot_mod3,HPR
globalprot_mod3,A2M
globalprot_mod3,PZP
globalprot_mod3,C3
globalprot_mod3,FGG
globalprot_mod3,PON1
globalprot_mod3,CFHR2
globalprot_mod3,ERN1
globalprot_mod3,DNAJC12
globalprot_mod4,CSTA
globalprot_mod4,FGA
globalprot_mod4,S100A8
globalprot_mod4,PTMA
globalprot_mod4,S100A9
globalprot_mod4,CTSG
globalprot_mod4,VIM
globalprot_mod4,SERPINF2
globalprot_mod4,RNASE2
globalprot_mod4,F5
globalprot_mod4,MYH1
globalprot_mod4,MYH7
globalprot_mod4,VCAN
globalprot_mod4,SDC1
globalprot_mod4,CAST
globalprot_mod4,MARCKS
globalprot_mod4,SERPINB1
globalprot_mod4,RIDA
globalprot_mod4,HBB
globalprot_mod4,HBA2
globalprot_mod4,BASP1
globalprot_mod4,IL1RL1
globalprot_mod4,FSTL1
globalprot_mod4,MMRN1
globalprot_mod4,FLNC
globalprot_mod4,PRR4
globalprot_mod4,ACTBL2
globalprot_mod4,GOLM2
globalprot_mod4,GOLM1
globalprot_mod4,CXCL16
globalprot_mod4,MYOZ1
globalprot_mod4,JPT1
globalprot_mod4,MYH13
globalprot_mod4,PLG
globalprot_mod4,HNRNPC
globalprot_mod4,HMGB1
globalprot_mod4,H1-2
globalprot_mod4,H1-4
globalprot_mod4,H1-3
globalprot_mod4,H1-5
globalprot_mod4,ACTB
globalprot_mod4,ACTA1
globalprot_mod4,ACTG1
globalprot_mod4,ACTC1
globalprot_mod4,POTEJ
globalprot_mod4,HBG1
globalprot_mod4,HBG2
globalprot_mod4,H2AC20
globalprot_mod4,H2AC8
globalprot_mod4,H2AX
globalprot_mod4,H2AC17
globalprot_mod4,EEA1
globalprot_mod4,HBZ
globalprot_mod5,ENSA
globalprot_mod5,GGCT
globalprot_mod5,SH3BGRL
globalprot_mod5,CAVIN2
globalprot_mod5,PPBP
globalprot_mod5,PF4
globalprot_mod5,DBI
globalprot_mod5,SRGN
globalprot_mod5,TXN
globalprot_mod5,CFL1
globalprot_mod5,SDC4
globalprot_mod5,VASP
globalprot_mod5,ARHGDIB
globalprot_mod5,MANF
globalprot_mod5,SUMO3
globalprot_mod5,ARPP19
globalprot_mod5,SUMO2
globalprot_mod5,TMSB4X
globalprot_mod5,TMSB10
globalprot_mod5,C1QBP
globalprot_mod5,PDAP1
globalprot_mod5,CTTN
globalprot_mod5,ZYX
globalprot_mod5,DTD1
globalprot_mod5,PCNP
globalprot_mod5,TMEM40
globalprot_mod5,NRGN
globalprot_mod5,ESAM
globalprot_mod5,PDLIM5
globalprot_mod5,PTPN18
globalprot_mod5,CNPY3
globalprot_mod5,IMUP
globalprot_mod5,SH3BGRL3
globalprot_mod5,RTN4
globalprot_mod5,PDLIM7
globalprot_mod5,BIN2
globalprot_mod5,SH3BGRL2
globalprot_mod5,CDV3
globalprot_mod5,TLN1
globalprot_mod5,"NACA"
globalprot_mod5,TUBB1
globalprot_mod5,TMSB15A
globalprot_mod5,SNCA
globalprot_mod5,RPS27A
globalprot_mod5,TUBA4A
globalprot_mod5,TUBA1B
globalprot_mod5,XPO6
globalprot_mod5,TREML2
globalprot_mod5,MAPK1IP1L
globalprot_mod6,CUTA
globalprot_mod6,ATRN
globalprot_mod6,EGFR
