Module,Feature
mod0,ENSG00000102078
mod0,ENSG00000102096
mod0,ENSG00000102547
mod0,ENSG00000102595
mod0,ENSG00000102780
mod0,ENSG00000102794
mod0,ENSG00000102870
mod0,ENSG00000102878
mod0,ENSG00000102890
mod0,ENSG00000102910
mod0,ENSG00000102981
mod0,ENSG00000103044
mod0,ENSG00000103067
mod0,ENSG00000103121
mod0,ENSG00000103126
mod0,ENSG00000103197
mod0,ENSG00000103226
mod0,ENSG00000103249
mod0,ENSG00000103269
mod0,ENSG00000103353
mod0,ENSG00000103429
mod0,ENSG00000103485
mod0,ENSG00000103489
mod0,ENSG00000103540
mod0,ENSG00000103657
mod0,ENSG00000103855
mod0,ENSG00000104131
mod0,ENSG00000104133
mod0,ENSG00000104381
mod0,ENSG00000104643
mod0,ENSG00000104671
mod0,ENSG00000104756
mod0,ENSG00000104879
mod0,ENSG00000104880
mod0,ENSG00000104883
mod0,ENSG00000104884
mod0,ENSG00000104899
mod0,ENSG00000104960
mod0,ENSG00000105048
mod0,ENSG00000105131
mod0,ENSG00000105146
mod0,ENSG00000105204
mod0,ENSG00000105219
mod0,ENSG00000105221
mod0,ENSG00000105245
mod0,ENSG00000105246
mod0,ENSG00000105323
mod0,ENSG00000105374
mod0,ENSG00000105419
mod0,ENSG00000105429
mod0,ENSG00000105538
mod0,ENSG00000105568
mod0,ENSG00000105576
mod0,ENSG00000105609
mod0,ENSG00000105613
mod0,ENSG00000105649
mod0,ENSG00000105672
mod0,ENSG00000105697
mod0,ENSG00000105732
mod0,ENSG00000105784
mod0,ENSG00000105810
mod0,ENSG00000105875
mod0,ENSG00000105953
mod0,ENSG00000105982
mod0,ENSG00000105991
mod0,ENSG00000106105
mod0,ENSG00000106144
mod0,ENSG00000106266
mod0,ENSG00000106336
mod0,ENSG00000106397
mod0,ENSG00000106404
mod0,ENSG00000106459
mod0,ENSG00000106554
mod0,ENSG00000106565
mod0,ENSG00000106588
mod0,ENSG00000106609
mod0,ENSG00000106733
mod0,ENSG00000106804
mod0,ENSG00000106809
mod0,ENSG00000106819
mod0,ENSG00000106823
mod0,ENSG00000106948
mod0,ENSG00000106992
mod0,ENSG00000107020
mod0,ENSG00000107036
mod0,ENSG00000107130
mod0,ENSG00000107185
mod0,ENSG00000107249
mod0,ENSG00000107331
mod0,ENSG00000107338
mod0,ENSG00000107362
mod0,ENSG00000107554
mod0,ENSG00000107593
mod0,ENSG00000107614
mod0,ENSG00000107731
mod0,ENSG00000107736
mod0,ENSG00000107821
mod0,ENSG00000107862
mod0,ENSG00000107897
mod0,ENSG00000107960
mod0,ENSG00000108094
mod0,ENSG00000108370
mod0,ENSG00000108465
mod0,ENSG00000108669
mod0,ENSG00000108733
mod0,ENSG00000108784
mod0,ENSG00000108786
mod0,ENSG00000108797
mod0,ENSG00000108819
mod0,ENSG00000108821
mod0,ENSG00000109062
mod0,ENSG00000109072
mod0,ENSG00000109790
mod0,ENSG00000109819
mod0,ENSG00000110042
mod0,ENSG00000110048
mod0,ENSG00000110090
mod0,ENSG00000110169
mod0,ENSG00000110436
mod0,ENSG00000110492
mod0,ENSG00000110497
mod0,ENSG00000110665
mod0,ENSG00000110697
mod0,ENSG00000111057
mod0,ENSG00000111231
mod0,ENSG00000111266
mod0,ENSG00000111271
mod0,ENSG00000111341
mod0,ENSG00000111481
mod0,ENSG00000111554
mod0,ENSG00000111671
mod0,ENSG00000111732
mod0,ENSG00000111834
mod0,ENSG00000111846
mod0,ENSG00000111877
mod0,ENSG00000111880
mod0,ENSG00000111907
mod0,ENSG00000112139
mod0,ENSG00000112200
mod0,ENSG00000112282
mod0,ENSG00000112297
mod0,ENSG00000112308
mod0,ENSG00000112309
mod0,ENSG00000112378
mod0,ENSG00000112425
mod0,ENSG00000112473
mod0,ENSG00000112599
mod0,ENSG00000112701
mod0,ENSG00000112759
