trajectory_group,name,freq,count,positive,pos_freq,.group
1,Anelloviridae.pbmc,19.004524886877828,221,42,16.733067729083665,1
1,CMV.ea,0,0,0,0,2
1,CMV.nasal,0.4784688995215311,209,1,3.8461538461538463,3
1,CMV.pbmc,0.4524886877828055,221,1.0000000000000002,2.3809523809523814,4
1,EBV.ea,0,0,0,0,5
1,EBV.nasal,1.9138755980861244,209,4,5.128205128205128,6
1,EBV.pbmc,13.574660633484163,221,30,10.1010101010101,7
1,Enterovirus.nasal,9.090909090909092,209,19.000000000000004,16.666666666666668,8
1,HSV1.ea,0,0,0,0,9
1,HSV1.nasal,6.220095693779904,209,13,12.5,10
1,HSV2.nasal,0,209,0,0,11
2,Anelloviridae.pbmc,21.31782945736434,258,55,21.91235059760956,1
2,CMV.ea,0,0,0,0,2
2,CMV.nasal,0.796812749003984,251,2,7.6923076923076925,3
2,CMV.pbmc,3.10077519379845,258,8,19.047619047619047,4
2,EBV.ea,0,0,0,0,5
2,EBV.nasal,3.5856573705179287,251,9.000000000000002,11.53846153846154,6
2,EBV.pbmc,23.25581395348837,258,60,20.2020202020202,7
2,Enterovirus.nasal,13.545816733067728,251,33.99999999999999,29.824561403508763,8
2,HSV1.ea,0,0,0,0,9
2,HSV1.nasal,7.6,250,19,18.269230769230766,10
2,HSV2.nasal,0,251,0,0,11
3,Anelloviridae.pbmc,18.944099378881987,322,61,24.302788844621514,1
3,CMV.ea,0,0,0,0,2
3,CMV.nasal,1.282051282051282,312,3.9999999999999996,15.384615384615383,3
3,CMV.pbmc,1.5527950310559007,322,5,11.904761904761903,4
3,EBV.ea,0,0,0,0,5
3,EBV.nasal,5.769230769230769,312,18,23.076923076923077,6
3,EBV.pbmc,24.22360248447205,322,78,26.262626262626267,7
3,Enterovirus.nasal,11.858974358974358,312,36.99999999999999,32.45614035087719,8
3,HSV1.ea,0,0,0,0,9
3,HSV1.nasal,4.501607717041801,311,14,13.461538461538462,10
3,HSV2.nasal,0.641025641025641,312,1.9999999999999998,49.99999999999999,11
4,Anelloviridae.pbmc,31.674208144796378,221,69.99999999999999,27.888446215139435,1
4,CMV.ea,10.476190476190476,105,11,100,2
4,CMV.nasal,6.25,208,13,50,3
4,CMV.pbmc,10.85972850678733,221,24,57.14285714285714,4
4,EBV.ea,6.666666666666667,105,7,63.63636363636363,5
4,EBV.nasal,15.384615384615385,208,32,41.02564102564102,6
4,EBV.pbmc,40.27149321266968,221,89,29.96632996632997,7
4,Enterovirus.nasal,9.615384615384617,208,20.000000000000004,17.54385964912281,8
4,HSV1.ea,39.04761904761905,105,41,63.07692307692307,9
4,HSV1.nasal,19.806763285024154,207,41,39.42307692307692,10
4,HSV2.nasal,0.4807692307692308,208,1,25,11
5,Anelloviridae.pbmc,22.330097087378643,103,23.000000000000004,9.163346613545817,1
5,CMV.ea,0,48,0,0,2
5,CMV.nasal,5.88235294117647,102,6,23.076923076923077,3
5,CMV.pbmc,3.8834951456310676,103,3.9999999999999996,9.523809523809524,4
5,EBV.ea,8.333333333333332,48,3.9999999999999996,36.36363636363636,5
5,EBV.nasal,14.705882352941178,102,15,19.230769230769234,6
5,EBV.pbmc,38.83495145631068,103,39.99999999999999,13.468013468013465,7
5,Enterovirus.nasal,3.9215686274509802,102,4,3.508771929824561,8
5,HSV1.ea,50,48,24,36.92307692307693,9
5,HSV1.nasal,16.831683168316832,101,17,16.346153846153847,10
5,HSV2.nasal,0.9900990099009901,101,1,25,11
