name,sex,mean,count,positive,.group
Anelloviridae.pbmc,Female,15.777262180974477,431,67.99999999999999,1
Anelloviridae.pbmc,Male,18.181818181818183,671,122.00000000000001,1
CMV.ea,Female,10.416666666666668,48,5.000000000000001,2
CMV.ea,Male,5.5045871559633035,109,6.000000000000001,2
CMV.nasal,Female,1.7902813299232736,391,7,3
CMV.nasal,Male,2.3474178403755865,639,14.999999999999998,3
CMV.pbmc,Female,3.944315545243619,431,16.999999999999996,4
CMV.pbmc,Male,3.5767511177347244,671,24,4
EBV.ea,Female,8.333333333333332,48,3.9999999999999996,5
EBV.ea,Male,6.422018348623854,109,7.000000000000001,5
EBV.nasal,Female,9.462915601023019,391,37.00000000000001,6
EBV.nasal,Male,5.94679186228482,639,38,6
EBV.pbmc,Female,23.897911832946637,431,103,7
EBV.pbmc,Male,26.97466467958271,671,180.99999999999997,7
Enterovirus.nasal,Female,5.626598465473146,391,22,8
Enterovirus.nasal,Male,4.381846635367762,639,28,8
HSV1.ea,Female,41.66666666666667,48,20.000000000000004,9
HSV1.ea,Male,43.11926605504588,109,47.00000000000001,9
HSV1.nasal,Female,8.333333333333332,384,31.999999999999996,10
HSV1.nasal,Male,10.866141732283465,635,69,10
HSV2.nasal,Female,0.7672634271099744,391,3,11
HSV2.nasal,Male,0.1567398119122257,638,0.9999999999999999,11
