"","Clinical Variable","Rate of Clinical Event in Virus Negative Participants","Rate of Clinical Event in Virus Positive Participants","Percent Difference","virus"
"747","symptom_chestwall","0% (0/817)","0.4% (1/283)",0.4,"Human gammaherpesvirus 4 (EBV).pbmc"
"748","symptom_earpain","0.1% (1/818)","0.7% (2/284)",0.6,"Human gammaherpesvirus 4 (EBV).pbmc"
"749","symptom_conjunctivitis","0.1% (1/818)","0.4% (1/284)",0.2,"Human gammaherpesvirus 4 (EBV).pbmc"
"750","symptom_allsyst","71.4% (584/818)","72.2% (205/284)",0.8,"Human gammaherpesvirus 4 (EBV).pbmc"
"751","symptom_fever","48.7% (398/818)","50% (142/284)",1.3,"Human gammaherpesvirus 4 (EBV).pbmc"
"752","symptom_chills","24.6% (201/818)","24.3% (69/284)",-0.3,"Human gammaherpesvirus 4 (EBV).pbmc"
"753","symptom_shaking","1.2% (10/818)","1.1% (3/283)",-0.2,"Human gammaherpesvirus 4 (EBV).pbmc"
"754","symptom_fatigue","41.4% (339/818)","40.5% (115/284)",-0.9,"Human gammaherpesvirus 4 (EBV).pbmc"
"755","symptom_myalgia","24.1% (197/818)","21.8% (62/284)",-2.3,"Human gammaherpesvirus 4 (EBV).pbmc"
"756","symptom_lymphadenopathy","0.4% (3/818)","0.7% (2/284)",0.3,"Human gammaherpesvirus 4 (EBV).pbmc"
"757","symptom_allneuro","30.9% (253/818)","28.9% (82/284)",-2.1,"Human gammaherpesvirus 4 (EBV).pbmc"
"758","symptom_headache","18.1% (148/818)","15.1% (43/284)",-3,"Human gammaherpesvirus 4 (EBV).pbmc"
"759","symptom_confusion","4.5% (37/818)","7.4% (21/284)",2.9,"Human gammaherpesvirus 4 (EBV).pbmc"
"760","symptom_seizure","0.4% (3/818)","0% (0/284)",-0.4,"Human gammaherpesvirus 4 (EBV).pbmc"
"761","symptom_syncope","1.5% (12/818)","2.1% (6/284)",0.6,"Human gammaherpesvirus 4 (EBV).pbmc"
"762","symptom_anosmia","10.5% (86/818)","8.8% (25/284)",-1.7,"Human gammaherpesvirus 4 (EBV).pbmc"
"763","symptom_allGI","39.2% (321/818)","37.3% (106/284)",-1.9,"Human gammaherpesvirus 4 (EBV).pbmc"
"764","symptom_abdpain","9.9% (81/818)","10.6% (30/284)",0.7,"Human gammaherpesvirus 4 (EBV).pbmc"
"765","symptom_nausea","22.9% (187/818)","19.7% (56/284)",-3.1,"Human gammaherpesvirus 4 (EBV).pbmc"
"766","symptom_diarrhea","21.6% (177/818)","22.5% (64/284)",0.9,"Human gammaherpesvirus 4 (EBV).pbmc"
"767","symptom_allderm","1% (8/818)","1.8% (5/284)",0.8,"Human gammaherpesvirus 4 (EBV).pbmc"
"768","symptom_skinrash","0.9% (7/818)","1.1% (3/284)",0.2,"Human gammaherpesvirus 4 (EBV).pbmc"
"769","symptom_skinulcer","0.1% (1/818)","0.7% (2/284)",0.6,"Human gammaherpesvirus 4 (EBV).pbmc"
"770","symptom_allother","8.8% (72/818)","6.7% (19/284)",-2.1,"Human gammaherpesvirus 4 (EBV).pbmc"
"771","symptom_arthralgia","3.8% (31/818)","2.5% (7/284)",-1.3,"Human gammaherpesvirus 4 (EBV).pbmc"
"772","symptom_edema","2.8% (23/818)","2.5% (7/284)",-0.3,"Human gammaherpesvirus 4 (EBV).pbmc"
"773","symptom_nonamb","2.2% (18/818)","2.1% (6/284)",-0.1,"Human gammaherpesvirus 4 (EBV).pbmc"
"774","symptom_bleeding","0.5% (4/818)","0% (0/284)",-0.5,"Human gammaherpesvirus 4 (EBV).pbmc"
"775","ever_ever_esc","13.3% (109/818)","22.9% (65/284)",9.6,"Human gammaherpesvirus 4 (EBV).pbmc"
"776","ever_icu","30.8% (252/818)","52.1% (148/284)",21.3,"Human gammaherpesvirus 4 (EBV).pbmc"
"777","diedever","11.4% (93/818)","22.9% (65/284)",11.5,"Human gammaherpesvirus 4 (EBV).pbmc"
"778","ever_remdes","60.3% (493/818)","68.3% (194/284)",8,"Human gammaherpesvirus 4 (EBV).pbmc"
"779","ever_steroids","66.9% (547/818)","73.6% (209/284)",6.7,"Human gammaherpesvirus 4 (EBV).pbmc"
"780","ever_azithro","29.8% (244/818)","40.1% (114/284)",10.3,"Human gammaherpesvirus 4 (EBV).pbmc"
"781","ever_otherabx","55.3% (452/818)","65.5% (186/284)",10.2,"Human gammaherpesvirus 4 (EBV).pbmc"
"782","ever_conplas","6.8% (56/818)","10.2% (29/284)",3.4,"Human gammaherpesvirus 4 (EBV).pbmc"
"783","ever_monoclonal","0.4% (3/818)","0.7% (2/284)",0.3,"Human gammaherpesvirus 4 (EBV).pbmc"
"784","ever_immsupp","6.4% (52/818)","8.5% (24/284)",2.1,"Human gammaherpesvirus 4 (EBV).pbmc"
"785","anycomp","84% (687/818)","92.3% (262/284)",8.3,"Human gammaherpesvirus 4 (EBV).pbmc"
"786","ncomp","18.8% (154/818)","15.1% (43/284)",-3.7,"Human gammaherpesvirus 4 (EBV).pbmc"
"787","comp_seizure","0.5% (4/818)","0.4% (1/284)",-0.1,"Human gammaherpesvirus 4 (EBV).pbmc"
"788","comp_meningitis","1.1% (9/818)","1.1% (3/284)",0,"Human gammaherpesvirus 4 (EBV).pbmc"
"789","comp_stroke","1.2% (10/818)","3.5% (10/284)",2.3,"Human gammaherpesvirus 4 (EBV).pbmc"
"790","comp_afib","7.3% (60/818)","7.7% (22/284)",0.4,"Human gammaherpesvirus 4 (EBV).pbmc"
"791","comp_ventricular_arr","2.6% (21/818)","6.3% (18/284)",3.8,"Human gammaherpesvirus 4 (EBV).pbmc"
"792","comp_endo","0.1% (1/818)","0% (0/284)",-0.1,"Human gammaherpesvirus 4 (EBV).pbmc"
"793","comp_myocard","0.5% (4/818)","0.4% (1/284)",-0.1,"Human gammaherpesvirus 4 (EBV).pbmc"
"794","comp_cardarrest","2.9% (24/818)","5.3% (15/284)",2.3,"Human gammaherpesvirus 4 (EBV).pbmc"
"795","comp_stemi","1.2% (10/818)","1.1% (3/284)",-0.2,"Human gammaherpesvirus 4 (EBV).pbmc"
"796","comp_nstemi","2.7% (22/818)","2.8% (8/284)",0.1,"Human gammaherpesvirus 4 (EBV).pbmc"
"797","comp_chf","7% (57/818)","7% (20/284)",0.1,"Human gammaherpesvirus 4 (EBV).pbmc"
"798","comp_pneumonia","65.5% (536/818)","75.7% (215/284)",10.2,"Human gammaherpesvirus 4 (EBV).pbmc"
"799","comp_bronch","0.6% (5/818)","0.4% (1/284)",-0.3,"Human gammaherpesvirus 4 (EBV).pbmc"
"800","comp_pneumo","2.6% (21/818)","2.8% (8/284)",0.2,"Human gammaherpesvirus 4 (EBV).pbmc"
"801","comp_pneumomed","1% (8/818)","1.4% (4/284)",0.4,"Human gammaherpesvirus 4 (EBV).pbmc"
"802","comp_aat","1% (8/818)","0.7% (2/284)",-0.3,"Human gammaherpesvirus 4 (EBV).pbmc"
"803","comp_avthromb","6.1% (50/818)","9.9% (28/284)",3.7,"Human gammaherpesvirus 4 (EBV).pbmc"
"804","comp_shock","12% (98/818)","25.7% (73/284)",13.7,"Human gammaherpesvirus 4 (EBV).pbmc"
"805","comp_bac","10.8% (88/818)","15.8% (45/284)",5.1,"Human gammaherpesvirus 4 (EBV).pbmc"
"806","comp_coag","3.4% (28/818)","4.2% (12/284)",0.8,"Human gammaherpesvirus 4 (EBV).pbmc"
"807","comp_hypogly","1% (8/818)","2.5% (7/284)",1.5,"Human gammaherpesvirus 4 (EBV).pbmc"
"808","comp_bleed","5% (41/818)","8.1% (23/284)",3.1,"Human gammaherpesvirus 4 (EBV).pbmc"
"809","comp_anemia","12.6% (103/818)","19% (54/284)",6.4,"Human gammaherpesvirus 4 (EBV).pbmc"
"810","comp_pancreas","0.5% (4/818)","0.7% (2/284)",0.2,"Human gammaherpesvirus 4 (EBV).pbmc"
"811","comp_renal","20% (164/818)","28.5% (81/284)",8.5,"Human gammaherpesvirus 4 (EBV).pbmc"
"812","comp_liver","10% (82/818)","18% (51/284)",7.9,"Human gammaherpesvirus 4 (EBV).pbmc"
"813","comp_othlab","4.3% (35/818)","4.2% (12/284)",-0.1,"Human gammaherpesvirus 4 (EBV).pbmc"
"814","comp_electrolyte","3.2% (26/818)","5.6% (16/284)",2.5,"Human gammaherpesvirus 4 (EBV).pbmc"
"815","comp_othinf","2.2% (18/818)","5.6% (16/284)",3.4,"Human gammaherpesvirus 4 (EBV).pbmc"
"816","comp_othpulm","0.1% (1/818)","0% (0/284)",-0.1,"Human gammaherpesvirus 4 (EBV).pbmc"
"817","comp_unddisease","1.6% (13/818)","0.7% (2/284)",-0.9,"Human gammaherpesvirus 4 (EBV).pbmc"
"818","comp_enceph","2% (16/818)","3.5% (10/284)",1.6,"Human gammaherpesvirus 4 (EBV).pbmc"
"819","comp_othneuro","0.7% (6/818)","0.4% (1/284)",-0.4,"Human gammaherpesvirus 4 (EBV).pbmc"
"820","comp_hypergly","3.7% (30/818)","6.3% (18/284)",2.7,"Human gammaherpesvirus 4 (EBV).pbmc"
"821","comp_psych","0.2% (2/818)","0.4% (1/284)",0.1,"Human gammaherpesvirus 4 (EBV).pbmc"
"822","comp_gastroent","1.1% (9/818)","1.1% (3/284)",0,"Human gammaherpesvirus 4 (EBV).pbmc"
"823","comp_pulmvas","0.2% (2/818)","0% (0/284)",-0.2,"Human gammaherpesvirus 4 (EBV).pbmc"
"824","comp_other2","1.8% (15/818)","2.5% (7/284)",0.6,"Human gammaherpesvirus 4 (EBV).pbmc"
"825","comorb_htn","61.1% (55/90)","56.7% (38/67)",-4.4,"Human alphaherpesvirus 1 (HSV1).ea"
"826","comorb_isaric_dm","54.4% (49/90)","41.8% (28/67)",-12.7,"Human alphaherpesvirus 1 (HSV1).ea"
"827","comorb_anyresp_noasthma","24.4% (22/90)","19.4% (13/67)",-5,"Human alphaherpesvirus 1 (HSV1).ea"
"828","comorb_isaric_asthma","15.6% (14/90)","16.4% (11/67)",0.9,"Human alphaherpesvirus 1 (HSV1).ea"
"829","comorb_isaric_cardiac","23.3% (21/90)","17.9% (12/67)",-5.4,"Human alphaherpesvirus 1 (HSV1).ea"
"830","comorb_isaric_ckd","15.6% (14/90)","10.4% (7/67)",-5.1,"Human alphaherpesvirus 1 (HSV1).ea"
"831","comorb_isaric_neoplasm","5.6% (5/90)","7.5% (5/67)",1.9,"Human alphaherpesvirus 1 (HSV1).ea"
"832","comorb_neuro","16.7% (15/90)","9% (6/67)",-7.7,"Human alphaherpesvirus 1 (HSV1).ea"
"833","comorb_isaric_liver","8.9% (8/90)","7.5% (5/67)",-1.4,"Human alphaherpesvirus 1 (HSV1).ea"
"834","comorb_hxtrans","5.6% (5/90)","6% (4/67)",0.4,"Human alphaherpesvirus 1 (HSV1).ea"
"835","comorb_hiv2","1.1% (1/90)","0% (0/67)",-1.1,"Human alphaherpesvirus 1 (HSV1).ea"
"836","comorb_eversmkvape","26.7% (24/90)","28.4% (19/67)",1.7,"Human alphaherpesvirus 1 (HSV1).ea"
"837","comorb_anysubstance","4.4% (4/90)","6% (4/67)",1.5,"Human alphaherpesvirus 1 (HSV1).ea"
"838","comorb_count","7.8% (7/90)","16.4% (11/67)",8.6,"Human alphaherpesvirus 1 (HSV1).ea"
"839","comorb_countcat","7.8% (7/90)","16.4% (11/67)",8.6,"Human alphaherpesvirus 1 (HSV1).ea"
"840","timesymptomcat","17.8% (16/90)","20.9% (14/67)",3.1,"Human alphaherpesvirus 1 (HSV1).ea"
"841","symptom_allresp","87.8% (79/90)","88.1% (59/67)",0.3,"Human alphaherpesvirus 1 (HSV1).ea"
"842","symptom_cough","58.9% (53/90)","50.7% (34/67)",-8.1,"Human alphaherpesvirus 1 (HSV1).ea"
"843","symptom_cough_prod","10% (9/90)","9% (6/67)",-1,"Human alphaherpesvirus 1 (HSV1).ea"
"844","symptom_haemoptysis","1.1% (1/90)","0% (0/67)",-1.1,"Human alphaherpesvirus 1 (HSV1).ea"
"845","symptom_sorethroat","7.8% (7/90)","4.5% (3/67)",-3.3,"Human alphaherpesvirus 1 (HSV1).ea"
"846","symptom_rhinorrhea","6.7% (6/90)","6% (4/67)",-0.7,"Human alphaherpesvirus 1 (HSV1).ea"
"847","symptom_wheeze","7.8% (7/90)","7.5% (5/67)",-0.3,"Human alphaherpesvirus 1 (HSV1).ea"
"848","symptom_chestpain","21.1% (19/90)","19.4% (13/67)",-1.7,"Human alphaherpesvirus 1 (HSV1).ea"
"849","symptom_dyspnea","77.8% (70/90)","76.1% (51/67)",-1.7,"Human alphaherpesvirus 1 (HSV1).ea"
"850","symptom_earpain","0% (0/90)","1.5% (1/67)",1.5,"Human alphaherpesvirus 1 (HSV1).ea"
"851","symptom_allsyst","62.2% (56/90)","61.2% (41/67)",-1,"Human alphaherpesvirus 1 (HSV1).ea"
"852","symptom_fever","47.8% (43/90)","43.3% (29/67)",-4.5,"Human alphaherpesvirus 1 (HSV1).ea"
"853","symptom_chills","14.4% (13/90)","19.4% (13/67)",5,"Human alphaherpesvirus 1 (HSV1).ea"
"854","symptom_shaking","1.1% (1/90)","1.5% (1/67)",0.4,"Human alphaherpesvirus 1 (HSV1).ea"
"855","symptom_fatigue","28.9% (26/90)","38.8% (26/67)",9.9,"Human alphaherpesvirus 1 (HSV1).ea"
"856","symptom_myalgia","7.8% (7/90)","16.4% (11/67)",8.6,"Human alphaherpesvirus 1 (HSV1).ea"
"857","symptom_lymphadenopathy","1.1% (1/90)","1.5% (1/67)",0.4,"Human alphaherpesvirus 1 (HSV1).ea"
"858","symptom_allneuro","31.1% (28/90)","34.3% (23/67)",3.2,"Human alphaherpesvirus 1 (HSV1).ea"
"859","symptom_headache","8.9% (8/90)","19.4% (13/67)",10.5,"Human alphaherpesvirus 1 (HSV1).ea"
"860","symptom_confusion","13.3% (12/90)","9% (6/67)",-4.4,"Human alphaherpesvirus 1 (HSV1).ea"
"861","symptom_syncope","1.1% (1/90)","3% (2/67)",1.9,"Human alphaherpesvirus 1 (HSV1).ea"
"862","symptom_anosmia","7.8% (7/90)","9% (6/67)",1.2,"Human alphaherpesvirus 1 (HSV1).ea"
"863","symptom_allGI","21.1% (19/90)","35.8% (24/67)",14.7,"Human alphaherpesvirus 1 (HSV1).ea"
"864","symptom_abdpain","6.7% (6/90)","9% (6/67)",2.3,"Human alphaherpesvirus 1 (HSV1).ea"
"865","symptom_nausea","12.2% (11/90)","14.9% (10/67)",2.7,"Human alphaherpesvirus 1 (HSV1).ea"
"866","symptom_diarrhea","10% (9/90)","17.9% (12/67)",7.9,"Human alphaherpesvirus 1 (HSV1).ea"
"867","symptom_allderm","1.1% (1/90)","1.5% (1/67)",0.4,"Human alphaherpesvirus 1 (HSV1).ea"
"868","symptom_skinrash","1.1% (1/90)","0% (0/67)",-1.1,"Human alphaherpesvirus 1 (HSV1).ea"
"869","symptom_skinulcer","0% (0/90)","1.5% (1/67)",1.5,"Human alphaherpesvirus 1 (HSV1).ea"
"870","symptom_allother","10% (9/90)","7.5% (5/67)",-2.5,"Human alphaherpesvirus 1 (HSV1).ea"
"871","symptom_arthralgia","1.1% (1/90)","3% (2/67)",1.9,"Human alphaherpesvirus 1 (HSV1).ea"
"872","symptom_edema","2.2% (2/90)","4.5% (3/67)",2.3,"Human alphaherpesvirus 1 (HSV1).ea"
"873","symptom_nonamb","7.8% (7/90)","0% (0/67)",-7.8,"Human alphaherpesvirus 1 (HSV1).ea"
"874","ever_ever_esc","41.1% (37/90)","44.8% (30/67)",3.7,"Human alphaherpesvirus 1 (HSV1).ea"
"875","ever_icu","96.7% (87/90)","100% (67/67)",3.3,"Human alphaherpesvirus 1 (HSV1).ea"
"876","diedever","41.1% (37/90)","47.8% (32/67)",6.7,"Human alphaherpesvirus 1 (HSV1).ea"
"877","ever_remdes","68.9% (62/90)","67.2% (45/67)",-1.7,"Human alphaherpesvirus 1 (HSV1).ea"
"878","ever_steroids","84.4% (76/90)","88.1% (59/67)",3.6,"Human alphaherpesvirus 1 (HSV1).ea"
"879","ever_azithro","43.3% (39/90)","47.8% (32/67)",4.4,"Human alphaherpesvirus 1 (HSV1).ea"
"880","ever_otherabx","93.3% (84/90)","92.5% (62/67)",-0.8,"Human alphaherpesvirus 1 (HSV1).ea"
"881","ever_conplas","6.7% (6/90)","22.4% (15/67)",15.7,"Human alphaherpesvirus 1 (HSV1).ea"
"882","ever_monoclonal","1.1% (1/90)","0% (0/67)",-1.1,"Human alphaherpesvirus 1 (HSV1).ea"
"883","ever_immsupp","6.7% (6/90)","10.4% (7/67)",3.8,"Human alphaherpesvirus 1 (HSV1).ea"
"884","anycomp","96.7% (87/90)","97% (65/67)",0.3,"Human alphaherpesvirus 1 (HSV1).ea"
"885","ncomp","3.3% (3/90)","4.5% (3/67)",1.1,"Human alphaherpesvirus 1 (HSV1).ea"
"886","comp_seizure","2.2% (2/90)","1.5% (1/67)",-0.7,"Human alphaherpesvirus 1 (HSV1).ea"
"887","comp_meningitis","3.3% (3/90)","4.5% (3/67)",1.1,"Human alphaherpesvirus 1 (HSV1).ea"
"888","comp_stroke","5.6% (5/90)","7.5% (5/67)",1.9,"Human alphaherpesvirus 1 (HSV1).ea"
"889","comp_afib","16.7% (15/90)","13.4% (9/67)",-3.2,"Human alphaherpesvirus 1 (HSV1).ea"
"890","comp_ventricular_arr","11.1% (10/90)","9% (6/67)",-2.2,"Human alphaherpesvirus 1 (HSV1).ea"
"891","comp_myocard","1.1% (1/90)","0% (0/67)",-1.1,"Human alphaherpesvirus 1 (HSV1).ea"
"892","comp_cardarrest","13.3% (12/90)","14.9% (10/67)",1.6,"Human alphaherpesvirus 1 (HSV1).ea"
"893","comp_stemi","2.2% (2/90)","3% (2/67)",0.8,"Human alphaherpesvirus 1 (HSV1).ea"
"894","comp_nstemi","4.4% (4/90)","4.5% (3/67)",0,"Human alphaherpesvirus 1 (HSV1).ea"
"895","comp_chf","8.9% (8/90)","10.4% (7/67)",1.6,"Human alphaherpesvirus 1 (HSV1).ea"
"896","comp_pneumonia","86.7% (78/90)","83.6% (56/67)",-3.1,"Human alphaherpesvirus 1 (HSV1).ea"
"897","comp_bronch","1.1% (1/90)","0% (0/67)",-1.1,"Human alphaherpesvirus 1 (HSV1).ea"
"898","comp_pneumo","8.9% (8/90)","10.4% (7/67)",1.6,"Human alphaherpesvirus 1 (HSV1).ea"
"899","comp_pneumomed","3.3% (3/90)","6% (4/67)",2.6,"Human alphaherpesvirus 1 (HSV1).ea"
"900","comp_aat","4.4% (4/90)","3% (2/67)",-1.5,"Human alphaherpesvirus 1 (HSV1).ea"
"901","comp_avthromb","22.2% (20/90)","20.9% (14/67)",-1.3,"Human alphaherpesvirus 1 (HSV1).ea"
"902","comp_shock","63.3% (57/90)","71.6% (48/67)",8.3,"Human alphaherpesvirus 1 (HSV1).ea"
"903","comp_bac","30% (27/90)","43.3% (29/67)",13.3,"Human alphaherpesvirus 1 (HSV1).ea"
"904","comp_coag","5.6% (5/90)","4.5% (3/67)",-1.1,"Human alphaherpesvirus 1 (HSV1).ea"
"905","comp_hypogly","3.3% (3/90)","3% (2/67)",-0.3,"Human alphaherpesvirus 1 (HSV1).ea"
"906","comp_bleed","8.9% (8/90)","20.9% (14/67)",12,"Human alphaherpesvirus 1 (HSV1).ea"
"907","comp_anemia","32.2% (29/90)","35.8% (24/67)",3.6,"Human alphaherpesvirus 1 (HSV1).ea"
"908","comp_pancreas","1.1% (1/90)","0% (0/67)",-1.1,"Human alphaherpesvirus 1 (HSV1).ea"
"909","comp_renal","45.6% (41/90)","50.7% (34/67)",5.2,"Human alphaherpesvirus 1 (HSV1).ea"
"910","comp_liver","13.3% (12/90)","17.9% (12/67)",4.6,"Human alphaherpesvirus 1 (HSV1).ea"
"911","comp_othlab","2.2% (2/90)","6% (4/67)",3.7,"Human alphaherpesvirus 1 (HSV1).ea"
"912","comp_electrolyte","8.9% (8/90)","7.5% (5/67)",-1.4,"Human alphaherpesvirus 1 (HSV1).ea"
"913","comp_othinf","5.6% (5/90)","6% (4/67)",0.4,"Human alphaherpesvirus 1 (HSV1).ea"
"914","comp_unddisease","2.2% (2/90)","0% (0/67)",-2.2,"Human alphaherpesvirus 1 (HSV1).ea"
"915","comp_enceph","6.7% (6/90)","9% (6/67)",2.3,"Human alphaherpesvirus 1 (HSV1).ea"
"916","comp_othneuro","1.1% (1/90)","0% (0/67)",-1.1,"Human alphaherpesvirus 1 (HSV1).ea"
"917","comp_hypergly","6.7% (6/90)","7.5% (5/67)",0.8,"Human alphaherpesvirus 1 (HSV1).ea"
"918","comp_psych","1.1% (1/90)","0% (0/67)",-1.1,"Human alphaherpesvirus 1 (HSV1).ea"
"919","comp_gastroent","1.1% (1/90)","0% (0/67)",-1.1,"Human alphaherpesvirus 1 (HSV1).ea"
"920","comorb_htn","58.9% (86/146)","63.6% (7/11)",4.7,"Human betaherpesvirus 5 (CMV).ea"
"921","comorb_isaric_dm","48.6% (71/146)","54.5% (6/11)",5.9,"Human betaherpesvirus 5 (CMV).ea"
"922","comorb_anyresp_noasthma","21.2% (31/146)","36.4% (4/11)",15.1,"Human betaherpesvirus 5 (CMV).ea"
"923","comorb_isaric_asthma","15.1% (22/146)","27.3% (3/11)",12.2,"Human betaherpesvirus 5 (CMV).ea"
"924","comorb_isaric_cardiac","21.2% (31/146)","18.2% (2/11)",-3.1,"Human betaherpesvirus 5 (CMV).ea"
"925","comorb_isaric_ckd","12.3% (18/146)","27.3% (3/11)",14.9,"Human betaherpesvirus 5 (CMV).ea"
"926","comorb_isaric_neoplasm","5.5% (8/146)","18.2% (2/11)",12.7,"Human betaherpesvirus 5 (CMV).ea"
"927","comorb_neuro","14.4% (21/146)","0% (0/11)",-14.4,"Human betaherpesvirus 5 (CMV).ea"
"928","comorb_isaric_liver","7.5% (11/146)","18.2% (2/11)",10.6,"Human betaherpesvirus 5 (CMV).ea"
"929","comorb_hxtrans","6.2% (9/146)","0% (0/11)",-6.2,"Human betaherpesvirus 5 (CMV).ea"
"930","comorb_hiv2","0.7% (1/146)","0% (0/11)",-0.7,"Human betaherpesvirus 5 (CMV).ea"
"931","comorb_eversmkvape","28.1% (41/146)","18.2% (2/11)",-9.9,"Human betaherpesvirus 5 (CMV).ea"
"932","comorb_anysubstance","4.1% (6/146)","18.2% (2/11)",14.1,"Human betaherpesvirus 5 (CMV).ea"
"933","comorb_count","12.3% (18/146)","0% (0/11)",-12.3,"Human betaherpesvirus 5 (CMV).ea"
"934","comorb_countcat","12.3% (18/146)","0% (0/11)",-12.3,"Human betaherpesvirus 5 (CMV).ea"
"935","timesymptomcat","20.5% (30/146)","0% (0/11)",-20.5,"Human betaherpesvirus 5 (CMV).ea"
"936","symptom_allresp","87.7% (128/146)","90.9% (10/11)",3.2,"Human betaherpesvirus 5 (CMV).ea"
"937","symptom_cough","55.5% (81/146)","54.5% (6/11)",-0.9,"Human betaherpesvirus 5 (CMV).ea"
"938","symptom_cough_prod","10.3% (15/146)","0% (0/11)",-10.3,"Human betaherpesvirus 5 (CMV).ea"
"939","symptom_haemoptysis","0.7% (1/146)","0% (0/11)",-0.7,"Human betaherpesvirus 5 (CMV).ea"
"940","symptom_sorethroat","6.2% (9/146)","9.1% (1/11)",2.9,"Human betaherpesvirus 5 (CMV).ea"
"941","symptom_rhinorrhea","6.2% (9/146)","9.1% (1/11)",2.9,"Human betaherpesvirus 5 (CMV).ea"
"942","symptom_wheeze","7.5% (11/146)","9.1% (1/11)",1.6,"Human betaherpesvirus 5 (CMV).ea"
"943","symptom_chestpain","21.9% (32/146)","0% (0/11)",-21.9,"Human betaherpesvirus 5 (CMV).ea"
"944","symptom_dyspnea","77.4% (113/146)","72.7% (8/11)",-4.7,"Human betaherpesvirus 5 (CMV).ea"
"945","symptom_earpain","0% (0/146)","9.1% (1/11)",9.1,"Human betaherpesvirus 5 (CMV).ea"
"946","symptom_allsyst","62.3% (91/146)","54.5% (6/11)",-7.8,"Human betaherpesvirus 5 (CMV).ea"
"947","symptom_fever","46.6% (68/146)","36.4% (4/11)",-10.2,"Human betaherpesvirus 5 (CMV).ea"
"948","symptom_chills","17.1% (25/146)","9.1% (1/11)",-8,"Human betaherpesvirus 5 (CMV).ea"
"949","symptom_shaking","1.4% (2/146)","0% (0/11)",-1.4,"Human betaherpesvirus 5 (CMV).ea"
"950","symptom_fatigue","33.6% (49/146)","27.3% (3/11)",-6.3,"Human betaherpesvirus 5 (CMV).ea"
"951","symptom_myalgia","11.6% (17/146)","9.1% (1/11)",-2.6,"Human betaherpesvirus 5 (CMV).ea"
"952","symptom_lymphadenopathy","1.4% (2/146)","0% (0/11)",-1.4,"Human betaherpesvirus 5 (CMV).ea"
"953","symptom_allneuro","34.2% (50/146)","9.1% (1/11)",-25.2,"Human betaherpesvirus 5 (CMV).ea"
"954","symptom_headache","14.4% (21/146)","0% (0/11)",-14.4,"Human betaherpesvirus 5 (CMV).ea"
"955","symptom_confusion","11.6% (17/146)","9.1% (1/11)",-2.6,"Human betaherpesvirus 5 (CMV).ea"
"956","symptom_syncope","2.1% (3/146)","0% (0/11)",-2.1,"Human betaherpesvirus 5 (CMV).ea"
"957","symptom_anosmia","8.9% (13/146)","0% (0/11)",-8.9,"Human betaherpesvirus 5 (CMV).ea"
"958","symptom_allGI","28.1% (41/146)","18.2% (2/11)",-9.9,"Human betaherpesvirus 5 (CMV).ea"
"959","symptom_abdpain","8.2% (12/146)","0% (0/11)",-8.2,"Human betaherpesvirus 5 (CMV).ea"
"960","symptom_nausea","13% (19/146)","18.2% (2/11)",5.2,"Human betaherpesvirus 5 (CMV).ea"
"961","symptom_diarrhea","14.4% (21/146)","0% (0/11)",-14.4,"Human betaherpesvirus 5 (CMV).ea"
"962","symptom_allderm","1.4% (2/146)","0% (0/11)",-1.4,"Human betaherpesvirus 5 (CMV).ea"
"963","symptom_skinrash","0.7% (1/146)","0% (0/11)",-0.7,"Human betaherpesvirus 5 (CMV).ea"
"964","symptom_skinulcer","0.7% (1/146)","0% (0/11)",-0.7,"Human betaherpesvirus 5 (CMV).ea"
"965","symptom_allother","8.9% (13/146)","9.1% (1/11)",0.2,"Human betaherpesvirus 5 (CMV).ea"
"966","symptom_arthralgia","2.1% (3/146)","0% (0/11)",-2.1,"Human betaherpesvirus 5 (CMV).ea"
"967","symptom_edema","2.7% (4/146)","9.1% (1/11)",6.4,"Human betaherpesvirus 5 (CMV).ea"
"968","symptom_nonamb","4.8% (7/146)","0% (0/11)",-4.8,"Human betaherpesvirus 5 (CMV).ea"
"969","ever_ever_esc","41.8% (61/146)","54.5% (6/11)",12.8,"Human betaherpesvirus 5 (CMV).ea"
"970","ever_icu","97.9% (143/146)","100% (11/11)",2.1,"Human betaherpesvirus 5 (CMV).ea"
"971","diedever","42.5% (62/146)","63.6% (7/11)",21.2,"Human betaherpesvirus 5 (CMV).ea"
"972","ever_remdes","68.5% (100/146)","63.6% (7/11)",-4.9,"Human betaherpesvirus 5 (CMV).ea"
"973","ever_steroids","86.3% (126/146)","81.8% (9/11)",-4.5,"Human betaherpesvirus 5 (CMV).ea"
"974","ever_azithro","45.9% (67/146)","36.4% (4/11)",-9.5,"Human betaherpesvirus 5 (CMV).ea"
"975","ever_otherabx","92.5% (135/146)","100% (11/11)",7.5,"Human betaherpesvirus 5 (CMV).ea"
"976","ever_conplas","13.7% (20/146)","9.1% (1/11)",-4.6,"Human betaherpesvirus 5 (CMV).ea"
"977","ever_monoclonal","0.7% (1/146)","0% (0/11)",-0.7,"Human betaherpesvirus 5 (CMV).ea"
"978","ever_immsupp","7.5% (11/146)","18.2% (2/11)",10.6,"Human betaherpesvirus 5 (CMV).ea"
"979","anycomp","96.6% (141/146)","100% (11/11)",3.4,"Human betaherpesvirus 5 (CMV).ea"
