"","feature","Chisq","Df","Pr(>Chisq)"
"1","(Intercept)",42.5578689485519,1,6.86216474869054e-11
"2","ever_immsupp",31.2844968473067,1,2.22852146718076e-08
"3","trajectory_group",23.841526450957,4,8.59342872362627e-05
"4","sex",0.248690759845053,1,0.617998466039503
"5","discretized_admit_age_quantile",14.8405929504738,4,0.00504351793826121
