name,ever_remdes,mean,count,positive,.group
Anelloviridae.pbmc,No Remdesivir,16.867469879518072,415,70,1
Anelloviridae.pbmc,Remdesivir,17.46724890829694,687,119.99999999999999,1
Enterovirus.nasal,No Remdesivir,3.5989717223650386,389,14,8
Enterovirus.nasal,Remdesivir,5.61622464898596,641,36.00000000000001,8
HSV1.ea,No Remdesivir,44,50,22,9
HSV1.ea,Remdesivir,42.05607476635514,107,45,9
HSV1.nasal,No Remdesivir,10.129870129870131,385,39.00000000000001,10
HSV1.nasal,Remdesivir,9.779179810725552,634,62,10
HSV2.nasal,No Remdesivir,0.5154639175257731,388,1.9999999999999998,11
HSV2.nasal,Remdesivir,0.31201248049922,641,2,11
CMV.ea,No Remdesivir,8,50,4,2
CMV.ea,Remdesivir,6.5420560747663545,107,6.999999999999999,2
CMV.nasal,No Remdesivir,2.570694087403599,389,10,3
CMV.nasal,Remdesivir,1.87207488299532,641,12,3
CMV.pbmc,No Remdesivir,3.132530120481928,415,13.000000000000002,4
CMV.pbmc,Remdesivir,4.075691411935954,687,28,4
EBV.ea,No Remdesivir,2,50,1,5
EBV.ea,Remdesivir,9.345794392523365,107,10,5
EBV.nasal,No Remdesivir,5.655526992287918,389,22,6
EBV.nasal,Remdesivir,8.268330733229329,641,53,6
EBV.pbmc,No Remdesivir,21.686746987951807,415,90,7
EBV.pbmc,Remdesivir,28.238719068413392,687,194,7
