term,npar,AIC,LRT,Pr(Chi),virus,feature,coef_virus,direction,log10p,signedlog10p,Label,panel
binary,1,453.181240121922,3.53716011549488,0.1440194920560355,Anelloviridae.pbmc,comorb_isaric_liver,0.578923898038117,1,0.8415787251305036,0.8415787251305036,Liver Disease,Complications & Comorbidities
binary,1,389.948605624972,20.7985006064794,4.7621367720434855e-5,Anelloviridae.pbmc,comorb_hxtrans,1.44539606425301,1,4.322198135497548,4.322198135497548,Organ/BM Transplant,Complications & Comorbidities
binary,1,589.782927243958,0.486061995492264,0.6048420804319369,Anelloviridae.pbmc,comorb_anysubstance,-0.208965889417324,-1,0.21835800146246898,-0.21835800146246898,Substance Use,Complications & Comorbidities
binary,1,835.316946280507,6.73309346859912,0.0332058559002297,Anelloviridae.pbmc,ever_icu,0.565820818159273,1,1.4787853210882536,1.4787853210882536,ICU,Clinical Event
binary,1,1399.9305560085,0.133573089092124,0.7797335217372905,Anelloviridae.pbmc,ever_remdes,-0.0593702783930071,-1,0.1080537945050085,-0.1080537945050085,Remdesivir,Medication
binary,1,1145.37228068717,0.0156981493266812,0.9111390767363519,Anelloviridae.pbmc,ever_steroids,0.0232121496098698,1,0.040415327034509015,0.040415327034509015,Steroids,Medication
binary,1,1305.54451136415,0.447315470506283,0.6048420804319369,Anelloviridae.pbmc,ever_azithro,0.111832251239254,1,0.21835800146246898,0.21835800146246898,Azithromycin,Medication
binary,1,479.114725409616,0.00105551871308762,0.974082289500848,Anelloviridae.pbmc,ever_conplas,0.010533262093465,1,0.011404352806657308,0.011404352806657308,Conv Plasma,Medication
binary,1,479.323560708285,19.8642119129155,6.34904890788578e-5,Anelloviridae.pbmc,ever_immsupp,1.24373512439416,1,4.197291327462881,4.197291327462881,Immunosupressed,Medication
binary,1,809.538833700027,0.394783992618386,0.6268001800973865,Anelloviridae.pbmc,ncomp,0.149450619305726,1,0.20287088741836465,0.20287088741836465,Number of Complications,Clinical Event
binary,1,189.819026223176,1.70494377232947,0.335374736505144,Anelloviridae.pbmc,comp_stroke,0.654978200200927,1,0.474469655533294,0.474469655533294,Stroke,Complications & Comorbidities
binary,1,145.402460492784,8.42477294353225,0.01578207494947932,Anelloviridae.pbmc,comp_stemi,1.71359061425667,1,1.801835898473377,1.801835898473377,STEMI,Complications & Comorbidities
binary,1,539.308452156603,0.619372362293461,0.5733214844961201,Anelloviridae.pbmc,comp_chf,0.221141943106261,1,0.24160178328500884,0.24160178328500884,CHF,Complications & Comorbidities
binary,1,257.129741002116,0.0350675278639301,0.8989974326072029,Anelloviridae.pbmc,comp_pneumo,-0.0850764185574823,-1,0.04624154854053853,-0.04624154854053853,Pneumothorax,Complications & Comorbidities
binary,1,514.670391171969,0.0176655564757766,0.9111390767363519,Anelloviridae.pbmc,comp_avthromb,0.0381933490952271,1,0.040415327034509015,0.040415327034509015,Acute Venous Thromboembolism,Complications & Comorbidities
binary,1,610.166581133426,8.565536026318,0.01578207494947932,Anelloviridae.pbmc,comp_shock,0.721504862103817,1,1.801835898473377,1.801835898473377,Shock,Complications & Comorbidities
binary,1,720.721526931328,0.943331428689021,0.4718558389803806,Anelloviridae.pbmc,comp_bac,0.226543213065096,1,0.326190666404846,0.326190666404846,Bacteremia,Complications & Comorbidities
binary,1,1067.84008231403,3.37812813868413,0.1541564496558191,Anelloviridae.pbmc,comp_renal,0.336060515331019,1,0.8120383003806393,0.8120383003806393,Renal,Complications & Comorbidities
binary,1,810.588506099335,0.144538213033002,0.7778957677844034,Anelloviridae.pbmc,comp_liver,-0.09007058144095,-1,0.10907859132481793,-0.10907859132481793,Liver Dysfunction/Failure,Complications & Comorbidities
