"","term","npar","AIC","LRT","Pr(Chi)","virus","feature","coef_virus"
"42","binary",1,453.181240121922,3.53716011549488,0.0600081216900148,"Anelloviridae.pbmc","comorb_isaric_liver",0.578923898038117
"43","sex",1,449.673910297434,0.0298302910067605,0.86287586280429,"Anelloviridae.pbmc","comorb_isaric_liver",0.578923898038117
"44","discretized_admit_age_quantile",4,451.878830100675,8.23475009424777,0.0833477699285518,"Anelloviridae.pbmc","comorb_isaric_liver",0.578923898038117
"45","trajectory_group",4,445.512846760765,1.86876675433791,0.759879987312178,"Anelloviridae.pbmc","comorb_isaric_liver",0.578923898038117
"46","<none>",NA,371.150105018492,NA,NA,"Anelloviridae.pbmc","comorb_hxtrans",1.44539606425301
"47","binary",1,389.948605624972,20.7985006064794,5.10228939861802e-06,"Anelloviridae.pbmc","comorb_hxtrans",1.44539606425301
"48","sex",1,371.39376030563,2.24365528713747,0.134163494627952,"Anelloviridae.pbmc","comorb_hxtrans",1.44539606425301
"49","discretized_admit_age_quantile",4,384.540866093903,21.3907610754106,0.000264892466876483,"Anelloviridae.pbmc","comorb_hxtrans",1.44539606425301
"50","trajectory_group",4,371.491709688547,8.34160467005512,0.0798365014047014,"Anelloviridae.pbmc","comorb_hxtrans",1.44539606425301
"51","<none>",NA,204.262670469686,NA,NA,"Anelloviridae.pbmc","comorb_hiv2",0.719092077220231
"52","binary",1,204.288490695159,2.02582022547321,0.154645406536082,"Anelloviridae.pbmc","comorb_hiv2",0.719092077220231
"53","sex",1,202.448775902786,0.186105433100238,0.666177993880815,"Anelloviridae.pbmc","comorb_hiv2",0.719092077220231
"54","discretized_admit_age_quantile",4,209.923310292473,13.6606398227873,0.00846075771387198,"Anelloviridae.pbmc","comorb_hiv2",0.719092077220231
"55","trajectory_group",4,200.632778564987,4.37010809530136,0.358228298924977,"Anelloviridae.pbmc","comorb_hiv2",0.719092077220231
"56","<none>",NA,1347.95865837471,NA,NA,"Anelloviridae.pbmc","comorb_eversmkvape",-0.0464870305906844
"57","binary",1,1346.04102108642,0.0823627117147225,0.77412070871208,"Anelloviridae.pbmc","comorb_eversmkvape",-0.0464870305906844
"58","sex",1,1362.35881986682,16.4001614921133,5.12808603985518e-05,"Anelloviridae.pbmc","comorb_eversmkvape",-0.0464870305906844
"59","discretized_admit_age_quantile",4,1395.006263421,55.0476050462898,3.17520569079713e-11,"Anelloviridae.pbmc","comorb_eversmkvape",-0.0464870305906844
"60","trajectory_group",4,1343.11076561054,3.15210723583459,0.532700995924208,"Anelloviridae.pbmc","comorb_eversmkvape",-0.0464870305906844
"61","<none>",NA,591.296865248466,NA,NA,"Anelloviridae.pbmc","comorb_anysubstance",-0.208965889417324
"62","binary",1,589.782927243958,0.486061995492264,0.485689236788736,"Anelloviridae.pbmc","comorb_anysubstance",-0.208965889417324
"63","sex",1,597.612887459884,8.31602221141816,0.00392968824717461,"Anelloviridae.pbmc","comorb_anysubstance",-0.208965889417324
"64","discretized_admit_age_quantile",4,598.887135229345,15.590269980879,0.00362124907678547,"Anelloviridae.pbmc","comorb_anysubstance",-0.208965889417324
"65","trajectory_group",4,588.371231177937,5.07436592947192,0.27975184767966,"Anelloviridae.pbmc","comorb_anysubstance",-0.208965889417324
"66","<none>",NA,498.999591542922,NA,NA,"Anelloviridae.pbmc","comorb_count",-0.275751932335941
"67","binary",1,497.791999634827,0.792408091904917,0.373372963262364,"Anelloviridae.pbmc","comorb_count",-0.275751932335941
"68","sex",1,508.079502865308,11.0799113223856,0.000872679739193761,"Anelloviridae.pbmc","comorb_count",-0.275751932335941
"69","discretized_admit_age_quantile",4,499.390063185727,8.39047164280493,0.0782775993841607,"Anelloviridae.pbmc","comorb_count",-0.275751932335941
"70","trajectory_group",4,493.602213669351,2.60262212642897,0.626358695986307,"Anelloviridae.pbmc","comorb_count",-0.275751932335941
"71","<none>",NA,498.999591542922,NA,NA,"Anelloviridae.pbmc","comorb_countcat",-0.275751932335941
"72","binary",1,497.791999634827,0.792408091904917,0.373372963262364,"Anelloviridae.pbmc","comorb_countcat",-0.275751932335941
"73","sex",1,508.079502865308,11.0799113223856,0.000872679739193761,"Anelloviridae.pbmc","comorb_countcat",-0.275751932335941
"74","discretized_admit_age_quantile",4,499.390063185727,8.39047164280493,0.0782775993841607,"Anelloviridae.pbmc","comorb_countcat",-0.275751932335941
"75","trajectory_group",4,493.602213669351,2.60262212642897,0.626358695986307,"Anelloviridae.pbmc","comorb_countcat",-0.275751932335941
"76","<none>",NA,1151.57259191673,NA,NA,"Anelloviridae.pbmc","timesymptomcat",-0.463246131395287
"77","binary",1,1156.52341080896,6.95081889222979,0.00837808739886768,"Anelloviridae.pbmc","timesymptomcat",-0.463246131395287
"78","sex",1,1150.91146025289,1.33886833615452,0.247233638026212,"Anelloviridae.pbmc","timesymptomcat",-0.463246131395287
"79","discretized_admit_age_quantile",4,1144.73054270035,1.15795078361748,0.884972027936625,"Anelloviridae.pbmc","timesymptomcat",-0.463246131395287
"80","trajectory_group",4,1148.18634116652,4.61374924978463,0.329272006063646,"Anelloviridae.pbmc","timesymptomcat",-0.463246131395287
"81","<none>",NA,874.661406705017,NA,NA,"Anelloviridae.pbmc","symptom_allresp",-0.158845924855952
"82","binary",1,873.203834120999,0.542427415981592,0.461428464025877,"Anelloviridae.pbmc","symptom_allresp",-0.158845924855952
"83","sex",1,872.923175457751,0.261768752733701,0.608907593846349,"Anelloviridae.pbmc","symptom_allresp",-0.158845924855952
"84","discretized_admit_age_quantile",4,876.225661044567,9.56425433955008,0.0484435763581693,"Anelloviridae.pbmc","symptom_allresp",-0.158845924855952
"85","trajectory_group",4,882.440333763603,15.778927058586,0.00333061993050564,"Anelloviridae.pbmc","symptom_allresp",-0.158845924855952
"86","<none>",NA,1498.04335355567,NA,NA,"Anelloviridae.pbmc","symptom_cough",-0.117744805288569
"87","binary",1,1496.63780387344,0.59445031777409,0.440703349937012,"Anelloviridae.pbmc","symptom_cough",-0.117744805288569
"88","sex",1,1496.06313977447,0.0197862187987994,0.888135785139293,"Anelloviridae.pbmc","symptom_cough",-0.117744805288569
"89","discretized_admit_age_quantile",4,1497.43543793721,7.39208438154014,0.116563146371774,"Anelloviridae.pbmc","symptom_cough",-0.117744805288569
"90","trajectory_group",4,1495.32919000635,5.28583645067738,0.259205743902944,"Anelloviridae.pbmc","symptom_cough",-0.117744805288569
"91","<none>",NA,913.020803295739,NA,NA,"Anelloviridae.pbmc","symptom_cough_prod",0.293738443913396
"92","binary",1,913.040916189264,2.02011289352549,0.155227600422517,"Anelloviridae.pbmc","symptom_cough_prod",0.293738443913396
"93","sex",1,911.337635911652,0.316832615912972,0.573517373305429,"Anelloviridae.pbmc","symptom_cough_prod",0.293738443913396
"94","discretized_admit_age_quantile",4,909.557245366785,4.53644207104605,0.338248236858777,"Anelloviridae.pbmc","symptom_cough_prod",0.293738443913396
"95","trajectory_group",4,912.035987299017,7.01518400327848,0.135087992717883,"Anelloviridae.pbmc","symptom_cough_prod",0.293738443913396
"96","<none>",NA,255.066050500641,NA,NA,"Anelloviridae.pbmc","symptom_haemoptysis",0.150273098516459
"97","binary",1,253.158914800804,0.0928643001629439,0.76056689081881,"Anelloviridae.pbmc","symptom_haemoptysis",0.150273098516459
"98","sex",1,254.045486807473,0.979436306831701,0.322338012553656,"Anelloviridae.pbmc","symptom_haemoptysis",0.150273098516459
"99","discretized_admit_age_quantile",4,248.425056128363,1.35900562772224,0.851287807526757,"Anelloviridae.pbmc","symptom_haemoptysis",0.150273098516459
"100","trajectory_group",4,250.98357344704,3.91752294639898,0.417282965219496,"Anelloviridae.pbmc","symptom_haemoptysis",0.150273098516459
"101","<none>",NA,672.892012732812,NA,NA,"Anelloviridae.pbmc","symptom_sorethroat",-0.112649637709936
"102","binary",1,671.065887893217,0.173875160405601,0.676690545738987,"Anelloviridae.pbmc","symptom_sorethroat",-0.112649637709936
"103","sex",1,671.787976166141,0.895963433329257,0.34386637385522,"Anelloviridae.pbmc","symptom_sorethroat",-0.112649637709936
