trajectory_group,name,freq,count,positive,pos_freq,.group
1,Anelloviridae.pbmc,9.615384615384617,208,20.000000000000004,10.526315789473687,1
1,CMV.ea,0,0,0,0,2
1,CMV.nasal,0,193,0,0,3
1,CMV.pbmc,0.4807692307692308,208,1,2.4390243902439024,4
1,EBV.ea,0,0,0,0,5
1,EBV.nasal,1.5544041450777202,193,3,4,6
1,EBV.pbmc,13.942307692307693,208,29,10.211267605633804,7
1,Enterovirus.nasal,3.1088082901554404,193,6,12,8
1,HSV1.ea,0,0,0,0,9
1,HSV1.nasal,6.770833333333333,192,13,12.871287128712872,10
1,HSV2.nasal,0,193,0,0,11
2,Anelloviridae.pbmc,16.733067729083665,251,42,22.105263157894736,1
2,CMV.ea,0,0,0,0,2
2,CMV.nasal,0.43668122270742354,229,0.9999999999999999,4.545454545454545,3
2,CMV.pbmc,3.187250996015936,251,8,19.51219512195122,4
2,EBV.ea,0,0,0,0,5
2,EBV.nasal,3.9301310043668125,229,9.000000000000002,12.000000000000002,6
2,EBV.pbmc,21.51394422310757,251,54,19.014084507042252,7
2,Enterovirus.nasal,4.366812227074235,229,9.999999999999998,19.999999999999996,8
2,HSV1.ea,0,0,0,0,9
2,HSV1.nasal,7.5892857142857135,224,16.999999999999996,16.83168316831683,10
2,HSV2.nasal,0,229,0,0,11
3,Anelloviridae.pbmc,13.793103448275861,319,44,23.157894736842106,1
3,CMV.ea,0,0,0,0,2
3,CMV.nasal,1.3157894736842104,304,3.9999999999999996,18.18181818181818,3
3,CMV.pbmc,1.5673981191222568,319,4.999999999999999,12.19512195121951,4
3,EBV.ea,0,0,0,0,5
3,EBV.nasal,5.921052631578947,304,17.999999999999996,23.999999999999996,6
3,EBV.pbmc,23.824451410658305,319,75.99999999999999,26.76056338028169,7
3,Enterovirus.nasal,6.25,304,19,38,8
3,HSV1.ea,0,0,0,0,9
3,HSV1.nasal,4.635761589403973,302,14,13.861386138613863,10
3,HSV2.nasal,0.6578947368421052,304,1.9999999999999998,49.99999999999999,11
4,Anelloviridae.pbmc,28.054298642533936,221,62,32.631578947368425,1
4,CMV.ea,10.679611650485436,103,10.999999999999998,100,2
4,CMV.nasal,5.445544554455446,202,11,50,3
4,CMV.pbmc,10.407239819004525,221,23,56.09756097560976,4
4,EBV.ea,6.796116504854369,103,7,63.63636363636363,5
4,EBV.nasal,15.346534653465346,202,31,41.333333333333336,6
4,EBV.pbmc,38.91402714932127,221,86,30.28169014084507,7
4,Enterovirus.nasal,5.9405940594059405,202,12,24,8
4,HSV1.ea,38.83495145631068,103,39.99999999999999,62.5,9
4,HSV1.nasal,20,200,40,39.603960396039604,10
4,HSV2.nasal,0.49504950495049505,202,1,25,11
5,Anelloviridae.pbmc,21.35922330097087,103,21.999999999999996,11.578947368421051,1
5,CMV.ea,0,46,0,0,2
5,CMV.nasal,5.88235294117647,102,6,27.27272727272727,3
5,CMV.pbmc,3.8834951456310676,103,3.9999999999999996,9.75609756097561,4
5,EBV.ea,8.695652173913043,46,4,36.36363636363637,5
5,EBV.nasal,13.725490196078432,102,14,18.666666666666668,6
5,EBV.pbmc,37.86407766990291,103,39,13.732394366197184,7
5,Enterovirus.nasal,2.941176470588235,102,3,6,8
5,HSV1.ea,52.17391304347826,46,24,37.50000000000001,9
5,HSV1.nasal,16.831683168316832,101,17,16.831683168316832,10
5,HSV2.nasal,0.9900990099009901,101,1,25,11
