"","term","npar","AIC","LRT","Pr(Chi)","virus","feature","coef_virus"
"1","binary",1,1375.83329197412,8.69311895835131,0.0234997134041753,"Anelloviridae.pbmc","comorb_htn",0.542557674268842
"2","binary",1,1404.61413531354,2.03818604632488,0.385351816643587,"Anelloviridae.pbmc","comorb_isaric_dm",0.243800714369934
"3","binary",1,1053.77798837308,0.0164391521657308,0.949912665703578,"Anelloviridae.pbmc","comorb_anyresp_noasthma",0.0266028858187626
"4","binary",1,908.234869258261,0.19997147906497,0.805237235017589,"Anelloviridae.pbmc","comorb_isaric_asthma",0.106881983652638
"5","binary",1,1180.09883006559,0.929553647069724,0.600049225327913,"Anelloviridae.pbmc","comorb_isaric_cardiac",0.184362052923437
"6","binary",1,916.619319071389,6.99489391215195,0.0467749054146669,"Anelloviridae.pbmc","comorb_isaric_ckd",0.568842769811044
"7","binary",1,664.529730622774,0.842175879362003,0.618284320517112,"Anelloviridae.pbmc","comorb_isaric_neoplasm",0.253493894269893
"8","binary",1,776.17855072233,0.166670494623418,0.829575522508139,"Anelloviridae.pbmc","comorb_neuro",0.103617623247533
"9","binary",1,445.310513324842,3.25585007082896,0.249261406712858,"Anelloviridae.pbmc","comorb_isaric_liver",0.603489223875815
"10","binary",1,383.119874143079,22.9661921430434,2.61264369744104e-05,"Anelloviridae.pbmc","comorb_hxtrans",1.60642776355946
"11","binary",1,203.006663413796,1.4167545530793,0.49998364080666,"Anelloviridae.pbmc","comorb_hiv2",0.676582005436428
"12","binary",1,1315.86172596941,0.0153198252990023,0.949912665703578,"Anelloviridae.pbmc","comorb_eversmkvape",0.0224736505606623
"13","binary",1,573.531376348885,0.0159477163388146,0.949912665703578,"Anelloviridae.pbmc","comorb_anysubstance",0.0416059672224537
"14","binary",1,484.665101302855,1.42873722482204,0.49998364080666,"Anelloviridae.pbmc","comorb_count",-0.4073220025708
"15","binary",1,484.665101302855,1.42873722482204,0.49998364080666,"Anelloviridae.pbmc","comorb_countcat",-0.4073220025708
"16","binary",1,1133.8912999366,9.42060669319335,0.016999795203655,"Anelloviridae.pbmc","timesymptomcat",-0.596219306918448
"17","binary",1,856.646998565199,2.69786604915066,0.291541229531807,"Anelloviridae.pbmc","symptom_allresp",-0.387865312698372
"18","binary",1,1467.82167656314,1.35080399614731,0.49998364080666,"Anelloviridae.pbmc","symptom_cough",-0.198396005531176
"19","binary",1,905.527082456773,2.61255391716645,0.301245577863742,"Anelloviridae.pbmc","symptom_cough_prod",0.368838997283499
"20","binary",1,251.973812605211,0.00539556429259846,0.976714495865249,"Anelloviridae.pbmc","symptom_haemoptysis",0.0418841390194051
"21","binary",1,655.615678718553,0.311977327004229,0.759377422184485,"Anelloviridae.pbmc","symptom_sorethroat",-0.17330933250828
"22","binary",1,425.244472320565,0.00030058873079497,0.993400874973242,"Anelloviridae.pbmc","symptom_rhinorrhea",0.00709965932590387
"23","binary",1,465.09327647138,0.183541701226943,0.819520801225805,"Anelloviridae.pbmc","symptom_wheeze",0.149917477090629
"24","binary",1,1064.35987288133,0.0288978122368917,0.929704870707122,"Anelloviridae.pbmc","symptom_chestpain",-0.0377599408910776
"25","binary",1,1270.63821331247,2.10105407290075,0.374354472361777,"Anelloviridae.pbmc","symptom_dyspnea",-0.269092217680023
"26","binary",1,29.8352979273589,1.45111346434004,0.49998364080666,"Anelloviridae.pbmc","symptom_chestwall",-20.9673001489627
"27","binary",1,57.6070131719051,0.309102458541055,0.759377422184485,"Anelloviridae.pbmc","symptom_earpain",0.742111161125627
"28","binary",1,40.8908844051493,0.765213808680016,0.640199675575899,"Anelloviridae.pbmc","symptom_conjunctivitis",-19.858726807854
"29","binary",1,1273.23950981881,0.124799024161575,0.842429600202425,"Anelloviridae.pbmc","symptom_allsyst",-0.0655367316581374
"30","binary",1,1475.81872114514,0.00120981757049776,0.986621503775935,"Anelloviridae.pbmc","symptom_fever",0.00599503027058457
"31","binary",1,1197.18004995222,0.098904474566325,0.854812934290285,"Anelloviridae.pbmc","symptom_chills",-0.0644377794645759
"32","binary",1,153.077516307139,0.837315660069606,0.618284320517112,"Anelloviridae.pbmc","symptom_shaking",-0.869466657536634
"33","binary",1,1483.44515887399,0.529004363433614,0.694530401973032,"Anelloviridae.pbmc","symptom_fatigue",-0.12502696640182
"34","binary",1,1171.28547079275,0.763436717381865,0.640199675575899,"Anelloviridae.pbmc","symptom_myalgia",-0.183615240611647
"35","binary",1,73.071993992222,1.70768351055231,0.455728102319165,"Anelloviridae.pbmc","symptom_lymphadenopathy",1.48422023836953
"36","binary",1,1364.63023250429,0.064441433391039,0.880852686962485,"Anelloviridae.pbmc","symptom_allneuro",-0.0459524344061627
"37","binary",1,997.635886487498,0.134541854237455,0.839540012101476,"Anelloviridae.pbmc","symptom_headache",-0.084648546456904
"38","binary",1,426.817758129837,0.0401467440364627,0.912031322665923,"Anelloviridae.pbmc","symptom_confusion",-0.0696312117030556
"39","binary",1,54.351185894663,1.21644728519257,0.532365114422118,"Anelloviridae.pbmc","symptom_seizure",-19.5392804490731
"40","binary",1,187.1617765339,1.63743745467852,0.469767602481613,"Anelloviridae.pbmc","symptom_syncope",-1.15239484158452
"41","binary",1,725.91194782146,0.137110710497609,0.839540012101476,"Anelloviridae.pbmc","symptom_anosmia",0.102847424331941
"42","binary",1,1451.05221300517,0.455439889630952,0.724951897323223,"Anelloviridae.pbmc","symptom_allGI",-0.118388504048109
"43","binary",1,729.816210692876,3.08274647592623,0.262729101251095,"Anelloviridae.pbmc","symptom_abdpain",0.46450438352734
"44","binary",1,1128.50642877483,0.949027154862506,0.597838912292284,"Anelloviridae.pbmc","symptom_nausea",-0.210997905479894
"45","binary",1,1161.56588252476,2.37925887068218,0.333275113689122,"Anelloviridae.pbmc","symptom_diarrhea",-0.328063931235313
"46","binary",1,150.718011318873,0.107069422077387,0.850900792741516,"Anelloviridae.pbmc","symptom_allderm",-0.251504041140187
"47","binary",1,126.444390839615,0.397626641556158,0.73536085895568,"Anelloviridae.pbmc","symptom_skinrash",-0.624236577864444
"48","binary",1,43.9418735880611,0.164992352591007,0.829575522508139,"Anelloviridae.pbmc","symptom_skinulcer",0.589993619649033
"49","binary",1,632.345764390492,0.00042573836412884,0.993180604335482,"Anelloviridae.pbmc","symptom_allother",-0.00608084270879165
"50","binary",1,335.26116607228,0.393232509363088,0.736058298825811,"Anelloviridae.pbmc","symptom_arthralgia",0.284829531617748
"51","binary",1,288.477400374216,7.86639940884015e-05,0.994241489060691,"Anelloviridae.pbmc","symptom_edema",0.00431666807398629
"52","binary",1,240.616659927926,1.23736156186368,0.526845300543803,"Anelloviridae.pbmc","symptom_nonamb",-0.662455136192472
"53","binary",1,67.1510251890217,1.83199787421336,0.426278826300314,"Anelloviridae.pbmc","symptom_bleeding",1.46425779224314
"54","binary",1,768.106953782934,10.1687530387896,0.0122605063051775,"Anelloviridae.pbmc","ever_ever_esc",0.736701478373871
