""," Clinical Variable","TG1 Percent Difference","TG1 Rate of Clinical Event in Virus Negative Participants","TG1 Rate of Clinical Event in Virus Positive Participants","TG2 Percent Difference","TG2 Rate of Clinical Event in Virus Negative Participants","TG2 Rate of Clinical Event in Virus Positive Participants","TG3 Percent Difference","TG3 Rate of Clinical Event in Virus Negative Participants","TG3 Rate of Clinical Event in Virus Positive Participants","TG4 Percent Difference","TG4 Rate of Clinical Event in Virus Negative Participants","TG4 Rate of Clinical Event in Virus Positive Participants","TG5 Percent Difference","TG5 Rate of Clinical Event in Virus Negative Participants","TG5 Rate of Clinical Event in Virus Positive Participants","virus"
"1","comorb_htn",10.2,"54.8% (103/188)","65% (13/20)",38.3,"52.2% (109/209)","90.5% (38/42)",10.2,"53.5% (147/275)","63.6% (28/44)",14.4,"56.6% (90/159)","71% (44/62)",-15,"74.1% (60/81)","59.1% (13/22)","Anelloviridae.pbmc"
"2","comorb_isaric_dm",5.6,"39.4% (74/188)","45% (9/20)",3.2,"30.1% (63/209)","33.3% (14/42)",12.3,"30.9% (85/275)","43.2% (19/44)",9.1,"40.9% (65/159)","50% (31/62)",-7.2,"48.1% (39/81)","40.9% (9/22)","Anelloviridae.pbmc"
"3","comorb_anyresp_noasthma",-2.8,"12.8% (24/188)","10% (2/20)",0.4,"18.7% (39/209)","19% (8/42)",14.5,"21.8% (60/275)","36.4% (16/44)",-2.1,"18.2% (29/159)","16.1% (10/62)",-12.2,"39.5% (32/81)","27.3% (6/22)","Anelloviridae.pbmc"
"4","comorb_isaric_asthma",-2.6,"17.6% (33/188)","15% (3/20)",-1,"17.7% (37/209)","16.7% (7/42)",3.2,"12.7% (35/275)","15.9% (7/44)",0.1,"14.5% (23/159)","14.5% (9/62)",-2,"11.1% (9/81)","9.1% (2/22)","Anelloviridae.pbmc"
"5","comorb_isaric_cardiac",-5,"25% (47/188)","20% (4/20)",15.6,"22.5% (47/209)","38.1% (16/42)",23.4,"24.4% (67/275)","47.7% (21/44)",2.2,"22% (35/159)","24.2% (15/62)",-22.1,"49.4% (40/81)","27.3% (6/22)","Anelloviridae.pbmc"
"6","comorb_isaric_ckd",17.8,"12.2% (23/188)","30% (6/20)",15.2,"11% (23/209)","26.2% (11/42)",10.5,"14.5% (40/275)","25% (11/44)",7.7,"10.1% (16/159)","17.7% (11/62)",-3.2,"25.9% (21/81)","22.7% (5/22)","Anelloviridae.pbmc"
"7","comorb_isaric_neoplasm",-4,"9% (17/188)","5% (1/20)",5.7,"8.6% (18/209)","14.3% (6/42)",2.6,"8.7% (24/275)","11.4% (5/44)",4.4,"6.9% (11/159)","11.3% (7/62)",-1.2,"14.8% (12/81)","13.6% (3/22)","Anelloviridae.pbmc"
"8","comorb_neuro",-6.2,"11.2% (21/188)","5% (1/20)",6.1,"10.5% (22/209)","16.7% (7/42)",14.5,"12.7% (35/275)","27.3% (12/44)",-5.5,"11.9% (19/159)","6.5% (4/62)",-1.2,"14.8% (12/81)","13.6% (3/22)","Anelloviridae.pbmc"
"9","comorb_isaric_liver",0.7,"4.3% (8/188)","5% (1/20)",10,"4.3% (9/209)","14.3% (6/42)",5.8,"3.3% (9/275)","9.1% (4/44)",2.4,"5.7% (9/159)","8.1% (5/62)",-4.9,"4.9% (4/81)","0% (0/22)","Anelloviridae.pbmc"
"10","comorb_hxtrans",0.7,"4.3% (8/188)","5% (1/20)",18.6,"2.9% (6/209)","21.4% (9/42)",10.5,"5.5% (15/275)","15.9% (7/44)",13.6,"2.5% (4/159)","16.1% (10/62)",-0.4,"4.9% (4/81)","4.5% (1/22)","Anelloviridae.pbmc"
"11","comorb_hiv2",1.8,"3.2% (6/188)","5% (1/20)",1.4,"1% (2/209)","2.4% (1/42)",2.7,"1.8% (5/275)","4.5% (2/44)",-1.3,"1.3% (2/159)","0% (0/62)",4.5,"0% (0/81)","4.5% (1/22)","Anelloviridae.pbmc"
"12","comorb_eversmkvape",-3,"33% (62/188)","30% (6/20)",13.2,"27.3% (57/209)","40.5% (17/42)",16.7,"28.7% (79/275)","45.5% (20/44)",-8.5,"32.7% (52/159)","24.2% (15/62)",-23.3,"50.6% (41/81)","27.3% (6/22)","Anelloviridae.pbmc"
"13","comorb_anysubstance",4.9,"10.1% (19/188)","15% (3/20)",-1.9,"6.7% (14/209)","4.8% (2/42)",4.8,"6.5% (18/275)","11.4% (5/44)",-4.3,"7.5% (12/159)","3.2% (2/62)",-2.9,"7.4% (6/81)","4.5% (1/22)","Anelloviridae.pbmc"
"14","comorb_count",-11,"16% (30/188)","5% (1/20)",-16.7,"16.7% (35/209)","0% (0/42)",-14.4,"18.9% (52/275)","4.5% (2/44)",-5.8,"13.8% (22/159)","8.1% (5/62)",9.9,"3.7% (3/81)","13.6% (3/22)","Anelloviridae.pbmc"
"15","comorb_countcat",-11,"16% (30/188)","5% (1/20)",-16.7,"16.7% (35/209)","0% (0/42)",-14.4,"18.9% (52/275)","4.5% (2/44)",-5.8,"13.8% (22/159)","8.1% (5/62)",9.9,"3.7% (3/81)","13.6% (3/22)","Anelloviridae.pbmc"
"16","timesymptomcat",1.1,"23.9% (45/188)","25% (5/20)",16.1,"17.2% (36/209)","33.3% (14/42)",18.2,"18.2% (50/275)","36.4% (16/44)",8.1,"14.5% (23/159)","22.6% (14/62)",2.6,"24.7% (20/81)","27.3% (6/22)","Anelloviridae.pbmc"
"17","symptom_allresp",-13.5,"83.5% (157/188)","70% (14/20)",0.5,"90% (188/209)","90.5% (38/42)",-14.5,"87.3% (240/275)","72.7% (32/44)",-1.5,"91.8% (146/159)","90.3% (56/62)",0.3,"81.5% (66/81)","81.8% (18/22)","Anelloviridae.pbmc"
"18","symptom_cough",-0.1,"60.1% (113/188)","60% (12/20)",-7.9,"67.5% (141/209)","59.5% (25/42)",-13,"60.7% (167/275)","47.7% (21/44)",2.5,"60.4% (96/159)","62.9% (39/62)",-14.6,"55.6% (45/81)","40.9% (9/22)","Anelloviridae.pbmc"
"19","symptom_cough_prod",0.1,"14.9% (28/188)","15% (3/20)",13.8,"12.4% (26/209)","26.2% (11/42)",-0.5,"16.4% (45/275)","15.9% (7/44)",3.1,"8.2% (13/159)","11.3% (7/62)",4.6,"13.6% (11/81)","18.2% (4/22)","Anelloviridae.pbmc"
"20","symptom_haemoptysis",0.7,"4.3% (8/188)","5% (1/20)",3.3,"1.4% (3/209)","4.8% (2/42)",0.1,"2.2% (6/275)","2.3% (1/44)",-1.9,"1.9% (3/159)","0% (0/62)",-1.2,"1.2% (1/81)","0% (0/22)","Anelloviridae.pbmc"
"21","symptom_sorethroat",-5.6,"10.6% (20/188)","5% (1/20)",-2.4,"9.6% (20/209)","7.1% (3/42)",-1.5,"8.4% (23/275)","6.8% (3/44)",0.9,"8.8% (14/159)","9.7% (6/62)",-0.4,"4.9% (4/81)","4.5% (1/22)","Anelloviridae.pbmc"
"22","symptom_rhinorrhea",3.6,"6.4% (12/188)","10% (2/20)",0.5,"1.9% (4/209)","2.4% (1/42)",-6.9,"6.9% (19/275)","0% (0/44)",2.7,"3.8% (6/159)","6.5% (4/62)",0.8,"3.7% (3/81)","4.5% (1/22)","Anelloviridae.pbmc"
"23","symptom_wheeze",0.2,"4.8% (9/188)","5% (1/20)",-2.9,"5.3% (11/209)","2.4% (1/42)",2.5,"4.4% (12/275)","6.8% (3/44)",0.2,"6.3% (10/159)","6.5% (4/62)",8.7,"4.9% (4/81)","13.6% (3/22)","Anelloviridae.pbmc"
"24","symptom_chestpain",-5,"25% (47/188)","20% (4/20)",-5.8,"22.5% (47/209)","16.7% (7/42)",-1.1,"19.3% (53/275)","18.2% (8/44)",-5.3,"18.2% (29/159)","12.9% (8/62)",12.9,"9.9% (8/81)","22.7% (5/22)","Anelloviridae.pbmc"
"25","symptom_dyspnea",-3.3,"63.3% (119/188)","60% (12/20)",-10.8,"75.1% (157/209)","64.3% (27/42)",-17.8,"72.4% (199/275)","54.5% (24/44)",3.4,"80.5% (128/159)","83.9% (52/62)",-14.1,"77.8% (63/81)","63.6% (14/22)","Anelloviridae.pbmc"
"26","symptom_chestwall",0,"0% (0/188)","0% (0/20)",0,"0% (0/208)","0% (0/42)",0,"0% (0/274)","0% (0/44)",-0.6,"0.6% (1/159)","0% (0/62)",0,"0% (0/81)","0% (0/22)","Anelloviridae.pbmc"
"27","symptom_earpain",0,"0% (0/188)","0% (0/20)",-0.5,"0.5% (1/209)","0% (0/42)",-0.4,"0.4% (1/275)","0% (0/44)",1.6,"0% (0/159)","1.6% (1/62)",0,"0% (0/81)","0% (0/22)","Anelloviridae.pbmc"
"28","symptom_conjunctivitis",0,"0% (0/188)","0% (0/20)",-0.5,"0.5% (1/209)","0% (0/42)",-0.4,"0.4% (1/275)","0% (0/44)",0,"0% (0/159)","0% (0/62)",0,"0% (0/81)","0% (0/22)","Anelloviridae.pbmc"
"29","symptom_allsyst",-17.1,"77.1% (145/188)","60% (12/20)",-0.4,"78.9% (165/209)","78.6% (33/42)",4.5,"70.5% (194/275)","75% (33/44)",-5.4,"66.7% (106/159)","61.3% (38/62)",-2.6,"61.7% (50/81)","59.1% (13/22)","Anelloviridae.pbmc"
"30","symptom_fever",0.5,"49.5% (93/188)","50% (10/20)",-9.8,"57.4% (120/209)","47.6% (20/42)",2,"48% (132/275)","50% (22/44)",-4.6,"46.5% (74/159)","41.9% (26/62)",-1.1,"42% (34/81)","40.9% (9/22)","Anelloviridae.pbmc"
"31","symptom_chills",0,"25% (47/188)","25% (5/20)",-1.6,"30.1% (63/209)","28.6% (12/42)",-10.9,"29.1% (80/275)","18.2% (8/44)",-1.1,"18.9% (30/159)","17.7% (11/62)",5.8,"12.3% (10/81)","18.2% (4/22)","Anelloviridae.pbmc"
"32","symptom_shaking",-1.1,"1.1% (2/188)","0% (0/20)",-2.4,"2.4% (5/209)","0% (0/42)",-1.5,"1.5% (4/274)","0% (0/44)",1,"0.6% (1/159)","1.6% (1/62)",0,"0% (0/81)","0% (0/22)","Anelloviridae.pbmc"
"33","symptom_fatigue",-3.1,"43.1% (81/188)","40% (8/20)",-3.1,"48.3% (101/209)","45.2% (19/42)",-5.1,"41.5% (114/275)","36.4% (16/44)",-2.3,"37.7% (60/159)","35.5% (22/62)",5.5,"30.9% (25/81)","36.4% (8/22)","Anelloviridae.pbmc"
"34","symptom_myalgia",-10.9,"30.9% (58/188)","20% (4/20)",-8.7,"32.5% (68/209)","23.8% (10/42)",0.1,"20.4% (56/275)","20.5% (9/44)",-1.8,"19.5% (31/159)","17.7% (11/62)",-3.3,"12.3% (10/81)","9.1% (2/22)","Anelloviridae.pbmc"
"35","symptom_lymphadenopathy",-0.5,"0.5% (1/188)","0% (0/20)",-0.5,"0.5% (1/209)","0% (0/42)",2.3,"0% (0/275)","2.3% (1/44)",-0.6,"0.6% (1/159)","0% (0/62)",4.5,"0% (0/81)","4.5% (1/22)","Anelloviridae.pbmc"
"36","symptom_allneuro",-3.5,"33.5% (63/188)","30% (6/20)",-14.4,"33.5% (70/209)","19% (8/42)",3.8,"28% (77/275)","31.8% (14/44)",9.1,"29.6% (47/159)","38.7% (24/62)",-9,"27.2% (22/81)","18.2% (4/22)","Anelloviridae.pbmc"
"37","symptom_headache",-20,"25% (47/188)","5% (1/20)",-9.1,"21.1% (44/209)","11.9% (5/42)",0.3,"15.6% (43/275)","15.9% (7/44)",6.9,"15.7% (25/159)","22.6% (14/62)",-0.4,"4.9% (4/81)","4.5% (1/22)","Anelloviridae.pbmc"
"38","symptom_confusion",3.9,"1.1% (2/188)","5% (1/20)",1.9,"2.9% (6/209)","4.8% (2/42)",2.1,"4.7% (13/275)","6.8% (3/44)",0.9,"8.8% (14/159)","9.7% (6/62)",-7.8,"12.3% (10/81)","4.5% (1/22)","Anelloviridae.pbmc"
"39","symptom_seizure",0,"0% (0/188)","0% (0/20)",-0.5,"0.5% (1/209)","0% (0/42)",-0.4,"0.4% (1/275)","0% (0/44)",-0.6,"0.6% (1/159)","0% (0/62)",0,"0% (0/81)","0% (0/22)","Anelloviridae.pbmc"
"40","symptom_syncope",-3.2,"3.2% (6/188)","0% (0/20)",-1,"1% (2/209)","0% (0/42)",0.8,"1.5% (4/275)","2.3% (1/44)",-1.3,"1.3% (2/159)","0% (0/62)",-3.7,"3.7% (3/81)","0% (0/22)","Anelloviridae.pbmc"
"41","symptom_anosmia",8.3,"11.7% (22/188)","20% (4/20)",-8.2,"12.9% (27/209)","4.8% (2/42)",1.9,"9.5% (26/275)","11.4% (5/44)",3.4,"6.3% (10/159)","9.7% (6/62)",0.4,"8.6% (7/81)","9.1% (2/22)","Anelloviridae.pbmc"
"42","symptom_allGI",-16.8,"46.8% (88/188)","30% (6/20)",11.2,"45.9% (96/209)","57.1% (24/42)",-10.2,"37.5% (103/275)","27.3% (12/44)",-1.8,"30.8% (49/159)","29% (18/62)",-15.2,"33.3% (27/81)","18.2% (4/22)","Anelloviridae.pbmc"
"43","symptom_abdpain",-3.8,"13.8% (26/188)","10% (2/20)",13.3,"8.1% (17/209)","21.4% (9/42)",2.6,"8.7% (24/275)","11.4% (5/44)",-0.7,"8.8% (14/159)","8.1% (5/62)",6.2,"7.4% (6/81)","13.6% (3/22)","Anelloviridae.pbmc"
"44","symptom_nausea",-19.8,"29.8% (56/188)","10% (2/20)",8.4,"29.7% (62/209)","38.1% (16/42)",-6.7,"20.4% (56/275)","13.6% (6/44)",-4.4,"15.7% (25/159)","11.3% (7/62)",-10.3,"14.8% (12/81)","4.5% (1/22)","Anelloviridae.pbmc"
"45","symptom_diarrhea",-5.5,"25.5% (48/188)","20% (4/20)",1.3,"24.9% (52/209)","26.2% (11/42)",-13,"24.4% (67/275)","11.4% (5/44)",-2.1,"18.2% (29/159)","16.1% (10/62)",-12.7,"17.3% (14/81)","4.5% (1/22)","Anelloviridae.pbmc"
"46","symptom_allderm",-0.5,"0.5% (1/188)","0% (0/20)",-1.4,"1.4% (3/209)","0% (0/42)",1.5,"0.7% (2/275)","2.3% (1/44)",-3.1,"3.1% (5/159)","0% (0/62)",4.5,"0% (0/81)","4.5% (1/22)","Anelloviridae.pbmc"
"47","symptom_skinrash",-0.5,"0.5% (1/188)","0% (0/20)",-1.4,"1.4% (3/209)","0% (0/42)",1.5,"0.7% (2/275)","2.3% (1/44)",-1.9,"1.9% (3/159)","0% (0/62)",0,"0% (0/81)","0% (0/22)","Anelloviridae.pbmc"
"48","symptom_skinulcer",0,"0% (0/188)","0% (0/20)",0,"0% (0/209)","0% (0/42)",0,"0% (0/275)","0% (0/44)",-1.3,"1.3% (2/159)","0% (0/62)",4.5,"0% (0/81)","4.5% (1/22)","Anelloviridae.pbmc"
"49","symptom_allother",1,"9% (17/188)","10% (2/20)",-1,"10.5% (22/209)","9.5% (4/42)",3.2,"3.6% (10/275)","6.8% (3/44)",-2,"10.1% (16/159)","8.1% (5/62)",2.5,"11.1% (9/81)","13.6% (3/22)","Anelloviridae.pbmc"
"50","symptom_arthralgia",3.6,"6.4% (12/188)","10% (2/20)",-2.9,"5.3% (11/209)","2.4% (1/42)",0.8,"1.5% (4/275)","2.3% (1/44)",2,"1.3% (2/159)","3.2% (2/62)",2.1,"2.5% (2/81)","4.5% (1/22)","Anelloviridae.pbmc"
"51","symptom_edema",-2.7,"2.7% (5/188)","0% (0/20)",-3.8,"3.8% (8/209)","0% (0/42)",1.2,"1.1% (3/275)","2.3% (1/44)",2.3,"2.5% (4/159)","4.8% (3/62)",4.2,"4.9% (4/81)","9.1% (2/22)","Anelloviridae.pbmc"
"52","symptom_nonamb",-1.1,"1.1% (2/188)","0% (0/20)",3.3,"1.4% (3/209)","4.8% (2/42)",-1.5,"1.5% (4/275)","0% (0/44)",-5.7,"5.7% (9/159)","0% (0/62)",0.8,"3.7% (3/81)","4.5% (1/22)","Anelloviridae.pbmc"
"53","symptom_bleeding",0,"0% (0/188)","0% (0/20)",1.9,"0.5% (1/209)","2.4% (1/42)",2.3,"0% (0/275)","2.3% (1/44)",-0.6,"0.6% (1/159)","0% (0/62)",0,"0% (0/81)","0% (0/22)","Anelloviridae.pbmc"
"54","ever_ever_esc",7.9,"2.1% (4/188)","10% (2/20)",4.2,"7.7% (16/209)","11.9% (5/42)",15.4,"5.1% (14/275)","20.5% (9/44)",11.1,"30.8% (49/159)","41.9% (26/62)",8.9,"45.7% (37/81)","54.5% (12/22)","Anelloviridae.pbmc"
"55","ever_icu",13.4,"1.6% (3/188)","15% (3/20)",9.9,"21.1% (44/209)","31% (13/42)",10.9,"16.4% (45/275)","27.3% (12/44)",6,"84.3% (134/159)","90.3% (56/62)",4.5,"86.4% (70/81)","90.9% (20/22)","Anelloviridae.pbmc"
"56","diedever",2.9,"2.1% (4/188)","5% (1/20)",2.8,"1.9% (4/209)","4.8% (2/42)",2,"2.5% (7/275)","4.5% (2/44)",9.4,"13.2% (21/159)","22.6% (14/62)",0,"100% (81/81)","100% (22/22)","Anelloviridae.pbmc"
"57","ever_remdes",-3.6,"43.6% (82/188)","40% (8/20)",-2.7,"71.8% (150/209)","69% (29/42)",-14.5,"62.2% (171/275)","47.7% (21/44)",1.2,"73% (116/159)","74.2% (46/62)",13.5,"59.3% (48/81)","72.7% (16/22)","Anelloviridae.pbmc"
"58","ever_steroids",6.6,"48.4% (91/188)","55% (11/20)",-0.3,"62.2% (130/209)","61.9% (26/42)",-10.7,"69.8% (192/275)","59.1% (26/44)",2.9,"87.4% (139/159)","90.3% (56/62)",-18.2,"86.4% (70/81)","68.2% (15/22)","Anelloviridae.pbmc"
"59","ever_azithro",-14.5,"24.5% (46/188)","10% (2/20)",16.1,"29.2% (61/209)","45.2% (19/42)",-0.6,"30.2% (83/275)","29.5% (13/44)",-5,"45.3% (72/159)","40.3% (25/62)",-5.2,"37% (30/81)","31.8% (7/22)","Anelloviridae.pbmc"
"60","ever_otherabx",-11.3,"46.3% (87/188)","35% (7/20)",18.4,"45.9% (96/209)","64.3% (27/42)",13.6,"45.5% (125/275)","59.1% (26/44)",6.9,"78.6% (125/159)","85.5% (53/62)",2,"88.9% (72/81)","90.9% (20/22)","Anelloviridae.pbmc"
"61","ever_conplas",1.8,"3.2% (6/188)","5% (1/20)",-8.1,"8.1% (17/209)","0% (0/42)",-4.6,"6.9% (19/275)","2.3% (1/44)",-2.9,"12.6% (20/159)","9.7% (6/62)",10.4,"12.3% (10/81)","22.7% (5/22)","Anelloviridae.pbmc"
"62","ever_monoclonal",0,"0% (0/188)","0% (0/20)",-1,"1% (2/209)","0% (0/42)",-0.4,"0.4% (1/275)","0% (0/44)",1,"0.6% (1/159)","1.6% (1/62)",0,"0% (0/81)","0% (0/22)","Anelloviridae.pbmc"
"63","ever_immsupp",9.7,"5.3% (10/188)","15% (3/20)",20.9,"2.9% (6/209)","23.8% (10/42)",7.1,"6.5% (18/275)","13.6% (6/44)",16.2,"3.1% (5/159)","19.4% (12/62)",4.2,"4.9% (4/81)","9.1% (2/22)","Anelloviridae.pbmc"
"64","anycomp",14.5,"75.5% (142/188)","90% (18/20)",11,"81.8% (171/209)","92.9% (39/42)",-7.4,"86.9% (239/275)","79.5% (35/44)",3.3,"91.8% (146/159)","95.2% (59/62)",3.7,"96.3% (78/81)","100% (22/22)","Anelloviridae.pbmc"
"65","ncomp",24.7,"30.3% (57/188)","55% (11/20)",-5.3,"19.6% (41/209)","14.3% (6/42)",-7.8,"21.5% (59/275)","13.6% (6/44)",-2.1,"6.9% (11/159)","4.8% (3/62)",2.1,"2.5% (2/81)","4.5% (1/22)","Anelloviridae.pbmc"
"66","comp_seizure",0,"0% (0/188)","0% (0/20)",-0.5,"0.5% (1/209)","0% (0/42)",2.3,"0% (0/275)","2.3% (1/44)",1,"0.6% (1/159)","1.6% (1/62)",4.5,"0% (0/81)","4.5% (1/22)","Anelloviridae.pbmc"
"67","comp_meningitis",-0.5,"0.5% (1/188)","0% (0/20)",-0.5,"0.5% (1/209)","0% (0/42)",1.9,"0.4% (1/275)","2.3% (1/44)",-0.3,"1.9% (3/159)","1.6% (1/62)",-4.9,"4.9% (4/81)","0% (0/22)","Anelloviridae.pbmc"
"68","comp_stroke",-0.5,"0.5% (1/188)","0% (0/20)",0,"0% (0/209)","0% (0/42)",4.2,"0.4% (1/275)","4.5% (2/44)",4.3,"3.8% (6/159)","8.1% (5/62)",-0.4,"4.9% (4/81)","4.5% (1/22)","Anelloviridae.pbmc"
"69","comp_afib",-2.7,"2.7% (5/188)","0% (0/20)",5.2,"4.3% (9/209)","9.5% (4/42)",8.9,"4.7% (13/275)","13.6% (6/44)",-8.4,"13.2% (21/159)","4.8% (3/62)",-14.4,"23.5% (19/81)","9.1% (2/22)","Anelloviridae.pbmc"
"70","comp_ventricular_arr",-0.5,"0.5% (1/188)","0% (0/20)",0.5,"1.9% (4/209)","2.4% (1/42)",-2.2,"2.2% (6/275)","0% (0/44)",12,"2.5% (4/159)","14.5% (9/62)",5.8,"12.3% (10/81)","18.2% (4/22)","Anelloviridae.pbmc"
"71","comp_endo",0,"0% (0/188)","0% (0/20)",0,"0% (0/209)","0% (0/42)",0,"0% (0/275)","0% (0/44)",-0.6,"0.6% (1/159)","0% (0/62)",0,"0% (0/81)","0% (0/22)","Anelloviridae.pbmc"
"72","comp_myocard",-0.5,"0.5% (1/188)","0% (0/20)",-0.5,"0.5% (1/209)","0% (0/42)",-0.7,"0.7% (2/275)","0% (0/44)",0,"0% (0/159)","0% (0/62)",-1.2,"1.2% (1/81)","0% (0/22)","Anelloviridae.pbmc"
"73","comp_cardarrest",0,"0% (0/188)","0% (0/20)",0,"0% (0/209)","0% (0/42)",-0.7,"0.7% (2/275)","0% (0/44)",-0.5,"3.8% (6/159)","3.2% (2/62)",22,"23.5% (19/81)","45.5% (10/22)","Anelloviridae.pbmc"
"74","comp_stemi",4.5,"0.5% (1/188)","5% (1/20)",0,"0% (0/209)","0% (0/42)",1.9,"0.4% (1/275)","2.3% (1/44)",4.2,"0.6% (1/159)","4.8% (3/62)",5.4,"3.7% (3/81)","9.1% (2/22)","Anelloviridae.pbmc"
"75","comp_nstemi",2.9,"2.1% (4/188)","5% (1/20)",4.8,"0% (0/209)","4.8% (2/42)",0.5,"1.8% (5/275)","2.3% (1/44)",-1.5,"3.1% (5/159)","1.6% (1/62)",-13.6,"13.6% (11/81)","0% (0/22)","Anelloviridae.pbmc"
"76","comp_chf",-3.7,"3.7% (7/188)","0% (0/20)",12.8,"3.8% (8/209)","16.7% (7/42)",-0.9,"5.5% (15/275)","4.5% (2/44)",0.2,"6.3% (10/159)","6.5% (4/62)",-12.3,"25.9% (21/81)","13.6% (3/22)","Anelloviridae.pbmc"
"77","comp_pneumonia",-10.3,"55.3% (104/188)","45% (9/20)",9.2,"67% (140/209)","76.2% (32/42)",-10.2,"64.7% (178/275)","54.5% (24/44)",0.1,"80.5% (128/159)","80.6% (50/62)",-7.9,"85.2% (69/81)","77.3% (17/22)","Anelloviridae.pbmc"
"78","comp_bronch",0,"0% (0/188)","0% (0/20)",-0.5,"0.5% (1/209)","0% (0/42)",-0.4,"0.4% (1/275)","0% (0/44)",0.4,"1.3% (2/159)","1.6% (1/62)",-1.2,"1.2% (1/81)","0% (0/22)","Anelloviridae.pbmc"
"79","comp_pneumo",-0.5,"0.5% (1/188)","0% (0/20)",4.3,"0.5% (1/209)","4.8% (2/42)",0.8,"1.5% (4/275)","2.3% (1/44)",-0.5,"6.9% (11/159)","6.5% (4/62)",-6.2,"6.2% (5/81)","0% (0/22)","Anelloviridae.pbmc"
"80","comp_pneumomed",0,"0% (0/188)","0% (0/20)",0,"0% (0/209)","0% (0/42)",0,"0% (0/275)","0% (0/44)",-2.2,"3.8% (6/159)","1.6% (1/62)",-6.2,"6.2% (5/81)","0% (0/22)","Anelloviridae.pbmc"
"81","comp_aat",5,"0% (0/188)","5% (1/20)",-0.5,"0.5% (1/209)","0% (0/42)",2.3,"0% (0/275)","2.3% (1/44)",-0.9,"2.5% (4/159)","1.6% (1/62)",-2.5,"2.5% (2/81)","0% (0/22)","Anelloviridae.pbmc"
"82","comp_avthromb",-1.6,"1.6% (3/188)","0% (0/20)",6.2,"3.3% (7/209)","9.5% (4/42)",-2.1,"4.4% (12/275)","2.3% (1/44)",-9.2,"18.9% (30/159)","9.7% (6/62)",-1.2,"14.8% (12/81)","13.6% (3/22)","Anelloviridae.pbmc"
"83","comp_shock",-1.1,"1.1% (2/188)","0% (0/20)",11.9,"2.4% (5/209)","14.3% (6/42)",-0.6,"2.9% (8/275)","2.3% (1/44)",13.4,"33.3% (53/159)","46.8% (29/62)",15.5,"61.7% (50/81)","77.3% (17/22)","Anelloviridae.pbmc"
"84","comp_bac",6.8,"3.2% (6/188)","10% (2/20)",11.9,"4.8% (10/209)","16.7% (7/42)",-6.1,"8.4% (23/275)","2.3% (1/44)",7.6,"21.4% (34/159)","29% (18/62)",1,"30.9% (25/81)","31.8% (7/22)","Anelloviridae.pbmc"
"85","comp_coag",-4.8,"4.8% (9/188)","0% (0/20)",0.9,"3.8% (8/209)","4.8% (2/42)",3.5,"1.1% (3/275)","4.5% (2/44)",-4,"5.7% (9/159)","1.6% (1/62)",4.2,"4.9% (4/81)","9.1% (2/22)","Anelloviridae.pbmc"
"86","comp_hypogly",0,"0% (0/188)","0% (0/20)",1.4,"1% (2/209)","2.4% (1/42)",-1.1,"1.1% (3/275)","0% (0/44)",0.1,"3.1% (5/159)","3.2% (2/62)",-2.5,"2.5% (2/81)","0% (0/22)","Anelloviridae.pbmc"
"87","comp_bleed",3.4,"1.6% (3/188)","5% (1/20)",-2.9,"2.9% (6/209)","0% (0/42)",1.6,"2.9% (8/275)","4.5% (2/44)",-3.3,"11.3% (18/159)","8.1% (5/62)",-2.8,"21% (17/81)","18.2% (4/22)","Anelloviridae.pbmc"
"88","comp_anemia",0.2,"4.8% (9/188)","5% (1/20)",9.5,"4.8% (10/209)","14.3% (6/42)",6.5,"9.5% (26/275)","15.9% (7/44)",2.4,"31.4% (50/159)","33.9% (21/62)",-10.2,"28.4% (23/81)","18.2% (4/22)","Anelloviridae.pbmc"
"89","comp_pancreas",-1.6,"1.6% (3/188)","0% (0/20)",0,"0% (0/209)","0% (0/42)",-0.4,"0.4% (1/275)","0% (0/44)",-0.6,"0.6% (1/159)","0% (0/62)",-1.2,"1.2% (1/81)","0% (0/22)","Anelloviridae.pbmc"
"90","comp_renal",5.4,"9.6% (18/188)","15% (3/20)",16.6,"12% (25/209)","28.6% (12/42)",11.6,"15.6% (43/275)","27.3% (12/44)",9.1,"29.6% (47/159)","38.7% (24/62)",-23.3,"64.2% (52/81)","40.9% (9/22)","Anelloviridae.pbmc"
"91","comp_liver",-10.1,"10.1% (19/188)","0% (0/20)",4.7,"12% (25/209)","16.7% (7/42)",-2.9,"12% (33/275)","9.1% (4/44)",-4.4,"15.7% (25/159)","11.3% (7/62)",-10.3,"14.8% (12/81)","4.5% (1/22)","Anelloviridae.pbmc"
"92","comp_othlab",5.7,"4.3% (8/188)","10% (2/20)",7.6,"1.9% (4/209)","9.5% (4/42)",1.3,"3.3% (9/275)","4.5% (2/44)",2.4,"5.7% (9/159)","8.1% (5/62)",0.8,"3.7% (3/81)","4.5% (1/22)","Anelloviridae.pbmc"
"93","comp_electrolyte",-3.7,"3.7% (7/188)","0% (0/20)",0.9,"1.4% (3/209)","2.4% (1/42)",1.3,"3.3% (9/275)","4.5% (2/44)",0.4,"4.4% (7/159)","4.8% (3/62)",-0.8,"9.9% (8/81)","9.1% (2/22)","Anelloviridae.pbmc"
