trajectory_group,name,diedever,mean,count,positive,upper_CI,lower_CI,.group
4,Anelloviridae.pbmc,Survived,25.806451612903224,186,48,0.32823545874045584,0.19809777893165992,1
4,Anelloviridae.pbmc,Died,40,35,14,0.5779096209866138,0.24352055544972212,1
4,Enterovirus.nasal,Survived,4.761904761904762,168,8,0.09491605033535029,0.022310016092288623,8
4,Enterovirus.nasal,Died,11.76470588235294,34,3.9999999999999996,0.28391275101837654,0.03837248085312533,8
4,HSV1.ea,Survived,40,80,32,0.515760870887254,0.2939234400246397,9
4,HSV1.ea,Died,34.78260869565217,23,8,0.5717884510455548,0.1718958436076393,9
4,HSV1.nasal,Survived,15.66265060240964,166,26,0.22295649438285023,0.10665760941010603,10
4,HSV1.nasal,Died,41.17647058823529,34,13.999999999999998,0.5916863070096784,0.25126512016177155,10
4,HSV2.nasal,Survived,0,168,0,0.027863192317202648,0,11
4,HSV2.nasal,Died,2.941176470588235,34,0.9999999999999999,0.17053819145214794,0.0015372146944410195,11
4,CMV.ea,Survived,5,80,4,0.12992671271546466,0.016138097299482786,2
4,CMV.ea,Died,30.434782608695656,23,7.000000000000001,0.5300577628099005,0.14056331562078364,2
4,CMV.nasal,Survived,2.380952380952381,168,4,0.0637205246077572,0.0076543960706790875,3
4,CMV.nasal,Died,20.588235294117645,34,6.999999999999999,0.3840741687322555,0.09337616445478508,3
4,CMV.pbmc,Survived,7.526881720430108,186,14,0.12557935213606009,0.04332329658436295,4
4,CMV.pbmc,Died,25.71428571428571,35,8.999999999999998,0.43570033198746955,0.13105747886702135,4
4,EBV.ea,Survived,3.75,80,3,0.11317094590168571,0.009734871314626237,5
4,EBV.ea,Died,17.391304347826086,23,4,0.395477886977434,0.05723838078862754,5
4,EBV.nasal,Survived,11.904761904761903,168,19.999999999999996,0.18013559743075136,0.07599989551931781,6
4,EBV.nasal,Died,32.35294117647059,34,11,0.5062875304497537,0.17975487087978703,6
4,EBV.pbmc,Survived,36.02150537634409,186,67,0.43413277173820836,0.2921724586830952,7
4,EBV.pbmc,Died,54.285714285714285,35,19,0.7078059436484702,0.368734548116496,7
