"","virus","OR_values","2.5 %","97.5 %","variable"
"1","Anelloviridae.pbmc",1.72040146636877,1.19165215882969,2.48376271846858,"comorb_htn"
"2","Anelloviridae.pbmc",1.27608999874854,0.914187421688966,1.78126021674808,"comorb_isaric_dm"
"3","Anelloviridae.pbmc",1.02695990143673,0.684142491139148,1.54155991305681,"comorb_anyresp_noasthma"
"4","Anelloviridae.pbmc",1.11280291779385,0.69869839874311,1.77233887479653,"comorb_isaric_asthma"
"5","Anelloviridae.pbmc",1.20245109523009,0.828227607255835,1.74576242539259,"comorb_isaric_cardiac"
"6","Anelloviridae.pbmc",1.76622194297853,1.17015752210024,2.6659145396594,"comorb_isaric_ckd"
"7","Anelloviridae.pbmc",1.2885195121089,0.755837391107689,2.19661338882981,"comorb_isaric_neoplasm"
"8","Anelloviridae.pbmc",1.1091762506052,0.676412850776285,1.81881812785591,"comorb_neuro"
"9","Anelloviridae.pbmc",1.82848768558495,0.970704737076951,3.44426795155401,"comorb_isaric_liver"
"10","Anelloviridae.pbmc",4.98497188540538,2.59820266173644,9.56428267288215,"comorb_hxtrans"
"11","Anelloviridae.pbmc",1.96714254584484,0.682589643199017,5.66907194421742,"comorb_hiv2"
"12","Anelloviridae.pbmc",1.02272808549776,0.71663755166631,1.45955613745587,"comorb_eversmkvape"
"13","Anelloviridae.pbmc",1.04248362509283,0.547728738156691,1.98414293952164,"comorb_anysubstance"
"14","Anelloviridae.pbmc",0.66542988566618,0.347458254166337,1.27438887241322,"comorb_count"
"15","Anelloviridae.pbmc",0.66542988566618,0.347458254166337,1.27438887241322,"comorb_countcat"
"16","Anelloviridae.pbmc",0.550890451655335,0.379481967505091,0.799722557886619,"timesymptomcat"
"17","Anelloviridae.pbmc",0.678503722945712,0.431231499367178,1.06756418009067,"symptom_allresp"
"18","Anelloviridae.pbmc",0.820045046455244,0.587361438674005,1.14490641356015,"symptom_cough"
"19","Anelloviridae.pbmc",1.44605476618594,0.933613740143603,2.2397639375867,"symptom_cough_prod"
"20","Anelloviridae.pbmc",1.04277365497331,0.342603922910021,3.17386002550819,"symptom_haemoptysis"
"21","Anelloviridae.pbmc",0.840877463875065,0.453713673670581,1.55841657478089,"symptom_sorethroat"
"22","Anelloviridae.pbmc",1.00712492165644,0.45158710553829,2.24607964971108,"symptom_rhinorrhea"
"23","Anelloviridae.pbmc",1.16173836874232,0.589801267336672,2.28828948351117,"symptom_wheeze"
"24","Anelloviridae.pbmc",0.962944076643949,0.622462570677924,1.48966594687579,"symptom_chestpain"
"25","Anelloviridae.pbmc",0.764072791379033,0.532643214791115,1.09605682436919,"symptom_dyspnea"
"26","Anelloviridae.pbmc",0.00000000078346075168363,0,Inf,"symptom_chestwall"
"27","Anelloviridae.pbmc",2.10036504615671,0.17065734940849,25.8502393386956,"symptom_earpain"
"28","Anelloviridae.pbmc",0.00000000237391152956489,0,Inf,"symptom_conjunctivitis"
"29","Anelloviridae.pbmc",0.936564644555459,0.651570137486627,1.34621475565905,"symptom_allsyst"
"30","Anelloviridae.pbmc",1.00601303642906,0.717625674795787,1.41029267069245,"symptom_fever"
"31","Anelloviridae.pbmc",0.937594450075882,0.626701471004208,1.40271467913499,"symptom_chills"
"32","Anelloviridae.pbmc",0.419175053495801,0.0521765189203345,3.36756320868178,"symptom_shaking"
"33","Anelloviridae.pbmc",0.882473105139383,0.629525971750599,1.23705584239639,"symptom_fatigue"
"34","Anelloviridae.pbmc",0.832255960525399,0.549044785793846,1.26155461585629,"symptom_myalgia"
"35","Anelloviridae.pbmc",4.4115241340128,0.505444260882055,38.5038404650492,"symptom_lymphadenopathy"
"36","Anelloviridae.pbmc",0.955087390409187,0.66939447147511,1.36271206618794,"symptom_allneuro"
"37","Anelloviridae.pbmc",0.918835155531965,0.5830753796641,1.44793979043981,"symptom_headache"
"38","Anelloviridae.pbmc",0.932737739247689,0.470524526703141,1.84899966068247,"symptom_confusion"
"39","Anelloviridae.pbmc",0.00000000326737002586934,0,Inf,"symptom_seizure"
"40","Anelloviridae.pbmc",0.315879381750236,0.0389619406736467,2.56095518061299,"symptom_syncope"
"41","Anelloviridae.pbmc",1.10832229316054,0.64579871596157,1.9021070732351,"symptom_anosmia"
"42","Anelloviridae.pbmc",0.888350857659799,0.629251559795848,1.25413633708105,"symptom_allGI"
"43","Anelloviridae.pbmc",1.59122535592583,0.960765993194788,2.63539524845354,"symptom_abdpain"
"44","Anelloviridae.pbmc",0.809775762971117,0.526860541171197,1.24461168573712,"symptom_nausea"
"45","Anelloviridae.pbmc",0.720316967479681,0.470206501361477,1.10346524800653,"symptom_diarrhea"
"46","Anelloviridae.pbmc",0.777630315090301,0.165738456794498,3.64857329217944,"symptom_allderm"
"47","Anelloviridae.pbmc",0.535670214960286,0.0658011525716269,4.36075308685896,"symptom_skinrash"
"48","Anelloviridae.pbmc",1.80397690535535,0.115870705923872,28.0858966820619,"symptom_skinulcer"
"49","Anelloviridae.pbmc",0.99393760819727,0.557700602749587,1.77140201053807,"symptom_allother"
"50","Anelloviridae.pbmc",1.32953536505975,0.557533066866682,3.17051022081754,"symptom_arthralgia"
"51","Anelloviridae.pbmc",1.00432599830596,0.387020791919707,2.60624424302899,"symptom_edema"
"52","Anelloviridae.pbmc",0.515583950511018,0.147223454357578,1.80560095661731,"symptom_nonamb"
"53","Anelloviridae.pbmc",4.32433249580682,0.55531984351492,33.6740200312838,"symptom_bleeding"
"54","Anelloviridae.pbmc",2.08903341549229,1.33715452001564,3.26369207576125,"ever_ever_esc"
"55","Anelloviridae.pbmc",1.93611974596012,1.21298928637622,3.09034854041905,"ever_icu"
"56","Anelloviridae.pbmc",1.76132192370405,0.938923732199017,3.30405421924406,"diedever"
"57","Anelloviridae.pbmc",0.830989818614987,0.581255456280349,1.18802167133328,"ever_remdes"
"58","Anelloviridae.pbmc",0.971116667947771,0.64121170990794,1.4707585157816,"ever_steroids"
"59","Anelloviridae.pbmc",1.10029856360305,0.765069091639127,1.58241516001275,"ever_azithro"
"60","Anelloviridae.pbmc",1.6891687898684,1.15405439456607,2.47240616568885,"ever_otherabx"
"61","Anelloviridae.pbmc",0.710450974681752,0.33901592452379,1.48884034912298,"ever_conplas"
"62","Anelloviridae.pbmc",0.727834655917946,0.0680932390940683,7.77967524240364,"ever_monoclonal"
"63","Anelloviridae.pbmc",4.53163781093435,2.5535743405203,8.04195943060174,"ever_immsupp"
"64","Anelloviridae.pbmc",1.41689298822889,0.796002155927384,2.52208580735973,"anycomp"
"65","Anelloviridae.pbmc",1.41689298822889,0.796002155927384,2.52208580735973,"ncomp"
"66","Anelloviridae.pbmc",7.92443078431307,1.13192855942889,55.477532333889,"comp_seizure"
"67","Anelloviridae.pbmc",0.742185153670223,0.155615103614941,3.5397515378167,"comp_meningitis"
"68","Anelloviridae.pbmc",2.34835410652222,0.88974926630989,6.19811357922385,"comp_stroke"
"69","Anelloviridae.pbmc",0.784104049960125,0.424038584526891,1.44991324751694,"comp_afib"
"70","Anelloviridae.pbmc",2.47362369463364,1.21011905746414,5.05637370547262,"comp_ventricular_arr"
"71","Anelloviridae.pbmc",0.000000000870169257444474,0,Inf,"comp_endo"
"72","Anelloviridae.pbmc",0.00000000645259072581879,0,Inf,"comp_myocard"
"73","Anelloviridae.pbmc",1.98117979251699,0.75709257842113,5.18440344305472,"comp_cardarrest"
"74","Anelloviridae.pbmc",5.35594929432896,1.67870583272323,17.0882785323308,"comp_stemi"
"75","Anelloviridae.pbmc",0.895964354834254,0.323659924003991,2.48023331156583,"comp_nstemi"
"76","Anelloviridae.pbmc",1.07617881182239,0.590773900887986,1.9604129994142,"comp_chf"
"77","Anelloviridae.pbmc",0.752638051182056,0.506841111725399,1.11763632227614,"comp_pneumonia"
"78","Anelloviridae.pbmc",0.496329951575299,0.046248237917891,5.32654717068564,"comp_bronch"
