.threshold,recall,precision,iteration,Model
Inf,0,1,1,bGLM
0.9756200070854716,0.009615384615384616,1,1,bGLM
0.913562759801455,0.019230769230769232,1,1,bGLM
0.8939960466424521,0.028846153846153848,1,1,bGLM
0.8867638243857284,0.038461538461538464,1,1,bGLM
0.8844783022687861,0.038461538461538464,0.8,1,bGLM
0.8546018081134243,0.04807692307692308,0.8333333333333334,1,bGLM
0.8516836086486921,0.057692307692307696,0.8571428571428571,1,bGLM
0.8351750345585678,0.0673076923076923,0.875,1,bGLM
0.8346786223410414,0.0673076923076923,0.7777777777777778,1,bGLM
0.8213690116300449,0.07692307692307693,0.8,1,bGLM
0.8150902673245259,0.08653846153846154,0.8181818181818182,1,bGLM
0.8129977363596805,0.09615384615384616,0.8333333333333334,1,bGLM
0.8116098958151148,0.10576923076923077,0.8461538461538461,1,bGLM
0.7917329343858412,0.11538461538461539,0.8571428571428571,1,bGLM
0.7753466276419981,0.125,0.8666666666666667,1,bGLM
0.7746389787419111,0.125,0.8125,1,bGLM
0.7735452971722208,0.125,0.7647058823529411,1,bGLM
0.7734525987387912,0.125,0.7222222222222222,1,bGLM
0.7677488122502487,0.1346153846153846,0.7368421052631579,1,bGLM
0.7664684128891093,0.1346153846153846,0.7,1,bGLM
0.7641236213807527,0.14423076923076922,0.7142857142857143,1,bGLM
0.7579783738856908,0.15384615384615385,0.7272727272727273,1,bGLM
0.7455134368289625,0.16346153846153846,0.7391304347826086,1,bGLM
0.7289599875183193,0.17307692307692307,0.75,1,bGLM
0.7229605155778989,0.18269230769230768,0.76,1,bGLM
0.720616318554177,0.19230769230769232,0.7692307692307693,1,bGLM
0.7186210889199517,0.19230769230769232,0.7407407407407407,1,bGLM
0.7032079737948528,0.20192307692307693,0.75,1,bGLM
0.6992736460045872,0.21153846153846154,0.7586206896551724,1,bGLM
0.6977741239712868,0.22115384615384615,0.7666666666666667,1,bGLM
0.6952136897513843,0.23076923076923078,0.7741935483870968,1,bGLM
0.6904061084249875,0.2403846153846154,0.78125,1,bGLM
0.6804755882657261,0.25,0.7878787878787878,1,bGLM
0.6735852313670199,0.25961538461538464,0.7941176470588235,1,bGLM
0.6704469652598262,0.25961538461538464,0.7714285714285715,1,bGLM
0.6648475855300288,0.2692307692307692,0.7777777777777778,1,bGLM
0.662581679080661,0.27884615384615385,0.7837837837837838,1,bGLM
0.6562764383105208,0.28846153846153844,0.7894736842105263,1,bGLM
0.6503433605317308,0.28846153846153844,0.7692307692307693,1,bGLM
0.6441566617414604,0.2980769230769231,0.775,1,bGLM
0.6421435573261068,0.3076923076923077,0.7804878048780488,1,bGLM
0.6397560981808637,0.3173076923076923,0.7857142857142857,1,bGLM
0.6370637882231778,0.3269230769230769,0.7906976744186046,1,bGLM
