"","variable","numDF","denDF","F-value","p-value","feature","omic","virus","level","coefficient","p.adj"
"29","virus_positive",1,3168,42.1261409985577,9.89589521438461e-11,"B Cell (Plasmablast)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.348900091225973,5.04690655933615e-09
"30","event_type",11,3168,70.0423356714997,0,"B Cell (Plasmablast)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0
"31","(Intercept)",1,3168,4.06514308134839,0.043861224299687,"B Cell (naive)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.640578283709101,0.15760351706671
"32","trajectory_group",1,3168,12.6541332903245,0.000380228005321781,"B Cell (naive)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.0602445452655374,0.00138511630510077
"33","sex",1,3168,2.14889215148404,0.142772049142912,"B Cell (naive)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.220647712311773
"34","discretized_admit_age_quantile",4,3168,28.6469299875719,0,"B Cell (naive)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0
"35","virus_positive",1,3168,0.218591562565981,0.640147336323939,"B Cell (naive)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.0272651138787775,0.882365247365429
"36","event_type",11,3168,17.2796050564201,0,"B Cell (naive)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0
"37","(Intercept)",1,3168,8.63783814708058,0.0033163094519475,"B Cell (transitional)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.940616359339794,0.0563772606831074
"38","trajectory_group",1,3168,0.159349764951069,0.689782785959912,"B Cell (transitional)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.00681031654992666,0.818114467068733
"39","sex",1,3168,12.6031933187111,0.000390689110354336,"B Cell (transitional)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.00166042871900593
"40","discretized_admit_age_quantile",4,3168,26.6712143148586,0,"B Cell (transitional)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0
"41","virus_positive",1,3168,3.8211646526123,0.0506968781801005,"B Cell (transitional)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.114720958821724,0.173293101381834
"42","event_type",11,3168,8.37334558061856,1.0991207943789e-14,"B Cell (transitional)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,2.54796184151473e-14
"43","(Intercept)",1,3168,1.22615859327431,0.268239471085246,"CD4+ NKT Cell","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.36863975270401,0.547208521013902
"44","trajectory_group",1,3168,0.438313042353006,0.507985958280103,"CD4+ NKT Cell","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.011566783405261,0.68524237351622
"45","sex",1,3168,7.24238216635104,0.00715765018500747,"CD4+ NKT Cell","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.0192126399702832
