"","variable","numDF","denDF","F-value","p-value","feature","omic","virus","level","coefficient","p.adj"
"632","trajectory_group",1,3168,1.449253243573,0.228737755678245,"B Cell (CD71+ activated)","CyTOF","Anelloviridae.pbmc","child",0.0195598359846383,0.399642664442467
"633","sex",1,3168,0.00663380851487555,0.935090667159023,"B Cell (CD71+ activated)","CyTOF","Anelloviridae.pbmc","child",NA,0.935090667159023
"634","discretized_admit_age_quantile",4,3168,3.04267487813305,0.0162615236158994,"B Cell (CD71+ activated)","CyTOF","Anelloviridae.pbmc","child",NA,0.0267528291745442
"635","virus_positive",1,3168,2.51012500473903,0.113216769661947,"B Cell (CD71+ activated)","CyTOF","Anelloviridae.pbmc","child",-0.0908739046440376,0.230962210110372
"636","event_type",11,3168,3.80476782708274,1.87127778489282e-05,"B Cell (CD71+ activated)","CyTOF","Anelloviridae.pbmc","child",NA,3.1811722343178e-05
"637","(Intercept)",1,3168,0.415289416714397,0.519343598438106,"B Cell (Plasmablast)","CyTOF","Anelloviridae.pbmc","child",0.189282838443142,0.735736764453984
"638","trajectory_group",1,3168,7.30418332974202,0.00691612126384555,"B Cell (Plasmablast)","CyTOF","Anelloviridae.pbmc","child",0.0421049145575317,0.0195956769142291
"639","sex",1,3168,4.02918421290008,0.0448043497392554,"B Cell (Plasmablast)","CyTOF","Anelloviridae.pbmc","child",NA,0.0846304383963713
"640","discretized_admit_age_quantile",4,3168,1.84968290949562,0.116546960339082,"B Cell (Plasmablast)","CyTOF","Anelloviridae.pbmc","child",NA,0.148597374432329
"641","virus_positive",1,3168,1.89702775281904,0.168508686438927,"B Cell (Plasmablast)","CyTOF","Anelloviridae.pbmc","child",-0.075117048638192,0.30692653601376
"642","event_type",11,3168,80.1202291423276,0,"B Cell (Plasmablast)","CyTOF","Anelloviridae.pbmc","child",NA,0
"643","(Intercept)",1,3168,4.07115686013621,0.043705546910545,"B Cell (naive)","CyTOF","Anelloviridae.pbmc","child",0.641054775228507,0.159213063745557
"644","trajectory_group",1,3168,13.0607100858951,0.000306245254266591,"B Cell (naive)","CyTOF","Anelloviridae.pbmc","child",0.0610390139034824,0.00109273808266712
"645","sex",1,3168,2.08280922788426,0.149064668143045,"B Cell (naive)","CyTOF","Anelloviridae.pbmc","child",NA,0.230372668948343
"646","discretized_admit_age_quantile",4,3168,28.367262418577,0,"B Cell (naive)","CyTOF","Anelloviridae.pbmc","child",NA,0
"647","virus_positive",1,3168,0.22740425700498,0.633488139499861,"B Cell (naive)","CyTOF","Anelloviridae.pbmc","child",-0.0280340476343829,0.74361776823762
"648","event_type",11,3168,17.9979827547121,0,"B Cell (naive)","CyTOF","Anelloviridae.pbmc","child",NA,0
"649","(Intercept)",1,3168,8.68024755101965,0.00324022457407958,"B Cell (transitional)","CyTOF","Anelloviridae.pbmc","child",0.943006337470346,0.0550838177593528
"650","trajectory_group",1,3168,0.35923549982535,0.548973985821143,"B Cell (transitional)","CyTOF","Anelloviridae.pbmc","child",0.0101983648156915,0.699941831921957
"651","sex",1,3168,11.964133939518,0.000549498832520312,"B Cell (transitional)","CyTOF","Anelloviridae.pbmc","child",NA,0.00215572618911815
"652","discretized_admit_age_quantile",4,3168,25.6081855564021,0,"B Cell (transitional)","CyTOF","Anelloviridae.pbmc","child",NA,0
"653","virus_positive",1,3168,3.5579253694635,0.059353152561296,"B Cell (transitional)","CyTOF","Anelloviridae.pbmc","child",-0.111594434600258,0.137591399119368
"654","event_type",11,3168,8.89538489575481,8.88178419700125e-16,"B Cell (transitional)","CyTOF","Anelloviridae.pbmc","child",NA,1.96943910455245e-15
"655","(Intercept)",1,3168,1.25377893632318,0.262916830375762,"CD4+ NKT Cell","CyTOF","Anelloviridae.pbmc","child",-0.37285304854794,0.536350333966555
"656","trajectory_group",1,3168,0.726006023896358,0.394245269062894,"CD4+ NKT Cell","CyTOF","Anelloviridae.pbmc","child",-0.0148618731536027,0.591367903594341
"657","sex",1,3168,7.72666855324914,0.00547322105284254,"CD4+ NKT Cell","CyTOF","Anelloviridae.pbmc","child",NA,0.0155074596497205
"658","discretized_admit_age_quantile",4,3168,5.66206439596472,0.000153958592478576,"CD4+ NKT Cell","CyTOF","Anelloviridae.pbmc","child",NA,0.000327162009016974
"659","virus_positive",1,3168,2.85266483411207,0.0913210234466365,"CD4+ NKT Cell","CyTOF","Anelloviridae.pbmc","child",0.104766735647324,0.194057174824103
"660","event_type",11,3168,0.952077811281073,0.488633002185988,"CD4+ NKT Cell","CyTOF","Anelloviridae.pbmc","child",NA,0.541745285032291
"661","(Intercept)",1,3168,0.0726520034732208,0.787531445649112,"CD4+ T Cell (CM)","CyTOF","Anelloviridae.pbmc","child",0.0854333461121085,0.876009486882724
"662","trajectory_group",1,3168,56.5155041769891,7.21644966006352e-14,"CD4+ T Cell (CM)","CyTOF","Anelloviridae.pbmc","child",-0.126264552202732,7.36077865326479e-13
"663","sex",1,3168,28.0098525592318,1.28920068398486e-07,"CD4+ T Cell (CM)","CyTOF","Anelloviridae.pbmc","child",NA,9.39274784046112e-07
"664","discretized_admit_age_quantile",4,3168,5.07911989183787,0.000444106751698481,"CD4+ T Cell (CM)","CyTOF","Anelloviridae.pbmc","child",NA,0.000871132474485482
"665","virus_positive",1,3168,25.9405500418544,3.72684420435476e-07,"CD4+ T Cell (CM)","CyTOF","Anelloviridae.pbmc","child",-0.296179960903899,1.72143010156445e-05
"666","event_type",11,3168,8.96470053070654,6.66133814775094e-16,"CD4+ T Cell (CM)","CyTOF","Anelloviridae.pbmc","child",NA,1.54421929788772e-15
"667","(Intercept)",1,3168,0.957968382900347,0.327774008257738,"CD4+ T Cell (EM CD27hi)","CyTOF","Anelloviridae.pbmc","child",0.275432611018304,0.597016943612308
"668","trajectory_group",1,3168,92.4914604102962,0,"CD4+ T Cell (EM CD27hi)","CyTOF","Anelloviridae.pbmc","child",-0.143321330825673,0
"669","sex",1,3168,39.1801480218725,4.38443947814449e-10,"CD4+ T Cell (EM CD27hi)","CyTOF","Anelloviridae.pbmc","child",NA,5.59016033463422e-09
"670","discretized_admit_age_quantile",4,3168,15.1483419870791,2.84505752290443e-12,"CD4+ T Cell (EM CD27hi)","CyTOF","Anelloviridae.pbmc","child",NA,2.12532372653332e-11
"671","virus_positive",1,3168,7.07217977241126,0.00786840762634045,"CD4+ T Cell (EM CD27hi)","CyTOF","Anelloviridae.pbmc","child",-0.137172704980048,0.0334407324119469
"672","event_type",11,3168,62.1044419281607,0,"CD4+ T Cell (EM CD27hi)","CyTOF","Anelloviridae.pbmc","child",NA,0
"673","(Intercept)",1,3168,1.36372462544739,0.242980892950159,"CD4+ T Cell (EM CD27low)","CyTOF","Anelloviridae.pbmc","child",-0.356460853588785,0.516334397519087
"674","trajectory_group",1,3168,57.2251113470569,5.06261699229071e-14,"CD4+ T Cell (EM CD27low)","CyTOF","Anelloviridae.pbmc","child",-0.121936257382749,6.45483666517066e-13
"675","sex",1,3168,12.3067909598767,0.000457590498960103,"CD4+ T Cell (EM CD27low)","CyTOF","Anelloviridae.pbmc","child",NA,0.00194475962058044
"676","discretized_admit_age_quantile",4,3168,2.33123785223126,0.0537084220719466,"CD4+ T Cell (EM CD27low)","CyTOF","Anelloviridae.pbmc","child",NA,0.0720823559386652
"677","virus_positive",1,3168,1.61311887528876,0.204147213222953,"CD4+ T Cell (EM CD27low)","CyTOF","Anelloviridae.pbmc","child",-0.070787009087974,0.344929663811414
"678","event_type",11,3168,38.2513195576197,0,"CD4+ T Cell (EM CD27low)","CyTOF","Anelloviridae.pbmc","child",NA,0
"679","(Intercept)",1,3168,4.1175172684391,0.0425247722787169,"CD4+ T Cell (EM CD57hi)","CyTOF","Anelloviridae.pbmc","child",-0.670604517621111,0.159213063745557
"680","trajectory_group",1,3168,0.0147443403518903,0.903361107083218,"CD4+ T Cell (EM CD57hi)","CyTOF","Anelloviridae.pbmc","child",-0.00212601219300753,0.914108295260883
"681","sex",1,3168,13.7649176235321,0.000210726860708998,"CD4+ T Cell (EM CD57hi)","CyTOF","Anelloviridae.pbmc","child",NA,0.00107470698961589
"682","discretized_admit_age_quantile",4,3168,13.0999923538841,1.38764000290337e-10,"CD4+ T Cell (EM CD57hi)","CyTOF","Anelloviridae.pbmc","child",NA,7.86329334978575e-10
"683","virus_positive",1,3168,6.2471783562133,0.0124893509192396,"CD4+ T Cell (EM CD57hi)","CyTOF","Anelloviridae.pbmc","child",0.151501266821302,0.0424637931254148
"684","event_type",11,3168,3.62365807418293,4.07704143954302e-05,"CD4+ T Cell (EM CD57hi)","CyTOF","Anelloviridae.pbmc","child",NA,6.3008822247483e-05
"685","(Intercept)",1,3168,3.58710669169736,0.0583205554149786,"CD4+ T Cell (EMRA CD57hi)","CyTOF","Anelloviridae.pbmc","child",-0.630519923757258,0.185896770385244
"686","trajectory_group",1,3168,0.99956410923479,0.317492360631615,"CD4+ T Cell (EMRA CD57hi)","CyTOF","Anelloviridae.pbmc","child",-0.0176586295794924,0.52232614168427
"687","sex",1,3168,0.0661957883821149,0.796975154469035,"CD4+ T Cell (EMRA CD57hi)","CyTOF","Anelloviridae.pbmc","child",NA,0.883602888650452
"688","discretized_admit_age_quantile",4,3168,8.63536517469399,6.2707289849584e-07,"CD4+ T Cell (EMRA CD57hi)","CyTOF","Anelloviridae.pbmc","child",NA,1.88121869548752e-06
"689","virus_positive",1,3168,0.163895287516565,0.685622582369299,"CD4+ T Cell (EMRA CD57hi)","CyTOF","Anelloviridae.pbmc","child",0.0250203771172135,0.760146776105092
"690","event_type",11,3168,1.23359892539303,0.258313270147215,"CD4+ T Cell (EMRA CD57hi)","CyTOF","Anelloviridae.pbmc","child",NA,0.292755039500177
"691","(Intercept)",1,3168,0.775526888621382,0.378579478465066,"CD4+ T Cell (EMRA CD57low)","CyTOF","Anelloviridae.pbmc","child",-0.294341041891741,0.628591598632402
"692","trajectory_group",1,3168,0.620764018444336,0.430822459312746,"CD4+ T Cell (EMRA CD57low)","CyTOF","Anelloviridae.pbmc","child",-0.0139812473912552,0.627769869284287
"693","sex",1,3168,2.12750088382154,0.144775600606672,"CD4+ T Cell (EMRA CD57low)","CyTOF","Anelloviridae.pbmc","child",NA,0.230372668948343
"694","discretized_admit_age_quantile",4,3168,6.97762445926185,1.3711795562088e-05,"CD4+ T Cell (EMRA CD57low)","CyTOF","Anelloviridae.pbmc","child",NA,3.68053459824468e-05
"695","virus_positive",1,3168,0.392797376947405,0.530877794120763,"CD4+ T Cell (EMRA CD57low)","CyTOF","Anelloviridae.pbmc","child",-0.0388645712177358,0.740538976471925
"696","event_type",11,3168,0.624445254335691,0.809415721377121,"CD4+ T Cell (EMRA CD57low)","CyTOF","Anelloviridae.pbmc","child",NA,0.842453097759861
"697","(Intercept)",1,3168,5.41403875317325,0.0200381907820147,"CD4+ T Cell (activated)","CyTOF","Anelloviridae.pbmc","child",0.711554048799211,0.116744714209292
"698","trajectory_group",1,3168,12.9699253289766,0.000321393553725624,"CD4+ T Cell (activated)","CyTOF","Anelloviridae.pbmc","child",0.0575444856236117,0.00109273808266712
"699","sex",1,3168,0.0109644397700778,0.916611586630916,"CD4+ T Cell (activated)","CyTOF","Anelloviridae.pbmc","child",NA,0.935090667159023
"700","discretized_admit_age_quantile",4,3168,7.58526039246494,4.44342787919716e-06,"CD4+ T Cell (activated)","CyTOF","Anelloviridae.pbmc","child",NA,1.2589712324392e-05
"701","virus_positive",1,3168,2.34847077660675,0.125505823523023,"CD4+ T Cell (activated)","CyTOF","Anelloviridae.pbmc","child",-0.0845085990319282,0.237066555543488
"702","event_type",11,3168,37.9426873919978,0,"CD4+ T Cell (activated)","CyTOF","Anelloviridae.pbmc","child",NA,0
"703","(Intercept)",1,3168,2.09453968670007,0.147925170332827,"CD4+ T Cell (naive)","CyTOF","Anelloviridae.pbmc","child",0.466823221369331,0.351597796560663
"704","trajectory_group",1,3168,13.8021947351444,0.000206604622206008,"CD4+ T Cell (naive)","CyTOF","Anelloviridae.pbmc","child",-0.0637044024939385,0.000810525825577416
"705","sex",1,3168,30.5502131611762,3.51699374068204e-08,"CD4+ T Cell (naive)","CyTOF","Anelloviridae.pbmc","child",NA,2.98944467957973e-07
"706","discretized_admit_age_quantile",4,3168,11.35699327546,3.75476572056499e-09,"CD4+ T Cell (naive)","CyTOF","Anelloviridae.pbmc","child",NA,1.59577543124012e-08
"707","virus_positive",1,3168,16.5595868046973,4.82959501026947e-05,"CD4+ T Cell (naive)","CyTOF","Anelloviridae.pbmc","child",-0.242588859426695,0.000351870493605347
"708","event_type",11,3168,3.85271571467249,1.52044544792229e-05,"CD4+ T Cell (naive)","CyTOF","Anelloviridae.pbmc","child",NA,2.67388682220817e-05
"709","(Intercept)",1,3168,0.129326913080871,0.719154911065004,"CD4+ Treg (CD39hi)","CyTOF","Anelloviridae.pbmc","child",-0.11626792366463,0.833565919643528
"710","trajectory_group",1,3168,4.35203816021851,0.0370444868994555,"CD4+ Treg (CD39hi)","CyTOF","Anelloviridae.pbmc","child",-0.0355480763061809,0.0821421231248796
"711","sex",1,3168,4.55222263488886,0.0329526535574945,"CD4+ Treg (CD39hi)","CyTOF","Anelloviridae.pbmc","child",NA,0.0730689274535749
"712","discretized_admit_age_quantile",4,3168,9.17257635768611,2.29306119536865e-07,"CD4+ Treg (CD39hi)","CyTOF","Anelloviridae.pbmc","child",NA,7.30913256023757e-07
"713","virus_positive",1,3168,21.1440624136625,4.42693410784845e-06,"CD4+ Treg (CD39hi)","CyTOF","Anelloviridae.pbmc","child",-0.270787683675188,5.64434098750677e-05
"714","event_type",11,3168,2.8465763157741,0.00102273045965706,"CD4+ Treg (CD39hi)","CyTOF","Anelloviridae.pbmc","child",NA,0.00153409568948559
"715","(Intercept)",1,3168,0.209676615160327,0.647052392060545,"CD4+ Treg (CD39low)","CyTOF","Anelloviridae.pbmc","child",-0.151581511405866,0.824991799877195
"716","trajectory_group",1,3168,2.28301017958602,0.130897528822792,"CD4+ Treg (CD39low)","CyTOF","Anelloviridae.pbmc","child",-0.0265618732254021,0.247250887776386
"717","sex",1,3168,1.62773828233399,0.202109696447676,"CD4+ Treg (CD39low)","CyTOF","Anelloviridae.pbmc","child",NA,0.303164544671514
"718","discretized_admit_age_quantile",4,3168,0.517481760658425,0.722903307033738,"CD4+ Treg (CD39low)","CyTOF","Anelloviridae.pbmc","child",NA,0.768084763723346
"719","virus_positive",1,3168,9.63745031968829,0.00192333271365253,"CD4+ Treg (CD39low)","CyTOF","Anelloviridae.pbmc","child",-0.190614726088501,0.00980899683962788
"720","event_type",11,3168,5.36414587018592,1.72493961336784e-08,"CD4+ Treg (CD39low)","CyTOF","Anelloviridae.pbmc","child",NA,3.3835353954523e-08
"721","(Intercept)",1,3168,0.139066042018149,0.709236211850707,"CD4+ Treg (naive)","CyTOF","Anelloviridae.pbmc","child",0.119702909047929,0.833565919643528
"722","trajectory_group",1,3168,0.0116352162392388,0.914108295260883,"CD4+ Treg (naive)","CyTOF","Anelloviridae.pbmc","child",-0.00182764488547286,0.914108295260883
"723","sex",1,3168,34.9721932296653,3.70079233924514e-09,"CD4+ Treg (naive)","CyTOF","Anelloviridae.pbmc","child",NA,3.77480818603004e-08
"724","discretized_admit_age_quantile",4,3168,2.5466909558394,0.0376023009900954,"CD4+ Treg (naive)","CyTOF","Anelloviridae.pbmc","child",NA,0.0547919242998533
"725","virus_positive",1,3168,0.065336419180149,0.798268670028972,"CD4+ Treg (naive)","CyTOF","Anelloviridae.pbmc","child",-0.0152648572160877,0.845658454203878
"726","event_type",11,3168,26.1566606329867,0,"CD4+ Treg (naive)","CyTOF","Anelloviridae.pbmc","child",NA,0
"727","(Intercept)",1,3168,0.189300125430676,0.663529393509438,"CD8+ NKT Cell","CyTOF","Anelloviridae.pbmc","child",-0.142001227509059,0.825365830950765
"728","trajectory_group",1,3168,26.1851587510474,3.28677381533637e-07,"CD8+ NKT Cell","CyTOF","Anelloviridae.pbmc","child",-0.0887796000562078,1.52386785983777e-06
"729","sex",1,3168,1.25510784728477,0.262664066382623,"CD8+ NKT Cell","CyTOF","Anelloviridae.pbmc","child",NA,0.352522825934573
"730","discretized_admit_age_quantile",4,3168,2.65593858211138,0.0313238960435716,"CD8+ NKT Cell","CyTOF","Anelloviridae.pbmc","child",NA,0.0469858440653573
"731","virus_positive",1,3168,0.245000407603898,0.620651981975114,"CD8+ NKT Cell","CyTOF","Anelloviridae.pbmc","child",-0.0299009741144244,0.74361776823762
"732","event_type",11,3168,3.78827179277906,2.00955744511511e-05,"CD8+ NKT Cell","CyTOF","Anelloviridae.pbmc","child",NA,3.30604611938292e-05
"733","(Intercept)",1,3168,7.26966018455344,0.0070499977870232,"CD8+ T Cell (CD161+ MAIT)","CyTOF","Anelloviridae.pbmc","child",0.807514498116967,0.0703961755711418
"734","trajectory_group",1,3168,45.46448004098,1.83981718748782e-11,"CD8+ T Cell (CD161+ MAIT)","CyTOF","Anelloviridae.pbmc","child",-0.10572150284382,1.17288345702349e-10
"735","sex",1,3168,9.35132073159102,0.00224686499186566,"CD8+ T Cell (CD161+ MAIT)","CyTOF","Anelloviridae.pbmc","child",NA,0.0070914732936932
"736","discretized_admit_age_quantile",4,3168,82.1536594204256,0,"CD8+ T Cell (CD161+ MAIT)","CyTOF","Anelloviridae.pbmc","child",NA,0
"737","virus_positive",1,3168,4.49245565976346,0.0341223096067537,"CD8+ T Cell (CD161+ MAIT)","CyTOF","Anelloviridae.pbmc","child",-0.118258105783088,0.0870118894972218
"738","event_type",11,3168,11.5710789192461,0,"CD8+ T Cell (CD161+ MAIT)","CyTOF","Anelloviridae.pbmc","child",NA,0
"739","(Intercept)",1,3168,0.150035436183792,0.698527516318531,"CD8+ T Cell (CM)","CyTOF","Anelloviridae.pbmc","child",-0.12307949018973,0.833565919643528
"740","trajectory_group",1,3168,17.8259821368927,2.48862431364572e-05,"CD8+ T Cell (CM)","CyTOF","Anelloviridae.pbmc","child",-0.0710635051838259,0.000105766533329943
"741","sex",1,3168,0.718400933048962,0.396732962077809,"CD8+ T Cell (CM)","CyTOF","Anelloviridae.pbmc","child",NA,0.493497099169958
"742","discretized_admit_age_quantile",4,3168,5.36333873411644,0.000265253113964525,"CD8+ T Cell (CM)","CyTOF","Anelloviridae.pbmc","child",NA,0.000541116352487632
"743","virus_positive",1,3168,17.5408890186671,2.88861272430552e-05,"CD8+ T Cell (CM)","CyTOF","Anelloviridae.pbmc","child",-0.247292200697402,0.000245532081565969
"744","event_type",11,3168,15.842304585084,0,"CD8+ T Cell (CM)","CyTOF","Anelloviridae.pbmc","child",NA,0
"745","(Intercept)",1,3168,0.23056083718483,0.631141439247999,"CD8+ T Cell (EM CD27hi)","CyTOF","Anelloviridae.pbmc","child",-0.148562363772048,0.824991799877195
"746","trajectory_group",1,3168,46.0328518922842,1.38216105227684e-11,"CD8+ T Cell (EM CD27hi)","CyTOF","Anelloviridae.pbmc","child",-0.111563423276807,1.00700305237313e-10
"747","sex",1,3168,15.7416524408641,7.42165333622591e-05,"CD8+ T Cell (EM CD27hi)","CyTOF","Anelloviridae.pbmc","child",NA,0.000420560355719468
"748","discretized_admit_age_quantile",4,3168,6.2708587016446,5.04840157312669e-05,"CD8+ T Cell (EM CD27hi)","CyTOF","Anelloviridae.pbmc","child",NA,0.000128734240114731
"749","virus_positive",1,3168,0.313271155324371,0.575719346052405,"CD8+ T Cell (EM CD27hi)","CyTOF","Anelloviridae.pbmc","child",-0.0319605049025709,0.740538976471925
"750","event_type",11,3168,30.1543600724812,0,"CD8+ T Cell (EM CD27hi)","CyTOF","Anelloviridae.pbmc","child",NA,0
"751","(Intercept)",1,3168,2.7035008556588,0.100227384813916,"CD8+ T Cell (EM CD27low)","CyTOF","Anelloviridae.pbmc","child",0.54869209572496,0.283977590306094
"752","trajectory_group",1,3168,0.192709280106332,0.660701146016055,"CD8+ T Cell (EM CD27low)","CyTOF","Anelloviridae.pbmc","child",-0.00777534228136575,0.765812691973154
"753","sex",1,3168,3.17201240397693,0.0750058838537908,"CD8+ T Cell (EM CD27low)","CyTOF","Anelloviridae.pbmc","child",NA,0.131906899191149
"754","discretized_admit_age_quantile",4,3168,0.48608066327355,0.745995688416106,"CD8+ T Cell (EM CD27low)","CyTOF","Anelloviridae.pbmc","child",NA,0.776444492024927
"755","virus_positive",1,3168,0.19140751910267,0.661777547426012,"CD8+ T Cell (EM CD27low)","CyTOF","Anelloviridae.pbmc","child",0.0270946557363792,0.75001455374948
"756","event_type",11,3168,1.26616474648318,0.237619617280954,"CD8+ T Cell (EM CD27low)","CyTOF","Anelloviridae.pbmc","child",NA,0.275422738212014
"757","(Intercept)",1,3168,0.00442972318841451,0.946939242806811,"CD8+ T Cell (EM CD57hi)","CyTOF","Anelloviridae.pbmc","child",0.0213318918734415,0.946939242806811
"758","trajectory_group",1,3168,0.241592046166227,0.623092663684823,"CD8+ T Cell (EM CD57hi)","CyTOF","Anelloviridae.pbmc","child",0.00837270258364359,0.739016880184325
"759","sex",1,3168,12.9496025316888,0.000324886886380771,"CD8+ T Cell (EM CD57hi)","CyTOF","Anelloviridae.pbmc","child",NA,0.00150629374594721
"760","discretized_admit_age_quantile",4,3168,3.19954046732755,0.0124215785725547,"CD8+ T Cell (EM CD57hi)","CyTOF","Anelloviridae.pbmc","child",NA,0.0215371225464985
"761","virus_positive",1,3168,5.57645602596423,0.0182637223795648,"CD8+ T Cell (EM CD57hi)","CyTOF","Anelloviridae.pbmc","child",0.139701120998984,0.0547911671386943
"762","event_type",11,3168,15.0667328438764,0,"CD8+ T Cell (EM CD57hi)","CyTOF","Anelloviridae.pbmc","child",NA,0
"763","(Intercept)",1,3168,3.92503303903708,0.0476585881666367,"CD8+ T Cell (EMRA CD57hi)","CyTOF","Anelloviridae.pbmc","child",-0.641279652202913,0.162039199766565
"764","trajectory_group",1,3168,1.41037056320045,0.235083920260275,"CD8+ T Cell (EMRA CD57hi)","CyTOF","Anelloviridae.pbmc","child",-0.0204310504072203,0.399642664442467
"765","sex",1,3168,0.0394030416213005,0.842665061887178,"CD8+ T Cell (EMRA CD57hi)","CyTOF","Anelloviridae.pbmc","child",NA,0.895331628255126
"766","discretized_admit_age_quantile",4,3168,5.90928869960836,9.79884322467317e-05,"CD8+ T Cell (EMRA CD57hi)","CyTOF","Anelloviridae.pbmc","child",NA,0.000227155002026514
"767","virus_positive",1,3168,3.11468850365852,0.0776856513888429,"CD8+ T Cell (EMRA CD57hi)","CyTOF","Anelloviridae.pbmc","child",0.105803272760569,0.172259487862217
"768","event_type",11,3168,16.5062568893516,0,"CD8+ T Cell (EMRA CD57hi)","CyTOF","Anelloviridae.pbmc","child",NA,0
"769","(Intercept)",1,3168,2.24712958381775,0.133962143515489,"CD8+ T Cell (EMRA CD57low)","CyTOF","Anelloviridae.pbmc","child",-0.479311053463358,0.351597796560663
"770","trajectory_group",1,3168,2.61197577372558,0.106159117910177,"CD8+ T Cell (EMRA CD57low)","CyTOF","Anelloviridae.pbmc","child",-0.0274504178076136,0.208235192823809
"771","sex",1,3168,27.3151332818612,1.84051906382265e-07,"CD8+ T Cell (EMRA CD57low)","CyTOF","Anelloviridae.pbmc","child",NA,1.17333090318694e-06
"772","discretized_admit_age_quantile",4,3168,12.8861807505715,2.08078332342154e-10,"CD8+ T Cell (EMRA CD57low)","CyTOF","Anelloviridae.pbmc","child",NA,1.06119949494499e-09
"773","virus_positive",1,3168,18.1047124844445,2.15141579462674e-05,"CD8+ T Cell (EMRA CD57low)","CyTOF","Anelloviridae.pbmc","child",0.250739873857088,0.000219444411051928
"774","event_type",11,3168,13.0093986000771,0,"CD8+ T Cell (EMRA CD57low)","CyTOF","Anelloviridae.pbmc","child",NA,0
"775","(Intercept)",1,3168,6.9802576462801,0.00828190300836962,"CD8+ T Cell (activated)","CyTOF","Anelloviridae.pbmc","child",0.849453323031942,0.0703961755711418
"776","trajectory_group",1,3168,0.136842126463386,0.711465496505747,"CD8+ T Cell (activated)","CyTOF","Anelloviridae.pbmc","child",0.00630828718155643,0.775500324972464
"777","sex",1,3168,2.41791365916137,0.120054483399593,"CD8+ T Cell (activated)","CyTOF","Anelloviridae.pbmc","child",NA,0.197508988818685
"778","discretized_admit_age_quantile",4,3168,4.31186109100069,0.00176260060453204,"CD8+ T Cell (activated)","CyTOF","Anelloviridae.pbmc","child",NA,0.00332935669744941
"779","virus_positive",1,3168,5.16454083695024,0.0231192665101785,"CD8+ T Cell (activated)","CyTOF","Anelloviridae.pbmc","child",0.1356733904364,0.0655045884455057
"780","event_type",11,3168,25.3580180764477,0,"CD8+ T Cell (activated)","CyTOF","Anelloviridae.pbmc","child",NA,0
"781","(Intercept)",1,3168,42.7629114930398,7.17683690254489e-11,"CD8+ T Cell (naive)","CyTOF","Anelloviridae.pbmc","child",1.69410522721591,3.66018682029789e-09
"782","trajectory_group",1,3168,50.5156660140652,1.45417011765403e-12,"CD8+ T Cell (naive)","CyTOF","Anelloviridae.pbmc","child",-0.0978531670540012,1.23604460000593e-11
"783","sex",1,3168,81.5493566183545,0,"CD8+ T Cell (naive)","CyTOF","Anelloviridae.pbmc","child",NA,0
"784","discretized_admit_age_quantile",4,3168,335.012944956394,0,"CD8+ T Cell (naive)","CyTOF","Anelloviridae.pbmc","child",NA,0
"785","virus_positive",1,3168,9.23790855188775,0.00238992265140048,"CD8+ T Cell (naive)","CyTOF","Anelloviridae.pbmc","child",-0.145873260171089,0.0110805504746749
"786","event_type",11,3168,1.74238986925909,0.0587013537381438,"CD8+ T Cell (naive)","CyTOF","Anelloviridae.pbmc","child",NA,0.0712802152534603
"787","(Intercept)",1,3168,5.76582662338566,0.0163980856512789,"Conventional DC","CyTOF","Anelloviridae.pbmc","child",-0.782134007664987,0.116744714209292
"788","trajectory_group",1,3168,2.07332269158234,0.149993450883705,"Conventional DC","CyTOF","Anelloviridae.pbmc","child",-0.0249321551546291,0.273202356966748
"789","sex",1,3168,4.3361605009619,0.0373910271325885,"Conventional DC","CyTOF","Anelloviridae.pbmc","child",NA,0.0794559326567505
"790","discretized_admit_age_quantile",4,3168,0.88421351913689,0.472426110990931,"Conventional DC","CyTOF","Anelloviridae.pbmc","child",NA,0.535416259123055
"791","virus_positive",1,3168,1.75792938191854,0.184978586084861,"Conventional DC","CyTOF","Anelloviridae.pbmc","child",-0.0797980125973894,0.325307168631996
"792","event_type",11,3168,3.72084015959921,2.68747164500205e-05,"Conventional DC","CyTOF","Anelloviridae.pbmc","child",NA,4.28315793422201e-05
"793","(Intercept)",1,3168,2.13676780118623,0.143903779547347,"Hematopoetic progenitor Cell","CyTOF","Anelloviridae.pbmc","child",-0.477352210140241,0.351597796560663
"794","trajectory_group",1,3168,27.1127774811592,2.04176950902024e-07,"Hematopoetic progenitor Cell","CyTOF","Anelloviridae.pbmc","child",0.0903716245385804,1.04130244960032e-06
"795","sex",1,3168,4.05889209005465,0.0440236612878121,"Hematopoetic progenitor Cell","CyTOF","Anelloviridae.pbmc","child",NA,0.0846304383963713
"796","discretized_admit_age_quantile",4,3168,3.18809495193804,0.0126688956155874,"Hematopoetic progenitor Cell","CyTOF","Anelloviridae.pbmc","child",NA,0.0215371225464985
"797","virus_positive",1,3168,4.30162979358147,0.0381564657690898,"Hematopoetic progenitor Cell","CyTOF","Anelloviridae.pbmc","child",0.125453164209499,0.0926657025820753
"798","event_type",11,3168,7.82162552507519,1.57207580286922e-13,"Hematopoetic progenitor Cell","CyTOF","Anelloviridae.pbmc","child",NA,3.20703463785321e-13
"799","(Intercept)",1,3168,0.317278917013933,0.57328738670399,"ILC","CyTOF","Anelloviridae.pbmc","child",-0.182570122180131,0.790206938429824
"800","trajectory_group",1,3168,0.539785306991847,0.46257609412092,"ILC","CyTOF","Anelloviridae.pbmc","child",0.012642362016926,0.637604886490997
